"Species3","Family3","Order3","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand-Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"Accipiter albogularis","Accipitridae","Accipitriformes","5","2","0","3","4","27.7","17.8","10.6","14.7","62.0","235.2","81.8","159.5","33.9","169.0","248.8","Dunning","NA","NO","NA","NA","Forest","1","2","Carnivore","Vertivore","Insessorial","-11.73","-4.02","-8.15","158.49","37461.21","Extant"
"Accipiter badius","Accipitridae","Accipitriformes","10","4","6","0","8","20.6","12.1","8.8","11.6","43.0","186.7","62.5","127.4","32.9","140.6","131.2","Dunning","NA","NO","NA","NA","Shrubland","2","3","Carnivore","Vertivore","Insessorial","-29.47","46.39","8.23","44.98","22374973.00","Extant"
"Accipiter bicolor","Accipitridae","Accipitriformes","6","2","2","2","4","26.5","14.8","9.2","13.5","57.5","231.8","46.4","189.6","19.8","188.4","287.5","Dunning","NA","NO","NA","NA","Woodland","2","2","Carnivore","Vertivore","Generalist","NA","NA","NA","NA","NA","Extant"
"Accipiter brachyurus","Accipitridae","Accipitriformes","4","4","0","0","3","22.5","14.0","8.9","11.9","61.2","202.2","64.1","138.1","31.7","140.8","142.0","Dunning","NA","NO","NA","NA","Forest","1","2","Carnivore","Vertivore","Insessorial","-6.31","-4.08","-5.45","150.68","35580.71","Extant"
"Accipiter brevipes","Accipitridae","Accipitriformes","8","4","4","0","4","21.1","12.1","8.7","11.1","46.4","217.6","87.8","129.9","40.2","153.5","186.5","Dunning","NA","NO","NA","NA","Forest","1","3","Carnivore","Vertivore","Generalist","31.19","55.86","45.24","45.33","2936751.80","Extant"
"Accipiter butleri","Accipitridae","Accipitriformes","1","0","1","0","1","20.0","11.9","6.6","12.0","48.7","166.0","42.9","123.1","25.8","127.0","122.0","Updated_literature","Dunning (2021)","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Insessorial","7.87","9.26","8.42","93.17","327.84","Extant"
"Accipiter castanilius","Accipitridae","Accipitriformes","6","2","2","2","4","20.5","11.5","8.3","10.9","52.6","163.5","38.9","123.1","24.0","135.4","157.5","Dunning","NA","NO","NA","NA","Forest","1","2","Carnivore","Vertivore","Insessorial","-10.36","10.12","0.71","18.29","2096401.63","Extant"
"Accipiter chilensis","Accipitridae","Accipitriformes","5","2","3","0","4","23.2","12.6","8.0","11.8","58.8","227.0","69.2","156.2","30.6","183.8","368.0","Dunning","NA","NO","NA","NA","Woodland","2","2","Carnivore","Vertivore","Generalist","NA","NA","NA","NA","NA","Extant"
"Accipiter chionogaster","Accipitridae","Accipitriformes","6","2","3","1","4","18.2","10.5","7.5","9.7","51.8","181.0","60.5","124.2","32.7","137.0","130.6","Inferred","NA","YES","Body Mass","Accipiter striatus","Forest","1","3","Carnivore","Vertivore","Generalist","NA","NA","NA","NA","NA","Extant"
"Accipiter cirrocephalus","Accipitridae","Accipitriformes","5","2","3","0","4","19.2","10.6","7.7","9.6","60.3","213.0","81.3","133.7","37.8","155.4","165.7","Dunning","NA","NO","NA","NA","Forest","1","2","Carnivore","Vertivore","Generalist","-43.64","0.04","-23.36","137.81","5488639.45","Extant"
"Accipiter collaris","Accipitridae","Accipitriformes","7","1","5","1","6","20.0","11.2","8.6","11.0","43.6","165.9","49.5","115.2","30.0","125.0","97.8","Updated_literature","BoW","NO","NA","NA","Forest","1","2","Carnivore","Vertivore","Insessorial","-13.20","11.25","2.47","-75.57","253265.36","Extant"
"Accipiter cooperii","Accipitridae","Accipitriformes","5","2","3","0","4","25.4","13.9","8.6","13.2","62.0","241.2","77.8","163.5","32.3","188.4","429.7","Dunning","NA","NO","NA","NA","Woodland","2","3","Carnivore","Vertivore","Aerial","23.28","53.31","41.25","-100.49","8393137.06","Extant"
"Accipiter erythrauchen","Accipitridae","Accipitriformes","4","3","1","0","4","21.1","12.2","8.6","11.2","59.5","191.2","58.9","132.4","30.8","154.8","156.0","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Generalist","-3.91","2.65","-1.32","128.19","48150.32","Extant"
"Accipiter erythronemius","Accipitridae","Accipitriformes","5","2","2","1","4","17.6","9.4","6.6","8.3","46.8","181.6","53.2","128.8","29.0","131.6","125.0","Dunning","NA","NO","NA","NA","Forest","1","3","Carnivore","Vertivore","Generalist","NA","NA","NA","NA","NA","Extant"
"Accipiter erythropus","Accipitridae","Accipitriformes","5","2","3","0","4","17.6","9.7","7.2","9.6","43.0","154.6","40.9","110.1","27.1","104.4","111.2","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Insessorial","-9.36","14.73","3.48","10.44","3904812.09","Extant"
"Accipiter fasciatus","Accipitridae","Accipitriformes","11","8","3","0","9","28.5","19.1","11.2","15.2","71.9","269.9","103.6","167.3","38.3","206.0","358.7","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Generalist","-43.64","-1.70","-24.45","134.95","8180196.71","Extant"
"Accipiter francesiae","Accipitridae","Accipitriformes","10","2","8","0","9","20.2","13.1","8.7","10.7","48.1","155.8","43.2","112.8","27.8","127.5","136.8","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-25.61","-11.36","-19.49","46.67","519468.81","Extant"
"Accipiter gentilis","Accipitridae","Accipitriformes","8","4","4","0","4","33.7","19.6","11.6","18.0","67.3","337.6","122.6","215.0","36.3","241.1","866.0","Dunning","NA","NO","NA","NA","Forest","1","2","Carnivore","Vertivore","Generalist","17.10","70.39","54.91","19.06","31775270.74","Extant"
"Accipiter griseiceps","Accipitridae","Accipitriformes","4","3","1","0","3","24.1","14.6","8.8","12.4","52.0","187.2","50.0","137.3","26.8","141.2","251.8","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Insessorial","-5.66","1.88","-1.96","121.18","140604.94","Extant"
"Accipiter gularis","Accipitridae","Accipitriformes","5","0","4","1","4","23.3","9.5","6.6","9.1","43.6","162.6","54.2","109.0","33.2","106.4","120.7","Dunning","NA","NO","NA","NA","Forest","1","3","Carnivore","Vertivore","Insessorial","24.25","59.00","49.07","117.11","4785704.92","Extant"
"Accipiter gundlachi","Accipitridae","Accipitriformes","1","0","1","0","1","26.0","15.2","8.3","16.3","71.3","228.0","61.8","166.2","27.1","223.0","675.0","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Aerial","19.82","23.16","21.62","-79.36","33511.43","Extant"
"Accipiter haplochrous","Accipitridae","Accipitriformes","4","3","1","0","4","23.7","13.9","9.6","13.2","58.9","227.8","74.5","153.2","32.7","155.0","198.4","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Insessorial","-22.40","-20.09","-21.33","165.48","16389.59","Extant"
"Accipiter henicogrammus","Accipitridae","Accipitriformes","5","2","3","0","4","27.9","15.9","10.0","13.6","65.1","230.2","72.0","160.5","31.1","190.0","358.7","Inferred","NA","YES","Body Mass","Accipiter fasciatus","Forest","1","1","Carnivore","Vertivore","Insessorial","-0.92","2.65","0.88","128.01","22781.85","Extant"
"Accipiter henstii","Accipitridae","Accipitriformes","4","2","2","0","4","32.6","18.1","11.8","17.2","75.0","290.5","78.0","212.5","27.0","245.0","1050.0","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Insessorial","-25.20","-11.95","-18.72","46.85","434639.70","Extant"
"Accipiter imitator","Accipitridae","Accipitriformes","1","1","0","0","1","26.4","16.8","9.1","12.2","49.6","200.0","60.0","140.0","30.0","161.0","222.5","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Insessorial","-8.58","-5.41","-6.76","156.47","10050.21","Extant"
"Accipiter luteoschistaceus","Accipitridae","Accipitriformes","1","0","1","0","0","26.4","16.8","7.8","11.9","51.5","188.0","57.0","131.0","30.3","146.0","214.0","Dunning","NA","YES","Beak Culmen; Beak Nares","Accipiter imitator","Forest","1","1","Carnivore","Vertivore","Insessorial","-6.31","-4.19","-5.50","150.45","28814.74","Extant"
"Accipiter madagascariensis","Accipitridae","Accipitriformes","4","2","2","0","4","19.7","10.7","7.4","9.4","58.0","190.8","54.5","136.2","28.7","149.5","180.4","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Insessorial","-25.61","-11.95","-19.43","46.69","476517.51","Extant"
"Accipiter melanochlamys","Accipitridae","Accipitriformes","5","2","3","0","4","25.9","15.6","11.0","13.9","62.7","228.6","75.0","156.2","32.4","164.8","265.0","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Generalist","-10.07","-0.95","-5.31","141.87","115449.94","Extant"
"Accipiter melanoleucus","Accipitridae","Accipitriformes","5","2","3","0","4","29.6","18.0","10.3","16.3","75.8","302.8","107.2","200.8","35.0","219.4","699.0","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Generalist","-34.84","18.84","-5.51","25.85","9067092.60","Extant"
"Accipiter meyerianus","Accipitridae","Accipitriformes","2","1","1","0","2","35.0","20.6","12.6","18.6","75.4","309.5","102.0","207.5","33.0","200.0","763.5","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Generalist","-10.12","2.29","-4.70","141.36","269144.41","Extant"
"Accipiter minullus","Accipitridae","Accipitriformes","5","3","2","0","5","16.5","9.2","6.6","8.8","41.3","150.4","44.6","105.8","29.6","105.2","87.4","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Generalist","-34.84","17.80","-9.71","29.57","6794381.58","Extant"
"Accipiter nanus","Accipitridae","Accipitriformes","2","0","2","0","1","17.6","10.6","7.6","10.1","46.6","152.4","44.9","107.5","29.5","109.0","117.0","Inferred","NA","YES","Body Mass","Accipiter virgatus","Forest","1","1","Carnivore","Invertivore","Insessorial","-5.70","1.76","-1.08","121.34","110477.00","Extant"
"Accipiter nisus","Accipitridae","Accipitriformes","19","6","13","0","10","19.6","11.4","8.4","10.0","53.6","207.4","74.2","134.3","35.5","155.5","220.8","Dunning","NA","NO","NA","NA","Forest","1","2","Carnivore","Vertivore","Insessorial","26.90","70.53","54.67","77.29","23601609.31","Extant"
"Accipiter novaehollandiae","Accipitridae","Accipitriformes","14","9","5","0","13","29.2","17.9","10.6","15.3","61.8","235.5","69.8","165.0","30.0","164.9","326.1","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Insessorial","-43.64","2.65","-19.05","142.44","2636167.53","Extant"
"Accipiter ovampensis","Accipitridae","Accipitriformes","5","2","3","0","4","20.5","11.2","7.5","10.3","49.4","222.4","86.2","138.5","38.4","155.0","195.0","Dunning","NA","NO","NA","NA","Shrubland","2","1","Carnivore","Vertivore","Aerial","-27.22","13.92","-8.53","23.37","7295779.86","Extant"
"Accipiter poliocephalus","Accipitridae","Accipitriformes","4","2","2","0","4","25.0","15.4","10.1","13.7","60.3","210.5","67.8","142.8","32.1","157.2","214.8","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Insessorial","-11.66","0.04","-5.32","140.74","671500.51","Extant"
"Accipiter poliogaster","Accipitridae","Accipitriformes","5","2","3","0","3","27.7","14.9","8.0","13.2","52.4","240.4","72.6","172.2","29.6","174.6","315.0","Updated_literature","Dunning (2021)","NO","NA","NA","Forest","1","2","Carnivore","Vertivore","Insessorial","-30.38","6.82","-7.81","-60.09","7203530.62","Extant"
"Accipiter princeps","Accipitridae","Accipitriformes","2","1","1","0","2","33.6","22.2","13.8","17.8","68.0","266.3","77.8","188.5","29.2","192.3","214.8","Inferred","NA","YES","Body Mass","Accipiter poliocephalus","Forest","1","1","Carnivore","Vertivore","Insessorial","-6.11","-4.23","-5.35","151.04","11549.62","Extant"
"Accipiter rhodogaster","Accipitridae","Accipitriformes","5","2","3","0","4","20.5","11.8","7.9","10.8","53.4","172.6","51.6","122.4","29.7","125.8","172.7","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Insessorial","-5.70","1.76","-1.93","121.39","146036.85","Extant"
"Accipiter rufitorques","Accipitridae","Accipitriformes","5","2","3","0","4","26.0","15.4","10.3","13.7","59.2","217.6","73.5","142.0","34.1","146.0","209.0","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Generalist","-19.20","-16.15","-17.45","169.39","17581.12","Extant"
"Accipiter rufiventris","Accipitridae","Accipitriformes","5","2","3","0","4","20.3","10.7","7.8","10.0","54.2","218.6","83.0","134.3","38.1","165.8","198.0","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Aerial","-34.04","15.67","-7.01","32.60","756057.21","Extant"
"Accipiter soloensis","Accipitridae","Accipitriformes","5","2","3","0","4","25.6","11.4","8.6","9.7","39.5","187.8","73.1","114.4","39.0","123.4","164.8","Dunning","NA","NO","NA","NA","Forest","1","3","Carnivore","Vertivore","Insessorial","20.24","47.24","31.97","117.13","2375886.74","Extant"
"Accipiter striatus","Accipitridae","Accipitriformes","4","2","2","0","4","19.4","10.5","8.7","10.4","49.8","184.2","60.0","124.2","32.5","144.2","130.6","Dunning","NA","NO","NA","NA","Forest","1","3","Carnivore","Vertivore","Aerial","NA","NA","NA","NA","NA","Extant"
"Accipiter superciliosus","Accipitridae","Accipitriformes","5","2","3","0","4","19.4","10.8","6.7","10.4","37.4","146.4","38.6","105.2","26.9","104.6","96.4","Updated_literature","BoW","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Aerial","-28.11","14.61","-6.22","-60.98","8560355.56","Extant"
"Accipiter tachiro","Accipitridae","Accipitriformes","9","4","5","0","5","18.0","15.3","9.8","12.3","61.0","222.8","55.6","161.8","25.7","180.3","290.2","Updated_literature","Jackson (1972); Dunning (2021)","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Aerial","-34.84","4.53","-12.54","29.90","5174215.21","Extant"
"Accipiter toussenelii","Accipitridae","Accipitriformes","6","2","2","2","5","24.4","13.9","9.2","11.9","62.1","189.0","48.2","149.6","24.4","157.2","249.3","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Insessorial","-6.06","17.41","3.51","15.99","4598131.33","Extant"
"Accipiter trinotatus","Accipitridae","Accipitriformes","8","2","3","3","4","20.4","13.3","8.6","11.2","48.2","162.9","43.0","115.0","27.2","128.8","146.0","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Insessorial","-5.66","1.76","-1.81","121.37","120238.86","Extant"
"Accipiter trivirgatus","Accipitridae","Accipitriformes","15","9","4","2","12","31.7","17.3","10.5","14.1","56.9","216.2","49.6","166.1","23.0","171.9","265.0","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Insessorial","-8.85","31.08","13.91","101.71","3366430.69","Extant"
"Accipiter ventralis","Accipitridae","Accipitriformes","5","2","3","0","4","18.4","9.9","6.5","9.3","50.7","180.0","52.8","130.0","28.8","126.4","233.0","Dunning","NA","NO","NA","NA","Forest","1","3","Carnivore","Vertivore","Generalist","NA","NA","NA","NA","NA","Extant"
"Accipiter virgatus","Accipitridae","Accipitriformes","15","9","5","1","13","21.2","11.7","7.6","10.2","49.8","167.7","46.7","123.1","27.4","123.9","117.0","Dunning","NA","NO","NA","NA","Forest","1","2","Carnivore","Vertivore","Generalist","-8.98","35.61","22.08","101.25","4398429.71","Extant"
"Aegypius monachus","Accipitridae","Accipitriformes","4","2","2","0","4","87.8","59.9","27.9","39.8","134.2","734.2","302.2","432.0","41.1","371.0","9320.5","Dunning","NA","NO","NA","NA","Forest","2","1","Scavenger","Scavenger","Terrestrial","25.27","54.37","41.63","87.87","7718571.19","Extant"
"Aquila adalberti","Accipitridae","Accipitriformes","4","3","1","0","4","61.2","39.8","21.1","31.0","98.4","592.5","235.0","357.5","39.7","297.0","2958.0","Dunning","NA","NO","NA","NA","Woodland","1","2","Carnivore","Vertivore","Generalist","36.28","41.56","39.06","-5.23","131221.76","Extant"
"Aquila africanus","Accipitridae","Accipitriformes","4","2","2","0","4","39.4","23.4","12.8","20.4","76.6","342.2","93.8","248.4","27.4","277.8","1047.0","Dunning","NA","NO","NA","NA","Woodland","1","2","Carnivore","Vertivore","Generalist","-8.47","9.95","1.97","13.68","1918245.90","Extant"
"Aquila audax","Accipitridae","Accipitriformes","6","2","4","0","6","60.5","40.9","19.6","31.2","104.0","617.7","244.5","373.2","39.6","387.0","3449.9","Dunning","NA","NO","NA","NA","Woodland","1","2","Carnivore","Vertivore","Generalist","-43.64","-8.78","-25.74","134.48","7679648.03","Extant"
"Aquila chrysaetos","Accipitridae","Accipitriformes","8","2","6","0","8","56.8","37.0","18.5","28.4","101.4","603.1","221.2","381.9","36.7","307.1","4248.0","Dunning","NA","NO","NA","NA","Grassland","3","2","Carnivore","Vertivore","Aerial","6.36","71.12","50.67","38.05","39450257.98","Extant"
"Aquila clanga","Accipitridae","Accipitriformes","5","2","3","0","4","50.2","31.2","15.6","23.2","96.8","510.6","192.2","314.8","37.9","261.4","2154.3","Dunning","NA","NO","NA","NA","Wetland","3","3","Carnivore","Vertivore","Generalist","38.72","65.94","55.15","73.97","8980278.98","Extant"
"Aquila fasciatus","Accipitridae","Accipitriformes","4","2","2","0","4","45.7","28.9","16.2","23.7","93.2","486.8","181.8","305.0","37.3","260.0","1936.5","Dunning","NA","NO","NA","NA","Rock","3","2","Carnivore","Vertivore","Aerial","-10.37","45.24","27.52","62.08","5630034.84","Extant"
"Aquila gurneyi","Accipitridae","Accipitriformes","4","2","1","1","3","55.4","33.3","16.6","21.9","99.4","544.5","183.8","360.8","33.8","365.5","3060.0","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Aerial","-10.73","2.65","-5.05","140.46","601810.35","Extant"
"Aquila hastata","Accipitridae","Accipitriformes","4","2","2","0","4","44.4","26.4","14.0","18.9","90.2","456.5","191.8","264.8","42.0","208.5","1359.4","Dunning","NA","NO","NA","NA","Woodland","2","2","Carnivore","Vertivore","Generalist","8.07","32.46","21.43","81.10","2409106.07","Extant"
"Aquila heliaca","Accipitridae","Accipitriformes","5","2","3","0","3","59.0","37.5","19.8","28.4","93.7","582.2","230.8","354.0","39.5","316.2","3125.2","Dunning","NA","NO","NA","NA","Woodland","1","3","Carnivore","Vertivore","Generalist","35.35","59.75","49.87","70.89","9556213.62","Extant"
"Aquila nipalensis","Accipitridae","Accipitriformes","5","2","3","0","4","54.1","32.4","17.7","25.2","95.1","559.6","225.2","332.0","40.5","271.4","2714.3","Dunning","NA","NO","NA","NA","Grassland","3","3","Carnivore","Vertivore","Aerial","31.20","53.52","43.73","85.14","6933240.92","Extant"
"Aquila pomarina","Accipitridae","Accipitriformes","9","4","5","0","4","47.3","26.9","13.4","19.5","91.6","459.3","184.8","271.0","40.6","213.0","1359.4","Dunning","NA","NO","NA","NA","Forest","1","3","Carnivore","Vertivore","Generalist","35.81","60.04","49.67","26.85","2013351.79","Extant"
"Aquila rapax","Accipitridae","Accipitriformes","5","2","3","0","4","54.0","31.5","16.8","24.3","84.3","506.6","196.0","310.0","38.7","242.4","2236.1","Dunning","NA","NO","NA","NA","Shrubland","2","3","Carnivore","Vertivore","Generalist","-34.31","36.93","3.92","30.52","17572054.36","Extant"
"Aquila verreauxii","Accipitridae","Accipitriformes","4","2","2","0","4","58.2","35.5","18.3","27.6","117.4","590.2","200.5","389.8","34.0","403.5","4195.0","Dunning","NA","NO","NA","NA","Rock","3","1","Carnivore","Vertivore","Aerial","-34.84","30.44","-9.59","29.12","4020161.71","Extant"
"Aquila wahlbergi","Accipitridae","Accipitriformes","5","2","3","0","4","39.3","23.9","12.1","17.4","71.1","413.8","174.8","235.5","42.6","216.8","640.0","Dunning","NA","NO","NA","NA","Shrubland","2","1","Carnivore","Vertivore","Insessorial","-29.95","18.69","-4.41","23.10","9578321.34","Extant"
"Aviceda cuculoides","Accipitridae","Accipitriformes","5","2","3","0","3","25.5","17.1","10.6","13.9","33.0","264.6","114.0","153.5","42.4","154.2","277.0","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Insessorial","-34.21","14.08","-3.74","21.08","10593852.38","Extant"
"Aviceda jerdoni","Accipitridae","Accipitriformes","5","1","3","1","4","45.5","21.7","12.9","15.9","34.7","302.8","76.9","222.9","25.6","211.0","363.0","Dunning","NA","NO","NA","NA","Forest","2","1","Carnivore","Omnivore","Insessorial","-5.95","28.63","6.17","107.44","1592906.95","Extant"
"Aviceda leuphotes","Accipitridae","Accipitriformes","5","2","3","0","4","24.6","16.4","10.2","12.5","25.0","230.6","82.0","150.2","35.3","124.0","194.0","Dunning","NA","NO","NA","NA","Forest","2","3","Carnivore","Invertivore","Insessorial","8.56","33.35","23.21","103.96","3528791.57","Extant"
"Aviceda madagascariensis","Accipitridae","Accipitriformes","5","2","3","0","4","28.6","20.1","11.6","16.2","38.7","314.2","106.0","207.5","33.8","169.2","277.0","Inferred","NA","YES","Body Mass","Aviceda cuculoides","Forest","1","1","Carnivore","Vertivore","Insessorial","-25.09","-11.95","-18.10","47.27","340717.90","Extant"
"Aviceda subcristata","Accipitridae","Accipitriformes","5","2","3","0","3","28.3","19.7","11.6","14.7","36.3","336.6","134.5","200.0","40.2","202.0","322.6","Dunning","NA","NO","NA","NA","Forest","2","1","Carnivore","Omnivore","Insessorial","-34.97","2.65","-12.44","141.78","1718124.83","Extant"
"Busarellus nigricollis","Accipitridae","Accipitriformes","6","1","2","3","5","40.8","27.1","12.5","17.6","76.1","393.5","105.9","283.1","27.0","199.8","766.1","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Aquatic predator","Insessorial","-34.19","23.94","-7.16","-59.48","12825637.87","Extant"
"Butastur indicus","Accipitridae","Accipitriformes","5","0","2","3","4","40.5","18.4","10.4","14.5","53.4","327.6","155.1","175.9","46.9","191.8","414.6","Dunning","NA","NO","NA","NA","Woodland","2","3","Carnivore","Vertivore","Insessorial","30.99","52.35","44.31","129.81","1828306.34","Extant"
"Butastur liventer","Accipitridae","Accipitriformes","5","2","3","0","4","31.3","17.0","10.5","14.0","61.7","275.0","115.6","159.4","42.0","149.0","338.0","Dunning","NA","NO","NA","NA","Woodland","3","1","Carnivore","Vertivore","Insessorial","-8.78","23.45","12.53","104.10","1357262.80","Extant"
"Butastur rufipennis","Accipitridae","Accipitriformes","5","2","3","0","4","28.7","16.3","10.3","12.3","58.4","311.2","143.5","170.0","45.8","181.4","334.9","Dunning","NA","NO","NA","NA","Woodland","3","1","Carnivore","Invertivore","Insessorial","-6.49","19.11","12.64","11.75","3625177.22","Extant"
"Butastur teesa","Accipitridae","Accipitriformes","5","2","3","0","4","30.6","18.0","10.7","13.8","60.4","295.4","132.0","165.0","44.5","191.0","325.0","Dunning","NA","NO","NA","NA","Woodland","3","1","Carnivore","Vertivore","Insessorial","8.07","35.29","23.18","78.91","3969936.20","Extant"
"Buteo albicaudatus","Accipitridae","Accipitriformes","4","1","2","1","4","37.4","22.3","13.8","16.4","87.3","427.0","148.1","279.0","34.8","199.0","885.0","Dunning","NA","NO","NA","NA","Grassland","3","1","Carnivore","Vertivore","Generalist","-40.32","29.69","-11.82","-58.97","9466789.11","Extant"
"Buteo albigula","Accipitridae","Accipitriformes","6","4","2","0","5","27.9","17.9","11.4","15.2","57.9","291.0","109.6","181.4","37.6","182.2","525.0","EltonTraits_Model","NA","NO","NA","NA","Forest","2","3","Carnivore","Vertivore","Generalist","-51.06","5.43","-24.50","-72.05","1021826.91","Extant"
"Buteo albonotatus","Accipitridae","Accipitriformes","5","1","3","1","3","35.1","21.1","12.7","16.9","70.4","398.0","159.7","236.7","40.3","217.0","745.9","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Aerial","-28.09","36.47","0.47","-69.62","7192504.19","Extant"
"Buteo archeri","Accipitridae","Accipitriformes","5","2","3","0","4","40.6","24.4","13.0","18.5","87.4","387.0","128.5","259.2","33.1","175.6","1099.2","Inferred","NA","YES","Body Mass","Buteo augur","Woodland","2","1","Carnivore","Vertivore","Insessorial","NA","NA","NA","NA","NA","Extant"
"Buteo augur","Accipitridae","Accipitriformes","9","4","5","0","4","43.9","24.5","13.7","19.3","90.4","423.1","129.7","295.8","30.5","195.6","1099.2","Dunning","NA","NO","NA","NA","Woodland","2","1","Carnivore","Vertivore","Insessorial","NA","NA","NA","NA","NA","Extant"
"Buteo auguralis","Accipitridae","Accipitriformes","5","2","3","0","4","33.3","18.6","11.2","15.6","73.6","356.2","135.9","223.4","37.8","192.6","663.9","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Insessorial","-12.58","16.03","7.61","12.15","7045229.26","Extant"
"Buteo brachypterus","Accipitridae","Accipitriformes","5","2","3","0","4","33.6","19.7","11.5","16.4","63.1","315.4","100.1","215.2","31.7","184.4","511.0","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Insessorial","-25.61","-11.95","-19.38","46.70","591120.44","Extant"
"Buteo brachyurus","Accipitridae","Accipitriformes","5","1","4","0","4","31.1","17.0","10.4","14.9","53.8","307.6","90.0","213.3","29.7","171.0","496.0","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Aerial","-30.69","29.85","-5.09","-62.04","14372802.04","Extant"
"Buteo buteo","Accipitridae","Accipitriformes","29","12","15","2","19","35.6","21.1","12.5","16.6","75.7","374.6","143.8","231.2","38.2","204.1","759.1","Dunning","NA","NO","NA","NA","Grassland","3","2","Carnivore","Vertivore","Insessorial","12.30","67.81","52.89","64.71","16600070.45","Extant"
"Buteo galapagoensis","Accipitridae","Accipitriformes","5","2","3","0","4","40.9","26.0","13.9","19.3","77.0","402.6","176.8","229.2","43.6","235.2","1137.4","Dunning","NA","NO","NA","NA","Woodland","1","1","Carnivore","Vertivore","Aerial","-1.41","0.65","-0.44","-91.13","5639.54","Extant"
"Buteo hemilasius","Accipitridae","Accipitriformes","5","2","3","0","4","40.7","23.1","14.7","18.8","80.0","467.2","179.0","290.2","38.2","251.4","1358.9","Dunning","NA","NO","NA","NA","Grassland","3","1","Carnivore","Vertivore","Generalist","28.27","54.14","42.40","100.83","5366251.83","Extant"
"Buteo jamaicensis","Accipitridae","Accipitriformes","5","2","3","0","4","37.6","22.9","14.4","20.2","80.9","402.8","139.9","270.8","34.1","212.2","1101.2","Dunning","NA","NO","NA","NA","Woodland","2","3","Carnivore","Vertivore","Insessorial","8.36","68.66","45.50","-105.33","15462822.34","Extant"
"Buteo lagopus","Accipitridae","Accipitriformes","7","3","4","0","4","34.5","20.2","11.7","15.9","72.3","428.3","180.3","248.5","42.1","240.0","949.8","Dunning","NA","NO","NA","NA","Grassland","3","3","Carnivore","Vertivore","Insessorial","47.60","83.11","67.33","2.14","9709846.76","Extant"
"Buteo leucorrhous","Accipitridae","Accipitriformes","5","2","3","0","4","29.0","17.0","9.8","14.2","62.6","241.0","65.5","174.2","27.3","171.6","290.0","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Vertivore","Insessorial","-29.69","11.14","-18.54","-56.70","1189248.20","Extant"
"Buteo lineatus","Accipitridae","Accipitriformes","5","2","2","1","4","33.1","20.3","11.8","16.3","74.1","319.0","106.9","212.8","33.4","172.8","603.7","Dunning","NA","NO","NA","NA","Woodland","1","3","Carnivore","Vertivore","Aerial","24.95","47.85","37.72","-86.88","3542030.50","Extant"
