Species Temperature
Anguilla_anguilla 11.4
Anguilla_anguilla 15
Anguilla_anguilla 19
Anguilla_anguilla 15
Anguilla_anguilla 13
Anguilla_anguilla 19
Anguilla_anguilla 19
Anisotremus_interruptus 27
Anodontostoma_chacunda 27
Anodontostoma_chacunda 27.6
Anoplogaster_cornuta 4
Anoplopoma_fimbria 8.5
Anoplopoma_fimbria 8.5
Anoplopoma_fimbria 8.5
Anoplopoma_fimbria 8.5
Anoplopoma_fimbria 8.5
Anoplopoma_fimbria 5.4
Anoplopoma_fimbria 14
Anoplopoma_fimbria 8.5
Anoplopoma_fimbria 8.5
Anoplopoma_fimbria 8.5
Anoplopoma_fimbria 5.4
Anoplopoma_fimbria 14
Anotopterus_nikparini 4
Antimora_rostrata 4
Apeltes_quadracus 15
Apeltes_quadracus 15
Aphanius_fasciatus 19
Aphanius_fasciatus 19
Aphanius_iberus 16.5
Aphanius_iberus 16.5
Aphanius_sophiae 13
Aphanius_sophiae 13
Aphanius_sophiae 12
Aphanius_sophiae 12
Aphanopus_carbo 17.5
Aphanopus_carbo 14.5
Aphareus_rutilans 23
Aphia_minuta 19
Apogon_imberbis 19
Aprion_virescens 24
Aprion_virescens 25
Aprion_virescens 25
Aprion_virescens 25
Apsilus_dentatus 20
Apsilus_dentatus 20
Archosargus_probatocephalus 26
Archosargus_probatocephalus 26
Archosargus_probatocephalus 26
Archosargus_rhomboidalis 26.5
Argentina_sialis 4
Argentina_silus 7
Argentina_silus 9
Argentina_silus 7
Argentina_silus 9
Argentina_silus 7.5
Argentina_silus 7
Argentina_silus 9
Argentina_silus 4.5
Argentina_silus -0.4
Argentina_sphyraena 14
Argyropelecus_affinis 4
Argyrops_filamentosus 27.6
Argyrops_spinifer 29
Argyrops_spinifer 27.6
Argyrosomus_inodorus 15
Argyrosomus_inodorus 15
Argyrosomus_japonicus 15
Argyrosomus_regius 14
Argyrosomus_regius 17.5
Argyrozona_argyrozona 21
Argyrozona_argyrozona 22
Ariomma_indicum 27
Ariomma_indicum 20
Ariomma_indicum 28.7
Ariomma_indicum 28
Ariomma_indicum 20
Ariomma_indicum 28
Ariopsis_guatemalensis 26.5
Ariopsis_guatemalensis 26.5
Aristostomias_scintillans 4
Arius_latiscutatus 27
Arius_maculatus 23
Arnoglossus_laterna 13
Arnoglossus_laterna 15.5
Arnoglossus_laterna 13
Arnoglossus_thori 11
Arnoglossus_thori 11
Arripis_georgianus 17.5
Arripis_georgianus 17.5
Arripis_trutta 15
Arripis_trutta 15
Arripis_trutta 15
Arripis_trutta 15
Arripis_trutta 15
Arripis_trutta 15
Arripis_trutta 12
Arripis_trutta 12
Arripis_trutta 15
Arripis_trutta 17
Arripis_truttacea 15
Arripis_truttacea 15
Arripis_truttacea 17
Arripis_truttacea 12.5
Artediellus_camchaticus 0
Artediellus_camchaticus 0
Atherina_boyeri 18
Atherina_boyeri 18
Atherina_boyeri 7.6
Atherina_presbyter 12
Atractoscion_aequidens 18
Atractoscion_nobilis 20
Atrobucca_nibe 20
Atrobucca_nibe 20
Atrobucca_nibe 20
Atrobucca_nibe 20
Atrobucca_nibe 20
Atrobucca_nibe 20
Atrobucca_nibe 20
Atrobucca_nibe 20
Atrobucca_nibe 22
Atrobucca_nibe 20
Atropus_atropos 27
Atule_mate 28.7
Atule_mate 27.5
Atule_mate 28.7
Atule_mate 28.7
Atule_mate 28
Atule_mate 27
Aulorhynchus_flavidus 18
Austroglossus_microlepis 15
Austroglossus_pectoralis 21
Austroglossus_pectoralis 14
Austrolebias_viarius 17
Austrolebias_viarius 20
Auxis_rochei 22
Auxis_rochei 19
Auxis_rochei 19
Auxis_thazard 28
Auxis_thazard 28.5
Auxis_thazard 27
Auxis_thazard 23.5
Auxis_thazard 23.5
Auxis_thazard 27
Auxis_thazard 12.5
Auxis_thazard 28.5
Bagrus_bajad 28
Bagrus_docmak 25.5
Bagrus_docmak 28
Bagrus_docmak 25.5
Bagrus_meridionalis 25.5
Bagrus_meridionalis 25.5
Bairdiella_chrysoura 26.5
Balistes_capriscus 16
Balistes_capriscus 27
Balistes_capriscus 25
Balistes_capriscus 22
Balistes_capriscus 24.8
Balistes_capriscus 24
Balistes_punctatus 22
Balistes_vetula 28
Balistes_vetula 28
Balistes_vetula 27.5
Balistes_vetula 28.2
Barbonymus_collingwoodii 29
Barbus_meridionalis 19
Bathophilus_flemingi 4
Bathylagus_pacificus 4
Bathypterois_dubius 14
Bathypterois_dubius 14
Bellator_gymnostethus 18
Benthalbella_linguidens 4
Benthosema_fibulatum 21.5
Benthosema_glaciale 6.5
Benthosema_glaciale 6.5
Benthosema_glaciale 7
Benthosema_glaciale 6.5
Benthosema_pterotum 21.5
Benthosema_suborbitale 22.5
Beryx_decadactylus 8.9
Beryx_decadactylus 8.9
Beryx_splendens 12
Beryx_splendens 18
Beryx_splendens 18
Beryx_splendens 18
Beryx_splendens 20
Beryx_splendens 18
Beryx_splendens 21
Beryx_splendens 20
Beryx_splendens 12
Beryx_splendens 11
Beryx_splendens 21
Beryx_splendens 11
Beryx_splendens 12
Beryx_splendens 18
Beryx_splendens 12
Beryx_splendens 18
Beryx_splendens 11
Beryx_splendens 11
Beryx_splendens 12
Beryx_splendens 18
Beryx_splendens 18
Bolbometopon_muricatum 23
Boops_boops 17.5
Boops_boops 19
Boops_boops 22
Boops_boops 19
Boops_boops 19
Boreogadus_saida 3
Boreogadus_saida 2
Boreogadus_saida 1
Boreogadus_saida 1
Borostomias_panamensis 4
Bostockia_porosa 17.5
Bostockia_porosa 17.5
Brachydeuterus_auritus 26.6
Brachydeuterus_auritus 18
Brachydeuterus_auritus 27
Brachydeuterus_auritus 26.6
Brachydeuterus_auritus 26.6
Brachydeuterus_auritus 26.6
Brachypleura_novaezeelandiae 29
Brama_japonica 15
Branchiostegus_argentatus 20
Branchiostegus_auratus 15
Branchiostegus_auratus 18
Branchiostegus_auratus 22
Branchiostegus_auratus 15
Branchiostegus_japonicus 10
Branchiostegus_japonicus 20
Branchiostegus_japonicus 10
Branchiostegus_japonicus 20
Branchiostegus_japonicus 18
Branchiostegus_japonicus 12
Branchiostegus_japonicus 20
Branchiostegus_japonicus 10
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 25
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 24.5
Brevoortia_patronus 25
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_patronus 26
Brevoortia_tyrannus 23
Brevoortia_tyrannus 24
Brevoortia_tyrannus 24
Brevoortia_tyrannus 24
Brevoortia_tyrannus 15
Brevoortia_tyrannus 24
Brevoortia_tyrannus 15
Brevoortia_tyrannus 15
Brevoortia_tyrannus 15
Brevoortia_tyrannus 15
Brevoortia_tyrannus 15
Brevoortia_tyrannus 15
Brevoortia_tyrannus 15
Brevoortia_tyrannus 15
Brevoortia_tyrannus 24
Brevoortia_tyrannus 15
Brevoortia_tyrannus 15
Brevoortia_tyrannus 24
Brevoortia_tyrannus 24
Brevoortia_tyrannus 24
Brevoortia_tyrannus 15
Brevoortia_tyrannus 24
Brevoortia_tyrannus 24
Brevoortia_tyrannus 24
Brevoortia_tyrannus 24
Brevoortia_tyrannus 24
Brevoortia_tyrannus 24
Brevoortia_tyrannus 15
Brevoortia_tyrannus 13
Brevoortia_tyrannus 24
Brevoortia_tyrannus 24
Brevoortia_tyrannus 15
Brevoortia_tyrannus 15
Brevoortia_tyrannus 15
Brevoortia_tyrannus 24
Brevoortia_tyrannus 15
Brevoortia_tyrannus 15
Brevoortia_tyrannus 24
Brevoortia_tyrannus 15
Brevoortia_tyrannus 15
Brevoortia_tyrannus 15
Brevoortia_tyrannus 24
Brosme_brosme 9
Brosme_brosme 9
Brosme_brosme 9
Brotula_barbata 17.5
Brycinus_imberi 20
Brycinus_imberi 28
Brycinus_leuciscus 27
Brycinus_macrolepidotus 28
Brycinus_nurse 28
Brycinus_nurse 28
Brycinus_nurse 28
Brycinus_sadleri 26
Brycon_guatemalensis 23
Buglossidium_luteum 13
Buglossidium_luteum 13
Calamus_leucosteus 24
Calamus_nodosus 24
Calamus_penna 27
Callionymus_belcheri 21
Callionymus_belcheri 21
Callionymus_lyra 12
Callionymus_lyra 12
Callorhinchus_capensis 15
Callorhinchus_capensis 15
Callorhinchus_milii 11
Callorhinchus_milii 11
Callorhinchus_milii 12
Callorhinchus_milii 11
Callorhinchus_milii 11
Calotomus_spinidens 27.2
Calotomus_spinidens 27
Campostoma_anomalum 12
Capoeta_capoeta 11
Capoeta_capoeta 11
Capoeta_fusca 17.5
Capoeta_fusca 17.5
Capoeta_trutta 18
Capoeta_trutta 18
Carangoides_armatus 28.7
Carangoides_armatus 28.7
Carangoides_bajad 27.5
Carangoides_chrysophrys 24
Carangoides_equula 27
Carangoides_equula 29
Carangoides_ferdau 29
Carangoides_malabaricus 28.7
Carangoides_malabaricus 28.7
Carangoides_malabaricus 29
Carangoides_malabaricus 28
Caranx_bucculentus 29
Caranx_crysos 24.8
Caranx_crysos 25
Caranx_hippos 27
Caranx_ignobilis 12.5
Caranx_ignobilis 27.5
Caranx_ignobilis 25
Caranx_lugubris 27.5
Caranx_lugubris 27.9
Caranx_melampygus 25
Caranx_rhonchus 22
Caranx_rhonchus 22
Caranx_ruber 27
Caranx_ruber 27
Caranx_sexfasciatus 29
Carassius_auratus 22.4
Carassius_gibelio 10
Carassius_gibelio 10
Carcharhinus_acronotus 21.5
Carcharhinus_acronotus 21.5
Carcharhinus_acronotus 21.5
Carcharhinus_acronotus 21.5
Carcharhinus_acronotus 24
Carcharhinus_acronotus 24
Carcharhinus_amblyrhynchos 25
Carcharhinus_brachyurus 21
Carcharhinus_brevipinna 25
Carcharhinus_falciformis 21
Carcharhinus_falciformis 21
Carcharhinus_falciformis 21
Carcharhinus_falciformis 20
Carcharhinus_galapagensis 22
Carcharhinus_isodon 21.8
Carcharhinus_isodon 21.8
Carcharhinus_leucas 26
Carcharhinus_leucas 21.5
Carcharhinus_limbatus 26
Carcharhinus_limbatus 25
Carcharhinus_limbatus 26
Carcharhinus_longimanus 27.5
Carcharhinus_longimanus 27
Carcharhinus_obscurus 24
Carcharhinus_obscurus 15
Carcharhinus_obscurus 24
Carcharhinus_obscurus 18
Carcharhinus_obscurus 12
Carcharhinus_plumbeus 12
Carcharhinus_plumbeus 21
Carcharhinus_plumbeus 12
Carcharhinus_plumbeus 24
Carcharhinus_plumbeus 12
Carcharhinus_porosus 27.5
Carcharhinus_porosus 27.5
Carcharhinus_signatus 24
Carcharhinus_signatus 24
Carcharhinus_sorrah 27
Carcharhinus_sorrah 27
Carcharhinus_tilstoni 23
Carcharhinus_tilstoni 23
Carcharias_taurus 15
Carcharias_taurus 15
Carcharodon_carcharias 18
Careproctus_melanurus 4
Carlarius_heudelotii 26.6
Carlarius_heudelotii 27
Carlarius_parkii 27
Cataetyx_alleni 14
Catostomus_platyrhynchus 12
Caulolatilus_affinis 21
Caulolatilus_affinis 21
Caulolatilus_microps 24
Centroberyx_affinis 12
Centroberyx_affinis 12
Centrolabrus_exoletus 13
Centrolabrus_exoletus 13
Centrolabrus_exoletus 12
Centrolabrus_exoletus 12
Centropomus_undecimalis 22.5
Centropomus_undecimalis 27
Centropristis_striata 24
Centropristis_striata 15
Centropristis_striata 15
Cephalopholis_boenak 27
Cephalopholis_cruentata 27.2
Cephalopholis_cruentata 27.2
Cephalopholis_cruentata 27.2
Cephalopholis_fulva 23.5
Cephalopholis_fulva 28.2
Cephalopholis_fulva 27
Cephalopholis_hemistiktos 26
Cephalopholis_panamensis 27
Cephalopholis_taeniops 20
Cepola_macrophthalma 15.5
Cepola_macrophthalma 15.5
Cepola_macrophthalma 14
Cepola_macrophthalma 14
Cetengraulis_edentulus 27.2
Cetengraulis_edentulus 27.2
Cetengraulis_edentulus 27.2
Cetengraulis_mysticetus 24.4
Cetengraulis_mysticetus 24.4
Cetengraulis_mysticetus 26.8
Cetengraulis_mysticetus 24.4
Cetengraulis_mysticetus 27.3
Cetengraulis_mysticetus 29.4
Cetengraulis_mysticetus 24.8
Cetengraulis_mysticetus 27.3
Cetengraulis_mysticetus 29.4
Cetengraulis_mysticetus 24.9
Cetengraulis_mysticetus 28.7
Cetorhinus_maximus 10
Cetoscarus_bicolor 26
Cetostoma_regani 4
Chaenocephalus_aceratus 1
Chaenocephalus_aceratus 1
Chaenogobius_annularis 16
Chaetodipterus_faber 27
Chaetodipterus_faber 23
Chaetodon_auriga 27
Chaetodon_miliaris 25
Chaetodon_trifascialis 27
Chaetodon_trifasciatus 27
Champsocephalus_gunnari 1.5
Champsocephalus_gunnari 2
Champsocephalus_gunnari 2
Champsocephalus_gunnari 1.5
Champsocephalus_gunnari 1.5
Channa_gachua 28
Channa_punctata 26
Channa_punctata 26
Channa_punctata 26
Channa_punctata 26
Channa_punctata 26
Channa_punctata 23
Channa_punctata 23
Channa_punctata 23
Channa_punctata 23
Chanodichthys_erythropterus 20
Chanodichthys_mongolicus 20
Chauliodus_macouni 4
Cheilinus_trilobatus 27
Cheilinus_undulatus 23
Cheilopogon_atrisignis 28
Cheilopogon_cyanopterus 28
Cheilopogon_nigricans 28.3
Cheilopogon_nigricans 28
Cheilotrema_saturnum 18
Cheimerius_nufar 29
Cheimerius_nufar 21
Cheimerius_nufar 21
Cheimerius_nufar 27.6
Chelidonichthys_capensis 18
Chelidonichthys_capensis 18
Chelidonichthys_capensis 18
Chelidonichthys_capensis 18
Chelidonichthys_capensis 18
Chelidonichthys_cuculus 14
Chelidonichthys_cuculus 19
Chelidonichthys_cuculus 19
Chelidonichthys_cuculus 14
Chelidonichthys_cuculus 19
Chelidonichthys_cuculus 19
Chelidonichthys_cuculus 14
Chelidonichthys_cuculus 11
Chelidonichthys_cuculus 10.7
Chelidonichthys_cuculus 10.7
Chelidonichthys_cuculus 11
Chelidonichthys_kumu 11
Chelidonichthys_kumu 11
Chelidonichthys_kumu 12
Chelidonichthys_kumu 12
Chelidonichthys_kumu 12
Chelidonichthys_kumu 12
Chelidonichthys_kumu 10
Chelidonichthys_kumu 11
Chelidonichthys_lastoviza 14
Chelidonichthys_lastoviza 13
Chelidonichthys_lastoviza 16
Chelidonichthys_lastoviza 13
Chelidonichthys_lucerna 11
Chelidonichthys_lucerna 11
Chelidonichthys_lucerna 14
Chelidonichthys_lucerna 14
Chelidonichthys_queketti 12
Chelidonichthys_queketti 12
Chelon_labrosus 14
Chelon_labrosus 14
Chelon_labrosus 14
Chelon_labrosus 14.3
Chelon_labrosus 22
Chelon_labrosus 17
Chelon_labrosus 19
Chelon_labrosus 14
Chelon_labrosus 14
Chelon_macrolepis 27.5
Chelon_parsia 27.6
Chelon_planiceps 27.5
Chelon_subviridis 28.2
Chelon_subviridis 27.5
Chilara_taylori 4
Chirocentrus_nudus 12.5
Chirostoma_attenuatum 16.4
Chirostoma_estor 16.4
Chirostoma_estor 16.4
Chirostoma_grandocule 16.4
Chirostoma_patzcuaro 16.4
Chloroscombrus_chrysurus 27
Chloroscombrus_chrysurus 26.6
Chloroscombrus_chrysurus 24
Chlorurus_microrhinos 25.8
Chlorurus_sordidus 26
Chlorurus_sordidus 26
Chlorurus_sordidus 26
Chlorurus_sordidus 26
Chlorurus_sordidus 26
Chlorurus_sordidus 25.8
Chlorurus_sordidus 26
Chlorurus_sordidus 27
Chologaster_cornuta 13
Chriodorus_atherinoides 28.6
Chromis_chrysura 27
Chromis_ternatensis 27.5
Chromis_viridis 27
Chrysichthys_auratus 29.8
Chrysichthys_nigrodigitatus 29.8
Chrysichthys_nigrodigitatus 28
Chrysichthys_walkeri 28
Chrysiptera_biocellata 27
Chrysiptera_glauca 27
Chrysoblephus_cristiceps 21
Chrysoblephus_cristiceps 17
Chrysoblephus_cristiceps 21
Chrysoblephus_cristiceps 17
Chrysoblephus_laticeps 21
Chrysoblephus_laticeps 17
Chrysoblephus_laticeps 17
Citharichthys_sordidus 14
Citharinus_citharus 26
Citharinus_citharus 28
Citharinus_citharus 28
Citharinus_citharus 25
Citharus_linguatula 14
Citharus_linguatula 14
Clarias_agboyiensis 27.5
Clarias_gariepinus 22.5
Clarias_gariepinus 23.5
Clarias_gariepinus 26.5
Clarias_gariepinus 22
Clarias_gariepinus 21.5
Clarias_gariepinus 22
Clarias_gariepinus 17.5
Clarias_gariepinus 21.5
Clarias_gariepinus 22.5
Clarias_gariepinus 17.5
Clarias_gariepinus 24
Clarias_gariepinus 24
Clarias_gariepinus 26.5
Clarias_gariepinus 21.5
Clarias_gariepinus 21
Clarias_gariepinus 21.5
Clarias_gariepinus 26.5
Clarias_gariepinus 24.4
Clarias_gariepinus 18.1
Clarias_gariepinus 21.5
Clarias_gariepinus 19
Clarias_gariepinus 16
Clarias_gariepinus 23.8
Clarias_gariepinus 23
Cleisthenes_herzensteini 16
Cleisthenes_herzensteini 16
Clidoderma_asperrimum 2
Clinocottus_analis 18
Clinocottus_analis 18
Clupea_harengus 3.1
Clupea_harengus 9
Clupea_harengus 8
Clupea_harengus 9
Clupea_harengus 3.1
Clupea_harengus 4
Clupea_harengus 6
Clupea_harengus 3.1
Clupea_harengus 3.1
Clupea_harengus 9
Clupea_harengus 6
Clupea_harengus 6
Clupea_harengus 3.1
Clupea_harengus 3.1
Clupea_harengus 8
Clupea_harengus 8
Clupea_harengus 8
Clupea_harengus 8
Clupea_harengus 9
Clupea_harengus 4
Clupea_harengus 6
Clupea_harengus 9
Clupea_harengus 8
Clupea_harengus 9
Clupea_harengus 9
Clupea_harengus 4
Clupea_harengus 9
Clupea_harengus 8
Clupea_harengus 13
Clupea_harengus 9
Clupea_harengus 10.6
Clupea_harengus 9
Clupea_harengus 11
Clupea_harengus 9
Clupea_harengus 9
Clupea_harengus 12
Clupea_harengus 10.3
Clupea_harengus 8.2
Clupea_harengus 9
