"Species" "Mass" "Temperature" "MetabolRate" "Class"
"Euphractus_sexcinctus" "8190" "34.2" "1236.69" "Mammalia"
"Priodontes_maximus" "45190" "33.6" "3027.73" "Mammalia"
"Tolypeutes_matacus" "1160" "33" "209.96" "Mammalia"
"Zaedyus_pichi" "1740" "35.2" "393.24" "Mammalia"
"Choloepus_hoffmanni" "3770" "34.4" "603.2" "Mammalia"
"Cyclopes_didactylus" "240" "33" "114.48" "Mammalia"
"Myrmecophaga_tridactyla" "30600" "32.52" "2607.12" "Mammalia"
"Tamandua_mexicana" "3977" "31.95" "991.5156" "Mammalia"
"Tamandua_tetradactyla" "3500" "33.5" "898.8" "Mammalia"
"Antechinomys_laniger" "25.8" "35.75" "25.284" "Mammalia"
"Antechinus_flavipes" "46.5" "35" "45.105" "Mammalia"
"Antechinus_stuartii" "28.2" "35.06666667" "33.78589" "Mammalia"
"Antechinus_swainsoni" "66.9" "36.025" "63" "Mammalia"
"Dasycercus_cristicaudata" "101" "36.85" "51.005" "Mammalia"
"Dasyuroides_byrnei" "91.7" "35.18333333" "71.70747" "Mammalia"
"Dasyurus_geoffroyi" "1354" "36.2" "568.68" "Mammalia"
"Dasyurus_hallucatus" "558" "35.9" "243.009" "Mammalia"
"Dasyurus_maculatus" "1782" "36.9" "588.06" "Mammalia"
"Dasyurus_viverrinus" "982" "35.9" "396.237" "Mammalia"
"Ningaui_yvonnae" "11.6" "34.4" "15.66" "Mammalia"
"Phascogale_tapoatafa" "157" "37.4" "127.17" "Mammalia"
"Planigale_gilesi" "9.1" "35.1" "6.981333" "Mammalia"
"Planigale_maculata" "10.8" "34.5" "12" "Mammalia"
"Planigale_tenuirostris" "7.1" "34.5" "11.289" "Mammalia"
"Pseudantechinus_macdonnellensis" "43.1" "34.2" "27.153" "Mammalia"
"Sarcophilus_harrisii" "5775" "35.75" "1325.363" "Mammalia"
"Sminthopsis_crassicaudata" "16.4" "35.16" "25.09556" "Mammalia"
"Sminthopsis_macroura" "19.35" "33.3" "22.54275" "Mammalia"
"Sminthopsis_murina" "19" "35" "21.47" "Mammalia"
"Myrmecobius_fasciatus" "400" "32.5" "142.4" "Mammalia"
"Caluromys_derbianus" "329" "35" "225.0225" "Mammalia"
"Chironectes_minimus" "935" "34.95" "456.5033" "Mammalia"
"Didelphis_marsupialis" "1165" "35" "570.605" "Mammalia"
"Didelphis_virginiana" "2488" "34.96666667" "831.9328" "Mammalia"
"Lutreolina_crassicaudata" "812" "35.8" "406" "Mammalia"
"Philander_opossum" "751" "35.8" "337.95" "Mammalia"
"Gracilinanus_microtarsus" "13" "35" "18.72" "Mammalia"
"Marmosa_robinsoni" "122" "34" "97.6" "Mammalia"
"Metachirus_nudicaudatus" "336" "35" "204.96" "Mammalia"
"Monodelphis_brevicaudata" "75.5" "33.65" "56.51175" "Mammalia"
"Monodelphis_domestica" "104" "32.6" "60.008" "Mammalia"
"Acrobates_pygmaeus" "14" "34.7" "15.12" "Mammalia"
"Burramys_parvus" "44.3" "36.1" "36.769" "Mammalia"
"Cercartetus_conncinnus" "18.6" "34.4" "22.32" "Mammalia"
"Cercartetus_lepidus" "12.6" "33.7" "18.774" "Mammalia"
"Cercartetus_nanus" "70" "35.6" "60.2" "Mammalia"
"Petaurus_breviceps" "127" "35.86666667" "89.93978" "Mammalia"
"Spilocuscus_maculatus" "4250" "34.7" "1143.25" "Mammalia"
"Trichosurus_vulpecula" "2005" "36" "731.6425" "Mammalia"
"Phascolarctos_cinereus" "4765" "35.8" "1034.005" "Mammalia"
"Bettongia_gaimardi" "1385" "35.6" "641.255" "Mammalia"
"Bettongia_penicillata" "1018" "37.2" "561.427" "Mammalia"
"Potorous_tridactylus" "976" "35.85" "416.4267" "Mammalia"
"Aepyprimnus_rufescens" "2820" "36.5" "1071.6" "Mammalia"
"Petauroides_volans" "1141" "35.4" "573.923" "Mammalia"
"Pseudocheirus_occidentalis" "861" "36.5" "408.975" "Mammalia"
"Pseudocheirus_peregrinus" "916" "37.4" "430.5198" "Mammalia"
"Tarsipes_rostratus" "10" "36.6" "29" "Mammalia"
"Lasiorhinus_latifrons" "29917" "35.3" "2991.7" "Mammalia"
"Notoryctes_caurinus" "34" "30.8" "21.42" "Mammalia"
"Echymipera_kalabu" "695" "35" "340.55" "Mammalia"
"Echymipera_rufescens" "616" "34.6" "301.84" "Mammalia"
"Echymipera_rufescens" "1276" "35.2" "541.024" "Mammalia"
"Isoodon_auratus" "428" "33.8" "149.8" "Mammalia"
"Isoodon_macrourus" "1551" "35.9" "573.87" "Mammalia"
"Isoodon_obesulus" "717" "33.9" "222.27" "Mammalia"
"Macrotis_lagotis" "1294" "35" "449.665" "Mammalia"
"Perameles_gunni" "837" "35.2" "420.174" "Mammalia"
"Perameles_nasuta" "645" "36.1" "316.05" "Mammalia"
"Ornithorhynchus_anatinus" "693" "34" "194.04" "Mammalia"
"Zaglossus_bruijni" "10300" "30.8" "1215.4" "Mammalia"
"Tachyglossus_aculeatus" "2725" "30.7" "430.55" "Mammalia"
"Tachyglossus_setosus" "3580" "30" "547.74" "Mammalia"
"Podargus_strigoides" "341" "37.8" "201.19" "Avian"
"Psaltriparus_minimus" "5.5" "40.2" "21.78" "Avian"
"Strix_occidentalis" "571" "39.8" "479.64" "Avian"
"Bubo_virginianus" "1000" "39.9" "590" "Avian"
"Pica_nuttalli" "151.9" "39.4" "263.0817" "Avian"
"Pica_pica" "158.9" "39.5" "214.017" "Avian"
"Chordeiles_minor" "72.5" "37" "79.75" "Avian"
"Otus_trichopsis" "99.8" "37" "65.868" "Avian"
"Sephanoides_sephanoides" "5.74" "36.5" "18.1958" "Avian"
"Zosterops_lateralis" "11.78" "36.9" "28.6254" "Avian"
"Colius_striatus" "51.2" "36" "42.5472" "Avian"
"Colius_colius" "35.1" "36.3" "31.7655" "Avian"
"Amadina_erythrocephala" "21.5" "39.6" "37.625" "Avian"
"Coereba_flaveola" "10" "40.6" "38.5" "Avian"
"Sialia_mexicana" "27.5" "40.4" "75.62189" "Avian"
"Bonusa_umbellus" "644" "41.5" "386.4" "Avian"
"Parus_atricapillus" "10.3" "38.25" "42.57333" "Avian"
"Ptilinopus_superbus" "120.4" "38.1" "138.9692" "Avian"
"Ptilinopus_melanospila" "94" "41.75800995" "90.9602" "Avian"
"Geopelia_cuneata" "39" "38.1" "47.61194" "Avian"
"Geopilia_placida" "52" "38.9" "63.58209" "Avian"
"Chalcophaps_indica" "124" "39.3" "142.0398" "Avian"
"Ocyphaps_lophotes" "187" "38.7" "194.3284" "Avian"
"Phaps_elegans" "190" "39" "221.7413" "Avian"
"Phaps_chalcoptera" "304" "39.4" "273.9303" "Avian"
"Leucosarcia_melanoleuca" "445" "38.7" "303.5323" "Avian"
"Columba_leucomela" "456" "38.5" "436.4677" "Avian"
"Phylidonyris_melanops" "18.8" "40.2" "52.452" "Avian"
"Melithreptus_lunatus" "14.3" "40.2" "44.616" "Avian"
"Falco_sparverius" "116" "40.2" "118.5485" "Avian"
"Buteo_lineatus" "658" "40.3" "377.9473" "Avian"
"Pandion_haliaetus" "1495" "39" "988.8421" "Avian"
"Psittirostra_bailleui" "36" "39.4" "82.98269" "Avian"
"Himatione_sanguinea" "14.5" "40.95" "57.13" "Avian"
"Miafra_erythrocephalus" "27.3" "40.8" "74.62687" "Avian"
"Geophaps_plumifera" "89" "40.5" "75.65" "Avian"
"Coturnix_pectoralis" "95.8" "41.6" "114.96" "Avian"
"Lonchura_fuscans" "9.5" "38.9" "17.765" "Avian"
"Phalacrocorax_auritus" "1330" "40.2" "984.2" "Avian"
"Anhinga_anhinga" "1040" "39.1" "572" "Avian"
"Icterus_galbula" "37.5" "40" "90" "Avian"
"Manacus_vitellinus" "15.5" "37.9" "41.69" "Avian"
"Pipra_mentalis" "12.3" "37.9" "34.91" "Avian"
"Amphispiza_bilineata" "11.6" "40.772" "35.94269" "Avian"
"Carpodacus_mexicanus" "20.4" "41.035" "55.53672" "Avian"
"Carpodacus_cassinii" "27.4" "40.414" "60.85254" "Avian"
"Agelaius_phoeniceus" "43.1" "40.964" "86.45731" "Avian"
"Coturnix_coturnix" "97.5" "39.555" "185.1045" "Avian"
"Lophortyx_gambelii" "126.1" "41.235" "135.5104" "Avian"
"Pterocles_orientalis" "386.4" "40.205" "348.7981" "Avian"
"Cardinalis_sinuata" "32" "40.9" "64" "Avian"
"Cardinalis_cardinalis" "41.3" "40.5" "81.361" "Avian"
"Spinus_tristis" "12.8" "39.3" "54.272" "Avian"
"Spinus_pinus" "13.8" "38.8" "62.376" "Avian"
"Larus_argentatus" "1000" "42" "860.4179" "Avian"
"Meliphaga_virescens" "25" "39" "63.40299" "Avian"
"Lichmera_indistincta" "9" "39" "37.25373" "Avian"
"Geococcyx_californianus" "284.7" "39.8" "261.924" "Avian"
"Spizella_passerina" "11.9" "40.8" "34.51" "Avian"
"Ammodramus_savannarum" "13.8" "38.6" "31.878" "Avian"
"Melospiza_georgiana" "14.9" "39.7" "38.144" "Avian"
"Melospiza_melodia" "19.1" "40.9" "45.458" "Avian"
"Passerculus_sandwichensis" "15.9" "39.8" "40.227" "Avian"
"Pooectes_gramineus" "21.5" "39.5" "49.02" "Avian"
"Zonotrichia_albicollis" "20.2" "40.5" "50.5" "Avian"
"Zonotrichia_leucophrys" "26.1" "40.9" "61.074" "Avian"
"Zonotrichia_querula" "33.3" "41.3" "80.586" "Avian"
"Parula_americana" "7" "38" "22.05" "Avian"
"Dendroica_dominica" "9.8" "39.7" "28.812" "Avian"
"Dendroica_palmarum" "9.8" "40.9" "27.93" "Avian"
"Dendroica_coronata" "11.5" "40.5" "33.81" "Avian"
"Geothlypis_trichas" "10.6" "41" "30.846" "Avian"
"Wilsonia_citrina" "12" "41.2" "38.52" "Avian"
"Protonotaria_citrea" "12.8" "40.3" "35.456" "Avian"
"Seiurus_noveboracensis" "18.7" "41.7" "49.929" "Avian"
"Seiurus_aurocapillus" "19" "41.5" "43.13" "Avian"
"Empidonax_virescens" "12.3" "40.5" "31.734" "Avian"
"Contopus_virens" "13.9" "41.5" "46.148" "Avian"
"Sayornis_phoebe" "21.6" "41.2" "61.56" "Avian"
"Myiarchus_crinitus" "33.9" "41.2" "68.817" "Avian"
"Scardafella_inca" "42" "40.2" "46.62" "Avian"
"Spheniscus_humboldti" "3870" "39" "1699.967" "Avian"
"Todus_mexicanus" "6.05" "36.9" "20.17675" "Avian"
"Aligator_mississippiensis" "1287" "10" "7.2072" "Reptilia"
"Aligator_mississippiensis" "1287" "15" "13.44915" "Reptilia"
"Aligator_mississippiensis" "1287" "20" "27.09135" "Reptilia"
"Aligator_mississippiensis" "1287" "25" "47.16855" "Reptilia"
"Aligator_mississippiensis" "1287" "30" "58.36545" "Reptilia"
"Aligator_mississippiensis" "1287" "35" "103.7322" "Reptilia"
"Sphenodon_punctatum" "430" "21" "9.46" "Reptilia"
"Sphenodon_punctatum" "430" "25" "13.33" "Reptilia"
"Acabthodactylus_boskianus" "15.48" "10" "0.8514" "Reptilia"
"Acabthodactylus_boskianus" "15.48" "15" "0.66564" "Reptilia"
"Acabthodactylus_boskianus" "15.48" "20" "1.95048" "Reptilia"
"Acabthodactylus_boskianus" "11.64" "25" "2.25234" "Reptilia"
"Acabthodactylus_boskianus" "11.64" "30" "2.619" "Reptilia"
"Acabthodactylus_boskianus" "11.64" "35" "3.28248" "Reptilia"
"Acabthodactylus_boskianus" "7.8" "40" "2.34" "Reptilia"
"Acanthodactylus_erythrurus" "9" "20" "1.17" "Reptilia"
"Acanthodactylus_erythrurus" "9" "25" "1.62" "Reptilia"
"Acanthodactylus_erythrurus" "9" "30" "2.25" "Reptilia"
"Acanthodactylus_erythrurus" "9" "35" "3.15" "Reptilia"
"Acanthodactylus_opheodurus" "3.8" "20" "0.38" "Reptilia"
"Acanthodactylus_opheodurus" "3.8" "30" "0.7904" "Reptilia"
"Acanthodactylus_opheodurus" "3.8" "35" "1.3794" "Reptilia"
"Acanthodactylus_pardalis" "9.7" "25" "3.4823" "Reptilia"
"Acanthodactylus_pardalis" "9.7" "30" "3.88" "Reptilia"
"Acanthodactylus_pardalis" "9.7" "35" "4.559" "Reptilia"
"Acanthodactylus_pardalis" "9.7" "40" "6.79" "Reptilia"
"Acanthodactylus_schmidti" "14.5" "20" "1.015" "Reptilia"
"Acanthodactylus_schmidti" "14.5" "30" "2.1895" "Reptilia"
"Acanthodactylus_schmidti" "14.5" "35" "3.219" "Reptilia"
"Acanthodactylus_schreiberi" "10.9" "25" "1.6241" "Reptilia"
"Acanthodactylus_schreiberi" "10.9" "30" "2.18" "Reptilia"
"Acanthodactylus_schreiberi" "10.9" "35" "2.7141" "Reptilia"
"Acanthodactylus_schreiberi" "10.9" "40" "3.0411" "Reptilia"
"Acanthodactylus_scutellatus" "6.6" "25" "1.056" "Reptilia"
"Acanthodactylus_scutellatus" "6.6" "30" "1.2474" "Reptilia"
"Acanthodactylus_scutellatus" "6.6" "35" "2.376" "Reptilia"
"Acanthodactylus_scutellatus" "6.6" "40" "3.036" "Reptilia"
"Acanthophis_praelongus" "105.5" "24" "3.798" "Reptilia"
"Acanthophis_praelongus" "105.5" "27" "5.3805" "Reptilia"
"Acanthophis_praelongus" "105.5" "30" "4.9585" "Reptilia"
"Acanthophis_praelongus" "105.5" "33" "7.385" "Reptilia"
"Acontias_meleagris" "7.3" "23" "0.4088" "Reptilia"
"Acontias_meleagris" "7.3" "33" "0.6789" "Reptilia"
"Acrantophis_dumerili" "2548.5" "20" "19.38909" "Reptilia"
"Acrantophis_dumerili" "2548.5" "30" "48.2249" "Reptilia"
"Acrantophis_dumerili" "2548.5" "34" "75.32343" "Reptilia"
"Acrochordus_aradurae" "1047.7" "27" "28.2879" "Reptilia"
"Acrochordus_aradurae" "1047.7" "30" "24.62095" "Reptilia"
"Amblyrhynchus_cristatus" "747.5" "25" "27.28375" "Reptilia"
"Amblyrhynchus_cristatus" "489" "30" "28.362" "Reptilia"
"Amblyrhynchus_cristatus" "489" "35" "48.9" "Reptilia"
"Amblyrhynchus_cristatus" "489" "40" "88.02" "Reptilia"
"Amphibolurus_barbatus" "373" "20" "16.3747" "Reptilia"
"Amphibolurus_barbatus" "373" "30" "36.5167" "Reptilia"
"Amphibolurus_barbatus" "373" "37" "52.22" "Reptilia"
"Amphibolurus_nuchalis" "34.3" "37" "6.86" "Reptilia"
"Amphibolurus_nuchalis" "24.65" "40" "5.94065" "Reptilia"
"Anarbylus_switaki" "9.48" "25" "0.699624" "Reptilia"
"Anguis_fragilis" "13.3" "20" "1.463" "Reptilia"
"Anguis_fragilis" "12.067" "30" "0.710746" "Reptilia"
"Anguis_fragilis" "13.3" "35" "2.9659" "Reptilia"
"Anniella_pulchra" "4.9" "6" "0.1372" "Reptilia"
"Anniella_pulchra" "5.2" "13" "0.1508" "Reptilia"
"Anniella_pulchra" "4.5" "20" "0.340875" "Reptilia"
"Anniella_pulchra" "4.8466" "25" "0.316483" "Reptilia"
"Anniella_pulchra" "4.9" "30" "0.5684" "Reptilia"
"Anolis_acutus" "4.3" "25" "0.81958" "Reptilia"
"Anolis_acutus" "4.3" "30" "1.247" "Reptilia"
"Anolis_bonariensis" "12" "27" "0.78" "Reptilia"
"Anolis_bonariensis" "12" "33" "1.692" "Reptilia"
"Anolis_carolinensis" "4.5" "20" "0.495" "Reptilia"
"Anolis_carolinensis" "4.5" "30" "0.846" "Reptilia"
"Anolis_limifrons" "1.5" "20" "0.12" "Reptilia"
"Anolis_limifrons" "1.4" "30" "0.3388" "Reptilia"
"Antaresia_childreni" "331.7" "24" "11.6095" "Reptilia"
"Antaresia_childreni" "372.6" "27" "17.8848" "Reptilia"
"Antaresia_childreni" "331.7" "30" "24.2141" "Reptilia"
"Antaresia_childreni" "372.5" "33" "33.8975" "Reptilia"
"Antaresia_stimsoni" "360.7" "24" "21.2813" "Reptilia"
"Antaresia_stimsoni" "360.7" "27" "18.3957" "Reptilia"
"Antaresia_stimsoni" "349.9" "30" "19.9443" "Reptilia"
"Antaresia_stimsoni" "371.8" "33" "29.3722" "Reptilia"
"Aspidites_melanocephalus" "1027.5" "24" "37.70925" "Reptilia"
"Aspidites_melanocephalus" "1027.5" "27" "55.485" "Reptilia"
"Aspidites_melanocephalus" "1027.5" "30" "75.0075" "Reptilia"
"Aspidites_melanocephalus" "1027.5" "33" "103.7775" "Reptilia"
"Blanus_cinereus" "2.4" "20" "0.288" "Reptilia"
"Blanus_cinereus" "2.4" "30" "0.4224" "Reptilia"
"Blanus_cinereus" "2.4" "35" "0.7944" "Reptilia"
"Boa_constrictor" "5406.25" "20" "57.03594" "Reptilia"
"Boa_constrictor" "7815.5" "30" "126.028" "Reptilia"
"Boa_constrictor" "7815.5" "34" "196.5676" "Reptilia"
"Bunopus_tuberculatus" "2.5" "20" "1.175" "Reptilia"
"Bunopus_tuberculatus" "2.5" "30" "1.87" "Reptilia"
"Bunopus_tuberculatus" "2.5" "35" "2.5575" "Reptilia"
"Candoia_carinatus" "521.9" "20" "3.831319" "Reptilia"
"Candoia_carinatus" "521.9" "30" "10.41087" "Reptilia"
"Candoia_carinatus" "521.9" "34" "16.33647" "Reptilia"
"Chalcides_ocellatus" "22.06" "5" "0.4412" "Reptilia"
"Chalcides_ocellatus" "22.06" "10" "0.579075" "Reptilia"
"Chalcides_ocellatus" "22.06" "15" "0.751143" "Reptilia"
"Chalcides_ocellatus" "22.06" "20" "1.020275" "Reptilia"
"Chalcides_ocellatus" "22.06" "25" "1.517728" "Reptilia"
"Chalcides_ocellatus" "22.06" "30" "2.048492" "Reptilia"
"Chalcides_ocellatus" "22.06" "33" "2.07364" "Reptilia"
"Chalcides_ocellatus" "22.06" "35" "3.125902" "Reptilia"
"Chironius_quadricarinatus" "61" "20" "2.074" "Reptilia"
"Cnemidophorus_murinus" "85" "27" "4.93" "Reptilia"
"Cnemidophorus_murinus" "85" "40" "15.555" "Reptilia"
"Cnemidophorus_tigris" "18" "20" "1.1196" "Reptilia"
"Cnemidophorus_tigris" "18" "30" "2.52" "Reptilia"
"Cnemidophorus_tigris" "18" "37" "4.86" "Reptilia"
"Coleonyx_variegatus" "3.43" "25" "0.502495" "Reptilia"
"Coluber_constrictor" "262" "35" "16.768" "Reptilia"
"Corallus_caninus" "556" "20" "4.914671" "Reptilia"
"Corallus_caninus" "556" "30" "14.75437" "Reptilia"
"Corallus_caninus" "556" "34" "19.2631" "Reptilia"
"Corallus_enhydris" "802" "20" "7.849386" "Reptilia"
"Corallus_enhydris" "802" "30" "18.79829" "Reptilia"
"Corallus_enhydris" "802" "34" "27.00474" "Reptilia"
"Crotalus_viridis" "301" "35" "24.08" "Reptilia"
"Cosymbotus_platyurus" "3.5" "27" "0.35" "Reptilia"
"Crotalus_viridis" "301" "35" "19.264" "Reptilia"
"Crotaphytus_collaris" "30" "20" "2.4" "Reptilia"
"Crotaphytus_collaris" "30" "30" "5.4" "Reptilia"
"Crotaphytus_collaris" "30" "37" "8.4" "Reptilia"
"Ctenotus_labillardieri" "2.8" "20" "0.19992" "Reptilia"
"Cyclagras_gigas" "2680" "20" "85.76" "Reptilia"
"Diadophis_punctatus" "5" "20" "0.28" "Reptilia"
"Diadophis_punctatus" "4.4" "30" "0.5808" "Reptilia"
"Diplometopon_zarudnyi" "6.34" "10" "0.2536" "Reptilia"
"Diplometopon_zarudnyi" "6.34" "15" "0.317" "Reptilia"
"Diplometopon_zarudnyi" "6.34" "20" "0.5706" "Reptilia"
"Diplometopon_zarudnyi" "6.34" "25" "0.70374" "Reptilia"
"Diplometopon_zarudnyi" "6.34" "30" "0.70374" "Reptilia"
"Diplometopon_zarudnyi" "6.34" "35" "0.97002" "Reptilia"
"Dipsas_albifrons" "22" "20" "0.792" "Reptilia"
"Dipsosaurus_dorsalis" "40.36" "20" "1.6144" "Reptilia"
"Dipsosaurus_dorsalis" "40.36" "25" "1.87674" "Reptilia"
"Dipsosaurus_dorsalis" "40.36" "30" "2.8252" "Reptilia"
"Dipsosaurus_dorsalis" "40.36" "35" "6.054" "Reptilia"
"Dipsosaurus_dorsalis" "40.36" "37" "4.96428" "Reptilia"
"Dipsosaurus_dorsalis" "40.36" "40" "7.2648" "Reptilia"
"Dipsosaurus_dorsalis" "40.36" "45" "10.09" "Reptilia"
"Egernia_cunninghami" "261" "20" "8.874" "Reptilia"
"Egernia_cunninghami" "261" "30" "22.707" "Reptilia"
"Elaphe_guttata" "800" "25" "90.4" "Reptilia"
"Epicrates_cenchria" "416" "20" "5.0342" "Reptilia"
"Epicrates_cenchria" "416" "30" "12.15859" "Reptilia"
"Epicrates_cenchria" "416" "34" "19.38448" "Reptilia"
"Eryx_colubrinus" "85.85" "20" "1.272384" "Reptilia"
"Eryx_colubrinus" "85.85" "30" "3.345878" "Reptilia"
"Eryx_colubrinus" "85.85" "34" "4.811108" "Reptilia"
"Eumeces_fasciatus" "7" "30" "1.68" "Reptilia"
"Eumeces_inexpectatus" "9.6" "30" "1.4688" "Reptilia"
"Eumeces_obsoletus" "30" "20" "1.5" "Reptilia"
"Eumeces_obsoletus" "30" "30" "5.1" "Reptilia"
"Eumeces_obsoletus" "30" "37" "10.2" "Reptilia"
"Eunectes_murinus" "1130" "20" "23.73" "Reptilia"
"Eunectes_notaeus" "14400" "20" "216" "Reptilia"
"Garthia_gaudichaudi" "0.805" "25" "0.076958" "Reptilia"
"Garthia_gaudichaudi" "0.805" "35" "0.192395" "Reptilia"
"Gekko_gecko" "61.5" "30" "5.9286" "Reptilia"
"Gerrhonotus_multicarinatus" "29" "20" "1.6472" "Reptilia"
"Gerrhonotus_multicarinatus" "29" "30" "4.93" "Reptilia"
"Gonotodes_antillensis" "1.8" "27" "0.198" "Reptilia"
"Gonotodes_antillensis" "1.8" "34" "0.2988" "Reptilia"
"Helicops_modestus" "196" "20" "6.86" "Reptilia"
"Helicops_modestus" "196" "25" "7.84" "Reptilia"
"Helicops_modestus" "196" "30" "10.78" "Reptilia"
"Hemidactylus_frenatus" "4.4" "20" "0.2596" "Reptilia"
"Hemidactylus_frenatus" "4.4" "26" "0.6864" "Reptilia"
"Hemidactylus_frenatus" "2" "27" "0.21" "Reptilia"
"Hemidactylus_frenatus" "4.4" "30" "0.9196" "Reptilia"
"Iguana_iguana" "795" "20" "31.8" "Reptilia"
"Iguana_iguana" "795" "30" "64.395" "Reptilia"
"Iguana_iguana" "795" "37" "119.25" "Reptilia"
"Klauberina_riversiana" "19" "20" "0.665" "Reptilia"
"Klauberina_riversiana" "19" "25" "1.102" "Reptilia"
"Klauberina_riversiana" "19" "30" "1.995" "Reptilia"
"Klauberina_riversiana" "19" "35" "0.38" "Reptilia"
"L._sicula" "7" "30" "0.98" "Reptilia"
"Lacerta_agilis" "8.4" "20" "1.5204" "Reptilia"
"Lacerta_agilis" "8.4" "30" "3.024" "Reptilia"
"Lacerta_agilis" "8.4" "35" "4.0908" "Reptilia"
"Lacerta_viridis" "20" "30" "2.2" "Reptilia"
"Lacerta_viridis" "31" "20" "0.837" "Reptilia"
"Lacerta_vivipara" "3.95" "30" "0.93615" "Reptilia"
"Lacerta_vivipara" "3.19" "5" "0.10208" "Reptilia"
"Lacerta_vivipara" "3.19" "10" "0.20416" "Reptilia"
"Lacerta_vivipara" "3.19" "15" "0.28391" "Reptilia"
"Lacerta_vivipara" "3.19" "20" "0.55825" "Reptilia"
"Lacerta_vivipara" "3.19" "25" "0.8294" "Reptilia"
"Lacerta_vivipara" "3.19" "30" "1.06865" "Reptilia"
"Lacerta_vivipara" "3.19" "35" "1.595" "Reptilia"
"Lacerta_vivipara" "3.19" "5" "0.163647" "Reptilia"
"Lacerta_vivipara" "3.19" "10" "0.271469" "Reptilia"
"Lacerta_vivipara" "3.19" "15" "0.393327" "Reptilia"
"Lacerta_vivipara" "3.19" "20" "0.43065" "Reptilia"
"Lacerta_vivipara" "3.19" "25" "0.78155" "Reptilia"
"Lacerta_vivipara" "3.9" "35" "2.184" "Reptilia"
"Lampropeltis_getulus" "1217" "26" "34.076" "Reptilia"
"Lampropeltis_miliaris" "401" "20" "13.634" "Reptilia"
"Lampropeltis_miliaris" "401" "25" "19.248" "Reptilia"
"Lampropeltis_miliaris" "401" "30" "31.278" "Reptilia"
"Leimadophis_poecilogyrus" "42" "20" "1.68" "Reptilia"
"Lepidophyma_gaigeae" "5" "15" "0.135" "Reptilia"
"Lepidophyma_gaigeae" "5" "20" "0.3075" "Reptilia"
"Lepidophyma_gaigeae" "5" "25" "0.39" "Reptilia"
"Lepidophyma_gaigeae" "5" "30" "0.65" "Reptilia"
"Lepidophyma_smithi" "25" "20" "0.7725" "Reptilia"
"Lepidophyma_smithi" "25" "25" "1.25" "Reptilia"
"Lepidophyma_smithi" "25" "30" "1.75" "Reptilia"
"Liasis_fuscus" "1306.9" "24" "18.2966" "Reptilia"
"Liasis_fuscus" "1306.9" "27" "23.26282" "Reptilia"
"Liasis_fuscus" "1306.9" "30" "28.7518" "Reptilia"
"Liasis_fuscus" "1306.9" "33" "52.276" "Reptilia"
"Liasis_olivaceus" "3000.7" "24" "45.0105" "Reptilia"
"Liasis_olivaceus" "3000.7" "27" "75.0175" "Reptilia"
"Liasis_olivaceus" "3323.2" "30" "109.6656" "Reptilia"
"Liasis_olivaceus" "3000.7" "33" "102.0238" "Reptilia"
"Lichanura_roseofusca" "314" "32" "21.98" "Reptilia"
"Lichanura_roseofusca" "314" "32" "204.1" "Reptilia"
"Lichanura_trivirgata" "182" "20" "2.379161" "Reptilia"
"Lichanura_trivirgata" "182" "30" "6.059368" "Reptilia"
"Lichanura_trivirgata" "182" "34" "10.08765" "Reptilia"
"Morelia_spilota" "1516.5" "24" "42.462" "Reptilia"
"Morelia_spilota" "1516.5" "27" "60.66" "Reptilia"
"Morelia_spilota" "1516.5" "30" "80.3745" "Reptilia"
"Morelia_spilota" "1516.5" "33" "78.858" "Reptilia"
"Morelia_spilota" "1938.4" "24" "50.3984" "Reptilia"
"Morelia_spilota" "2170" "27" "62.93" "Reptilia"
"Morelia_spilota" "2173.5" "30" "56.511" "Reptilia"
"Morelia_spilota" "2828.7" "33" "124.4628" "Reptilia"
"Morelia_spilota" "1065.5" "20" "12.42428" "Reptilia"
"Morelia_spilota" "1065.5" "30" "38.37135" "Reptilia"
"Morelia_spilota" "1065.5" "34" "52.15962" "Reptilia"
"Masticodryas_bifossatus" "735" "20" "31.605" "Reptilia"
"Masticophis_flagellum" "262" "35" "222.7" "Reptilia"
"Natrix_maura" "22.5" "5" "0.144632" "Reptilia"
"Natrix_maura" "22.5" "10" "6.384478" "Reptilia"
"Natrix_maura" "22.5" "15" "0.402904" "Reptilia"
"Natrix_maura" "22.5" "20" "0.661176" "Reptilia"
"Natrix_maura" "22.5" "25" "1.033087" "Reptilia"
"Natrix_maura" "22.5" "30" "1.446322" "Reptilia"
"Natrix_maura" "22.5" "35" "2.789335" "Reptilia"
"Natrix_natrix" "84" "20" "7.56" "Reptilia"
"Natrix_natrix" "82.5" "5" "0.32849" "Reptilia"
"Natrix_natrix" "82.5" "10" "1.231836" "Reptilia"
"Natrix_natrix" "82.5" "15" "1.806693" "Reptilia"
"Natrix_natrix" "82.5" "20" "3.558638" "Reptilia"
"Natrix_natrix" "82.5" "25" "5.748569" "Reptilia"
"Natrix_natrix" "82.5" "30" "11.2234" "Reptilia"
"Natrix_natrix" "82.5" "35" "16.15074" "Reptilia"
"Natrix_natrix" "37.5" "5" "0.257616" "Reptilia"
"Natrix_natrix" "37.5" "10" "0.348539" "Reptilia"
"Natrix_natrix" "37.5" "15" "0.651616" "Reptilia"
"Natrix_natrix" "37.5" "20" "1.182002" "Reptilia"
"Natrix_natrix" "37.5" "25" "1.818464" "Reptilia"
