"Species" "Mass" "Temperature" "MetabolRate" "Class"
"Pteropus_vampyrus" "1024.3" "36.9" "804.1" "Mammalia"
"Rousettus_aegyptiacus" "146" "34.8" "122.6" "Mammalia"
"Rousettus_amplexicaudatus" "91.5" "36.5" "104.3" "Mammalia"
"Syconycteris_australis" "15.9" "35.9" "21.85" "Mammalia"
"Chalinolobus_gouldii" "17.5" "31.1" "25.2" "Mammalia"
"Eptesicus_fuscus" "10.4" "36" "20.8" "Mammalia"
"Histiotus_velatus" "11.2" "30.5" "15.68" "Mammalia"
"Miniopterus_gigas" "107.2" "35.6" "94.336" "Mammalia"
"Miniopterus_schreibersi" "10.91" "37.7" "25.9658" "Mammalia"
"Myotis_lucifuga" "5.2" "37" "8.918" "Mammalia"
"Nyctophilus_geoffroyi" "8" "31.6" "11.2" "Mammalia"
"Heterohyrax_brucei" "2000" "36.7" "720" "Mammalia"
"Procavia_capensis" "2400" "37" "660" "Mammalia"
"Procavia_habessinica" "2250" "38" "900" "Mammalia"
"Procavia_johnstoni" "2750" "39" "1178.654" "Mammalia"
"Chrysochloris_asiatica" "44" "33.95" "51.48" "Mammalia"
"Eremitalpa_granti" "20" "33.58" "10" "Mammalia"
"Atelerix_albiventris" "450" "35.2" "148.5" "Mammalia"
"Echinosorex_gymnura" "721.2" "36.3" "504.84" "Mammalia"
"Erinaceus_concolor" "822.7" "35.2" "347.1794" "Mammalia"
"Erinaceus_europaeus" "750" "34" "337.5" "Mammalia"
"Hemiechinus_auritus" "400" "33.75" "152" "Mammalia"
"Hylomys_suillus" "57.8" "37.3" "60.112" "Mammalia"
"Paraechinus_aethiopicus" "450" "34.19" "112.5" "Mammalia"
"Condylura_cristata" "49" "37.7" "110.25" "Mammalia"
"Neurotrichus_gibbsii" "11.8" "38.4" "46.492" "Mammalia"
"Scalopus_aquaticus" "48" "36" "67.68" "Mammalia"
"Geogale_aurita" "6.9" "30.8" "7.728" "Mammalia"
"Microgale_cowani" "12.2" "33" "31.964" "Mammalia"
"Microgale_dobsoni" "44.6" "30.9" "56.4" "Mammalia"
"Microgale_talazaci" "44" "30.8" "43.56" "Mammalia"
"Setifer_setosus" "530" "32.2" "121.9" "Mammalia"
"Tenrec_ecaudatus" "650" "33" "130.65" "Mammalia"
"Elephantulus_brachyrhynchus" "45.3" "37.5" "43.70997" "Mammalia"
"Elephantulus_edwardii" "50" "37.6" "54.5" "Mammalia"
"Elephantulus_intufi" "46.49" "37.2" "51.99907" "Mammalia"
"Elephantulus_myurus" "62.97" "36.86" "66.30741" "Mammalia"
"Elephantulus_rozeti" "45.31" "37.06" "47.80205" "Mammalia"
"Elephantulus_rufescens" "53" "37.3" "56.869" "Mammalia"
"Macroscelides_proboscideus" "39" "36.23" "52.26" "Mammalia"
"Petrodromus_tetradactylus" "206.11" "37.5" "179.5218" "Mammalia"
"Manis_crassicaudata" "15910" "33.4" "1240.98" "Mammalia"
"Manis_javanica" "4220" "32.3" "1105.64" "Mammalia"
"Manis_tetradactyla" "1430" "33" "229.086" "Mammalia"
"Manis_pentadactyla" "3637.5" "33.41" "667.845" "Mammalia"
"Manis_tricuspis" "1365" "32.58333333" "276.003" "Mammalia"
"Aotus_trivirgatus" "820" "38" "442" "Mammalia"
"Saimiri_sciureus" "875" "38" "800.628" "Mammalia"
"Cercopithecus_mitis" "8500" "37.5" "3391.5" "Mammalia"
"Colobus_guereza" "10450" "37" "2978" "Mammalia"
"Erythrocebus_patas" "3000" "39.3" "1068" "Mammalia"
"Papio_anubis" "9500" "37.27" "2777.885" "Mammalia"
"Papio_ursinus" "16900" "37.03333333" "5147" "Mammalia"
"Cheirogaleus_medius" "300" "38" "195" "Mammalia"
"Eulemur_fulvus" "2330" "36.5" "746" "Mammalia"
"Galago_senegalensis" "171.5" "37.85" "137.2002" "Mammalia"
"Loris_tardigradus" "284" "35.5" "128" "Mammalia"
"Nycticebus_coucang" "1160" "35.35" "272.6" "Mammalia"
"Perodicticus_potto" "964" "36.05" "326.6" "Mammalia"
"Tarsius_syrichta" "113" "33.8" "76.7" "Mammalia"
"Agouti_paca" "9156" "37.2" "2746.8" "Mammalia"
"Aplodontia_rufa" "630" "38" "277.2" "Mammalia"
"Bathyergus_janetta" "406" "34.7" "215.18" "Mammalia"
"Bathyergus_suillus" "620" "35.3" "303.8" "Mammalia"
"Cryptomys_bocagei" "94" "33.7" "69.56" "Mammalia"
"Cryptomys_damarensis" "138" "35.2" "78.66" "Mammalia"
"Cryptomys_darlingi" "60" "33.3" "58.8" "Mammalia"
"Cryptomys_hottentotus" "75" "34.4" "67.5" "Mammalia"
"Cryptomys_hottentotus" "79.5" "34.95" "55.455" "Mammalia"
"Cryptomys_mechowi" "267" "34" "160.2" "Mammalia"
"Georychus_capensis" "195" "36.4" "115.666" "Mammalia"
"Heliophobius_argentocinereus" "88" "35.1" "74.8" "Mammalia"
"Heterocephalus_glaber" "32" "32.1" "20.48" "Mammalia"
"Capromys_pilorides" "2630" "35.7" "604.9" "Mammalia"
"Cavia_porcellus" "629" "39" "346" "Mammalia"
"Dolichotis_salinicola" "1613" "38.4" "725.9" "Mammalia"
"Galea_musteloides" "322" "37.3" "264" "Mammalia"
"Kerodon_ruprestris" "801" "38.2" "360.5" "Mammalia"
"Chinchilla_laniger" "426" "35.7" "200.2" "Mammalia"
"Lagostomus_maximus" "6784" "36.8" "1899.5" "Mammalia"
"Ctenomys_australis" "340" "37.3" "116.62" "Mammalia"
"Ctenomys_fulvus" "300" "36.2" "189" "Mammalia"
"Ctenomys_maulinus" "215" "36.2" "187.1" "Mammalia"
"Ctenomys_opimus" "214" "36" "109.7" "Mammalia"
"Ctenomys_peruanus" "490" "35.2" "220.5" "Mammalia"
"Ctenomys_talarum" "121" "36.1" "109.626" "Mammalia"
"Dasyprocta_azarae" "3849" "37.5" "1886" "Mammalia"
"Dasyprocta_leporina" "2687" "38.3" "1558.5" "Mammalia"
"Myoprocta_acouchy" "914" "35.4" "502.7" "Mammalia"
"Dipus_sagitta?" "160" "36.8" "121.1538" "Mammalia"
"Jaculus_jaculus" "75" "37.45" "92.25" "Mammalia"
"Jaculus_orientalis" "139" "37" "139.0002" "Mammalia"
"Napaeozapus_insignis" "22" "37" "39.6" "Mammalia"
"Zapus_hudsonicus" "23.8" "37.3" "35.7" "Mammalia"
"Proechimys_semispinosus" "498" "37.9" "313.7" "Mammalia"
"Thrichomys_apereoides" "323" "37.6" "206.7" "Mammalia"
"Coendou_prehensilis" "3280" "36.7" "918.4" "Mammalia"
"Geomys_bursaris" "197" "35" "137.9" "Mammalia"
"Geomys_pinetis" "173" "36.3" "133.1534" "Mammalia"
"Thomomys_bottae" "143" "36" "120.12" "Mammalia"
"Thomomys_talpoides" "106.8" "36.2" "142.044" "Mammalia"
"Thomomys_umbrinus" "85" "34.6" "72.25" "Mammalia"
"Chaetodipus_baileyi" "29.1" "32.5" "34.5417" "Mammalia"
"Chaetodipus_californicus" "22" "38" "21.34" "Mammalia"
"Chaetodipus_fallax" "19.6" "32.6" "26.852" "Mammalia"
"Chaetodipus_hispidus" "39.5" "36.8" "49.375" "Mammalia"
"Chaetodipus_intermedius" "15.0" "36" "17.86525" "Mammalia"
"Dipodomys_agilis" "60.6" "37" "63.63" "Mammalia"
"Dipodomys_deserti" "106" "36.8" "92.22" "Mammalia"
"Dipodomys_merriami" "36.5" "37" "42.4595" "Mammalia"
"Dipodomys_microps" "57.2" "35" "66.924" "Mammalia"
"Dipodomys_ordii" "46.8" "34.6" "64.2096" "Mammalia"
"Dipodomys_panamintinus" "64.2" "36.9" "74.2794" "Mammalia"
"Heteromys_anomalus" "69.3" "36" "100.485" "Mammalia"
"Heteromys_desmarestianus" "75.8" "33.8" "99.1464" "Mammalia"
"Liomys_irroratus" "48.1" "37" "53.872" "Mammalia"
"Liomys_salvani" "43.8" "37" "46.866" "Mammalia"
"Microdipodops_megacephalus" "11" "32.8" "30.173" "Mammalia"
"Microdipodops_pallidus" "15.2" "39.3" "19.76" "Mammalia"
"Perognathus_flavus" "8.3" "34.6" "17.3055" "Mammalia"
"Perognathus_longimembris" "8.9" "34.7" "9.523" "Mammalia"
"Hydrochaeris_hydrochaeris" "26385" "37.1" "6596.3" "Mammalia"
"Hystrix_africaeaustralis" "11300" "37.45" "2361.702" "Mammalia"
"Abrothrix_longipilis" "42.3" "37.4" "57.528" "Mammalia"
"Acomys_cahirinus" "42" "37.5" "46.2" "Mammalia"
"Acomys_russatus" "55.55" "37.25" "42.9" "Mammalia"
"Aethomys_namaquensis" "64.2" "36.82" "56.7528" "Mammalia"
"Akodon_azarae" "24" "37.7" "40.8" "Mammalia"
"Apodemus_flavicollis" "23.9" "36.7" "43.259" "Mammalia"
"Apodemus_hermonensis" "20.5" "37" "50.02" "Mammalia"
"Apodemus_mystacinus" "40.4" "35.5" "56.0348" "Mammalia"
"Apodemus_sylvaticus" "23.9" "36.7" "43.259" "Mammalia"
"Arborimus_longicaudus" "21.8" "37.3" "58.86" "Mammalia"
"Arvicola_terrestris" "92.0" "37.5" "106.6813" "Mammalia"
"Auliscomys_micropus" "62.3" "37.4" "97.811" "Mammalia"
"Baiomys_taylori" "7.15" "36" "17.0886" "Mammalia"
"Calomys_musculinus" "16.9" "36.2" "27.59772" "Mammalia"
"Calomys_venustus" "50.1" "37.05" "74.7" "Mammalia"
"Cannomys_badius" "344" "36" "172" "Mammalia"
"Chelemys_macronyx" "62" "36.8" "84.32" "Mammalia"
"Chroeomys_anadinus" "34.6" "37.7" "64.702" "Mammalia"
"Chroeomys_olivaceus" "27" "37.2" "49.41" "Mammalia"
"Clethrionomys_californicus" "18.3" "37.5" "61.122" "Mammalia"
"Clethrionomys_gapperi" "22.3" "37.9" "49.33938" "Mammalia"
"Cricetomys_gambianus" "1870" "35.6" "1140.7" "Mammalia"
"Cricetulus_migratorius" "30.7" "38.1" "43.901" "Mammalia"
"Cricetus_cricetus" "362" "39.5" "231.6798" "Mammalia"
"Desmodillus_auricularis" "71.93" "35.86" "87.7546" "Mammalia"
"Dicrostonyx_groenlandicus" "59.62" "38.4" "98.84996" "Mammalia"
"Eligmodontia_typus" "17.5" "36.4" "29.925" "Mammalia"
"Gerbillurus_paeba" "33.9" "38.7" "34.8153" "Mammalia"
"Gerbillurus_setzeri" "46.1" "37.6" "37.0183" "Mammalia"
"Gerbillurus_tytonis" "29.9" "36.9" "31.694" "Mammalia"
"Gerbillurus_vallinus" "38.8" "37.4" "34.7648" "Mammalia"
"Gerbillus_allenybi" "35.3" "36.3" "38.83" "Mammalia"
"Gerbillus_dasyurus" "27.6" "38.6" "29.256" "Mammalia"
"Gerbillus_gerbillus" "29.7" "37.2" "42.471" "Mammalia"
"Gerbillus_nanus" "28.4" "38.8" "22.152" "Mammalia"
"Gerbillus_pusillus" "12.6" "34.6" "13.482" "Mammalia"
"Gerbillus_pyramidum" "108.5" "36.1" "81.375" "Mammalia"
"Graomys_griseoflavus" "69.4" "36.1" "83.974" "Mammalia"
"Hydromys_chrysogaster" "900" "36.6" "528.3" "Mammalia"
"Isthmomys_pirrensis" "137.9" "37.6" "121.3518" "Mammalia"
"Lagurus_curtatus" "30.3" "37.1" "50.298" "Mammalia"
"Lemmus_lemmus" "80" "37.8" "192" "Mammalia"
"Lemmus_sibericus" "50.2" "38.3" "90.19267" "Mammalia"
"Lemniscomys_griselda" "47.5" "36.9" "57.6175" "Mammalia"
"Lemniscomys_rosalia" "50.53" "36.5" "61.473" "Mammalia"
"Malacothrix_typica" "21.7" "37" "20.615" "Mammalia"
"Maresomys_boliviensis" "76.8" "36.3" "110.592" "Mammalia"
"Mastomys_natalensis" "41.5" "38" "32.785" "Mammalia"
"Megadontomys_thomasi" "110.8" "37.8" "124.0962" "Mammalia"
"Meriones_hurriane" "69" "36.1" "54.51" "Mammalia"
"Meriones_tristrami" "112" "36.5" "98.56" "Mammalia"
"Meriones_unguiculatus" "67" "38.2" "77.0502" "Mammalia"
"Mesocricetus_auratus" "98" "38.1" "147" "Mammalia"
"Micromys_minutus" "7.37" "38" "21.078" "Mammalia"
"Microtus_agrestis" "28" "37.6" "63.6" "Mammalia"
"Microtus_arvalis" "20" "37" "61.9998" "Mammalia"
"Microtus_brandti" "40.2" "36.2" "76.782" "Mammalia"
"Microtus_breweri" "53.1" "37.3" "73.809" "Mammalia"
"Microtus_californicus" "44" "38.8" "68.2" "Mammalia"
"Microtus_guentheri" "43.8" "38.3" "80.154" "Mammalia"
"Microtus_longicaudus" "28.6" "38" "67.52075" "Mammalia"
"Microtus_mexicanus" "28.8" "37.9" "46.944" "Mammalia"
"Microtus_montanus" "35.1" "35.3" "83.33406" "Mammalia"
"Microtus_ochrogaster" "46.7" "37.93333333" "79.07867" "Mammalia"
"Microtus_oeconomus" "33.7" "38.4" "100.9315" "Mammalia"
"Microtus_pennsylvanicus" "38.9" "38.5" "75.077" "Mammalia"
"Microtus_pinetorum" "25.5" "38.3" "58.395" "Mammalia"
"Microtus_richardsoni" "65.65" "38.7" "128.0175" "Mammalia"
"Microtus_xanthognathus" "68.5" "38" "98.64" "Mammalia"
"Mus_minutoides" "8.06" "36.3" "24.0188" "Mammalia"
"Myopus_schisticolor" "26.4" "39" "93.456" "Mammalia"
"Mystromys_albicaudatus" "93.78" "33" "126.7908" "Mammalia"
"Nannospalax_ehrenbergi" "138" "34.9" "118.68" "Mammalia"
"Nannospalax_ehrenbergi" "134" "35.8" "101.84" "Mammalia"
"Nannospalax_ehrenbergi" "135" "36" "114.75" "Mammalia"
"Nannospalax_ehrenbergi" "134" "35.5" "82.832" "Mammalia"
"Nannospalax_leucodon" "201" "36.3" "148.74" "Mammalia"
"Neofiber_alleni" "258.1" "37.1" "216.804" "Mammalia"
"Neotoma_fuscipes" "187" "36.6" "147.73" "Mammalia"
"Neotoma_lepida" "110" "36.8" "86.9" "Mammalia"
"Notomys_alexis" "32.3" "38" "45.22" "Mammalia"
"Notomys_cervinus" "34.2" "38.45" "41.724" "Mammalia"
"Ochrotomys_nuttalli" "19.5" "36.38" "27.105" "Mammalia"
"Oligoryzomys_longicaudatus" "28.2" "37.3" "51.042" "Mammalia"
"Ondatra_zibethicus" "1004.6" "37.4" "642.944" "Mammalia"
"Otomys_irroratus" "102" "37.6" "84.864" "Mammalia"
"Otomys_sloggetti" "113.29" "38" "133.6822" "Mammalia"
"Otomys_unisulcatus" "96" "34.8" "106.56" "Mammalia"
"Oxymycterus_roberti" "83.5" "38.25" "91.015" "Mammalia"
"Parotomys_brantsii" "86.5" "35.1" "83.905" "Mammalia"
"Peromyscus_californicus" "47.6" "36.4" "52.36" "Mammalia"
"Peromyscus_californicus" "45.5" "36" "45.5" "Mammalia"
"Peromyscus_californicus" "49.6" "36.4" "58.032" "Mammalia"
"Peromyscus_crinitus" "15.9" "35.7" "25.122" "Mammalia"
"Peromyscus_eremicus" "21.5" "36.6" "33.11" "Mammalia"
"Peromyscus_gossypinus" "21.5" "37.5" "36.9798" "Mammalia"
"Peromyscus_leucopus" "20" "36.7" "33.2" "Mammalia"
"Peromyscus_leucopus" "26" "37.5" "57.2" "Mammalia"
"Peromyscus_maniculatus" "22.8" "36.55" "36.88038" "Mammalia"
"Peromyscus_maniculatus" "23.19" "37.2" "46.1481" "Mammalia"
"Peromyscus_maniculatus" "19.53" "36.3" "39.8412" "Mammalia"
"Peromyscus_maniculatus" "19.1" "36.8" "38.964" "Mammalia"
"Peromyscus_maniculatus" "18.93" "35.9" "39.3744" "Mammalia"
"Peromyscus_maniculatus" "20.38" "36.7" "37.4992" "Mammalia"
"Peromyscus_oreas" "24.58" "36.2" "43.5066" "Mammalia"
"Peromyscus_sitkensis" "28.3" "36" "46.7445" "Mammalia"
"Peromyscus_truei" "33.3" "36.4" "62.604" "Mammalia"
"Peromyscus_truei" "33.2" "36.7" "50.796" "Mammalia"
"Phenacomys_intermedius" "21.5" "37.9" "67.295" "Mammalia"
"Phodopus_sungorus" "25.7" "36.1" "40.863" "Mammalia"
"Phyllotis_darwini" "59" "36.2" "71.39" "Mammalia"
"Phyllotis_darwini" "36" "37.1" "45.36" "Mammalia"
"Phyllotis_xanthopygus" "55" "37.3" "56.65" "Mammalia"
"Pseudomys_gracilicaudatus" "79.8" "36.8" "83.79" "Mammalia"
"Pseudomys_hermannsburgensis" "12.2" "37.75" "23.3022" "Mammalia"
"Rattus_fuscipes" "76" "37.45" "84.36" "Mammalia"
"Rattus_lutreolis" "109" "36.7" "63.2202" "Mammalia"
