Species Tm
Cephalopholis_cruentata 5.5
Cetengraulis_mysticetus 1
Cetorhinus_maximus 18
Cetorhinus_maximus 5
Cetorhinus_maximus 20
Cetoscarus_ocellatus 5
Chaenocephalus_aceratus 10
Chaenocephalus_aceratus 9
Chaetobranchus_flavescens 1
Chaetobranchus_flavescens 1
Channa_striata 2
Channa_striata 1.5
Chanodichthys_mongolicus 5
Chanos_chanos 6
Chanos_chanos 6.5
Chanos_chanos 4.5
Chanos_chanos 4
Chanos_chanos 8.5
Chanos_chanos 8.5
Chanos_chanos 4
Chanos_chanos 4.5
Characodon_lateralis 0.5
Chelidonichthys_capensis 3
Chelidonichthys_cuculus 2
Chelidonichthys_cuculus 2
Chelidonichthys_cuculus 2
Chelidonichthys_cuculus 3.6
Chelidonichthys_cuculus 3.5
Chelidonichthys_lastoviza 3
Chelidonichthys_lucerna 1.5
Chelidonichthys_lucerna 3
Chelidonichthys_lucerna 2.7
Chelidonichthys_lucerna 2.8
Chelidonichthys_lucerna 2.8
Chelidonichthys_queketti 1.7
Chelon_auratus 3
Chelon_auratus 4
Chelon_labrosus 3
Chelon_labrosus 3
Chelon_ramada 3
Chelon_ramada 3
Chelon_saliens 3
Chelon_saliens 2
Chelon_saliens 2
Chitala_chitala 2
Chitala_chitala 3
Chlamydogobius_eremius 0.5
Chromis_punctipinnis 2
Ciliata_septentrionalis 1
Ciliata_septentrionalis 1
Cirrhinus_molitorella 3
Cirrhinus_molitorella 3
Citharichthys_sordidus 2.5
Citharinus_citharus 3
Citharinus_citharus 3
Clarias_batrachus 1
Clarias_gariepinus 2
Clarias_gariepinus 2
Clarias_gariepinus 2
Clevelandia_ios 1
Clupea_harengus 4.29
Clupea_harengus 2
Clupea_harengus 3
Clupea_harengus 3
Clupea_harengus 3
Clupea_harengus 1.86
Clupea_harengus 2
Clupea_harengus 1
Clupea_harengus 2
Clupea_harengus 4
Clupea_harengus 3.45
Clupea_harengus 3
Clupea_harengus 3
Clupea_harengus 3
Clupea_harengus 3
Clupea_harengus 3.16
Clupea_harengus 3.16
Clupea_harengus 3
Clupea_harengus 2
Clupea_harengus 3
Clupea_harengus 4
Clupea_harengus 2.73
Clupea_harengus 2.73
Clupea_harengus 3
Clupea_harengus 3
Clupea_harengus 3
Clupea_harengus 3
Clupea_harengus 2.9
Clupea_harengus 3
Clupea_harengus 3
Clupea_harengus 3
Clupea_harengus 3
Clupea_harengus 3
Clupea_harengus 3
Clupea_harengus 3
Clupea_harengus 3
Clupea_harengus 3
Clupea_harengus 2.5
Clupea_harengus 4
Clupea_harengus 4
Clupea_harengus 4.86
Clupea_harengus 4.29
Clupea_harengus 5
Clupea_harengus 3.58
Clupea_harengus 5
Clupea_harengus 6.5
Clupea_pallasii_pallasii 2
Clupea_pallasii_pallasii 2
Clupea_pallasii_pallasii 4
Clupea_pallasii_pallasii 4
Clupea_pallasii_pallasii 4
Clupea_pallasii_pallasii 3
Clupea_pallasii_pallasii 4
Clupea_pallasii_pallasii 5
Clupea_pallasii_pallasii 5
Cobitis_calderoni 1
Cobitis_taenia 2
Cobitis_taenia 1
Cololabis_saira 1
Copadichromis_pleurostigmoides 3
Copadichromis_quadrimaculatus 3
Copadichromis_quadrimaculatus 3
Copadichromis_virginalis 3
Coptodon_zillii 0.2
Coregonus_albula 2
Coregonus_albula 2
Coregonus_artedi 6
Coregonus_hoyi 3
Coregonus_hoyi 3
Coregonus_lavaretus 3
Coregonus_lavaretus 2
Coregonus_lavaretus 2
Coregonus_lavaretus 1
Coregonus_maraena 3
Coregonus_oxyrinchus 3
Coregonus_pidschian 11
Coregonus_pidschian 14
Coregonus_sardinella 7
Coregonus_sardinella 8
Coregonus_wartmanni 3
Coregonus_widegreni 5
Coris_julis 1
Coryphaenoides_rupestris 10
Coryphaenoides_rupestris 10
Cottus_gobio 2
Cottus_gobio 2
Cottus_pollux 2
Cottus_pollux 2
Couesius_plumbeus 3
Crystallogobius_linearis 1
Ctenolabrus_rupestris 2
Ctenopharyngodon_idella 3
Ctenopharyngodon_idella 6
Ctenopharyngodon_idella 5.8
Culter_alburnus 4
Cyclopterus_lumpus 4
Cyclopterus_lumpus 3
Cyclothone_pallida 3.5
Cyclothone_pallida 3.5
Cymatogaster_aggregata 1
Cynoglossus_canariensis 2
Cynoscion_albus 6
Cynoscion_othonopterus 2
Cynoscion_othonopterus 2.1
Cyprinus_carpio 1
Cyprinus_carpio 0.5
Cyprinus_carpio 1
Cyprinus_carpio 2
Cyprinus_carpio 2
Cyprinus_carpio 3
Cyprinus_carpio 3
Cyprinus_carpio 2
Cyprinus_carpio 2.5
Cyprinus_carpio 4
Cyttus_traversi 5.2
Cyttus_traversi 6.3
Danio_rerio 0.83
Danio_rerio 0.2
Danio_rerio 0.2
Deania_calcea 25
Decapterus_macrosoma 3
Decapterus_russelli 3
Dentex_canariensis 2
Dentex_dentex 2.2
Dentex_macrophthalmus 2
Diaphus_dumerilii 0.7
