Species Tm
Menticirrhus_undulatus 2.5
Merlangius_merlangus 2
Merlangius_merlangus 1.16
Merlangius_merlangus 1.5
Merlangius_merlangus 1.5
Merluccius_angustimanus 3
Merluccius_australis 8
Merluccius_australis 7
Merluccius_bilinearis 1.7
Merluccius_bilinearis 1.6
Merluccius_bilinearis 1.7
Merluccius_bilinearis 1.6
Merluccius_capensis 3.9
Merluccius_capensis 4.9
Merluccius_merluccius 3.8
Merluccius_merluccius 3.09
Merluccius_merluccius 3
Merluccius_merluccius 2.86
Merluccius_merluccius 2.5
Merluccius_merluccius 4.12
Merluccius_merluccius 3.5
Merluccius_merluccius 4.4
Merluccius_paradoxus 3.7
Merluccius_paradoxus 4.7
Merluccius_productus 3
Merluccius_productus 4
Mesocottus_haitej 3
Mesogobius_batrachocephalus 3
Microchirus_theophila 3
Micromesistius_australis 3
Micromesistius_australis 3
Micromesistius_poutassou 1
Micromesistius_poutassou 1
Micromesistius_poutassou 2.35
Micromesistius_poutassou 2
Micromesistius_poutassou 2
Micromesistius_poutassou 2.3
Micromesistius_poutassou 3.1
Microphysogobio_tungtingensis 2
Micropogonias_undulatus 1
Micropogonias_undulatus 1
Micropogonias_undulatus 1
Microstomus_kitt 4
Microstomus_kitt 8.2
Microstomus_pacificus 7
Misgurnus_fossilis 2
Mobula_birostris 6
Molva_dypterygia 9
Molva_dypterygia 6.2
Molva_dypterygia 11
Molva_molva 5
Molva_molva 7.2
Morone_americana 2
Morone_chrysops 2
Morone_chrysops 3
Mugil_cephalus 2
Mugil_cephalus 2
Mugil_cephalus 6
Mugil_cephalus 6
Mugil_curema 2.5
Mugil_curema 2
Mugil_curema 3
Mugil_curema 3
Mugil_hospes 2
Mugil_trichodon 2
Mullus_barbatus_barbatus 1
Mullus_barbatus_barbatus 1
Mullus_barbatus_barbatus 1.9
Mullus_surmuletus 1
Mullus_surmuletus 1
Mullus_surmuletus 2
Mullus_surmuletus 1.39
Mullus_surmuletus 2
Mullus_surmuletus 1
Mullus_surmuletus 2
Muraena_augusti 5.3
Muraena_helena 7.1
Mustelus_antarcticus 4.7
Mustelus_antarcticus 6.9
Mustelus_californicus 2.1
Mustelus_griseus 5.65
Mustelus_lenticulatus 3.7
Mustelus_lenticulatus 4.7
Mustelus_lenticulatus 5
Mustelus_manazo 1.3
Mustelus_manazo 1.9
Mustelus_mustelus 13.5
Mycteroperca_bonaci 5.2
Mycteroperca_olfax 6.5
Mycteroperca_olfax 6.5
Mycteroperca_olfax 6.5
Mycteroperca_phenax 2
Mycteroperca_tigris 6.5
Mycteroperca_tigris 9.5
Myliobatis_californica 3
Mylocheilus_caurinus 3
Mylocheilus_caurinus 4
Mylopharyngodon_piceus 3
Mylopharyngodon_piceus 3
Myoxocephalus_jaok 7
Myoxocephalus_jaok 5
Myoxocephalus_jaok 6
Myoxocephalus_jaok 4
Myoxocephalus_polyacanthocephalus 8
Myoxocephalus_polyacanthocephalus 6
Myoxocephalus_quadricornis 4
Myoxocephalus_quadricornis 3
Myoxocephalus_scorpius 1
Myoxocephalus_scorpius 1
Myoxocephalus_scorpius 1
Myxine_glutinosa 3
Nannatherina_balstoni 0.6
Nannatherina_balstoni 0.8
Nannoperca_vittata 1
Nannoperca_vittata 1
Naso_hexacanthus 7
Naso_tuberosus 4
Nautichthys_oculofasciatus 1
Negaprion_brevirostris 12
Negaprion_brevirostris 12.7
Nematabramis_everetti 1
Nematabramis_everetti 1.5
Nematalosa_erebi 2
Nematalosa_erebi 1
Nematalosa_erebi 1
Nemipterus_japonicus 1
Nemipterus_japonicus 0.9
Nemipterus_japonicus 1.4
Nemipterus_mesoprion 0.7
Nemipterus_peronii 1
Nemipterus_randalli 3.2
Neoclinus_uninotatus 1
Neogobius_fluviatilis 2
Neosalanx_pseudotaihuensis 1
Neosalanx_taihuensis 1
Niwaella_delicata 1.5
Niwaella_delicata 3.5
Nocomis_biguttatus 3
Nocomis_micropogon 3
Nocomis_micropogon 2
Nocomis_micropogon 3
Notemigonus_crysoleucas 2
Nothobranchius_furzeri 0.1
Nothobranchius_furzeri 0.05
Nothobranchius_furzeri 0.05
Nothobranchius_kadleci 0.05
Nothobranchius_kadleci 0.05
Notolabrus_fucicola 1.5
Notolabrus_fucicola 8.3
Notorynchus_cepedianus 16
Notothenia_coriiceps 7
Notothenia_coriiceps 7
Notothenia_rossii 5
Notothenia_rossii 5
Notothenia_rossii 6
Notothenia_rossii 7
Notropis_atherinoides 1
Notropis_bifrenatus 1
Ocyurus_chrysurus 2
Odax_pullus 1.2
Odax_pullus 3.9
Okamejei_kenojei 3
Oligocottus_snyderi 0.75
Oncorhynchus_gorbuscha 2
Oncorhynchus_kisutch 3
Oncorhynchus_masou 4
Oncorhynchus_nerka 2
Oncorhynchus_tshawytscha 4
Oncorhynchus_tshawytscha 4.1
Oncorhynchus_tshawytscha 4.1
Ophiodon_elongatus 4
Ophiodon_elongatus 2
Oreochromis_andersonii 4
Oreochromis_aureus 2
Oreochromis_aureus 2
Oreochromis_aureus 2
Oreochromis_macrochir 1.16
Oreochromis_macrochir 1.5
Oreochromis_macrochir 1.75
Oreochromis_macrochir 2
Oreochromis_mossambicus 1
Oreochromis_mossambicus 2
Oreochromis_mweruensis 1
Oreochromis_niloticus 1
Oreochromis_niloticus 1
Oreochromis_niloticus 2
Oreochromis_squamipinnis 3
Osmerus_dentex 4.5
Osmerus_eperlanus 2
Osmerus_eperlanus 1
Osmerus_eperlanus 1.5
Osmerus_eperlanus 3.5
Osmerus_mordax 2
Osmerus_mordax 2
Osmerus_mordax 3
Osmerus_mordax 2
Osmerus_mordax 6
Ostorhinchus_rubrimacula 0.4
Oxyjulis_californica 1
Oxylebius_pictus 2.5
Pachycara_brachycephalum 5
Pachycara_brachycephalum 5
Pagellus_acarne 1.9
Pagellus_acarne 2
Pagellus_acarne 3
Pagellus_bellottii 2
Pagellus_bogaraveo 5
Pagellus_bogaraveo 6
Pagellus_bogaraveo 6
Pagellus_erythrinus 2
Pagellus_erythrinus 1
Pagellus_erythrinus 3
Pagellus_erythrinus 1.8
Pagellus_erythrinus 2
Pagellus_erythrinus 3
Pagrus_auratus 4
Pagrus_caeruleostictus 2
Pagrus_pagrus 0.9
Pagrus_pagrus 3
Pagrus_pagrus 1.9
Parabramis_pekinensis 6
Paracanthobrama_guichenoti 2.5
Parachromis_dovii 1.25
Paragalaxias_dissimilis 1
Paragalaxias_eleotroides 1
Paralabrax_clathratus 2.5
Paralabrax_humeralis 2
Paralabrax_maculatofasciatus 1.5
Paralabrax_nebulifer 3.5
Paralichthys_californicus 3
Parapristipoma_trilineatum 2
Parapristipoma_trilineatum 2
Paratherina_striata 0.59
Paratherina_striata 0.98
Parophrys_vetulus 3
Pelecus_cultratus 4
Pelecus_cultratus 3
Pennahia_argentata 1
Pentaceros_wheeleri 6
Pentaceros_wheeleri 7
Peprilus_triacanthus 0.9
Peprilus_triacanthus 0.9
Perca_flavescens 2
Perca_flavescens 3
Perca_flavescens 3
Perca_fluviatilis 5
Perca_fluviatilis 3
Perca_fluviatilis 2
Perca_fluviatilis 2
Perca_fluviatilis 1
Perca_fluviatilis 1
Perca_fluviatilis 3
Perca_fluviatilis 2
Perca_fluviatilis 3
Perca_fluviatilis 2
Perca_fluviatilis 2
Perca_fluviatilis 2
Perca_fluviatilis 2
Perca_fluviatilis 2.56
Perca_fluviatilis 2.63
Perca_fluviatilis 1.99
Perca_fluviatilis 2.71
Perca_fluviatilis 1.99
Perca_fluviatilis 1.99
Perca_fluviatilis 3
Perca_fluviatilis 3.49
Perca_fluviatilis 3.19
Perca_fluviatilis 3.22
Perca_fluviatilis 4
Perca_fluviatilis 2
Percina_sciera 1
Percina_sciera 1
Petromyzon_marinus 7
Petromyzon_marinus 7
Petrus_rupestris 7.2
Phanerodon_furcatus 2
Photopectoralis_bindus 1.2
Phoxinus_phoxinus 1
Pimephales_promelas 3
Pimephales_promelas 2
Pimephales_promelas 1
Plagioscion_squamosissimus 1.5
Plagioscion_squamosissimus 1
Planiliza_abu 1
Planiliza_abu 1
Platichthys_flesus 4
Platichthys_flesus 3
Platichthys_flesus 4
Platichthys_flesus 3
Platichthys_flesus 3
Platichthys_flesus 2
Platichthys_flesus 5
Platichthys_flesus 3
Platycephalus_bassensis 3
Platycephalus_bassensis 3
Platycephalus_conatus 3.8
Platycephalus_fuscus 1.2
Platycephalus_fuscus 4.5
Platycephalus_grandispinis 1
Platycephalus_grandispinis 2
Platycephalus_laevigatus 1.8
Platycephalus_laevigatus 1.4
Platycephalus_speculator 1
Platycephalus_speculator 2
Platycephalus_westraliae 2
Platycephalus_westraliae 2
Plecoglossus_altivelis 1
Plectorhinchus_sordidus 1.8
Plectorhinchus_sordidus 2.1
Plectropomus_areolatus 3
Plectropomus_areolatus 2
Plectropomus_areolatus 2.45
Pleurogrammus_azonus 2
Pleurogrammus_monopterygius 5
Pleurogrammus_monopterygius 3.6
Pleurogrammus_monopterygius 4
Pleuronectes_platessa 2.85
Pleuronectes_platessa 2.86
Pleuronectes_platessa 3
Pleuronectes_platessa 4
Pleuronectes_platessa 2.85
Pleuronectes_platessa 3
Pleuronectes_platessa 2.49
Pleuronectes_platessa 2.9
Pleuronectes_platessa 2.9
Pleuronectes_platessa 1.89
Pleuronectes_platessa 1.76
Pleuronectes_platessa 2.5
Pleuronectes_platessa 3.07
Pleuronectes_platessa 3
Pleuronectes_platessa 3
Pleuronectes_quadrituberculatus 9.5
Pollachius_pollachius 3
Pollachius_pollachius 2
Pollachius_pollachius 3
Pollachius_virens 3
Pollachius_virens 4.75
Pollachius_virens 5.16
Pollachius_virens 5.5
Pollachius_virens 2
Pollachius_virens 2.3
Pollachius_virens 4.9
Pollachius_virens 4.6
Pollachius_virens 5.8
Polyodon_spathula 9
Polyodon_spathula 6
Polysteganus_undulosus 7.7
Polysteganus_undulosus 8.9
Pomacanthus_maculosus 5.5
Pomatomus_saltatrix 1.9
Pomatomus_saltatrix 2.4
Pomatoschistus_minutus 1
Ponticola_bathybius 2
Ponticola_cephalargoides 2
Ponticola_syrman 1
Porichthys_notatus 3.5
Potamotrygon_leopoldi 3.5
Potamotrygon_scobina 1.8
Prionace_glauca 6
Prionace_glauca 6.5
Prionace_glauca 8
Prionace_glauca 8
Prionace_glauca 5
Prionace_glauca 6
Prionace_glauca 6
Prionace_glauca 6
Prionotus_stephanophrys 3
Prionotus_stephanophrys 3
Prionotus_stephanophrys 4
Prochilodus_nigricans 2
Prochilodus_nigricans 1.8
Procypris_rabaudi 4
Promethichthys_prometheus 4
Pronotogrammus_martinicensis 1
Prosopium_cylindraceum 5
Prosopium_cylindraceum 4
Prosopium_cylindraceum 5
Prosopium_cylindraceum 2
Prosopium_cylindraceum 4
Prosopium_cylindraceum 3
Proterorhinus_marmoratus 1
Psettichthys_melanostictus 2
Pseudaspius_leptocephalus 5
Pseudobatos_productus 8
Pseudocarcharias_kamoharai 5.1
Pseudocarcharias_kamoharai 3.1
Pseudocyttus_maculatus 25.5
Pseudocyttus_maculatus 18.5
Pseudocyttus_maculatus 31
Pseudopleuronectes_americanus 1.9
Pseudopleuronectes_americanus 1.9
Pseudopleuronectes_americanus 3
Pseudopleuronectes_americanus 3.3
Pseudopleuronectes_americanus 3.3
Pseudopleuronectes_americanus 3.5
Pseudopleuronectes_herzensteini 3.5
Pseudopleuronectes_herzensteini 3.5
Pseudorasbora_parva 1
Pseudorasbora_parva 1
Pseudorasbora_parva 2
Pterapogon_kauderni 0.83
Pterapogon_kauderni 1
Pterogobius_zacalles 1
Pterogymnus_laniarius 4
Raja_brachyura 9
Raja_brachyura 10
Raja_brachyura 14
Raja_clavata 11
Raja_clavata 3.9
Raja_clavata 6.13
Raja_clavata 7
Raja_clavata 5.3
Raja_clavata 6.13
Raja_clavata 9
Raja_clavata 10
Raja_montagui 3.4
Raja_montagui 4.15
Raja_montagui 8
Raja_undulata 7.66
Raja_undulata 8.98
Rastrelliger_kanagurta 0.54
Rastrelliger_kanagurta 0.56
Rastrelliger_kanagurta 1
Reinhardtius_hippoglossoides 9.6
Reinhardtius_hippoglossoides 10.8
Reinhardtius_hippoglossoides 12
Reinhardtius_hippoglossoides 9
Reinhardtius_hippoglossoides 7
Reinhardtius_hippoglossoides 9
Retropinna_semoni 1
Rhabdosargus_sarba 2
Rhabdosargus_sarba 2.1
Rhacochilus_vacca 2.5
Rhinichthys_cataractae 3
Rhinogobius_cliffordpopei 0.33
Rhinogobius_giurinus 0.39
Rhinoptera_bonasus 4.5
Rhinoptera_bonasus 4.5
Rhizoprionodon_taylori 0.5
Rhizoprionodon_taylori 0.93
Rhizoprionodon_terraenovae 4
Rhizoprionodon_terraenovae 4
Rhodeus_amarus 2
Rhodeus_sericeus 2
Rhynchocypris_percnurus 2
Romanogobio_tenuicorpus 3
Roncador_stearnsii 2.5
Rudarius_ercodes 1
Rutilus_rutilus 2
Rutilus_rutilus 3
Sabanejewia_balcanica 2.5
Sabanejewia_balcanica 2.5
Sabanejewia_larvata 2
Salmo_salar 5
Salmo_salar 3
Salmo_salar 5
Salmo_salar 5.2
Salmo_salar 4.8
Salmo_salar 3.9
Salmo_salar 0.8
Salmo_salar 4.3
Salmo_salar 4
Salmo_salar 4.9
Salmo_salar 5.2
Salmo_trutta 5
Salmo_trutta 4
Salmo_trutta 3
Salmo_trutta 0.8
Salmo_trutta 1.12
Salmo_trutta 0.71
Salmo_trutta 2.5
Salmo_trutta 2.5
Salmo_trutta 2
Salmo_trutta 2
Salmo_trutta 2
Salmo_trutta 2
Salmo_trutta 2
Salmo_trutta 1
Salmo_trutta 1
Salmo_trutta 3.2
Salmo_trutta 2
Salmo_trutta 1
Salmo_trutta 3.1
Salmo_trutta 2
Salmo_trutta 3.5
Salmo_trutta 1.8
Salmo_trutta 1
Salmo_trutta 3.2
Salmo_trutta 2
Salmo_trutta 3.6
Salmo_trutta 4.2
Salmo_trutta 2
Salmo_trutta 2
Salmo_trutta 4
Salmo_trutta 4.4
Salmo_trutta 3.5
Salmo_trutta 2.6
Salmo_trutta 2.5
Salmo_trutta 3.8
Salmo_trutta 2
Salvelinus_alpinus 10
Salvelinus_alpinus 6.9
Salvelinus_malma 4
Salvelinus_namaycush 11
Salvelinus_namaycush 10
Salvelinus_namaycush 8
Salvelinus_namaycush 9
Salvelinus_namaycush 5
Salvelinus_namaycush 8
Salvelinus_namaycush 12
Salvelinus_namaycush 8.3
Salvelinus_namaycush 6
Salvelinus_namaycush 7
Salvelinus_namaycush 14
Salvelinus_namaycush 8
Salvelinus_namaycush 4
Salvelinus_namaycush 6
Sander_lucioperca 3
Sander_lucioperca 4
Sander_lucioperca 3
Sander_lucioperca 2
Sander_lucioperca 4
Sander_lucioperca 4
Sander_lucioperca 4
Sander_lucioperca 5
Sander_lucioperca 5
Sander_lucioperca 2
Sander_lucioperca 4
Sander_lucioperca 5
Sander_lucioperca 3
Sander_lucioperca 4
Sander_lucioperca 2
Sander_lucioperca 2
Sander_lucioperca 3
Sander_lucioperca 3
Sander_lucioperca 3
Sander_lucioperca 4
Sander_lucioperca 4
Sander_lucioperca 2
Sander_lucioperca 3
Sander_lucioperca 4
Sander_lucioperca 4
Sander_lucioperca 3
Sander_lucioperca 2
Sander_lucioperca 3
Sander_lucioperca 3
Sander_lucioperca 3
Sander_lucioperca 6
Sander_lucioperca 4.1
Sander_lucioperca 3
Sander_lucioperca 3
Sander_lucioperca 4
Sander_lucioperca 4
Sander_lucioperca 4
Sander_lucioperca 5
Sander_lucioperca 5
Sander_vitreus 2
Sander_vitreus 7
Sander_vitreus 5
Sander_vitreus 3
Sander_vitreus 5
Sarcocheilichthys_czerskii 3
Sarcocheilichthys_sinensis 3
Sarda_sarda 1
Sarda_sarda 1
Sarda_sarda 1
Sarda_sarda 1
Sardina_pilchardus 1.7
Sardina_pilchardus 2
Sardina_pilchardus 2
Sardina_pilchardus 2
Sardina_pilchardus 1
Sardinella_aurita 1
Sardinella_aurita 1
Sardinella_aurita 1.04
Sardinella_aurita 1.33
Sardinella_brasiliensis 1
Sardinella_longiceps 1.9
Sardinella_longiceps 1.97
Sardinella_longiceps 2
Sardinella_maderensis 3
Sardinops_sagax 1.5
Sardinops_sagax 4
Sarotherodon_galilaeus 1.5
Sarotherodon_galilaeus 1.5
Sarotherodon_galilaeus 2
Sarotherodon_galilaeus 2
Sarpa_salpa 2
Saurida_undosquamis 1.1
Saurida_undosquamis 1.8
Saurogobio_dabryi 3
Scardinius_erythrophthalmus 4
Scardinius_erythrophthalmus 3
Scardinius_erythrophthalmus 5
Scardinius_erythrophthalmus 1
Scardinius_erythrophthalmus 1
Scarus_ghobban 2
Scarus_rubroviolaceus 4
Schilbe_intermedius 2
Sciades_parkeri 2
Sciades_sona 2
Sciaena_umbra 3
Sciaena_umbra 3
Scolopsis_taeniata 1.1
Scomber_colias 1.08
Scomber_colias 0.82
Scomber_colias 1.05
Scomber_japonicus 2
Scomber_scombrus 2
Scomber_scombrus 1.8
Scomber_scombrus 1.8
Scomber_scombrus 1.8
Scomber_scombrus 1.5
Scomber_scombrus 3.5
Scomberesox_saurus 0.5
Scomberomorus_commerson 2.4
Scomberomorus_maculatus 2
Scomberomorus_maculatus 3
Scomberomorus_plurilineatus 2
Scophthalmus_maximus 4
Scophthalmus_rhombus 3
Scorpaena_guttata 2
Scorpaena_loppei 1
Scorpaena_porcus 3
Scorpaenichthys_marmoratus 3
Scorpis_aequipinnis 14.1
Scorpis_aequipinnis 16.1
Scyliorhinus_canicula 5
Scyliorhinus_stellaris 4
Sebastes_alutus 7
Sebastes_alutus 5
Sebastes_alutus 7
Sebastes_alutus 9.07
Sebastes_alutus 8.8
Sebastes_alutus 8.5
Sebastes_alutus 7.7
Sebastes_alutus 8.6
Sebastes_alutus 11.5
Sebastes_atrovirens 4
Sebastes_auriculatus 5
Sebastes_auriculatus 5
Sebastes_auriculatus 5
Sebastes_aurora 5
Sebastes_babcocki 4
Sebastes_babcocki 4
Sebastes_carnatus 5
Sebastes_carnatus 4
Sebastes_caurinus 4
Sebastes_caurinus 4
Sebastes_caurinus 6
Sebastes_chlorostictus 6
Sebastes_chlorostictus 6
Sebastes_chlorostictus 6
Sebastes_chrysomelas 4
Sebastes_chrysomelas 3
Sebastes_chrysomelas 3
Sebastes_constellatus 7
Sebastes_constellatus 6
Sebastes_constellatus 7
Sebastes_crameri 7
Sebastes_crameri 4
Sebastes_crameri 4
Sebastes_crameri 5.1
Sebastes_crameri 8.4
Sebastes_dallii 3
Sebastes_diploproa 9
Sebastes_diploproa 7
Sebastes_diploproa 5
Sebastes_diploproa 9
Sebastes_elongatus 9
Sebastes_elongatus 7
Sebastes_elongatus 7
Sebastes_emphaeus 1.87
Sebastes_entomelas 6
Sebastes_entomelas 5
Sebastes_entomelas 5
Sebastes_fasciatus 5.5
Sebastes_fasciatus 5.5
Sebastes_flavidus 6
Sebastes_flavidus 6
Sebastes_flavidus 7
Sebastes_flavidus 7
Sebastes_goodei 3
Sebastes_goodei 3
Sebastes_helvomaculatus 10
Sebastes_helvomaculatus 7
Sebastes_helvomaculatus 8
Sebastes_hopkinsi 5
Sebastes_hopkinsi 5
Sebastes_hopkinsi 5
Sebastes_jordani 2.5
Sebastes_jordani 3
Sebastes_jordani 2
Sebastes_levis 4
Sebastes_levis 4
Sebastes_levis 11
Sebastes_levis 12
Sebastes_maliger 7
Sebastes_maliger 4
Sebastes_maliger 6
Sebastes_melanops 7
Sebastes_melanops 6
Sebastes_melanops 7.5
Sebastes_melanops 7
Sebastes_melanostomus 20
Sebastes_melanostomus 7
Sebastes_melanostomus 8
Sebastes_mentella 13
Sebastes_mentella 10
Sebastes_miniatus 6
Sebastes_miniatus 5
Sebastes_miniatus 5
Sebastes_minor 4
Sebastes_nebulosus 6
Sebastes_nebulosus 4
Sebastes_nebulosus 4
Sebastes_ovalis 7
Sebastes_ovalis 4
Sebastes_ovalis 4
Sebastes_paucispinis 4
Sebastes_paucispinis 3
Sebastes_paucispinis 4
Sebastes_pinniger 11
Sebastes_pinniger 7
Sebastes_pinniger 9
Sebastes_polyspinis 7.56
Sebastes_rastrelliger 3.5
Sebastes_rosaceus 6
Sebastes_rosaceus 6
Sebastes_rosaceus 6
Sebastes_rosenblatti 12
Sebastes_ruberrimus 7
Sebastes_ruberrimus 7
Sebastes_rubrivinctus 5
Sebastes_rubrivinctus 8
Sebastes_rufus 15
Sebastes_rufus 3
Sebastes_rufus 3
Sebastes_saxicola 6
Sebastes_saxicola 3
Sebastes_saxicola 2
Sebastes_semicinctus 5
Sebastes_serranoides 4
Sebastes_serranoides 5
Sebastes_serranoides 5
Sebastes_serranoides 5
Sebastes_variabilis 9.2
Sebastolobus_alascanus 13
Sebastolobus_altivelis 6
Semicossyphus_pulcher 4.25
Semotilus_atromaculatus 2.5
Semotilus_atromaculatus 3.5
Semotilus_atromaculatus 3.5
Seriola_dumerili 4
Seriola_dumerili 4
Seriola_dumerili 3.5
Seriphus_politus 2
Serranus_hepatus 3
Siganus_canaliculatus 1
Siganus_canaliculatus 2
Siganus_canaliculatus 2
Siganus_canaliculatus 1
Siganus_lineatus 2
Siganus_rivulatus 2
Siganus_rivulatus 1
Sillago_aeolus 0.8
Sillago_aeolus 1
Silurus_triostegus 3
Silurus_triostegus 4
Solea_solea 3
Solea_solea 2.38
Solea_solea 3.05
Solea_solea 2.5
Solea_solea 2.45
Solea_solea 2.5
Solea_solea 3
Solea_solea 2.5
Solea_solea 1.2
Solea_solea 1.2
Solea_solea 2.5
Solea_solea 4.5
Solea_solea 4
Sparodon_durbanensis 5.4
Sphyrna_lewini 13.2
Sphyrna_lewini 8.9
Sphyrna_lewini 3.8
Sphyrna_lewini 4
Sphyrna_lewini 15
Sphyrna_tiburo 2.3
Sphyrna_tiburo 2.2
Sphyrna_tiburo 2.7
Sphyrna_tiburo 2
Sphyrna_tiburo 3
Spicara_maena 2
Spicara_maena 2
Spinachia_spinachia 1
Spirinchus_thaleichthys 2
Spondyliosoma_cantharus 2
Spondyliosoma_cantharus 4
Spondyliosoma_cantharus 2
Spondyliosoma_cantharus 3
Spondyliosoma_cantharus 3
Sprattus_sprattus 1
Sprattus_sprattus 2
Sprattus_sprattus 3
Sprattus_sprattus 1.2
Sprattus_sprattus 1.2
Sprattus_sprattus 2
Sprattus_sprattus 2
Squalidus_chankaensis 2
Squaliobarbus_curriculus 2
Squalius_cephalus 6
Squalius_cephalus 4
Squalius_cephalus 4
Squalius_cephalus 3
Squalius_pyrenaicus 3
Squalius_pyrenaicus 3
Squalus_acanthias 29
Squalus_acanthias 6
Squalus_acanthias 6
Squalus_acanthias 10
Squalus_acanthias 12.1
Squalus_acanthias 10
Squalus_blainville 11.3
Squalus_blainville 17
Squalus_suckleyi 25
Squalus_suckleyi 34
Squalus_suckleyi 31
Squalus_suckleyi 14
Squalus_suckleyi 21
Squalus_suckleyi 20
Squalus_suckleyi 23
Squalus_suckleyi 35.5
Squalus_suckleyi 29
Squalus_suckleyi 36
Squatina_californica 10
Squatina_californica 10
Stellifer_lanceolatus 1
Stenotomus_caprinus 1
Symphodus_cinereus 1
Symphodus_mediterraneus 2
Symphodus_melops 3
Symphodus_ocellatus 1
Symphodus_roissali 1
Symphodus_tinca 2
Tandanus_tandanus 5
Tautogolabrus_adspersus 1
Tenualosa_macrura 0.65
Tenualosa_toli 0.63
Thalassoma_duperrey 1
Thunnus_alalunga 5.5
Thunnus_alalunga 5
Thunnus_atlanticus 3
Thunnus_maccoyii 12
Thunnus_orientalis 4
Thunnus_thynnus 3
Thunnus_thynnus 3
Tinca_tinca 2
Totoaba_macdonaldi 7
Totoaba_macdonaldi 6
Trachidermus_fasciatus 1
Trachinocephalus_myops 2
Trachinotus_falcatus 3.1
Trachinus_radiatus 3.5
Trachurus_capensis 2
Trachurus_indicus 1.78
Trachurus_indicus 2.23
Trachurus_japonicus 3
Trachurus_lathami 2
Trachurus_mediterraneus 1.4
Trachurus_picturatus 2.11
Trachurus_picturatus 2.28
Trachurus_picturatus 4.4
Trachurus_picturatus 5.1
Trachurus_trachurus 2
Trachurus_trachurus 3.55
Trachurus_trachurus 2.5
Trachurus_trachurus 1.5
Trachurus_trachurus 2
Trachurus_trachurus 2.2
Trachurus_trachurus 3.4
Trachurus_trachurus 2.6
Trachurus_trachurus 4.1
Triaenodon_obesus 8
Triakis_semifasciata 7
Triakis_semifasciata 10
Tribolodon_brandtii 3
Tribolodon_sachalinensis 2.5
Trichiurus_lepturus 3.7
Trinectes_maculatus 2
Trinectes_maculatus 2
Trinectes_maculatus 1
Trisopterus_esmarkii 2
Trisopterus_esmarkii 1.5
Trisopterus_esmarkii 1.2
Trisopterus_esmarkii 1.08
Trisopterus_esmarkii 2.3
Trisopterus_luscus 1
Trisopterus_luscus 2
Trisopterus_minutus 2
Trisopterus_minutus 1
Trisopterus_minutus 1
Trisopterus_minutus 2
Trisopterus_minutus 2
Tristramella_simonis 2
Tristramella_simonis 2
Umbra_pygmaea 2
Umbra_pygmaea 1.5
Umbra_pygmaea 2
Uranoscopus_scaber 1
Uranoscopus_scaber 2
Urophycis_chuss 1.4
Urophycis_chuss 1.8
Urophycis_chuss 1.7
Urophycis_chuss 1.8
Urophycis_tenuis 1.4
Urophycis_tenuis 1.4
Valenciennea_muralis 0.32
Valenciennea_muralis 0.39
Vinciguerria_nimbaria 0.26
Xenocypris_macrolepis 4
Xenocypris_macrolepis 3
Xenotaenia_resolanae 0.3
Xiphister_atropurpureus 2.5
Xiphister_mucosus 5
Zaprora_silenus 5.1
Zearaja_chilensis 10.3
Zearaja_chilensis 10.74
Zearaja_chilensis 13.5
Zearaja_chilensis 12.8
Zearaja_nasuta 4
Zearaja_nasuta 6
Zeus_faber 4
Zeus_faber 4
