Species	Body mass (gram)	T (oC)	Basal metabolic rate (watts)	Tax
Acris crepitans	1.59	15	2.66E-04	amphibia
Agalychnis callidryas	5.65	20	0.00187	amphibia
Ambystoma gracile	30.39	15	0.00353	amphibia
Ambystoma jeffersonianum	8.92	15	1.76E-03	amphibia
Ambystoma macrodactylum	3.414	15	6.11E-04	amphibia
Ambystoma maculatum	15.83	15	0.00201	amphibia
Ambystoma mexicanum	21.3	22	1.77E-03	amphibia
Ambystoma opacum	4.65	14	4.79E-04	amphibia
Ambystoma talpoideum	7	15	3.11E-03	amphibia
Ambystoma tigrinum	10.78	15	7.65E-04	amphibia
Amphiuma means	352	5	0.00493	amphibia
Amphiuma tridactylum	652	15	1.37E-02	amphibia
Aneides ferreus	2.73	15	4.12E-04	amphibia
Aneides flavipunctatus	4.57	15	6.67E-04	amphibia
Aneides hardii	0.97	20	2.85E-04	amphibia
Aneides lugubris	5.58	15	8.31E-04	amphibia
Batrachoseps attenuatus	0.93	25	4.45E-04	amphibia
Bolitoglossa franklini	3.18	15	3.05E-04	amphibia
Bolitoglossa morio	2.09	15	2.47E-04	amphibia
Bolitoglossa occidentalis	0.97	15	1.13E-04	amphibia
Bolitoglossa subpalmata	1.63	5	8.80E-05	amphibia
Bombina orientalis	2.6	20	8.09E-04	amphibia
Boulengerula taitanus	5	35	0.00478	amphibia
Bufo alvaris	150.8	15	0.0659	amphibia
Bufo americanus	50	20	0.0077	amphibia
Bufo boreas	57.8	20	0.00584	amphibia
Bufo bufo	76.13	15	0.01584	amphibia
Bufo calamita	8.7	20	0.0028	amphibia
Bufo cognatus	40.2	25	1.64E-02	amphibia
Bufo debilus	0.66	15	4.69E-04	amphibia
Bufo marinus	145	15	0.00855	amphibia
Bufo terrestris	19.8	25	0.01245	amphibia
Bufo viridis	35	20	4.87E-03	amphibia
Bufo woodhousii	56.3	25	1.24E-02	amphibia
Ceratophrys calcarata	55.5	25	1.65E-02	amphibia
Chiromantis petersi	11.2	25	4.41E-03	amphibia
Chiropterotriton bromeliacia	0.59	15	8.02E-05	amphibia
Colostethus inguinalis	1.57	20	7.58E-04	amphibia
Colostethus nubicola	0.27	25	2.42E-04	amphibia
Colostethus trinitatus	1	25	0.00112	amphibia
Conraua goliath	251	25	1.05E-01	amphibia
Crinia parinsignifera	0.452	30	9.50E-04	amphibia
Crinia signifera	0.621	25	8.28E-04	amphibia
Cryptobranchus alleganiensis	423	25	7.28E-02	amphibia
Cyclorana platycephala	11	15	3.28E-03	amphibia
Dendrobates auratus	1.77	25	8.85E-04	amphibia
Desmognathus fuscus	2.09	20	4.97E-04	amphibia
Desmognathus monticola	3.43	20	8.09E-04	amphibia
Desmognathus ochrophaes	1.6	17.5	2.37E-04	amphibia
Desmognathus quadramaculatus	23.41	5	9.13E-04	amphibia
Dicamptodon ensatus	101.25	15	0.00729	amphibia
Discoglossus pictus	30.7	20	6.32E-03	amphibia
Eleutherodactylus coqui	4.06	20	9.30E-04	amphibia
Eleutherodactylus portoricensis	3.7	15	1.42E-03	amphibia
Ensatina eschscholtzi	5.3	25	1.98E-03	amphibia
Eurycea bislineata	1.14	5	8.78E-05	amphibia
Eurycea longicauda	1.57	15	2.79E-04	amphibia
Eurycea multiplicata	0.71	15	8.59E-05	amphibia
Eurycea nana	0.154	25	7.33E-05	amphibia
Eurycea neotenes	0.243	25	1.43E-04	amphibia
Eurycea pterophila?	0.196	25	9.78E-05	amphibia
Gastrophryne carolinesis	1.9	20	5.49E-04	amphibia
Geotrypetes seraphini	1.93	20	3.98E-04	amphibia
Gyrinophilus danielsi	14.44	15	0.00179	amphibia
Gyrinophilus porphyrictus	12.4	15.5	1.04E-03	amphibia
Hydromantes sp.	3.23	15	6.88E-04	amphibia
Hyla arborea	7.78	18.5	0.01358	amphibia
Hyla arenicolor	3.37	20	1.67E-03	amphibia
Hyla chrysoscelis	3.9	10	8.23E-04	amphibia
Hyla cinerea	4.5	25	0.00255	amphibia
Hyla crepitans	9.9	25	6.38E-03	amphibia
Hyla crucifer	1.15	20	7.03E-04	amphibia
Hyla gratiosa	13.9	29	0.00734	amphibia
Hyla maxima	41.4	25	2.19E-02	amphibia
Hyla regilla	2.27	21	4.95E-04	amphibia
Hyla squirella	2.2	27	2.02E-03	amphibia
Hyla versicolor	8.62	19	3.73E-03	amphibia
Hyperolius marmoratus	1	20	3.73E-04	amphibia
Hyperolius parallelus	1	20	4.25E-04	amphibia
Hyperolius tuberilinguis	1	20	3.77E-04	amphibia
Hyperolius viridiflavus	0.9	20	4.70E-04	amphibia
Kaloula pulchra	30.7	20	0.00442	amphibia
Kassina senegalensis	3.02	20	0.00127	amphibia
Kassina weali	6.25	20	0.00177	amphibia
Lepidobatrachus llanensis	88.5	25	0.0477	amphibia
Leptodactylus typhonius	5.1	25	3.26E-03	amphibia
Microhyla carolinensis	3.5	15	0.00128	amphibia
Molga torosa?	17.5	18.5	0.01517	amphibia
Necturus maculosus	125	25	1.38E-02	amphibia
Notophthalmus viridescens	3	20	7.50E-04	amphibia
Occidozyga martensii	9.3	35	0.00599	amphibia
Odontophrynus americanus	15.24	20	3.05E-03	amphibia
Osteopilus septentrionalis	5	20	1.84E-03	amphibia
Phyllomedusa sauvagei	17.5	10	2.82E-03	amphibia
Physalaemus pustulosus	2.9	25	1.89E-03	amphibia
Plethodon cinereus	0.6	17.5	9.36E-05	amphibia
Plethodon dorsalis	0.69	25	1.32E-04	amphibia
Plethodon glutinosus	5.01	20	9.27E-04	amphibia
Plethodon jordani	3.1	5	1.49E-04	amphibia
Plethodon neomexicanus	2.47	25	8.37E-04	amphibia
Plethodon spp.	3.25	22	1.03E-03	amphibia
Pseudacris nigrita	1	25	9.00E-04	amphibia
Pseudacris triseriata	0.94	5	7.80E-05	amphibia
Pseudobranchus striatus	2.19	25	6.20E-04	amphibia
Pseudoeurycea belli	24.45	25	3.99E-03	amphibia
Pseudoeurycea brunnata	3.33	15	3.65E-03	amphibia
Pseudoeurycea cephalica	1.45	15	1.97E-04	amphibia
Pseudoeurycea cochranae	2.23	15	2.54E-04	amphibia
Pseudoeurycea gadovii	2.88	15	4.72E-04	amphibia
Pseudoeurycea goebeli	3.78	5	2.00E-04	amphibia
Pseudoeurycea leprosa	2.46	15	3.10E-04	amphibia
Pseudoeurycea rex	1.86	15	2.18E-04	amphibia
Pseudoeurycea smithii	6.66	15	6.59E-04	amphibia
Pseudotriton ruber	10.81	5	3.78E-04	amphibia
Pternohyla fodiens	15.1	20	0.00269	amphibia
Pyxicephalus adspersus	562.3	20	0.07928	amphibia
Rana arvalis	17	5	0.00235	amphibia
Rana aspersa	563	18.5	1.76E-01	amphibia
Rana berlandieri	70	29	0.03906	amphibia
Rana blythi	88.7	25	0.0243	amphibia
Rana cancrivora	20.45	30	1.26E-02	amphibia
Rana catesbeiana	262	5	7.34E-03	amphibia
Rana chalconota	4.1	25	0.00217	amphibia
Rana clamitans	32.5	25	0.01502	amphibia
Rana cyanophlyctis	0.294	29	1.20E-03	amphibia
Rana erythraea	19	15	9.88E-04	amphibia
Rana esculenta	15.2	23	0.0014	amphibia
Rana hexadactyla	51.9	29	0.06659	amphibia
Rana magna	34.2	30	1.58E-02	amphibia
Rana muscosa	13.5	4	5.54E-04	amphibia
Rana nicobariensis	2.6	25	0.00142	amphibia
Rana palustris	36	21.5	2.04E-02	amphibia
Rana pipiens	34.8	10	0.00271	amphibia
Rana ridibunda	35	20	0.00623	amphibia
Rana sylvatica	6	25	0.0036	amphibia
Rana temporaria	39	15	1.56E-03	amphibia
Rana virgatipes	7	5	7.77E-04	amphibia
Rhyacotriton olympicus	2.6	15	0.00139	amphibia
Salamandra maculosa	28.32	18.5	0.02025	amphibia
Salamandra salamandra	75	16	6.30E-03	amphibia
Scaphiopus bombifrons	13.3	15	0.01028	amphibia
Scaphiopus couchii	24.6	21	1.01E-02	amphibia
Scaphiopus hammondii	12.74	21	6.37E-03	amphibia
Scaphiopus holbrooki	14	15	0.00651	amphibia
Siren intermedia	13.7	25	2.51E-03	amphibia
Siren lacertina	269	25	0.01695	amphibia
Smilisca baudinii	23.7	15	8.79E-03	amphibia
Taricha granulosa	6.56	15	8.92E-04	amphibia
Taricha rivularis	10.83	15	1.67E-03	amphibia
Taricha torosa	9.87	10	4.94E-04	amphibia
Telmatobius culeus	122.3	10	0.00954	amphibia
Telmatobius marmoratus	18.4	10	5.12E-03	amphibia
Thorius sp.	0.31	15	4.43E-05	amphibia
Triturus cristatus	7	10	0.00214	amphibia
Triturus vulgaris	8.75	25	0.00904	amphibia
Typhlonectes compressicauda	30.62	25	0.00802	amphibia
Xenopus laevis	139	20	0.02127	amphibia
Xenopus mulleri	24	17	0.01394	amphibia
Acabthodactylus boskianus	7.8	40	0.013	reptilia
Acanthodactylus erythrurus	9	35	0.01751	reptilia
Acanthodactylus opheodurus	3.8	30	0.00439	reptilia
Acanthodactylus pardalis	9.7	40	0.03772	reptilia
Acanthodactylus schmidti	14.5	35	0.01788	reptilia
Acanthodactylus schreiberi	10.9	40	0.0169	reptilia
Acanthodactylus scutellatus	6.6	40	0.01687	reptilia
Acanthophis praelongus	105.5	30	0.02754	reptilia
Acontias meleagris	7.3	33	0.00377	reptilia
Acrantophis dumerili	2548.5	20	0.10704	reptilia
Acrochordus aradurae	1047.7	30	0.13725	reptilia
Aligator mississippiensis	1287	10	0.0399	reptilia
Amblyrhynchus cristatus	747.5	25	0.15174	reptilia
Amphibolurus barbatus	373	37	0.29019	reptilia
Amphibolurus nuchalis	24.65	40	0.03301	reptilia
Anarbylus switaki	9.48	25	0.00389	reptilia
Anguis fragilis	12.067	30	0.00395	reptilia
Anniella pulchra	4.8466	25	0.00176	reptilia
Anolis acutus	4.3	30	0.00693	reptilia
Anolis bonariensis	12	27	0.00433	reptilia
Anolis carolinensis	4.5	30	4.70E-03	reptilia
Anolis limifrons	1.5	20	6.66E-04	reptilia
Antaresia childreni	331.7	24	0.06435	reptilia
Antaresia stimsoni	349.9	30	0.11092	reptilia
Aspidites melanocephalus	1027.5	24	0.20961	reptilia
Blanus cinereus	2.4	30	0.00235	reptilia
Boa constrictor	7815.5	30	0.70339	reptilia
Bunopus tuberculatus	2.5	35	0.01421	reptilia
Candoia carinatus	521.9	20	0.0214	reptilia
Chalcides ocellatus	22.06	33	0.01152	reptilia
Chelydra serpentina	3473	10	0.06599	reptilia
Chironius quadricarinatus	61	20	0.01153	reptilia
Cnemidophorus murinus	85	40	0.08644	reptilia
Cnemidophorus tigris	18	30	0.014	reptilia
Coleonyx variegatus	3.43	25	0.00279	reptilia
Coluber constrictor	262	35	0.09327	reptilia
Corallus caninus	556	20	0.02724	reptilia
Corallus enhydris	802	30	0.10426	reptilia
Cosymbotus platyurus	3.5	27	0.00195	reptilia
Crotalus viridis	301	35	0.10716	reptilia
Crotaphytus collaris	30	37	0.04668	reptilia
Ctenotus labillardieri	2.8	20	0.00111	reptilia
Cyclagras gigas	2680	20	0.47704	reptilia
Diadophis punctatus	4.4	30	0.00323	reptilia
Diplometopon zarudnyi	6.34	35	0.00539	reptilia
Dipsas albifrons	22	20	0.0044	reptilia
Dipsosaurus dorsalis	40.36	45	0.05606	reptilia
Egernia cunninghami	261	20	0.04933	reptilia
Elaphe guttata	800	25	0.5024	reptilia
Epicrates cenchria	416	30	0.06739	reptilia
Eryx colubrinus	85.85	20	0.00704	reptilia
Eumeces fasciatus	7	30	0.00933	reptilia
Eumeces inexpectatus	9.6	30	0.00816	reptilia
Eumeces obsoletus	30	20	0.00834	reptilia
Eunectes murinus	1130	20	0.13221	reptilia
Eunectes notaeus	14400	20	1.20E+00	reptilia
Garthia gaudichaudi	0.805	25	4.27E-04	reptilia
Gekko gecko	61.5	30	0.03296	reptilia
Gerrhonotus multicarinatus	29	20	0.00916	reptilia
Gonotodes antillensis	1.8	34	0.00166	reptilia
Helicops modestus	196	30	0.05998	reptilia
Hemidactylus frenatus	2	27	0.00117	reptilia
Iguana iguana	795	37	0.66224	reptilia
Klauberina riversiana	19	35	0.00211	reptilia
Lacerta agilis	8.4	35	0.02273	reptilia
Lacerta sicula	9	20	0.00272	reptilia
Lacerta trilineata	71	20	0.00902	reptilia
Lacerta viridis	31	20	0.00465	reptilia
Lacerta vivipara	3.95	30	0.0052	reptilia
Lampropeltis getulus	1217	26	0.18985	reptilia
Lampropeltis miliaris	401	25	0.10707	reptilia
Leimadophis poecilogyrus	42	20	9.32E-03	reptilia
Lepidophyma gaigeae	5	15	7.50E-04	reptilia
Lepidophyma smithi	25	30	0.00973	reptilia
Liasis fuscus	1306.9	30	0.15944	reptilia
Liasis olivaceus	3000.7	24	0.24906	reptilia
Lichanura roseofusca	314	32	0.12215	reptilia
Lichanura trivirgata	182	20	0.01329	reptilia
Masticodryas bifossatus	735	20	0.17566	reptilia
Masticophis flagellum	262	35	1.23743	reptilia
Morelia spilota variegata	2173.5	30	3.13E-01	reptilia
Natrix maura	22.5	5	8.10E-04	reptilia
Natrix natrix helretica	82.5	5	0.00182	reptilia
Nerodia rhombifera	238	30	0.12566	reptilia
Ophisaurus ventralis	32.185	25	0.00689	reptilia
Oxyrhopus trigeminus	98	20	0.01901	reptilia
Pelamis platurus	116	30	0.03863	reptilia
Philodryas olfersii	176	20	0.03819	reptilia
Philodryas patagoniensis	388	20	0.1098	reptilia
Philodryas serra	135	20	0.02619	reptilia
Phrynosoma cornutum	35	35	0.03227	reptilia
Phrynosoma douglassi	28	35	0.0266	reptilia
Phrynosoma mcalli	16	37	0.02445	reptilia
Physignathus lesueurii	504	37	0.39211	reptilia
Pituophis melanolecus	548	20	0.05809	reptilia
Pitupophis catenifer affinis	548	30	1.22E-01	reptilia
Podarcis hispanica	3.43	10	3.81E-04	reptilia
Podarcis lilfordi brauni	7.4	20	0.003	reptilia
Podarcis muralis	5.5	35	0.01305	reptilia
Psammodromus algirus	5.2	20	0.00355	reptilia
Pseudemys scripta	305	10	0.00641	reptilia
Pseudonaja nuchalis	214.1	33	0.088	reptilia
Ptyodactylus hasselquistii	8.5	30	0.00689	reptilia
Python curtis	2373.5	20	0.09731	reptilia
Python molurus	NA	20	0.83376	reptilia
Python regius	787	20	0.03856	reptilia
Python reticulatus	14326	20	0.7163	reptilia
Python sebae	16140	20	0.62946	reptilia
Salvadora hexalepis	65	30	0.03861	reptilia
Sauromalus hispidus	574	20	0.05683	reptilia
Sauromalus obesus	150	20	0.02415	reptilia
Sceloporus graciosus	5	25	0.00245	reptilia
Sceloporus occidentalis	10.105	25	0.00606	reptilia
Sceloporus olivaceus	24	20	8.78E-03	reptilia
Sceloporus undulatus	3.8	20	8.25E-04	reptilia
Sceloporus variabilis	12.215	10	0.0112	reptilia
Scelotes gronovii	1.1	33	1.39E-03	reptilia
Scincella lateralis	1	20	6.67E-04	reptilia
Scinus mitranus	14.6	35	0.01216	reptilia
Sibynomorphis mikanii	11	20	0.00751	reptilia
Spalerosophis cliffordi	300	35	3.17E-01	reptilia
Sphaerodactylus beattyi	0.4	30	5.00E-04	reptilia
Sphaerodactylus cinereus	0.4	27	2.22E-04	reptilia
Sphaerodactylus macrolepis	0.5	30	7.23E-04	reptilia
Sphenodon punctatum	430	25	0.07396	reptilia
Sphenops sepsoides	7.4	30	0.00325	reptilia
Storeria dekayi	7.2	30	0.00648	reptilia
Tarentola mauritanica	6.6	35	0.00667	reptilia
Terrapene ornata ornata	354	10	0.00142	reptilia
Thamnodyastes strigatus	55	20	0.01254	reptilia
Thamnophis butleri	19.02	25	0.0065	reptilia
Thamnophis proximus	31	30	0.02582	reptilia
Thamnophis sirtalis	200	29	0.0366	reptilia
Tiliqua rugosa	508.6	35	0.40688	reptilia
Tiliqua scincoides	493	20	0.07395	reptilia
Trachydosaurus rugosus	461	20	0.07699	reptilia
Trogonophis weigmanni	4.985	25	0.00107	reptilia
Uromastyx microlepis	289.84	20	0.01942	reptilia
Uta mearnsi	14	20	0.00304	reptilia
Uta stansburiana	3.625	37	0.00604	reptilia
Varanus albigularis	963	35	0.82914	reptilia
Varanus bengalensis	3440	30	0.97352	reptilia
Varanus exanthematicus	3836	25	10.52215	reptilia
Varanus giganteus	2496	25.9	0.59405	reptilia
Varanus gilleni	27.5	37	0.02978	reptilia
Varanus gouldi	674	20	0.08964	reptilia
Varanus mertensi	904	35	0.39143	reptilia
Varanus panoptes	2005	20.5	0.30476	reptilia
Varanus varius	4410	30	1.22598	reptilia
Varnus rosenbergi	1269.3	35	0.9304	reptilia
Vipera berus	63	25	3.15E-02	reptilia
Xantusia henshawi	3.5	15	7.21E-04	reptilia
Xantusia vigilis	1.5	30	0.00144	reptilia
Xenodon guentheri	50	20	0.0097	reptilia
Xenodon merremii	502	20	0.11998	reptilia
Abramis brama	102.9	18	0.05404	fishes
Acanthopagrus schlegelii schlegelii	254	25	0.02964	fishes
Acipenser gueldenstaedtii	208	18	0.05664	fishes
Acipenser nudiventris	89	19	0.04708	fishes
Acipenser ruthenus	258	20	0.03514	fishes
Acipenser stellatus	6500	20	1.7446	fishes
Acipenser transmontanus	950	15	0.01112	fishes
Aequidens pulcher	5	25	0.00237	fishes
Alburnus alburnus	9	8	0.0028	fishes
Ambassis interrupta	5	25	0.00158	fishes
Ameiurus melas	50	17	0.0142	fishes
Ameiurus natalis	20	15	0.00405	fishes
Ameiurus nebulosus	116	10	0.00902	fishes
Anabas testudineus	27.62	28	5.39E-04	fishes
Anarhichas minor	27.5	1.35	0.00385	fishes
Anguilla anguilla	71.1	14	0.00525	fishes
Anguilla australis australis	700	20	0.05992	fishes
Anguilla japonica	325	14.5	0.02528	fishes
Anguilla rostrata	315	15	0.02574	fishes
Anoplogaster cornuta	36.7	5	4.29E-04	fishes
Aphanius dispar dispar	0.56	17	7.28E-04	fishes
Arapaima gigas	2300	28	0.22379	fishes
Aristostomias lunifer	21.1	5	0.00123	fishes
Bajacalifornia burragei	24.9	5	7.74E-04	fishes
Balistes capriscus	320	17.5	0.10458	fishes
Bathylagus antarcticus	27.15	0.25	0.00274	fishes
Bathylagus stilbius	8.55	5	0.00116	fishes
Bathylagus wesethi	1.5	10	7.94E-04	fishes
Benthalbella elongata	35.3	0.25	0.00728	fishes
Boreogadus saida	110	1	0.0077	fishes
Borostomias panamensis	110.25	5	0.01073	fishes
Brevoortia tyrannus	78.4	10	0.03111	fishes
Callionymus lyra	105	11.5	0.00858	fishes
Campostoma anomalum	19.25	17.9	0.014	fishes
Caranx hippos	38.3	14.7	0.03352	fishes
Carassius auratus auratus	3.8	5	1.77E-04	fishes
Carassius carassius	12.5	5	4.86E-04	fishes
Catostomus commersonii	100	10	0.01362	fishes
Catostomus tahoensis	43.73	8	0.01072	fishes
Centropristis striata	84	25	0.03268	fishes
Chaenocephalus aceratus	1130	2	0.0791	fishes
Channa marulius	93	30	0.01447	fishes
Channa orientalis	30	30	0.0063	fishes
Channa punctata	12.5	26	8.75E-04	fishes
Channa striata	82	30	0.01372	fishes
Channichthys rhinoceratus	200	5.5	0.05368	fishes
Chanos chanos	0.7	25	0.00188	fishes
Chiasmodon niger	76.6	2.5	0.01162	fishes
Chiloscyllium plagiosum	880	23	0.16086	fishes
Chromis chromis	10.4	16	0.00538	fishes
Cichlasoma bimaculatum	11	22	0.00252	fishes
Cirrhinus cirrhosus	1821	21.5	0.32578	fishes
Citharichthys stigmaeus	15	15	0.00467	fishes
Clarias batrachus	77	26	0.01648	fishes
Clinocottus analis	37	20	0.01756	fishes
Colisa fasciata	0.92	28	3.72E-04	fishes
Colossoma macropomum	1760	25	0.34232	fishes
Conger conger	545	13	0.1823	fishes
Coregonus autumnalis	234	7.2	0.12561	fishes
Coregonus fera	0.11	14	2.57E-04	fishes
