#downloaded from http://genomics.senescence.info/species/dataset.zip # I have deleted single quotes by hand
HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Common name	Female maturity (days)	Male maturity (days)	Gestation/Incubation (days)	Weaning (days)	Litter/Clutch size	Litters/Clutches per year	Inter-litter/Interbirth interval	Birth weight (g)	Weaning weight (g)	Adult weight (g)	Growth rate (1/days)	Maximum longevity (yrs)	Source	Specimen origin	Sample size	Data quality	IMR (per yr)	MRDT (yrs)	Metabolic rate (W)	Body mass (g)	Temperature (K)	References
00011	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	brevirostrum	Shortnose sturgeon	5657		13		120000					9325		67	454	wild	medium	acceptable						440,454
00012	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	dabryanus	Yangtze sturgeon												100	454	wild	medium	acceptable						454
00013	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	fulvescens	Lake sturgeon	9490	2920	6		350000					70000		152	1	wild	medium	acceptable	0.013	10				1,2,440,454,524
00014	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	gueldenstaedtii	Russian sturgeon	5110	4380								63250		46	454	wild	medium	acceptable						454
00015	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	oxyrinchus	Atlantic sturgeon										202400		60	22	wild	medium	acceptable						22,454
00016	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	ruthenus	Sterlet	2129	1460								8800		46.1	1	captivity	medium	acceptable						1,454
00017	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	schrenckii	Amur sturgeon	4562	3285								104500		60	454	wild	medium	acceptable						454
00018	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	stellatus	Star sturgeon	3285	2190								44000		27	454	wild	medium	acceptable						454
00019	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	sturio	Baltic sturgeon	4608	3467								220000		100	454	wild	medium	acceptable						454
00020	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser	transmontanus	White sturgeon	8212	6022								448800		104	22	wild	medium	acceptable						22,454
00021	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Huso	dauricus	Kaluga	6113	6387								550000		55	454	wild	medium	acceptable						454
00022	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Huso	huso	Beluga sturgeon	6387	4745								1.1396e+06		118	1	wild	medium	acceptable						1,454
00023	Animalia	Chordata	Actinopterygii	Acipenseriformes	Acipenseridae	Pseudoscaphirhynchus	hermanni	Dwarf sturgeon										27.775		6	454	wild	medium	acceptable						454
00024	Animalia	Chordata	Actinopterygii	Acipenseriformes	Polyodontidae	Polyodon	spathula	Mississippi paddlefish	3285	2190								49885		55	454	wild	medium	acceptable						454
00025	Animalia	Chordata	Actinopterygii	Amiiformes	Amiidae	Amia	calva	Bowfin	1551	1460								5362.5		30	454	wild	medium	acceptable						454,520
00026	Animalia	Chordata	Actinopterygii	Anguilliformes	Anguillidae	Anguilla	anguilla	European eel	4562	4015								3629.45		88	2	captivity	small	acceptable						2,232,454,523
00027	Animalia	Chordata	Actinopterygii	Anguilliformes	Anguillidae	Anguilla	australis	Shortfin eel										4100		32	454	wild	medium	acceptable						454
00028	Animalia	Chordata	Actinopterygii	Anguilliformes	Anguillidae	Anguilla	bicolor	Indonesian shortfin eel												20	454	wild	medium	acceptable						454
00029	Animalia	Chordata	Actinopterygii	Anguilliformes	Anguillidae	Anguilla	dieffenbachii	New Zealand longfin eel										13000		60	523	wild	medium	acceptable						454,523
00030	Animalia	Chordata	Actinopterygii	Anguilliformes	Anguillidae	Anguilla	marmorata	Marbled eel										11275		40	454	wild	medium	acceptable						454
00031	Animalia	Chordata	Actinopterygii	Anguilliformes	Anguillidae	Anguilla	mossambica	African longfin eel										412.5		20	454	wild	medium	acceptable						454
00032	Animalia	Chordata	Actinopterygii	Anguilliformes	Anguillidae	Anguilla	nebulosa	Long-finned eel										11000		15	454	wild	medium	acceptable						454
00033	Animalia	Chordata	Actinopterygii	Anguilliformes	Anguillidae	Anguilla	reinhardtii	Speckled longfin eel	7300	3650								8965		41	454	wild	medium	acceptable						454
00034	Animalia	Chordata	Actinopterygii	Anguilliformes	Anguillidae	Anguilla	rostrata	American eel	1642	1642								4031.5		50	583	captivity	small	acceptable						454,523,583
00035	Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinidae	Atherina	presbyter	Sand smelt												4	454	wild	medium	acceptable						454
00036	Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinopsidae	Atherinops	affinis	Topsmelt												9	1	wild	medium	acceptable						1
00037	Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinopsidae	Atherinopsis	californiensis	Jacksmelt												11	1	wild	medium	acceptable						1
00038	Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinopsidae	Labidesthes	sicculus	Brook silverside	120	120										2	442	wild	medium	acceptable						442
00039	Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinopsidae	Leuresthes	tenuis	California grunion												8	1	wild	medium	acceptable						1
00040	Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinopsidae	Menidia	beryllina	Inland silverside												2	1	wild	medium	acceptable						1
00041	Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinopsidae	Menidia	extensa	Waccamaw silverside												3	454	wild	medium	acceptable						454
00042	Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinopsidae	Menidia	menidia	Atlantic silverside												2	454	wild	medium	acceptable						454
00043	Animalia	Chordata	Actinopterygii	Aulopiformes	Synodontidae	Trachinocephalus	myops	Snakefish	730	730										7	454	wild	medium	acceptable						454
00044	Animalia	Chordata	Actinopterygii	Beloniformes	Adrianichthyidae	Oryzias	latipes	Japanese medaka			10									5	683	captivity	medium	acceptable						524,682,683,684,685,686,836
00045	Animalia	Chordata	Actinopterygii	Beloniformes	Hemiramphidae	Hyporhamphus	melanochir	Dusky sea garfish	912	912								330		10	454	wild	medium	acceptable						454
00046	Animalia	Chordata	Actinopterygii	Beloniformes	Scomberesocidae	Cololabis	saira	Pacific saury												2	454	wild	medium	acceptable						454
00047	Animalia	Chordata	Actinopterygii	Beryciformes	Berycidae	Beryx	splendens	Alfonsino	2153	2737										23	454	wild	medium	acceptable						454
00048	Animalia	Chordata	Actinopterygii	Beryciformes	Trachichthyidae	Hoplostethus	atlanticus	Orange roughy	6448	7208								3850		149	454	wild	medium	acceptable						22,454
00049	Animalia	Chordata	Actinopterygii	Beryciformes	Trachichthyidae	Hoplostethus	mediterraneus	Mediterranean redfish														unknown	small	low						454
00050	Animalia	Chordata	Actinopterygii	Characiformes	Alestiidae	Brycinus	imberi	Spot-tail										165		5	454	wild	medium	acceptable						454
00051	Animalia	Chordata	Actinopterygii	Characiformes	Alestiidae	Brycinus	macrolepidotus	Silversides										1100		5	454	wild	medium	acceptable						454
00052	Animalia	Chordata	Actinopterygii	Characiformes	Alestiidae	Hydrocynus	vittatus	Tiger fish										15400		8	454	wild	medium	acceptable						454
00053	Animalia	Chordata	Actinopterygii	Characiformes	Alestiidae	Micralestes	acutidens	Sharptooth tetra										1.1		3	454	wild	medium	acceptable						454
00054	Animalia	Chordata	Actinopterygii	Characiformes	Characidae	Astyanax	bimaculatus	Twospot astyanax												18	1	wild	medium	acceptable						1
00055	Animalia	Chordata	Actinopterygii	Characiformes	Characidae	Piaractus	brachypomus	Pirapitinga										13750		28	454	wild	medium	acceptable						454
00056	Animalia	Chordata	Actinopterygii	Characiformes	Citharinidae	Distichodus	niloticus	Nile distichodus										3410		7.5	583	captivity	small	acceptable						454,583
00057	Animalia	Chordata	Actinopterygii	Characiformes	Hepsetidae	Hepsetus	odoe	Pike characid										2200		5	454	wild	medium	acceptable						454
00058	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa	aestivalis	Blueback shad	1460	1277								110		8	454	wild	medium	acceptable						454
00059	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa	agone	Twaite shad										825		25	454	wild	medium	acceptable						454
00060	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa	alabamae	Alabama shad												4	454	wild	medium	acceptable						454
00061	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa	alosa	Alice shad	1642	1277								2200		10	454	wild	medium	acceptable						454
00062	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa	caspia	Caspian shad										65		7	454	wild	medium	acceptable						454
00063	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa	chrysochloris	Blue herring										935		4	454	wild	medium	acceptable						454
00064	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa	macedonica	Macedonia shad										330		10	454	wild	medium	acceptable						454
00065	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa	maeotica	Black sea shad												6	454	wild	medium	acceptable						454
00066	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa	pontica	Pontic shad	730	730										7	454	wild	medium	acceptable						454
00067	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa	pseudoharengus	Alewife	1642	1277								110		8	454	wild	medium	acceptable						454
00068	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa	sapidissima	American shad	1678	1569								3025		13	454	wild	medium	acceptable						454,520
00069	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Amblygaster	sirm	Spotted sardinella	310	350										8	454	wild	medium	acceptable						454
00070	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	harengus	Atlantic herring	1095	1095										22	1	wild	medium	acceptable						1,585
00071	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	pallasii	Pacific herring												19	520	wild	medium	acceptable						520,524
00072	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupeonella	cultriventris	Black sea sprat	912	912										5	454	wild	medium	acceptable						454
00073	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Dorosoma	cepedianum	American gizzard shad	730	730								1089		6	454	wild	medium	acceptable						454
00074	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Dorosoma	petenense	Threadfin shad	730	730										4	454	wild	medium	acceptable						454
00075	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Escualosa	thoracata	White sardine														unknown	small	low						454
00076	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Gilchristella	aestuaria	Gilchrists round herring												6	454	wild	medium	acceptable						454
00077	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Harengula	jaguana	Scaled herring	365	365										3	454	wild	medium	acceptable						454,690
00078	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Potamalosa	richmondia	Australian freshwater herring												11	454	wild	medium	acceptable						454
00079	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Sardina	pilchardus	European pilchard	730	730										15	454	wild	medium	acceptable						454,585
00080	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Sardinella	aurita	Round sardinella	365	365								125.95		7	454	wild	medium	acceptable						454
00081	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Sardinella	gibbosa	Goldstripe sardinella												7	454	wild	medium	acceptable						454
00082	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Sardinella	longiceps	Indian oil sardine	730	719								110		4	454	wild	medium	acceptable						454
00083	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Sardinops	sagax	Pacific sardine	821	821								267.3		25	454	wild	medium	acceptable						454,584
00084	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Sprattus	sprattus	European sprat	730	730										6	454	wild	medium	acceptable						454,585
00085	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Tenualosa	toli	Toli shad														unknown	small	low						454
00086	Animalia	Chordata	Actinopterygii	Clupeiformes	Engraulidae	Anchoa	compressa	Deepbody anchovy												6	1	wild	medium	acceptable						1
00087	Animalia	Chordata	Actinopterygii	Clupeiformes	Engraulidae	Cetengraulis	mysticetus	Anchoveta	365	365										4	454	wild	medium	acceptable						454
00088	Animalia	Chordata	Actinopterygii	Clupeiformes	Engraulidae	Engraulis	australis	Australian anchovy												6	454	wild	medium	acceptable						454
00089	Animalia	Chordata	Actinopterygii	Clupeiformes	Engraulidae	Engraulis	encrasicolus	European anchovy	365	365										3	454	wild	medium	acceptable						454
00090	Animalia	Chordata	Actinopterygii	Clupeiformes	Engraulidae	Engraulis	japonicus	Japanese anchovy	365	365										3	454	wild	medium	acceptable						454
00091	Animalia	Chordata	Actinopterygii	Clupeiformes	Engraulidae	Engraulis	mordax	Californian anchoveta	365											7	454	wild	medium	acceptable						454,520
00092	Animalia	Chordata	Actinopterygii	Clupeiformes	Engraulidae	Engraulis	ringens	Peruvian anchoveta												3	454	wild	medium	acceptable						454
00093	Animalia	Chordata	Actinopterygii	Cypriniformes	Balitoridae	Barbatula	barbatula	Stone loach												7	454	wild	medium	acceptable						454
00094	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Carpiodes	carpio	River carpsucker										2524.5		10	454	wild	medium	acceptable						454
00095	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Carpiodes	cyprinus	Quillback										1617		11	454	wild	medium	acceptable						454
00096	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Carpiodes	velifer	Highfin carpsucker												11	454	wild	medium	acceptable						454
00097	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Catostomus	catostomus	Longnose sucker										1800		20	454	wild	medium	acceptable						454
00098	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Catostomus	commersonii	White sucker										1617		12	454	wild	medium	acceptable						454
00099	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Catostomus	macrocheilus	Largescale sucker												15	454	wild	medium	acceptable						454
00100	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Catostomus	microps	Modoc sucker												18	454	wild	medium	acceptable						454
00101	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Catostomus	occidentalis	Sacramento sucker												10	1	wild	medium	acceptable						1
00102	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Catostomus	platyrhynchus	Mountain sucker	1277	1003										9	454	wild	medium	acceptable						454
00103	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Catostomus	rimiculus	Klamath smallscale sucker												9	454	wild	medium	acceptable						454
00104	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Catostomus	tahoensis	Tahoe sucker												15	454	wild	medium	acceptable						454
00105	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Chasmistes	cujus	Cui-ui	5657	5657								1496		41	454	wild	medium	acceptable						454
00106	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Chasmistes	liorus	June sucker												40	454	wild	medium	acceptable						454
00107	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Cycleptus	elongatus	Blue sucker												13	454	wild	medium	acceptable						454
00108	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Cycleptus	meridionalis	Southeastern blue sucker												33	454	wild	medium	acceptable						454
00109	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Deltistes	luxatus	Lost river sucker												18	454	wild	medium	acceptable						454
00110	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Erimyzon	oblongus	Creek chubsucker												6	454	wild	medium	acceptable						454
00111	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Hypentelium	nigricans	Northern hog sucker	1000	700								700		11	454	wild	medium	acceptable						442,454
00112	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Hypentelium	roanokense	Roanoke hog sucker												5	454	wild	medium	acceptable						454
00113	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Ictiobus	bubalus	Smallmouth buffalo										20515		15	454	wild	medium	acceptable						454
00114	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Ictiobus	cyprinellus	Bigmouth buffalo										17545		20	454	wild	medium	acceptable						454
00115	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Ictiobus	niger	Black buffalo										15785		24	454	wild	medium	acceptable						454
00116	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Minytrema	melanops	Spotted sucker										676.5		6	454	wild	medium	acceptable						454
00117	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Moxostoma	anisurum	Silver redhorse										5940		10	454	wild	medium	acceptable						454
00118	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Moxostoma	breviceps	Hookfin redhorse	1460	1460								750		8	442	unknown	medium	questionable						442
00119	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Moxostoma	carinatum	River redhorse	1095	1095			14500					3089		12		unknown	medium	questionable						442,454
00120	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Moxostoma	duquesnii	Black redhorse	1095	1095								1250		10	454	wild	medium	acceptable						442,454
00121	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Moxostoma	erythrurum	Golden redhorse										2244		11	454	wild	medium	acceptable						454
00122	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Moxostoma	macrolepidotum	Shorthead redhorse										2194.5		9	454	wild	medium	acceptable						454
00123	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Thoburnia	atripinnis	Blackfin sucker												4	454	wild	medium	acceptable						454
00124	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Thoburnia	hamiltoni	Rustyside sucker												5	454	wild	medium	acceptable						454
00125	Animalia	Chordata	Actinopterygii	Cypriniformes	Catostomidae	Thoburnia	rhothoeca	Torrent sucker												7	454	wild	medium	acceptable						454
00126	Animalia	Chordata	Actinopterygii	Cypriniformes	Cobitidae	Misgurnus	fossilis	Loach												21.7	520	captivity	small	acceptable						520
00127	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Abramis	brama	Bream	2007	1825								3305.5		23	454	wild	medium	acceptable						454,584
00128	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Aspius	aspius	Asp	1277	1277								4950		11	454	wild	medium	acceptable						454
00129	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Barbus	bynni	Barb												16.3	520	captivity	small	acceptable						520
00130	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Barbus	mattozi	Papermouth										745.25		9	454	wild	medium	acceptable						454
00131	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Barbus	treurensis	Treur barb												6	454	wild	medium	acceptable						454
00132	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Campostoma	oligolepis	Largescale stoneroller												5	454	wild	medium	acceptable						454
00133	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Carassius	auratus	Goldfish												41	1	wild	medium	acceptable						1,401,402
00134	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Chondrostoma	nasus	Sneep										825		15	454	wild	medium	acceptable						454
00135	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Chrosomus	cumberlandensis	Blackside dace												4	454	wild	medium	acceptable						454
00136	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Chrosomus	eos	Northern redbelly dace												3	454	wild	medium	acceptable						454
00137	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Chrosomus	erythrogaster	Southern redbelly dace												3	454	wild	medium	acceptable						454
00138	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Chrosomus	neogaeus	Finescale dace												6	454	wild	medium	acceptable						454
00139	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Clinostomus	elongatus	Redside dace												4	454	wild	medium	acceptable						454
00140	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Couesius	plumbeus	Lake chub	1095											5	454	wild	medium	acceptable						454
00141	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Ctenopharyngodon	idella	Grass carp	1520	1460								24750		21	523	unknown	medium	acceptable						454,523
00142	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Cyprinella	analostana	Satinfin shiner												4	454	wild	medium	acceptable						454
00143	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Cyprinella	galactura	Whitetail shiner												4	454	wild	medium	acceptable						454
00144	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Cyprinella	lutrensis	Red shiner												2	454	wild	medium	acceptable						454
00145	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Cyprinella	spiloptera	Spotfin shiner												5	454	wild	medium	acceptable						454
00146	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Cyprinella	whipplei	Steelcolor shiner												3	454	wild	medium	acceptable						454
00147	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Cyprinus	carpio	Common carp	1095	1095	4		300000					10600		47	1	captivity	large	acceptable						1,104,442
00148	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Danio	rerio	Zebra danio or zebrafish												5.5	3	captivity	large	high						3,70,71,140,141,482,607,662,802,1094,1105
00149	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Exoglossum	laurae	Tonguetied minnow												4	454	wild	medium	acceptable						454
00150	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Exoglossum	maxillingua	Cutlips minnow												2	454	wild	medium	acceptable						454
00151	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Gila	orcuttii	Arroyo chub												4	454	wild	medium	acceptable						454
00152	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Gila	robusta	Roundtail chub												8	454	wild	medium	acceptable						454
00153	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Gobio	gobio	Gudgeon												8	454	wild	medium	acceptable						454
00154	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Labeo	altivelis	Rednose labeo										1980		9	454	wild	medium	acceptable						454
00155	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Labeo	rohita	Rohu	1073	985								24750		10	454	wild	medium	acceptable						454
00156	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Labeobarbus	aeneus	Smallmouth yellowfish										4310.35		12	454	wild	medium	acceptable						454
00157	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Lepidomeda	mollispinis	Virgin spinedace												3	454	wild	medium	acceptable						454
00158	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Leucaspius	delineatus	Belica												2	454	wild	medium	acceptable						454
00159	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Leuciscus	cephalus	European chub	1825	1277								4400		22	454	wild	medium	acceptable						454
00160	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Leuciscus	idus	Ide	2007	1825								2200		29.8	583	captivity	large	acceptable						454,583
00161	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Leuciscus	leuciscus	Common dace	1216	1186								550		16	454	wild	medium	acceptable						454
00162	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Luxilus	chrysocephalus	Striped shiner												4	454	wild	medium	acceptable						454
00163	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Luxilus	coccogenis	Warpaint shiner	1095	1095			525							5	442	wild	medium	acceptable						442
00164	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Luxilus	cornutus	Common shiner												4	454	wild	medium	acceptable						454
00165	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Luxilus	zonatus	Bleeding shiner												3	454	wild	medium	acceptable						454
00166	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Lythrurus	roseipinnis	Cherryfin shiner												1	454	wild	medium	acceptable						454
00167	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Lythrurus	umbratilis	Redfin shiner												3	454	wild	medium	acceptable						454
00168	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Macrhybopsis	aestivalis	Speckled chub														unknown	small	low						454
00169	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Margariscus	margarita	Pearl dace												4	454	wild	medium	acceptable						454
00170	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Nocomis	biguttatus	Horneyhead chub												4	454	wild	medium	acceptable						454
00171	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Nocomis	leptocephalus	Bluehead chub												4	454	wild	medium	acceptable						454
00172	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Nocomis	micropogon	River chub	730	730										5	442	wild	medium	acceptable						442
00173	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Nocomis	raneyi	Bull chub												5	454	wild	medium	acceptable						454
00174	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Notemigonus	crysoleucas	Golden shiner												9	520	wild	medium	acceptable						520
00175	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Notropis	albizonatus	Palezone shiner												3	454	wild	medium	acceptable						454
00176	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Notropis	anogenus	Pugnose shiner												3	454	wild	medium	acceptable						454
00177	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Notropis	atherinoides	Emerald shiner												4	454	wild	medium	acceptable						454
00178	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Notropis	baileyi	Rough shiner												4	454	wild	medium	acceptable						454
00179	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Notropis	blennius	River shiner												4	454	wild	medium	acceptable						454
00180	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Notropis	buccatus	Silverjaw minnow												3	454	wild	medium	acceptable						454
00181	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Notropis	buchanani	Ghost shiner												2	454	wild	medium	acceptable						454
00182	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Notropis	candidus	Silverside shiner												2	454	wild	medium	acceptable						454
00183	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Notropis	heterodon	Blackchin shiner												3	454	wild	medium	acceptable						454
00184	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Notropis	heterolepis	Blacknose shiner														unknown	small	low						454
00185	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Notropis	hudsonius	Spottail shiner												5	454	wild	medium	acceptable						454
00186	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Notropis	maculatus	Taillight shiner														unknown	small	low						454
00187	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Notropis	nubilus	Ozark minnow												4	454	wild	medium	acceptable						454
00188	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Notropis	perpallidus	Peppered shiner												4	454	wild	medium	acceptable						454
00189	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Notropis	petersoni	Coastal shiner												4	454	wild	medium	acceptable						454
00190	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Notropis	procne	Swallowtail shiner												3	454	wild	medium	acceptable						454
