Taxon	Tendency	BM	Tb min	TMRmin	TMRrel	TBDmax	TBDmean	IBE	LAT	References
Spermophilus mexicanus	HIB	0.2	7	0.06	7	60	36	—	26.39	Neumann & Cade (1965)
Spermophilus parryii	HIB	0.65	?2.9	0.012	2	550	420	14.8	63.39	Hock (1960), Barnes (1989), Barnes & Ritter (1993), Buck & Barnes (2000) and Karpovich et al. (2009)
Spermophilus richardsonii	HIB	0.4	2	0.02	4	456	—	10.3	49.39	Hudson & Deavers (1973) and Wang (1978)
Spermophilus saturatus	HIB	0.23	0.3	0.017	4	360	254	—	47.94	Geiser, Hiebert & Kenagy (1990)
Spermophilus tereticaudus	HIB	0.125	—	0.048	7	120	—	—	32.04	Pengelley & Kelley (1966) and Bickler (1984)
Spermophilus variegatus	HIB	0.7	8	—	—	172	110	—	29.99	Pengelley (1964) and Pengelley & Kelley (1966)
Spermophilus xanthoprymnus	HIB	0.3	4	—	—	468	199	—	38.76	Kart Gur, Refinetti & Gur (2009)
Steatomys pratensis	DT	0.028	16.4	0.3	22	16.9	21.5	—	?20	Ellison (1995)
Tamias amoenus	HIB	0.054	?0.2	0.026	2	312	211	—	45.07	Kenagy & Vleck (1982) and Geiser et al. (1990)
Tamias striatus	HIB	0.087	4.9	0.06	6	150	120	18	40.78	Wang & Hudson (1971), Pivorun (1976) and Levesque & Tattersall (2010)
Zapus hudsonius	HIB	0.0226	—	0.043	3	451	—	—	48.34	Muchlinski & Rybak (1978)
Zapus princeps	HIB	0.0336	5.5	0.024	2	650	480	5	47.4	Cranford (1983) and French (1985)
Cheirogaleus crossleyi	HIB	0.5	9	—	—	168	111	10.2	?18.72	Blanco & Rahalinarivo (2010)
Cheirogaleus medius	HIB	0.25	9.3	0.044	8.3	1680	160	6	?19.03	Dausmann, Ganzhorn & Heldmaier (2000) and Dausmann et al. (2004, 2005, 2009)
Galago moholi	DT	0.18	21.8	0.09	10	6.5	5	—	?13.46	Nowack, Mzilikazi & Dausmann (2010)
Microcebus griseorufus	HIB	0.05	6.5	—	—	1848	43.1	—	?22.94	Dausmann et al. (2012) and Kobbe, Ganzhorn & Dausmann (2011)
Microcebus murinus	DT	0.06	7.8	0.16	19	17.6	9.3	—	?18.95	Perret (1998) and Schmid (2000)
Microcebus myoxinus	DT	0.033	6.8	0.09	4.5	19.2	4.6	—	?20.08	Schmid, Ruf & Heldmaier (2000)
Microcebus ravelobensis	DT	0.063	25	—	—	7	5	—	?19.32	Lovegrove et al. (2013)
Meles meles	HIB	13	28	—	—	—	—	—	51	Fowler & Racey (1988)
Mephitis mephitis	DT	2.88	26	—	—	20	7.8	—	43.15	Hwang, Lariviere & Messier (2007)
Proteles cristata	DT	9	31	—	—	—	—	—	?5.74	Anderson (2004)
Taxidea taxus	DT	9	28	0.13	43	22	14	—	38.45	Harlow (1981)
Ursus americanus	HIB	80	29.4	0.042	19	—	—	—	47.57	Watts et al. (1981) and Toien et al. (2011)
Ursus arctos	HIB	100	32.5	—	—	—	—	—	50.76	Hissa (1997)
Barbastella barbastellus	HIB	0.007	—	0.04	2	—	—	—	44.28	Pohl (1961)
Carollia perspicillata	DT	0.018	22	1	53	—	—	—	?4.14	Audet & Thomas (1997)
Chalinolobus gouldii	HIB	0.018	5	0.05	3	—	—	—	?27.37	Hosken & Withers (1997)
Corynorhinus rafinesquii	HIB	0.01	13.9	—	—	—	58	—	32.8	Johnson (2012)
Eptesicus fuscus	HIB	0.0147	1	0.03	3	600	488	2	31.15	Kulzer (1965), French (1985) and Willis et al. (2005a)
Glossophaga soricina	DT	0.01	21	0.23	9	17.5	11.4	—	?2.61	Kelm & von Helversen (2007)
