Table S4

A list of the species in the analysis, their geometric mean clutch size (Clutch), sources used for their
geographic distributions (Range) and for data on clutch sizes and intrinsic variables (Traits). For
details on source abbreviations see Fig. S1 and Table S5.

Order              Family          Species                       Clutch   Range Traits
Ciconiiformes   Burhinidae       Burhinus oedicnemus             2.0       1   HBW3
Ciconiiformes   Burhinidae       Burhinus senegalensis           2.0       1   HBW3
Ciconiiformes   Burhinidae       Burhinus vermiculatus           2.0       1   HBW3
Ciconiiformes   Burhinidae       Burhinus capensis               2.0       1   HBW3
Ciconiiformes   Burhinidae       Burhinus bistriatus             2.0       1   HBW3
Ciconiiformes   Burhinidae       Burhinus superciliaris          2.0       1   HBW3
Ciconiiformes   Burhinidae       Burhinus grallarius             2.0       1   HBW3
Ciconiiformes   Burhinidae       Burhinus recurvirostris         1.4       1   HBW3
Ciconiiformes   Burhinidae       Esacus neglectus                1.0       1   HBW3
Ciconiiformes   Charadriidae     Haematopus ostralegus           3.2       1   HBW3
Ciconiiformes   Charadriidae     Ibidorhyncha struthersii        4.0       1   HBW3
Ciconiiformes   Charadriidae     Cladorhynchus leucocephalus     3.5       1   HBW3
Ciconiiformes   Charadriidae     Recurvirostra avosetta          3.5       1   HBW3
Ciconiiformes   Charadriidae     Recurvirostra americana         4.0       1   HBW3
Ciconiiformes   Charadriidae     Recurvirostra novaehollandiae   4.0       1   HBW3
Ciconiiformes   Charadriidae     Recurvirostra andina            4.0       1   HBW3
Ciconiiformes   Charadriidae     Pluvialis apricaria             4.0       1   HBW3
Ciconiiformes   Charadriidae     Pluvialis fulva                 4.0       1   HBW3
Ciconiiformes   Charadriidae     Pluvialis dominica              4.0       1   HBW3
Ciconiiformes   Charadriidae     Pluvialis squatarola            4.0       1   HBW3
Ciconiiformes   Charadriidae     Charadrius obscurus             3.0       1   HBW3
Ciconiiformes   Charadriidae     Charadrius hiaticula            3.5       1   HBW3
Ciconiiformes   Charadriidae     Charadrius semipalmatus         3.5       1   HBW3
Ciconiiformes   Charadriidae     Charadrius placidus             4.0       1   HBW3
Ciconiiformes   Charadriidae     Charadrius dubius               4.0       1   HBW3
Ciconiiformes   Charadriidae     Charadrius wilsonia             3.0       1   HBW3
Ciconiiformes   Charadriidae     Charadrius vociferus            4.0       1   HBW3
Ciconiiformes   Charadriidae     Charadrius thoracicus           2.0       1   HBW3
Ciconiiformes   Charadriidae     Charadrius pecuarius            2.0       1   HBW3
Ciconiiformes   Charadriidae     Charadrius tricollaris          2.0       1   HBW3
Ciconiiformes   Charadriidae     Charadrius forbesi              2.4       1   HBW3
Ciconiiformes   Charadriidae     Charadrius melodus              4.0       1   HBW3
Ciconiiformes   Charadriidae     Charadrius pallidus             2.0       1   HBW3
Ciconiiformes   Charadriidae     Charadrius alexandrinus         3.0       1   HBW3
Ciconiiformes   Charadriidae     Charadrius marginatus           2.0       1   HBW3
Ciconiiformes   Charadriidae     Charadrius ruficapillus         2.0       1   HBW3
Ciconiiformes   Charadriidae     Charadrius peronii              3.0       1   HBW3
Ciconiiformes   Charadriidae     Charadrius collaris             2.0       1   HBW3
Ciconiiformes   Charadriidae     Charadrius bicinctus            3.0       1   HBW3
Ciconiiformes   Charadriidae     Charadrius falklandicus         3.0       1   HBW3
Ciconiiformes   Charadriidae     Charadrius mongolus             3.0       1   HBW3


Table S4                                                                              Page 30 of 85
Order           Family         Species                    Clutch   Range Traits
Ciconiiformes   Charadriidae   Charadrius leschenaultii     3.0        1   HBW3
Ciconiiformes   Charadriidae   Charadrius asiaticus         3.0        1   HBW3
Ciconiiformes   Charadriidae   Charadrius montanus          3.0        1   HBW3
Ciconiiformes   Charadriidae   Charadrius modestus          2.0        1   HBW3
Ciconiiformes   Charadriidae   Charadrius australis         3.0        1   HBW3
Ciconiiformes   Charadriidae   Erythrogonys cinctus         4.0        1   HBW3
Ciconiiformes   Charadriidae   Eudromias morinellus         3.0        1   HBW3
Ciconiiformes   Charadriidae   Elseyornis melanops          3.0        1   HBW3
Ciconiiformes   Charadriidae   Vanellus vanellus            4.0        1   HBW3
Ciconiiformes   Charadriidae   Vanellus crassirostris       2.8        1   HBW3
Ciconiiformes   Charadriidae   Vanellus malarbaricus        4.0        1   HBW3
Ciconiiformes   Charadriidae   Vanellus tricolor            4.0        1   HBW3
Ciconiiformes   Charadriidae   Vanellus miles               4.0        1   HBW3
Ciconiiformes   Charadriidae   Vanellus armatus             3.0        1   HBW3
Ciconiiformes   Charadriidae   Vanellus spinosus            2.8        1   HBW3
Ciconiiformes   Charadriidae   Vanellus duvaucelii          4.0        1   HBW3
Ciconiiformes   Charadriidae   Vanellus tectus              2.4        1   HBW3
Ciconiiformes   Charadriidae   Vanellus melanocephalus      4.0        1   HBW3
Ciconiiformes   Charadriidae   Vanellus cinereus            4.0        1   HBW3
Ciconiiformes   Charadriidae   Vanellus indicus             3.5        1   HBW3
Ciconiiformes   Charadriidae   Vanellus albiceps            2.8        1   HBW3
Ciconiiformes   Charadriidae   Vanellus senegallus          2.8        1   HBW3
Ciconiiformes   Charadriidae   Vanellus lugubris            3.0        1   HBW3
Ciconiiformes   Charadriidae   Vanellus melanopterus        3.0        1   HBW3
Ciconiiformes   Charadriidae   Vanellus coronatus           2.4        1   HBW3
Ciconiiformes   Charadriidae   Vanellus superciliosus       2.8        1   HBW3
Ciconiiformes   Charadriidae   Vanellus gregarius           3.2        1   HBW3
Ciconiiformes   Charadriidae   Vanellus leucurus            4.0        1   HBW3
Ciconiiformes   Charadriidae   Vanellus cayanus             2.0        1   HBW3
Ciconiiformes   Charadriidae   Vanellus chilensis           4.0        1   HBW3
Ciconiiformes   Charadriidae   Vanellus resplendens         4.0        1   HBW3
Ciconiiformes   Glareolidae    Dromas ardeola               1.0        1   HBW3
Ciconiiformes   Glareolidae    Pluvianus aegyptius          2.4        1   HBW3
Ciconiiformes   Glareolidae    Rhinoptilus africanus        1.0        1   HBW3
Ciconiiformes   Glareolidae    Rhinoptilus chalcopterus     2.4        1   HBW3
Ciconiiformes   Glareolidae    Rhinoptilus cinctus          2.0        1   HBW3
Ciconiiformes   Glareolidae    Rhinoptilus bitorquatus      2.0        1   HBW3
Ciconiiformes   Glareolidae    Cursorius cursor             2.0        1   HBW3
Ciconiiformes   Glareolidae    Cursorius rufus              2.0        1   HBW3
Ciconiiformes   Glareolidae    Cursorius temminckii         2.0        1   HBW3
Ciconiiformes   Glareolidae    Cursorius coromandelicus     2.4        1   HBW3
Ciconiiformes   Glareolidae    Glareola pratincola          3.0        1   HBW3
Ciconiiformes   Glareolidae    Glareola maldivarum          2.4        1   HBW3
Ciconiiformes   Glareolidae    Glareola nordmanni           3.5        1   HBW3
Ciconiiformes   Glareolidae    Glareola ocularis            2.0        1   HBW3
Ciconiiformes   Glareolidae    Glareola nuchalis            2.0        1   HBW3
Ciconiiformes   Glareolidae    Glareola cinerea             1.4        1   HBW3
Ciconiiformes   Glareolidae    Glareola lactea              2.4        1   HBW3
Ciconiiformes   Glareolidae    Stiltia isabella             2.0        1   HBW3
Ciconiiformes   Laridae        Stercorarius longicaudus     2.0        1   HBW3
Ciconiiformes   Laridae        Rynchops niger               3.5        1   HBW3
Ciconiiformes   Laridae        Rynchops flavirostris        2.4        1   HBW3
Ciconiiformes   Laridae        Rynchops albicollis          2.8        1   HBW3
Ciconiiformes   Laridae        Larus modestus               1.7        1   HBW3
Ciconiiformes   Laridae        Larus delawarensis           3.0        1   HBW3
Ciconiiformes   Laridae        Larus californicus           3.0        1   HBW3
Ciconiiformes   Laridae        Larus cachinnans             2.4        1   HBW3
Ciconiiformes   Laridae        Larus armenicus              3.0        1   HBW3
Ciconiiformes   Laridae        Larus fuscus                 2.4        1   HBW3
Ciconiiformes   Laridae        Larus ichthyaetus            2.0        1   HBW3
Ciconiiformes   Laridae        Larus brunnicephalus         3.0        1   HBW3
Ciconiiformes   Laridae        Larus cirrocephalus          2.4        1   HBW3
Ciconiiformes   Laridae        Larus novaehollandiae        3.0        1   HBW3


Table S4                                                                          Page 31 of 85
Order           Family         Species                    Clutch   Range Traits
Ciconiiformes   Laridae        Larus scopulinus             2.0        1   HBW3
Ciconiiformes   Laridae        Larus bulleri                2.0        1   HBW3
Ciconiiformes   Laridae        Larus maculipennis           2.4        1   HBW3
Ciconiiformes   Laridae        Larus ridibundus             1.7        1   HBW3
Ciconiiformes   Laridae        Larus genei                  2.4        1   HBW3
Ciconiiformes   Laridae        Larus philadelphia           3.0        1   HBW3
Ciconiiformes   Laridae        Larus saundersi              3.0        1   HBW3
Ciconiiformes   Laridae        Larus serranus               2.4        1   HBW3
Ciconiiformes   Laridae        Larus melanocephalus         2.4        1   HBW3
Ciconiiformes   Laridae        Larus relictus               2.4        1   HBW3
Ciconiiformes   Laridae        Larus pipixcan               3.0        1   HBW3
Ciconiiformes   Laridae        Larus minutus                2.4        1   HBW3
Ciconiiformes   Laridae        Sterna aurantia              3.0        1   HBW3
Ciconiiformes   Laridae        Sterna hirundo               2.0        1   HBW3
Ciconiiformes   Laridae        Sterna paradisaea            2.4        1   HBW3
Ciconiiformes   Laridae        Sterna forsteri              2.4        1   HBW3
Ciconiiformes   Laridae        Sterna trudeaui              3.0        1   HBW3
Ciconiiformes   Laridae        Sterna superciliaris         2.4        1   HBW3
Ciconiiformes   Laridae        Sterna acuticauda            3.0        1   HBW3
Ciconiiformes   Laridae        Phaetusa simplex             2.4        1   HBW3
Ciconiiformes   Accipitridae   Pandion haliaetus            3.0        1   HBW2
Ciconiiformes   Accipitridae   Aviceda cuculoides           2.0        1   HBW2
Ciconiiformes   Accipitridae   Aviceda jerdoni              2.4        1   HBW2
Ciconiiformes   Accipitridae   Aviceda subcristata          2.4        1   HBW2
Ciconiiformes   Accipitridae   Aviceda leuphotes            2.4        1   HBW2
Ciconiiformes   Accipitridae   Chondrohierax uncinatus      1.4        1   HBW2
Ciconiiformes   Accipitridae   Pernis apivorus              2.0        1   HBW2
Ciconiiformes   Accipitridae   Pernis ptilorhyncus          2.0        1   HBW2
Ciconiiformes   Accipitridae   Pernis celebensis            2.0        1   HBW2
Ciconiiformes   Accipitridae   Lophoictinia isura           3.0        1   HBW2
Ciconiiformes   Accipitridae   Hamirostra melanosternon     2.0        1   HBW2
Ciconiiformes   Accipitridae   Elanoides forficatus         1.4        1   HBW2
Ciconiiformes   Accipitridae   Macheiramphus alcinus        1.0        1   HBW2
Ciconiiformes   Accipitridae   Gampsonyx swainsonii         2.4        1   HBW2
Ciconiiformes   Accipitridae   Elanus caeruleus             3.5        1   HBW2
Ciconiiformes   Accipitridae   Elanus axillaris             3.5        1   HBW2
Ciconiiformes   Accipitridae   Elanus leucurus              3.9        1   HBW2
Ciconiiformes   Accipitridae   Elanus scriptus              4.5        1   HBW2
Ciconiiformes   Accipitridae   Chelictinia riocourii        4.0        1   HBW2
Ciconiiformes   Accipitridae   Rostrhamus sociabilis        2.4        1   HBW2
Ciconiiformes   Accipitridae   Rostrhamus hamatus           2.0        1   HBW2
Ciconiiformes   Accipitridae   Harpagus bidentatus          2.0        1   HBW2
Ciconiiformes   Accipitridae   Harpagus diodon              2.0        1   HBW2
Ciconiiformes   Accipitridae   Ictinia mississippiensis     2.0        1   HBW2
Ciconiiformes   Accipitridae   Ictinia plumbea              1.4        1   HBW2
Ciconiiformes   Accipitridae   Milvus milvus                2.0        1   HBW2
Ciconiiformes   Accipitridae   Milvus migrans               2.4        1   HBW2
Ciconiiformes   Accipitridae   Haliastur sphenurus          2.0        1   HBW2
Ciconiiformes   Accipitridae   Haliastur indus              1.4        1   HBW2
Ciconiiformes   Accipitridae   Haliaeetus leucogaster       2.0        1   HBW2
Ciconiiformes   Accipitridae   Haliaeetus vocifer           2.0        1   HBW2
Ciconiiformes   Accipitridae   Haliaeetus vociferoides      2.0        1   HBW2
Ciconiiformes   Accipitridae   Haliaeetus leucoryphus       2.4        1   HBW2
Ciconiiformes   Accipitridae   Haliaeetus albicilla         1.7        1   HBW2
Ciconiiformes   Accipitridae   Haliaeetus leucocephalus     2.0        1   HBW2
Ciconiiformes   Accipitridae   Haliaeetus pelagicus         1.7        1   HBW2
Ciconiiformes   Accipitridae   Gypohierax angolensis        1.0        1   HBW2
Ciconiiformes   Accipitridae   Gypaetus barbatus            1.4        1   HBW2
Ciconiiformes   Accipitridae   Neophron percnopterus        2.0        1   HBW2
Ciconiiformes   Accipitridae   Necrosyrtes monachus         1.0        1   HBW2
Ciconiiformes   Accipitridae   Gyps africanus               1.0        1   HBW2
Ciconiiformes   Accipitridae   Gyps bengalensis             1.0        1   HBW2
Ciconiiformes   Accipitridae   Gyps indicus                 1.0        1   HBW2


Table S4                                                                          Page 32 of 85
Order           Family         Species                      Clutch   Range Traits
Ciconiiformes   Accipitridae   Gyps rueppellii                1.0        1   HBW2
Ciconiiformes   Accipitridae   Gyps himalayensis              1.0        1   HBW2
Ciconiiformes   Accipitridae   Gyps fulvus                    1.0        1   HBW2
Ciconiiformes   Accipitridae   Gyps coprotheres               1.0        1   HBW2
Ciconiiformes   Accipitridae   Aegypius monachus              1.0        1   HBW2
Ciconiiformes   Accipitridae   Torgos tracheliotus            1.0        1   HBW2
Ciconiiformes   Accipitridae   Trigonoceps occipitalis        1.0        1   HBW2
Ciconiiformes   Accipitridae   Circaetus gallicus             1.0        1   HBW2
Ciconiiformes   Accipitridae   Circaetus cinereus             1.0        1   HBW2
Ciconiiformes   Accipitridae   Circaetus fasciolatus          1.0        1   HBW2
Ciconiiformes   Accipitridae   Circaetus cinerascens          1.0        1   HBW2
Ciconiiformes   Accipitridae   Terathopius ecaudatus          1.0        1   HBW2
Ciconiiformes   Accipitridae   Circus aeruginosus             4.2        1   HBW2
Ciconiiformes   Accipitridae   Circus ranivorus               3.5        1   HBW2
Ciconiiformes   Accipitridae   Circus spilonotus              4.6        1   HBW2
Ciconiiformes   Accipitridae   Circus approximans             3.5        1   HBW2
Ciconiiformes   Accipitridae   Circus buffoni                 3.5        1   HBW2
Ciconiiformes   Accipitridae   Circus assimilis               3.0        1   HBW2
Ciconiiformes   Accipitridae   Circus maurus                  3.5        1   HBW2
Ciconiiformes   Accipitridae   Circus cyaneus                 4.2        1   HBW2
Ciconiiformes   Accipitridae   Circus cinereus                3.5        1   HBW2
Ciconiiformes   Accipitridae   Circus macrourus               4.5        1   HBW2
Ciconiiformes   Accipitridae   Circus melanoleucos            4.5        1   HBW2
Ciconiiformes   Accipitridae   Circus pygargus                3.9        1   HBW2
Ciconiiformes   Accipitridae   Polyboroides typus             2.0        1   HBW2
Ciconiiformes   Accipitridae   Polyboroides radiatus          2.0        1   HBW2
Ciconiiformes   Accipitridae   Kaupifalco monogrammicus       2.0        1   HBW2
Ciconiiformes   Accipitridae   Melierax metabates             1.4        1   HBW2
Ciconiiformes   Accipitridae   Melierax poliopterus           1.4        1   HBW2
Ciconiiformes   Accipitridae   Melierax canorus               2.0        1   HBW2
Ciconiiformes   Accipitridae   Melierax gabar                 2.0        1   HBW2
Ciconiiformes   Accipitridae   Accipiter trivirgatus          2.0        1   HBW2
Ciconiiformes   Accipitridae   Accipiter tachiro              2.4        1   HBW2
Ciconiiformes   Accipitridae   Accipiter badius               2.8        1   HBW2
Ciconiiformes   Accipitridae   Accipiter brevipes             3.9        1   HBW2
Ciconiiformes   Accipitridae   Accipiter soloensis            3.5        1   HBW2
Ciconiiformes   Accipitridae   Accipiter francesiae           3.0        1   HBW2
Ciconiiformes   Accipitridae   Accipiter novaehollandiae      2.4        1   HBW2
Ciconiiformes   Accipitridae   Accipiter fasciatus            3.0        1   HBW2
Ciconiiformes   Accipitridae   Accipiter haplochrous          3.0        1   HBW2
Ciconiiformes   Accipitridae   Accipiter rufitorques          2.4        1   HBW2
Ciconiiformes   Accipitridae   Accipiter poliocephalus        1.0        1   HBW2
Ciconiiformes   Accipitridae   Accipiter superciliosus        1.7        1   HBW2
Ciconiiformes   Accipitridae   Accipiter erythropus           2.0        1   HBW2
Ciconiiformes   Accipitridae   Accipiter minullus             2.0        1   HBW2
Ciconiiformes   Accipitridae   Accipiter gularis              3.2        1   HBW2
Ciconiiformes   Accipitridae   Accipiter cirrocephalus        3.5        1   HBW2
Ciconiiformes   Accipitridae   Accipiter madagascariensis     3.0        1   HBW2
Ciconiiformes   Accipitridae   Accipiter ovampensis           3.0        1   HBW2
Ciconiiformes   Accipitridae   Accipiter nisus                4.2        1   HBW2
Ciconiiformes   Accipitridae   Accipiter rufiventris          3.0        1   HBW2
Ciconiiformes   Accipitridae   Accipiter striatus             4.5        1   HBW2
Ciconiiformes   Accipitridae   Accipiter cooperii             4.2        1   HBW2
Ciconiiformes   Accipitridae   Accipiter gundlachi            3.5        1   HBW2
Ciconiiformes   Accipitridae   Accipiter bicolor              1.7        1   HBW2
Ciconiiformes   Accipitridae   Accipiter melanoleucus         2.8        1   HBW2
Ciconiiformes   Accipitridae   Accipiter gentilis             3.5        1   HBW2
Ciconiiformes   Accipitridae   Accipiter meyerianus           3.0        1   HBW2
Ciconiiformes   Accipitridae   Erythrotriorchis radiatus      2.0        1   HBW2
Ciconiiformes   Accipitridae   Butastur rufipennis            1.7        1   HBW2
Ciconiiformes   Accipitridae   Butastur teesa                 3.0        1   HBW2
Ciconiiformes   Accipitridae   Butastur liventer              2.4        1   HBW2
Ciconiiformes   Accipitridae   Butastur indicus               2.8        1   HBW2


Table S4                                                                            Page 33 of 85
Order           Family          Species                      Clutch   Range Traits
Ciconiiformes   Accipitridae    Buteogallus aequinoctialis     1.4        1   HBW2
Ciconiiformes   Accipitridae    Buteogallus anthracinus        1.7        1   HBW2
Ciconiiformes   Accipitridae    Buteogallus urubitinga         1.4        1   HBW2
Ciconiiformes   Accipitridae    Buteogallus meridionalis       1.0        1   HBW2
Ciconiiformes   Accipitridae    Parabuteo unicinctus           2.8        1   HBW2
Ciconiiformes   Accipitridae    Buteo nitidus                  1.7        1   HBW2
Ciconiiformes   Accipitridae    Buteo magnirostris             1.4        1   HBW2
Ciconiiformes   Accipitridae    Buteo lineatus                 3.2        1   HBW2
Ciconiiformes   Accipitridae    Buteo ridgwayi                 2.0        1   HBW2
Ciconiiformes   Accipitridae    Buteo platypterus              2.4        1   HBW2
Ciconiiformes   Accipitridae    Buteo leucorrhous              2.4        1   HBW2
Ciconiiformes   Accipitridae    Buteo brachyurus               2.0        1   HBW2
Ciconiiformes   Accipitridae    Buteo swainsoni                2.4        1   HBW2
Ciconiiformes   Accipitridae    Buteo galapagoensis            1.7        1   HBW2
Ciconiiformes   Accipitridae    Buteo albicaudatus             2.0        1   HBW2
Ciconiiformes   Accipitridae    Buteo polyosoma                1.7        1   HBW2
Ciconiiformes   Accipitridae    Buteo poecilochrous            2.0        1   HBW2
Ciconiiformes   Accipitridae    Buteo albonotatus              2.0        1   HBW2
Ciconiiformes   Accipitridae    Buteo solitarius               2.4        1   HBW2
Ciconiiformes   Accipitridae    Buteo jamaicensis              2.4        1   HBW2
Ciconiiformes   Accipitridae    Buteo buteo                    2.8        1   HBW2
Ciconiiformes   Accipitridae    Buteo oreophilus               2.4        1   HBW2
Ciconiiformes   Accipitridae    Buteo brachypterus             2.0        1   HBW2
Ciconiiformes   Accipitridae    Buteo rufinus                  2.8        1   HBW2
Ciconiiformes   Accipitridae    Buteo hemilasius               2.8        1   HBW2
Ciconiiformes   Accipitridae    Buteo regalis                  3.5        1   HBW2
Ciconiiformes   Accipitridae    Buteo lagopus                  3.9        1   HBW2
Ciconiiformes   Accipitridae    Buteo auguralis                2.4        1   HBW2
Ciconiiformes   Accipitridae    Buteo augur                    2.0        1   HBW2
Ciconiiformes   Accipitridae    Buteo archeri                  1.4        1   HBW2
Ciconiiformes   Accipitridae    Buteo rufofuscus               2.0        1   HBW2
Ciconiiformes   Accipitridae    Aquila pomarina                2.0        1   HBW2
Ciconiiformes   Accipitridae    Aquila clanga                  2.0        1   HBW2
Ciconiiformes   Accipitridae    Aquila rapax                   2.0        1   HBW2
Ciconiiformes   Accipitridae    Aquila nipalensis              1.7        1   HBW2
Ciconiiformes   Accipitridae    Aquila adalberti               2.4        1   HBW2
Ciconiiformes   Accipitridae    Aquila heliaca                 2.4        1   HBW2
Ciconiiformes   Accipitridae    Aquila chrysaetos              2.0        1   HBW2
Ciconiiformes   Accipitridae    Aquila audax                   2.0        1   HBW2
Ciconiiformes   Accipitridae    Aquila verreauxii              2.0        1   HBW2
Ciconiiformes   Accipitridae    Aquila wahlbergi               1.0        1   HBW2
Ciconiiformes   Accipitridae    Hieraaetus fasciatus           1.4        1   HBW2
Ciconiiformes   Accipitridae    Hieraaetus spilogaster         2.0        1   HBW2
Ciconiiformes   Accipitridae    Hieraaetus pennatus            2.0        1   HBW2
Ciconiiformes   Accipitridae    Hieraaetus morphnoides         2.0        1   HBW2
Ciconiiformes   Accipitridae    Hieraaetus ayresii             1.0        1   HBW2
Ciconiiformes   Accipitridae    Hieraaetus kienerii            1.0        1   HBW2
Ciconiiformes   Accipitridae    Polemaetus bellicosus          1.0        1   HBW2
Ciconiiformes   Accipitridae    Lophaetus occipitalis          1.4        1   HBW2
Ciconiiformes   Accipitridae    Stephanoaetus coronatus        2.0        1   HBW2
Ciconiiformes   Sagittariidae   Sagittarius serpentarius       2.0        1   HBW2
Ciconiiformes   Falconidae      Micrastur ruficollis           2.4        1   HBW2
Ciconiiformes   Falconidae      Micrastur semitorquatus        2.4        1   HBW2
Ciconiiformes   Falconidae      Caracara plancus               2.0        1   HBW2
Ciconiiformes   Falconidae      Polihierax semitorquatus       3.0        1   HBW2
Ciconiiformes   Falconidae      Microhierax caerulescens       4.5        1   HBW2
Ciconiiformes   Falconidae      Microhierax fringillarius      4.5        1   HBW2
Ciconiiformes   Falconidae      Falco berigora                 2.4        1   HBW2
Ciconiiformes   Falconidae      Falco naumanni                 4.2        1   HBW2
Ciconiiformes   Falconidae      Falco tinnunculus              4.2        1   HBW2
Ciconiiformes   Falconidae      Falco newtoni                  4.0        1   HBW2
Ciconiiformes   Falconidae      Falco punctatus                3.0        1   HBW2
Ciconiiformes   Falconidae      Falco moluccensis              4.0        1   HBW2


Table S4                                                                             Page 34 of 85
Order           Family             Species                       Clutch   Range Traits
Ciconiiformes   Falconidae         Falco cenchroides               3.9        1   HBW2
Ciconiiformes   Falconidae         Falco sparverius                4.9        1   HBW2
Ciconiiformes   Falconidae         Falco rupicoloides              3.5        1   HBW2
Ciconiiformes   Falconidae         Falco alopex                    2.4        1   HBW2
Ciconiiformes   Falconidae         Falco ardosiaceus               3.9        1   HBW2
Ciconiiformes   Falconidae         Falco dickinsoni                3.0        1   HBW2
Ciconiiformes   Falconidae         Falco chicquera                 3.5        1   HBW2
Ciconiiformes   Falconidae         Falco vespertinus               3.5        1   HBW2
Ciconiiformes   Falconidae         Falco amurensis                 3.5        1   HBW2
Ciconiiformes   Falconidae         Falco eleonorae                 2.4        1   HBW2
Ciconiiformes   Falconidae         Falco concolor                  2.4        1   HBW2
Ciconiiformes   Falconidae         Falco femoralis                 2.4        1   HBW2
Ciconiiformes   Falconidae         Falco columbarius               4.2        1   HBW2
Ciconiiformes   Falconidae         Falco rufigularis               2.8        1   HBW2
Ciconiiformes   Falconidae         Falco deiroleucus               1.7        1   HBW2
Ciconiiformes   Falconidae         Falco subbuteo                  3.0        1   HBW2
Ciconiiformes   Falconidae         Falco cuvierii                  3.0        1   HBW2
Ciconiiformes   Falconidae         Falco severus                   2.8        1   HBW2
Ciconiiformes   Falconidae         Falco longipennis               2.4        1   HBW2
Ciconiiformes   Falconidae         Falco novaeseelandiae           2.8        1   HBW2
Ciconiiformes   Falconidae         Falco hypoleucos                2.4        1   HBW2
Ciconiiformes   Falconidae         Falco subniger                  3.5        1   HBW2
Ciconiiformes   Falconidae         Falco biarmicus                 3.5        1   HBW2
Ciconiiformes   Falconidae         Falco jugger                    3.5        1   HBW2
Ciconiiformes   Falconidae         Falco cherrug                   3.9        1   HBW2
Ciconiiformes   Falconidae         Falco rusticolus                3.5        1   HBW2
Ciconiiformes   Falconidae         Falco mexicanus                 3.9        1   HBW2
Ciconiiformes   Falconidae         Falco peregrinus                2.8        1   HBW2
Ciconiiformes   Falconidae         Falco fasciinucha               2.8        1   HBW2
Ciconiiformes   Podicipedidae      Rollandia rolland               1.7        1   HBW1
Ciconiiformes   Podicipedidae      Rollandia microptera            2.0        1   HBW1
Ciconiiformes   Podicipedidae      Tachybaptus ruficollis          3.7        1   HBW1
Ciconiiformes   Podicipedidae      Tachybaptus novaehollandiae     4.5        1   HBW1
Ciconiiformes   Podicipedidae      Tachybaptus pelzelnii           3.5        1   HBW1
Ciconiiformes   Podicipedidae      Tachybaptus dominicus           4.9        1   HBW1
Ciconiiformes   Podicipedidae      Podilymbus podiceps             5.3        1   HBW1
Ciconiiformes   Podicipedidae      Poliocephalus poliocephalus     3.9        1   HBW1
Ciconiiformes   Podicipedidae      Poliocephalus rufopectus        2.4        1   HBW1
Ciconiiformes   Podicipedidae      Podiceps major                  3.9        1   HBW1
Ciconiiformes   Podicipedidae      Podiceps grisegena              4.5        1   HBW1
Ciconiiformes   Podicipedidae      Podiceps cristatus              3.9        1   HBW1
Ciconiiformes   Podicipedidae      Podiceps auritus                4.5        1   HBW1
Ciconiiformes   Podicipedidae      Podiceps nigricollis            3.5        1   HBW1
Ciconiiformes   Podicipedidae      Podiceps occipitalis            2.0        1   HBW1
Ciconiiformes   Podicipedidae      Podiceps taczanowskii           1.7        1   HBW1
Ciconiiformes   Podicipedidae      Podiceps gallardoi              2.0        1   HBW1
Ciconiiformes   Podicipedidae      Aechmophorus occidentalis       3.5        1   HBW1
Ciconiiformes   Podicipedidae      Aechmophorus clarkii            3.5        1   HBW1
Ciconiiformes   Anhingidae         Anhinga anhinga                 3.9        1   HBW1
Ciconiiformes   Anhingidae         Anhinga melanogaster            3.9        1   HBW1
Ciconiiformes   Phalacrocoracida   Phalacrocorax africanus         3.5        1   HBW1
Ciconiiformes   Phalacrocoracida   Phalacrocorax pygmeus           4.9        1   HBW1
Ciconiiformes   Phalacrocoracida   Phalacrocorax niger             3.9        1   HBW1
Ciconiiformes   Phalacrocoracida   Phalacrocorax melanoleucos      3.9        1   HBW1
Ciconiiformes   Phalacrocoracida   Phalacrocorax brasilianus       3.5        1   HBW1
Ciconiiformes   Phalacrocoracida   Phalacrocorax auritus           3.5        1   HBW1
Ciconiiformes   Phalacrocoracida   Phalacrocorax fuscicollis       4.2        1   HBW1
Ciconiiformes   Phalacrocoracida   Phalacrocorax varius            2.2        1   HBW1
Ciconiiformes   Phalacrocoracida   Phalacrocorax sulcirostris      3.5        1   HBW1
Ciconiiformes   Phalacrocoracida   Phalacrocorax carbo             3.5        1   HBW1
Ciconiiformes   Ardeidae           Tigrisoma mexicanum             1.7        1   HBW1
Ciconiiformes   Ardeidae           Tigrisoma lineatum              3.0        1   HBW1
Ciconiiformes   Ardeidae           Tigriornis leucolophus          1.0        1   HBW1


Table S4                                                                                 Page 35 of 85
Order           Family              Species                    Clutch   Range Traits
Ciconiiformes   Ardeidae            Cochlearius cochlearia       2.8        1   HBW1
Ciconiiformes   Ardeidae            Ixobrychus involucris        3.5        1   HBW1
Ciconiiformes   Ardeidae            Ixobrychus minutus           4.2        1   HBW1
Ciconiiformes   Ardeidae            Ixobrychus sinensis          4.6        1   HBW1
Ciconiiformes   Ardeidae            Ixobrychus exilis            3.7        1   HBW1
Ciconiiformes   Ardeidae            Ixobrychus eurhythmus        4.2        1   HBW1
Ciconiiformes   Ardeidae            Ixobrychus cinnamomeus       3.9        1   HBW1
Ciconiiformes   Ardeidae            Ixobrychus sturmii           3.5        1   HBW1
Ciconiiformes   Ardeidae            Ixobrychus flavicollis       4.2        1   HBW1
