FirstName	SecondName	Temp	MR
Kerodon	ruprestris	38.2	360.5
Chinchilla	laniger	35.7	200.2
Lagostomus	maximus	36.8	1899.5
Ctenomys	australis	37.3	116.62
Ctenomys	fulvus	36.2	189
Ctenomys	maulinus	36.2	187.1
Ctenomys	opimus	36	109.7
Ctenomys	peruanus	35.2	220.5
Ctenomys	talarum	36.1	109.626
Dasyprocta	azarae	37.5	1886
Dasyprocta	leporina	38.3	1558.5
Myoprocta	acouchy	35.4	502.7
Dipus	sagitta?	36.8	121.1538
Jaculus	jaculus	37.45	92.25
Jaculus	orientalis	37	139.0002
Napaeozapus	insignis	37	39.6
Zapus	hudsonicus	37.3	35.7
Proechimys	semispinosus	37.9	313.7
Thrichomys	apereoides	37.6	206.7
Coendou	prehensilis	36.7	918.4
Geomys	bursaris	35	137.9
Geomys	pinetis	36.3	133.1534
Thomomys	bottae	36	120.12
Thomomys	talpoides	36.2	142.044
Thomomys	umbrinus	34.6	72.25
Chaetodipus	baileyi	32.5	34.5417
Chaetodipus	californicus	38	21.34
Chaetodipus	fallax	32.6	26.852
Chaetodipus	hispidus	36.8	49.375
Chaetodipus	intermedius	36	17.86525
Dipodomys	agilis	37	63.63
Dipodomys	deserti	36.8	92.22
Dipodomys	merriami	37	42.4595
Dipodomys	microps	35	66.924
Dipodomys	ordii	34.6	64.2096
Dipodomys	panamintinus	36.9	74.2794
Heteromys	anomalus	36	100.485
Heteromys	desmarestianus	33.8	99.1464
Liomys	irroratus	37	53.872
Liomys	salvani	37	46.866
Microdipodops	megacephalus	32.8	30.173
Microdipodops	pallidus	39.3	19.76
Perognathus	flavus	34.6	17.3055
Perognathus	longimembris	34.7	9.523
Hydrochaeris	hydrochaeris	37.1	6596.3
Hystrix	africaeaustralis	37.45	2361.702
Abrothrix	longipilis	37.4	57.528
Acomys	cahirinus	37.5	46.2
Acomys	russatus	37.25	42.9
Aethomys	namaquensis	36.82	56.7528
Akodon	azarae	37.7	40.8
Apodemus	flavicollis	36.7	43.259
Apodemus	hermonensis	37	50.02
Apodemus	mystacinus	35.5	56.0348
Apodemus	sylvaticus	36.7	43.259
Arborimus	longicaudus	37.3	58.86
Arvicola	terrestris	37.5	106.6813
Auliscomys	micropus	37.4	97.811
Baiomys	taylori	36	17.0886
Calomys	musculinus	36.2	27.59772
Calomys	venustus	37.05	74.7
Cannomys	badius	36	172
Chelemys	macronyx	36.8	84.32
Chroeomys	anadinus	37.7	64.702
Chroeomys	olivaceus	37.2	49.41
Clethrionomys	californicus	37.5	61.122
Clethrionomys	gapperi	37.9	49.33938
Cricetomys	gambianus	35.6	1140.7
Cricetulus	migratorius	38.1	43.901
Cricetus	cricetus	39.5	231.6798
Desmodillus	auricularis	35.86	87.7546
Dicrostonyx	groenlandicus	38.4	98.84996
Eligmodontia	typus	36.4	29.925
Gerbillurus	paeba	38.7	34.8153
Gerbillurus	setzeri	37.6	37.0183
Gerbillurus	tytonis	36.9	31.694
Gerbillurus	vallinus	37.4	34.7648
Gerbillus	allenybi	36.3	38.83
Gerbillus	dasyurus	38.6	29.256
Gerbillus	gerbillus	37.2	42.471
Gerbillus	nanus	38.8	22.152
Gerbillus	pusillus	34.6	13.482
Gerbillus	pyramidum	36.1	81.375
Graomys	griseoflavus	36.1	83.974
Hydromys	chrysogaster	36.6	528.3
Isthmomys	pirrensis	37.6	121.3518
Lagurus	curtatus	37.1	50.298
Lemmus	lemmus	37.8	192
Lemmus	sibericus	38.3	90.19267
Lemniscomys	griselda	36.9	57.6175
Lemniscomys	rosalia	36.5	61.473
Malacothrix	typica	37	20.615
Maresomys	boliviensis	36.3	110.592
Mastomys	natalensis	38	32.785
Megadontomys	thomasi	37.8	124.0962
Meriones	hurriane	36.1	54.51
Meriones	tristrami	36.5	98.56
Meriones	unguiculatus	38.2	77.0502
Mesocricetus	auratus	38.1	147
Micromys	minutus	38	21.078
Microtus	agrestis	37.6	63.6
Microtus	arvalis	37	61.9998
Microtus	brandti	36.2	76.782
Microtus	breweri	37.3	73.809
Microtus	californicus	38.8	68.2
Microtus	guentheri	38.3	80.154
Microtus	longicaudus	38	67.52075
Microtus	mexicanus	37.9	46.944
Microtus	montanus	35.3	83.33406
Microtus	ochrogaster	37.93333333	79.07867
Microtus	oeconomus	38.4	100.9315
Microtus	pennsylvanicus	38.5	75.077
Microtus	pinetorum	38.3	58.395
Microtus	richardsoni	38.7	128.0175
Microtus	xanthognathus	38	98.64
Mus	minutoides	36.3	24.0188
Myopus	schisticolor	39	93.456
Mystromys	albicaudatus	33	126.7908
Nannospalax	ehrenbergi	34.9	118.68
Nannospalax	ehrenbergi	35.8	101.84
Nannospalax	ehrenbergi	36	114.75
Nannospalax	ehrenbergi	35.5	82.832
Nannospalax	leucodon	36.3	148.74
Neofiber	alleni	37.1	216.804
Neotoma	fuscipes	36.6	147.73
Neotoma	lepida	36.8	86.9
Notomys	alexis	38	45.22
Notomys	cervinus	38.45	41.724
Ochrotomys	nuttalli	36.38	27.105
Oligoryzomys	longicaudatus	37.3	51.042
Ondatra	zibethicus	37.4	642.944
Otomys	irroratus	37.6	84.864
Otomys	sloggetti	38	133.6822
Otomys	unisulcatus	34.8	106.56
Oxymycterus	roberti	38.25	91.015
Parotomys	brantsii	35.1	83.905
Peromyscus	californicus	36.4	52.36
Peromyscus	californicus	36	45.5
Peromyscus	californicus	36.4	58.032
Peromyscus	crinitus	35.7	25.122
Peromyscus	eremicus	36.6	33.11
Peromyscus	gossypinus	37.5	36.9798
Peromyscus	leucopus	36.7	33.2
Peromyscus	leucopus	37.5	57.2
Peromyscus	maniculatus	36.55	36.88038
Peromyscus	maniculatus	37.2	46.1481
Peromyscus	maniculatus	36.3	39.8412
Peromyscus	maniculatus	36.8	38.964
Peromyscus	maniculatus	35.9	39.3744
Peromyscus	maniculatus	36.7	37.4992
Peromyscus	oreas	36.2	43.5066
Peromyscus	sitkensis	36	46.7445
