"","species_name","Beak_length_Culmen","Beak_length_Nares","Beak_width","Beak_depth","Tarsus_length","Wing_length","Kipps_distance","Hand_wing_index","Tail_length","Mass","Latitude","AnnualTemp","TempRange","AnnualPrecip","PrecipRange"
"228","Drymodes_brunneopygia",16.5,8.8,3.4,3.9,35.5,91.9,12.3,13.6,100.7,33,"-32,33","17,5129186","26,12241085","365,5510388","39,12310359"
"229","Dryocopus_pileatus",52.1,37.4,14.6,11.9,29.3,228.4,56.4,25.3,167.3,286.6,"44,3","7,235716581","38,45128718","944,945704","74,91926258"
"230","Dryoscopus_gambensis",23.5,12.9,6.6,7.2,25.1,90.5,13.5,14.9,75.3,31.9,"7,46","25,25579685","18,76464275","1227,736116","240,6743697"
"231","Eclectus_roratus",40,32.6,19.4,29.7,21.6,228.2,79.5,34.7,114.6,480.8,"-5,48","25,43665551","9,576225388","2798,570612","196,2527665"
"232","Egretta_eulophotes",80.4,65.8,9.8,13,81.6,250.6,89.5,36.4,86.4,461.8,"28,82","16,74031449","28,45444479","1402,295","247,0684231"
"233","Egretta_garzetta",94.6,68,8.9,11.3,98.8,252.5,82.8,33.1,94.2,312,"7,6","22,0610076","22,40388389","1097,492451","189,0265377"
"234","Egretta_sacra",82.5,67.5,10.1,12.8,67.5,262.6,86.5,32.9,86.4,502,"-2,39","23,67552783","14,48155611","2089,36664","226,1921922"
"235","Emberiza_aureola",13.2,8.4,4.2,5.9,20.5,75.3,19.4,25.8,55.4,19.6,"57,46","-3,642745111","49,92210702","493,7251854","66,92767607"
"236","Emberiza_chrysophrys",13.2,8.4,4.8,6.4,18.5,77,16.4,21.6,59,18,"58,83","-7,739261638","60,00590898","388,9335419","67,57444087"
"237","Emberiza_cioides",12.8,7.5,4.5,5.7,18.9,78.3,17.3,22.1,74.1,21,"41,78","5,096045579","43,00940618","669,3195397","117,930345"
"238","Emberiza_elegans",12.1,7.5,3.9,4.7,20.3,74.2,12.8,17.7,60.2,16.8,"37,95","7,908831233","39,54812769","918,9840718","175,5921896"
"239","Emberiza_fucata",13.1,7.8,4.2,5.7,20.5,73.6,14.3,19.5,58,19.8,"38,69","7,260079472","39,28868325","990,7340227","176,930092"
"240","Emberiza_jankowskii",11.6,6.7,4.7,5.4,19.3,71.5,16.9,23.9,70.2,22.5,"43,43","4,211597169","47,85540508","677,8510678","162,7122405"
"241","Emberiza_leucocephalos",15,8.4,4.4,6,19.1,91.6,24.4,26.7,77.8,28.5,"55,15","-4,2146796","52,88804558","434,6141833","67,31526119"
"242","Emberiza_pusilla",10.7,6.8,3.7,4.6,18,70.3,17.1,24.5,55.5,14.6,"64,5","-8,126896309","52,84748986","409,6401442","47,3975184"
"243","Emberiza_rustica",12.1,7.7,4,5.4,20.5,78.4,19.8,25.2,62.8,20.5,"60,84","-5,510023358","50,39253087","472,8243401","57,92947286"
"244","Emberiza_rutila",12,7.6,4,5.3,18.9,74.8,21.1,28.4,56.9,17.5,"54,51","-4,714506985","56,09229469","455,9163855","86,68350388"
"245","Emberiza_spodocephala",12.5,7.7,4,5.5,20.1,69.6,13.4,19.4,61.8,18.4,"46,53","1,187453691","47,45008896","688,5562364","119,6930072"
"246","Emberiza_tristrami",12.2,7.5,4,5.3,19.4,69.6,15.6,22.5,55,18,"46,03","1,778446947","48,60499167","730,3940303","148,7333367"
"247","Eophona_migratoria",21.8,15.3,10,12.7,21.1,97.4,32.2,33.1,75.8,46.9,"40,13","7,249412846","43,1518809","848,481382","164,2213001"
"248","Eopsaltria_australis",15.9,8,3.9,4.2,21.6,84.7,20,24.4,64.9,20.1,"-29,63","18,10137317","25,04088656","822,0002796","92,04904242"
"249","Eopsaltria_georgiana",15.8,8.4,3.8,4,22.3,77.6,14.7,19.6,65.4,19.1,"-31,84","17,51693448","24,21343448","602,9333793","104,2152772"
"250","Epthianura_albifrons",12.7,7.6,2.4,2.6,19,70.4,16,22.9,42.1,13.3,"-32,65","17,29889906","25,89754032","483,3853129","44,56460178"
"251","Eremophila_alpestris",13.9,9.2,4.2,5,23.5,108.1,41.7,38.6,71.4,33.3,"49,42","1,362886751","42,11137927","462,6049038","58,19882966"
"252","Erpornis_zantholeuca",15.4,8.4,3.9,4.2,16.7,66.4,11.3,17.1,44,11.8,"16,76","22,11530704","18,63341014","1974,268498","309,015633"
