"","Value","Std.Error","t-value","p-value","lambda_value"
"Mass",5.11855709329936e-07,1.84235585367533e-06,0.277826733803261,0.781220730393863,0.968149836409311
"Clutch",0.00481450654881556,0.00373510848430528,1.28898707200764,0.198884068812493,0.941766580111646
"BMR_value",1.25706032044876e-06,1.06187965718858e-05,0.118380676373153,0.905895171121018,0.895425706948548
"Longevity",-0.000711009320646323,0.00062530017837201,-1.13706879549828,0.25655236509852,0.899996774262924
