"","species_name","GhAhSkew_seq_begining","GhAhSkew_start_codon"
"1","Zoonavena thomensis","-0.307692307692308","-0.28"
"2","Aerodramus fuciphagus","0.183214895616438","0.169975084521822"
"3","Aerodramus maximus","0.123388812413966","0.357518796992481"
"4","Aerodramus vanikorensis","0.272727272727273","0.307692307692308"
"5","Aerodramus whiteheadi","0.269230769230769","0.452054794520548"
"6","Aeronautes andecolus","0.386666666666667","-0.205479452054795"
"7","Aeronautes saxatalis","0.236987057991246","0.168458781362007"
"8","Apus affinis","0.252926303304404","0.143985882568904"
"9","Apus apus","0.108520331008588","0.209216013801229"
"10","Apus bradfieldi","0.361111111111111","-0.188405797101449"
"11","Apus caffer","-0.8","1"
"12","Apus nipalensis","0.278688524590164","0.333333333333333"
"13","Apus pacificus","0.355647520180748","0.159834307992203"
"14","Apus pallidus","0.342563567165959","0.125252142149666"
"15","Chaetura andrei","0.492957746478873","-0.222222222222222"
"16","Chaetura brachyura","-0.00654041454540651","0.286115859449193"
"17","Chaetura chapmani","0.291979949874687","0.4"
"18","Chaetura cinereiventris","0.432595573440644","-0.0857592446892211"
"19","Chaetura pelagica","0.170866129699878","0.0830854419002126"
"20","Chaetura spinicaudus","0.478260869565217","0.478260869565217"
"21","Chaetura vauxi","0.192349977219331","0.152157198341652"
"22","Collocalia affinis","0.112","0.245570195365743"
"23","Collocalia esculenta","0.126984126984127","0.123104145601618"
"24","Collocalia linchi","0.184","-0.177304964539007"
"25","Collocalia marginata","0.275862068965517","0.403957528957529"
"26","Collocalia natalis","0.315789473684211","-0.183098591549296"
"27","Collocalia troglodytes","0.106944444444444","0.0430769230769231"
"28","Cypsiurus parvus","0.288135593220339","0.285714285714286"
"29","Hirundapus caudacutus","0.125732392228294","0.205511464606954"
"30","Tachornis squamata","0.245087719298246","-0.189507860560492"
"31","Tachymarptis melba","0.01875","0.356906534325889"
"32","Cypseloides cryptus","0.246376811594203","-0.26027397260274"
"33","Cypseloides fumigatus","0.333333333333333","0.0163934426229508"
"34","Cypseloides niger","-0.0714955461790905","0.0595975232198142"
"35","Cypseloides phelpsi","0.205132242731753","0.0448125143777318"
"36","Streptoprocne rutila","0.0666666666666667","0.0714285714285714"
"37","Streptoprocne zonaris","-0.0779195034814827","-0.0112191829241873"
"38","Hemiprocne comata","0.46","0.165594405594406"
"39","Adelomyia melanogenys","0.163636363636364","0.46875"
"40","Aglaeactis cupripennis","0.376623376623377","0.147540983606557"
"41","Amazilia amabilis","0.0651289009497965","0.350815850815851"
"42","Amazilia brevirostris","-0.016986301369863","-0.253424657534247"
"43","Amazilia chionogaster","0.157156734923435","0.161211853162318"
"44","Amazilia edward","-0.25","0.291666666666667"
"45","Amazilia fimbriata","0.467063119457486","0.165003225298531"
"46","Amazilia handleyi","-0.00870577650763409","0.0767676767676768"
"47","Amazilia leucogaster","-0.0259345059345059","0.118668183513381"
"48","Amazilia millerii","-0.272727272727273","0.298507462686567"
"49","Amazilia rondoniae","-0.263888888888889","-0.258741258741259"
"50","Amazilia rutila","0.253184875117304","0.0204926618478662"
"51","Amazilia tzacatl","0.0324675324675325","0.266381766381766"
"52","Amazilia versicolor","0.296262091303016","0.011394128478881"
"53","Amazilia viridigaster","-0.226666666666667","0.28"
"54","Amazilia yucatanensis","-0.28170359052712","0.0461538461538462"
"55","Anopetia gounellei","0.00115942028985505","-0.0259909031838856"
"56","Anthracothorax nigricollis","0.0802341562865436","0.157636363971818"
"57","Anthracothorax prevostii","-0.0575994054254924","0.115589842494375"
"58","Anthracothorax veraguensis","-0.275260828969269","0.121650448554981"
"59","Archilochus alexandri","-0.165577651515152","-0.146779742009222"
"60","Archilochus colubris","0.175463071741855","0.147635230167273"
"61","Atthis heloisa","-0.2798459563543","0.000474158368895194"
"62","Augastes lumachella","0.522388059701492","0.32"
"63","Augastes scutatus","0.514285714285714","0.514285714285714"
"64","Avocettula recurvirostris","0.205882352941176","-0.236842105263158"
"65","Boissonneaua matthewsii","0.34375","-0.204819277108434"
"66","Calliphlox amethystina","0.0108171705406728","0.00896057347670251"
"67","Calypte anna","0.243879296162102","0.0661583752422819"
"68","Calypte costae","-0.210526315789474","0.272727272727273"
"69","Campylopterus hemileucurus","0.170582647334594","-0.139546845879327"
"70","Campylopterus hyperythrus","0.279805029356375","-0.0179179535915103"
"71","Campylopterus largipennis","0.116347303949312","0.0956747275368792"
"72","Chaetocercus mulsant","0.258064516129032","-0.159420289855072"
"73","Chalybura urochrysia","0.312121212121212","0.0879739978331528"
"74","Chlorestes notata","-0.0568382540444545","0.0762902701824679"
"75","Chlorostilbon lucidus","-0.0549928971514581","0.049900821275844"
"76","Chlorostilbon mellisugus","0.311641791044776","0.0448143405889885"
"77","Chrysolampis mosquitus","0.039858386373492","0.1190200481934"
"78","Chrysuronia oenone","0.16","0.183673469387755"
"79","Clytolaema rubricauda","0.275707898658718","0.0673076923076923"
"80","Coeligena bonapartei","-0.195986657798738","0.0607755318502704"
"81","Coeligena helianthea","-0.197315400986131","0.0215880231460934"
"82","Coeligena lutetiae","-0.253333333333333","0.272727272727273"
"83","Coeligena torquata","0.1875","-0.189189189189189"
"84","Colibri coruscans","0.150961695426305","0.173180699496489"
"85","Colibri delphinae","0.260322668854252","0.256965944272446"
"86","Colibri thalassinus","-0.204819277108434","-0.188405797101449"
"87","Discosura longicaudus","0.174603174603175","0.2"
"88","Doryfera johannae","0.117857142857143","0.263157894736842"
"89","Doryfera ludovicae","0.358490566037736","0.529411764705882"
"90","Elvira chionura","0.116417910447761","0.00460455037919827"
