"","Species","Orders"
"7429","Pygoscelis antarcticus","Sphenisciformes"
"7441","Pygoscelis papua","Sphenisciformes"
"7453","Pyrrhocorax graculus","Passeriformes"
"7465","Pyrrhocorax pyrrhocorax","Passeriformes"
"7477","Pyrrhula pyrrhula","Passeriformes"
"7489","Pyrrhura rupicola","Psittaciformes"
"7501","Quiscalus mexicanus","Passeriformes"
"7513","Quiscalus quiscula","Passeriformes"
"7525","Rallus aquaticus","Gruiformes"
"7537","Recurvirostra avosetta","Charadriiformes"
"7549","Regulus calendula","Passeriformes"
"7561","Regulus regulus","Passeriformes"
"7573","Regulus satrapa","Passeriformes"
"7585","Remiz consobrinus","Passeriformes"
"7597","Rhabdornis inornatus","Passeriformes"
"7609","Rhagologus leucostigma","Passeriformes"
"7621","Rhea americana","Rheiformes"
"7633","Rhea pennata","Rheiformes"
"7645","Rhegmatorhina hoffmannsi","Passeriformes"
"7657","Rhinopomastus cyanomelas","Upupiformes"
"7669","Rhipidura dahli","Passeriformes"
"7681","Rhipidura fuliginosa","Passeriformes"
"7693","Rhodinocichla rosea","Passeriformes"
"7705","Rhynchopsitta terrisi","Psittaciformes"
"7717","Rhynochetos jubatus","Gruiformes"
"7729","Rupicola peruvianus","Passeriformes"
"7741","Sakesphorus luctuosus","Passeriformes"
"7753","Saltator similis","Passeriformes"
"7765","Sapayoa aenigma","Passeriformes"
"7777","Sasia ochracea","Piciformes"
"7789","Sclerurus mexicanus","Passeriformes"
"7801","Scolopax rusticola","Charadriiformes"
"7813","Scytalopus superciliaris","Passeriformes"
"7825","Serilophus lunatus","Passeriformes"
"7837","Serinus albogularis","Passeriformes"
"7849","Serinus canaria","Passeriformes"
"7861","Sicalis olivascens","Passeriformes"
"7873","Sitta carolinensis","Passeriformes"
"7885","Sitta europaea","Passeriformes"
"7897","Sitta himalayensis","Passeriformes"
"7909","Sitta nagaensis","Passeriformes"
"7921","Sitta villosa","Passeriformes"
"7933","Smithornis sharpei","Passeriformes"
"7945","Spheniscus demersus","Sphenisciformes"
"7957","Spheniscus humboldti","Sphenisciformes"
"7969","Spheniscus magellanicus","Sphenisciformes"
"7981","Spheniscus mendiculus","Sphenisciformes"
"7993","Spilornis cheela","Accipitriformes"
"8005","Spizaetus tyrannus","Accipitriformes"
"8017","Spizella passerina","Passeriformes"
"8029","Sporophila hypoxantha","Passeriformes"
"8041","Steatornis caripensis","Caprimulgiformes"
"8053","Stercorarius parasiticus","Charadriiformes"
"8065","Sterna hirundo","Charadriiformes"
"8077","Sterna paradisaea","Charadriiformes"
"8089","Streptopelia decaocto","Columbiformes"
"8101","Streptopelia orientalis","Columbiformes"
"8113","Strigops habroptila","Psittaciformes"
"8125","Strix uralensis","Strigiformes"
"8137","Struthidea cinerea","Passeriformes"
"8149","Struthio camelus","Struthioniformes"
"8161","Sturnus cineraceus","Passeriformes"
"8173","Sturnus sericeus","Passeriformes"
"8185","Sturnus vulgaris","Passeriformes"
"8197","Sylvia atricapilla","Passeriformes"
"8209","Sylvia borin","Passeriformes"
"8221","Sylviparus modestus","Passeriformes"
"8233","Synthliboramphus antiquus","Charadriiformes"
"8245","Synthliboramphus wumizusume","Charadriiformes"
"8257","Syrmaticus ellioti","Galliformes"
"8269","Syrmaticus humiae","Galliformes"
"8281","Syrmaticus reevesii","Galliformes"
"8293","Tachuris rubrigastra","Passeriformes"
"8305","Tachybaptus novaehollandiae","Podicipediformes"
"8317","Tachybaptus ruficollis","Podicipediformes"
"8329","Tachycineta albilinea","Passeriformes"
"8341","Tachycineta albiventer","Passeriformes"
"8353","Tachycineta bicolor","Passeriformes"
"8365","Tachycineta cyaneoviridis","Passeriformes"
"8377","Tachycineta euchrysea","Passeriformes"
"8389","Tachycineta leucorrhoa","Passeriformes"
"8401","Tachycineta meyeni","Passeriformes"
"8413","Tachycineta stolzmanni","Passeriformes"
"8425","Tachycineta thalassina","Passeriformes"
"8437","Tadorna ferruginea","Anseriformes"
"8449","Tadorna tadorna","Anseriformes"
"8461","Taeniopygia guttata","Passeriformes"
"8473","Tarsiger cyanurus","Passeriformes"
"8485","Terpsiphone atrocaudata","Passeriformes"
"8497","Tetraogallus himalayensis","Galliformes"
"8509","Tetraogallus tibetanus","Galliformes"
"8521","Tetraophasis obscurus","Galliformes"
"8533","Tetraophasis szechenyii","Galliformes"
"8545","Thraupis episcopus","Passeriformes"
"8557","Threskiornis aethiopicus","Pelecaniformes"
"8569","Thryothorus ludovicianus","Passeriformes"
"8581","Tichodroma muraria","Passeriformes"
"8593","Tinamus major","Tinamiformes"
"8605","Todus mexicanus","Coraciiformes"
"8617","Toxostoma redivivum","Passeriformes"
"8629","Tragopan caboti","Galliformes"
"8641","Tragopan temminckii","Galliformes"
"8653","Tregellasia capito","Passeriformes"
"8665","Tregellasia leucops","Passeriformes"
"8677","Tringa erythropus","Charadriiformes"
"8689","Tringa glareola","Charadriiformes"
"8701","Tringa nebularia","Charadriiformes"
"8713","Tringa ochropus","Charadriiformes"
"8725","Tringa stagnatilis","Charadriiformes"
"8737","Tringa totanus","Charadriiformes"
"8749","Trogon melanurus","Trogoniformes"
"8761","Trogon viridis","Trogoniformes"
"8773","Trugon terrestris","Columbiformes"
"8785","Turdus cardis","Passeriformes"
"8797","Turdus hortulorum","Passeriformes"
"8809","Turdus kessleri","Passeriformes"
"8821","Turdus merula","Passeriformes"
"8833","Turdus migratorius","Passeriformes"
"8845","Turdus philomelos","Passeriformes"
"8857","Turdus ruficollis","Passeriformes"
"8869","Turdus rufiventris","Passeriformes"
"8881","Turnix velox","Charadriiformes"
"8893","Tyrannus savana","Passeriformes"
"8905","Upupa epops","Upupiformes"
"8917","Uragus sibiricus","Passeriformes"
"8929","Urocissa caerulea","Passeriformes"
"8941","Urocolius indicus","Coliiformes"
"8953","Urocynchramus pylzowi","Passeriformes"
"8965","Vanellus cinereus","Charadriiformes"
"8977","Vanellus vanellus","Charadriiformes"
"8989","Vestiaria coccinea","Passeriformes"
"9001","Vidua chalybeata","Passeriformes"
"9013","Vidua macroura","Passeriformes"
"9025","Vireo altiloquus","Passeriformes"
"9037","Vireo olivaceus","Passeriformes"
"9049","Xanthopsar flavus","Passeriformes"
"9061","Xenus cinereus","Charadriiformes"
"9073","Xiphorhynchus elegans","Passeriformes"
"9085","Yuhina diademata","Passeriformes"
"9097","Yuhina nigrimenta","Passeriformes"
"9109","Zenaida auriculata","Columbiformes"
"9121","Zenaida macroura","Columbiformes"
"9133","Zonotrichia albicollis","Passeriformes"
"9145","Zosterops abyssinicus","Passeriformes"
"9157","Zosterops erythropleurus","Passeriformes"
"9169","Zosterops lateralis","Passeriformes"
"9181","Zosterops poliogastrus","Passeriformes"
