Species;Bad1Good2;Wild-1_Aviary-2_Domestic-3;Day-Night;n;Mass;Trait;TraitValue;Method;Mountains;Summer-Winter;Breeding-NonBreeding;Climate;World;Passerine;Order;Elevation;ElevationLatCor;MeanSurfaceTemperature;AbsoluteMinSurfaceTemperature;AbsoluteMaxSurfaceTemperature;AbsoluteSurfaceTemperatureRange;AverageDailyMinimumSurfaceTemperature;AverageDailyMaximumSurfaceTemperature;AverageDailySurfaceTemperatureDifference;SD_DailyMeanSurfaceTemperature;SE_DailyMeanSurfaceTemperature;MeanGaussianTemperature;AbsoluteMinGaussianTemperature;AbsoluteMaxGaussianTemperature;AbsoluteGaussianTemperatureRange;AverageDailyMinimumGaussianTemperature;AverageDailyMaximumGaussianTemperature;AverageDailyGaussianTemperatureDifference;SD_DailyMeanGaussianTemperature;SE_DailyMeanGaussianTemperature
Abroscopus superciliaris;2;1;N;13;6,7;BMR;26,5;flow;N;Spring;NA;Tropical;Old;P;Passeriformes;140;13,25273224;27,58835256;22,67511108;35,86732364;13,19221256;24,52333314;31,03602745;6,512694316;1,193431521;0,143672272;28,25700839;21,36767379;41,68993011;20,32225632;24,51615724;33,1511876;8,635030353;1,697481779;0,204352792
Acanthagenys rufogularis;2;1;N;7;43,4;BMR;114;flow;N;Winter;NA;Sub;Old;P;Passeriformes;0;-34,25;17,04887436;11,56164;24,51773224;12,95609224;15,84357679;18,15292617;2,309349384;2,323684449;0,28178813;18,04217591;13,70450582;23,04656565;9,342059835;17,20561705;18,9271879;1,721570851;1,868076083;0,2265375
Linaria cannabina;NA;NA;N;4;16,9;BMR;61;close;;Autumn;;NA;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Linaria cannabina;1;;D;;15,5;BMR;64;NA;;;;NA;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acanthis flammea;2;2;N;7;15,6;BMR;73,57;flow;N;Winter;N;Temperate;Old;P;Passeriformes;0;64,85791;-27,20103838;-41,50800923;-5,705146029;35,8028632;-28,92439535;-25,24514691;3,679248447;6,856565789;1,399590631;-28,2213387;-44,75708773;-3,843239217;40,91384852;-30,37819385;-25,59359282;4,784601035;7,303756606;1,490873074
Acanthis flammea;2;2;N;8;13,3;BMR;47,95;flow;N;Summer;N;Temperate;Old;P;Passeriformes;0;64,85791;10,33565551;1,578857805;17,60661424;16,02775644;8,003933406;12,65228096;4,648347552;3,341799937;0,835449984;9,240138174;-0,502386639;17,60801512;18,11040176;5,437858173;12,08995694;6,65209877;2,764778018;0,691194504
Acanthis flammea;2;2;D;15;13,1;BMR;52,74;flow;N;Summer;N;Temperate;Old;P;Passeriformes;0;64,85791;10,82948279;6,072333706;17,22453343;11,15219973;9,046058485;12,38028168;3,334223193;2,233289305;0,619403008;10,64533472;3,679158958;18,45388654;14,77472758;7,185528524;13,15329683;5,96776831;2,242648641;0,621998821
Acanthis flammea;2;2;D;8;13,8;BMR;85,79;flow;N;Winter;N;Temperate;Old;P;Passeriformes;0;64,85791;-19,78372212;-40,54760888;-3,046769865;37,50083902;-21,88281627;-17,97321022;3,909606047;12,05376969;2,319749059;-21,30141005;-45,10715763;-4,594229946;40,51292768;-23,92849941;-18,53612951;5,3923699;12,42357446;2,39091802
Acanthis flammea;NA;NA;N;16;14;BMR;51,5;close;;Summer;;NA;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acanthis flammea;NA;NA;N;16;14,3;BMR;61;close;;Winter;;NA;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acanthis flammea;2;;D;8;13,8;RMR;83,39;flow;N;Winter;N;Temperate;New;P;Passeriformes;0;64,85791;-21,00508485;-40,54760888;-0,473821579;40,0737873;-23,43627642;-18,69549245;4,740783971;10,48275806;1,15762697;-22,30088926;-45,10715763;-0,982904067;44,12425356;-25,17958815;-19,45061019;5,728977961;10,46454806;1,155616012
Acanthis flammea;2;;D;15;13,1;RMR;52,6;flow;N;Summer;N;Temperate;New;P;Passeriformes;0;64,85791;5,960353825;-1,662719282;12,92590453;14,58862381;3,41076072;8,25156285;4,84080213;2,635780321;0,604689477;5,272171964;-2,125627375;12,22860138;14,35422876;1,344780615;8,443105512;7,098324897;2,458152872;0,563938945
Acanthis flammea;2;;D;9;13,6;RMR;59,38;flow;N;Autumn;N;Temperate;New;P;Passeriformes;0;64,85791;8,959361723;-2,286527771;20,34922846;22,63575623;6,613609392;11,90935295;5,29574356;4,096032571;0,58514751;8,280336327;-2,642950963;21,34841443;23,99136539;5,139360581;12,13867612;6,999315537;4,171195465;0,595885066
Acanthis flammea;2;;D;15;13,6;RMR;61,53;flow;N;Spring;N;Temperate;New;P;Passeriformes;0;64,85791;-8,736400932;-30,47681293;3,671614826;34,14842775;-12,43226195;-5,449051195;6,983210751;6,516856289;0,93097947;-9,981784172;-30,38074279;0,318157333;30,69890013;-13,70367825;-6,051566365;7,652111881;6,846351667;0,978050238
Acanthis flammea;NA;;;;14,3;SMR;51,2;;;Summer;;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
