Species;Bad1Good2;Wild-1_Aviary-2_Domestic-3;Day-Night;n;Mass;Trait;TraitValue;Method;Mountains;Summer-Winter;Breeding-NonBreeding;Climate;World;Passerine;Order;Elevation;ElevationLatCor;MeanSurfaceTemperature;AbsoluteMinSurfaceTemperature;AbsoluteMaxSurfaceTemperature;AbsoluteSurfaceTemperatureRange;AverageDailyMinimumSurfaceTemperature;AverageDailyMaximumSurfaceTemperature;AverageDailySurfaceTemperatureDifference;SD_DailyMeanSurfaceTemperature;SE_DailyMeanSurfaceTemperature;MeanGaussianTemperature;AbsoluteMinGaussianTemperature;AbsoluteMaxGaussianTemperature;AbsoluteGaussianTemperatureRange;AverageDailyMinimumGaussianTemperature;AverageDailyMaximumGaussianTemperature;AverageDailyGaussianTemperatureDifference;SD_DailyMeanGaussianTemperature;SE_DailyMeanGaussianTemperature
Cuculus canorus;NA;NA;N;4;111,6;BMR;151;close;;Summer;;NA;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cuculus canorus;2;NA;N;;128;BMR;226;flow;;;;;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cyanerpes cyaneus;2;1;N;2;13,5;BMR;48,76;flow;;Summer;;Tropical;New;P;Passeriformes;37;9,601912572;25,86921464;23,67713138;28,59682462;4,919693235;25,38733006;26,43547584;1,048145781;0,531055638;0,045705992;25,67656049;23,78640422;28,38896015;4,602555933;24,98260248;26,56470202;1,582099542;0,423261754;0,036428572
Cyanocitta cristata;2;2;N;;80,8;BMR;152,7;flow;N;NA;;Temperate;New;P;Passeriformes;282;45,97401056;0,013617356;-19,99800367;21,78083579;41,77883946;-2,799416534;3,184264955;5,983681488;7,406285893;0,600729111;-0,260028788;-19,28109237;22,53281228;41,81390464;-3,990688359;3,416550271;7,40723863;7,425433802;0,602282212
Cyanocitta stelleri;1;;D;8;99,14;RMR;178,5;flow;;NA;;Sub;New;P;Passeriformes;NA;NA;24;20;27,5;7,5;NA;NA;NA;NA;NA;24;20;27,5;7,5;NA;NA;NA;NA;NA
Cyanocompsa cyanoides;2;1;N;3;25;BMR;68,06;flow;N;NA;N;Tropical;New;P;Passeriformes;427;-7,05;16,36000568;8,88461333;22,83929391;13,95468058;14,71226554;18,55727791;3,845012366;1,015403607;0,046346622;15,55087837;6,007049766;22,64380206;16,6367523;13,27533128;18,68043551;5,405104225;1,301585237;0,059408966
Cyanocompsa cyanoides;2;1;N;5;27,9;BMR;67,05;flow;;Summer;;Tropical;New;P;Passeriformes;37;9,601912572;25,86921464;23,67713138;28,59682462;4,919693235;25,38733006;26,43547584;1,048145781;0,531055638;0,045705992;25,67656049;23,78640422;28,38896015;4,602555933;24,98260248;26,56470202;1,582099542;0,423261754;0,036428572
Cyanolyca viridicyanus;2;1;N;2;82,6;BMR;191,64;flow;N;NA;N;Tropical;New;P;Passeriformes;427;-7,05;16,36000568;8,88461333;22,83929391;13,95468058;14,71226554;18,55727791;3,845012366;1,015403607;0,046346622;15,55087837;6,007049766;22,64380206;16,6367523;13,27533128;18,68043551;5,405104225;1,301585237;0,059408966
Cyanomitra cyanolaema;2;1;N;;15,8;BMR;48,8;flow;N;;;Tropical;Old;P;Passeriformes;1017;13,64103792;20,02833259;15,49077144;26,19734655;10,70657511;17,55025974;22,95838257;5,408122825;1,039948269;0,091919309;19,07261386;12,15305019;29,12457613;16,97152594;15,88299224;24,27928688;8,396294641;0,853278123;0,075419843
Cyanomitra verticalis;2;1;N;;14,1;BMR;44,82;flow;N;;;Tropical;Old;P;Passeriformes;1017;13,64103792;20,02833259;15,49077144;26,19734655;10,70657511;17,55025974;22,95838257;5,408122825;1,039948269;0,091919309;19,07261386;12,15305019;29,12457613;16,97152594;15,88299224;24,27928688;8,396294641;0,853278123;0,075419843
Cyanoramphus auriceps;2;3;both;7;52,9;BMR;88,3;flow;N;;;Temperate;Old;N;Psittaciformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cyanoramphus novaezelandiae;2;3;both;8;56,1;BMR;94,8;flow;N;;;Temperate;Old;N;Psittaciformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cyanoramphus unicolor;2;3;both;2;129,4;BMR;194,1;flow;N;;;Temperate;Old;N;Psittaciformes;299;-36,79958172;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cygnus buccinator;NA;2;N;NA;8880;BMR;3629,05;open;N;NA;N;Temperate;New;N;Anseriformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cygnus olor;2;2;D;8;8300;RMR;5428,2;flow;N;Summer;N;Temperate;Old;N;Anseriformes;16;56,41783707;14,87733894;6,623923337;27,13439481;20,51047147;12,85399446;17,0228865;4,168892036;3,18485861;0,28150439;15,30356775;8,075165877;26,45705474;18,38188887;13,21804133;17,25632638;4,038285047;2,761284074;0,244065337
Cymbirhynchus macrorhynchos;2;1;N;43;52,6;BMR;86,6;flow;N;Spring;NA;Tropical;Old;P;Passeriformes;140;13,25273224;26,35571586;20,64322218;35,90807621;15,26485403;24,07839623;30,62560907;6,547212842;1,440409425;0,127815668;26,66609448;20,03399539;40,91623167;20,88223628;23,96550713;32,57227112;8,606763985;1,822308943;0,16170377
Cyornis hainanus;2;1;N;23;13,2;BMR;36,8;flow;N;Spring;NA;Tropical;Old;P;Passeriformes;140;13,25273224;25,88535405;17,98577775;33,59609978;15,61032203;22,11084599;30,63904367;8,52819768;1,164580777;0,155623652;26,60119684;17,46701472;40,91623167;23,44921696;21,5836414;33,35067878;11,76703737;1,367075125;0,182683098
Cyornis sumatrensis;2;1;N;47;12,4;BMR;38,5;flow;N;Spring;NA;Tropical;Old;P;Passeriformes;140;13,25273224;26,9077456;20,74811108;35,86732364;15,11921256;23,74680218;31,1821257;7,435323517;1,103620366;0,075266284;27,54088603;18,88271074;40,91623167;22,03352093;23,53680118;33,48725956;9,950458378;1,430486038;0,097558338
Cyphorhinus thoracicus;2;1;N;13;34,4;BMR;75,22;flow;N;NA;N;Tropical;New;P;Passeriformes;427;-7,05;16,36000568;8,88461333;22,83929391;13,95468058;14,71226554;18,55727791;3,845012366;1,015403607;0,046346622;15,55087837;6,007049766;22,64380206;16,6367523;13,27533128;18,68043551;5,405104225;1,301585237;0,059408966
Dacelo gaudichaud;2;1;N;3;138,5;BMR;103,9;flow;N;;;Tropical;Old;;;18;-4,989537426;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Dacelo novaeguineae;2;2;N;7;336;BMR;201;flow;N;NA;N;Temperate;Old;N;Coraciiformes;27;-42,54854864;9,650489417;3,934461951;17,23952616;13,30506421;8,716004808;10,54087132;1,824866512;1,917050332;0,123488067;10,22510552;6,391262333;15,08294052;8,691678185;9,631537862;10,81584409;1,184306233;1,505989114;0,097009287
Dacelo novaeguineae;2;2;D;7;336;RMR;306,2;flow;N;NA;N;Temperate;Old;N;Coraciiformes;27;-42,54854864;9,650489417;3,934461951;17,23952616;13,30506421;8,716004808;10,54087132;1,824866512;1,917050332;0,123488067;10,22510552;6,391262333;15,08294052;8,691678185;9,631537862;10,81584409;1,184306233;1,505989114;0,097009287
Daptrius ater;2;2;N;2;362;BMR;215,02;flow;N;NA;N;NA;New;N;Falconiformes;NA;NA;25;NA;NA;NA;NA;NA;NA;NA;NA;25;NA;NA;NA;NA;NA;NA;NA;NA
Delichon urbicum;NA;NA;N;;20,5;BMR;64;NA;;Summer;;Temperate;Old;P;Passeriformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Delichon urbicum;NA;;NA;27;17,81;SMR;44,44422311;DLW;;Summer;Y;;;P;Passeriformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Dendragapus obscurus;1;;NA;6;1206,5;BMR;931,96;flow;;Winter;;Temperate;New;N;Galliformes;1463;60,93208595;-6,28097784;-26,52641555;8,909377604;35,43579316;-8,844346871;-2,875514395;5,968832476;5,00249789;0,513245454;-8,806335067;-34,62026382;8,602940165;43,22320398;-14,17611028;-3,4156252;10,76048508;5,725466577;0,587420476
Dendrocincla fuliginosa;2;1;N;9;33,1;BMR;66,27;flow;N;NA;N;Tropical;New;P;Passeriformes;427;-7,05;16,36000568;8,88461333;22,83929391;13,95468058;14,71226554;18,55727791;3,845012366;1,015403607;0,046346622;15,55087837;6,007049766;22,64380206;16,6367523;13,27533128;18,68043551;5,405104225;1,301585237;0,059408966
Dendrocincla fuliginosa;2;1;N;5;39;BMR;88,03;flow;;Summer;;Tropical;New;P;Passeriformes;37;9,601912572;25,86921464;23,67713138;28,59682462;4,919693235;25,38733006;26,43547584;1,048145781;0,531055638;0,045705992;25,67656049;23,78640422;28,38896015;4,602555933;24,98260248;26,56470202;1,582099542;0,423261754;0,036428572
Dendrocincla merula;2;1;N;11;52,8;BMR;111,04;flow;N;NA;N;Tropical;New;P;Passeriformes;427;-7,05;16,36000568;8,88461333;22,83929391;13,95468058;14,71226554;18,55727791;3,845012366;1,015403607;0,046346622;15,55087837;6,007049766;22,64380206;16,6367523;13,27533128;18,68043551;5,405104225;1,301585237;0,059408966
Setophaga petechia;2;1;N;3;12,2;BMR;24,92;flow;;Summer;;Tropical;New;;;37;9,601912572;25,86921464;23,67713138;28,59682462;4,919693235;25,38733006;26,43547584;1,048145781;0,531055638;0,045705992;25,67656049;23,78640422;28,38896015;4,602555933;24,98260248;26,56470202;1,582099542;0,423261754;0,036428572
Dendrocincla tyrannina;2;1;N;2;58,3;BMR;94,93;flow;N;NA;N;Tropical;New;P;Passeriformes;427;-7,05;16,36000568;8,88461333;22,83929391;13,95468058;14,71226554;18,55727791;3,845012366;1,015403607;0,046346622;15,55087837;6,007049766;22,64380206;16,6367523;13,27533128;18,68043551;5,405104225;1,301585237;0,059408966
Dendrocolaptes picumnus;2;1;N;1;80,2;BMR;128,96;flow;N;NA;N;Tropical;New;P;Passeriformes;427;-7,05;16,36000568;8,88461333;22,83929391;13,95468058;14,71226554;18,55727791;3,845012366;1,015403607;0,046346622;15,55087837;6,007049766;22,64380206;16,6367523;13,27533128;18,68043551;5,405104225;1,301585237;0,059408966
Dendrocopos major;NA;NA;N;NA;98;BMR;160,36;NA;;;;Temperate;Old;N;Piciformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Dendrocopos major;NA;NA;N;NA;117;BMR;186,63;NA;;;;Temperate;Old;N;Piciformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Dendrocopos major;NA;NA;N;7;98;BMR;161,5;close;;Summer;;NA;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Dendrocopos major;NA;NA;N;7;117;BMR;187,5;close;;Winter;;NA;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Setophaga coronata;2;1;N;4;11,5;BMR;33,8;flow;N;Winter;NA;Sub;New;P;Passeriformes;22;29,93825159;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Setophaga dominica;2;1;N;9;9,8;BMR;28,8;flow;N;Summer;NA;Sub;New;P;Passeriformes;22;29,93825159;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Setophaga palmarum;2;1;N;4;9,8;BMR;27,9;flow;N;Winter;NA;Sub;New;P;Passeriformes;22;29,93825159;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Setophaga petechia;2;1;N;5;8,9;BMR;36,39;flow;;Spring;;Temperate;New;P;Passeriformes;229;42,95327869;16,29813914;-0,24559968;30,33136032;30,57696;12,91965756;19,81458952;6,894931955;6,078959762;0,527112661;16,09038541;-1,012051379;32,73610562;33,748157;12,01804384;20,27683416;8,258790323;5,969063226;0,517583423
Setophaga pinus;2;1;N;2;12;BMR;32,4;flow;N;Winter;NA;Sub;New;P;Passeriformes;22;29,93825159;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Dicaeum chrysorrheum;2;1;N;5;9,4;BMR;34,7;flow;N;Summer;NA;Tropical;Old;P;Passeriformes;140;13,25273224;25,48586932;23,07411109;30,2946415;7,220530417;24,08523088;27,59409325;3,508862364;0,449618559;0,103149572;25,48159246;23,55304222;29,12884412;5,575801905;24,00292134;27,63368245;3,630761113;0,378281087;0,086783633
Dicaeum cruentatum;2;1;N;2;5,3;BMR;20,5;flow;N;Spring;NA;Tropical;Old;P;Passeriformes;140;13,25273224;26,68979699;24,1142222;33,07188887;8,95766667;24,84883403;28,90769291;4,058858879;0,907744835;0,168563984;26,52558558;23,64575468;36,02473737;12,3789827;24,73638952;29,38015448;4,643764954;1,07281622;0,199216971
Dicrurus aeneus;2;1;N;8;29,8;BMR;73,6;flow;N;Spring;NA;Tropical;Old;P;Passeriformes;140;13,25273224;27,21143028;21,88596482;35,11477778;13,22881296;23,8838775;31,26959646;7,385718965;1,031001244;0,137773336;27,74562781;18,88271074;39,06851504;20,1858043;23,58494909;33,56900191;9,984052824;1,528994128;0,204320435
Dicrurus hottentottus;2;1;N;1;76,2;BMR;128,1;flow;N;Spring;NA;Tropical;Old;P;Passeriformes;140;13,25273224;26,80549244;22,7003333;31,90944447;9,209111161;23,26593002;30,89856493;7,632634911;0,542136223;0,204908232;28,03848213;22,46143988;37,77802843;15,31658855;23,28084565;34,80538785;11,5245422;1,03172976;0,389957195
Dicrurus leucophaeus;2;1;N;15;41,8;BMR;79,9;flow;N;Spring;NA;Tropical;Old;P;Passeriformes;140;13,25273224;27,04870275;19,60388885;35,90807621;16,30418735;23,3882141;31,57604025;8,187826153;1,421034118;0,155047534;27,80113272;18,38083916;38,89066975;20,50983058;23,35298495;34,0567799;10,70379495;1,777352602;0,193925067
Dicrurus macrocercus;2;1;N;1;63,5;BMR;94,6;flow;N;Spring;NA;Tropical;Old;P;Passeriformes;140;13,25273224;27,74243171;23,32133332;33,82786869;10,50653537;23,86089762;33,00962701;9,148729393;0,513043776;0,19391232;29,07197692;23,06219581;39,06851504;16,00631923;23,81582156;36,7473333;12,93151174;0,641214243;0,242356203
Dicrurus paradiseus;2;1;N;20;71,5;BMR;111,8;flow;N;Spring;NA;Tropical;Old;P;Passeriformes;140;13,25273224;27,34122112;19,72466663;35,62196468;15,89729805;23,76242225;31,30981787;7,547395617;1,237979624;0,125054827;28,10316137;18,88271074;39,06851504;20,1858043;23,70611543;33,66049381;9,954378385;1,614314081;0,163070348
Diglossa brunneiventris;2;1;N;4;10,6;BMR;42,99;flow;N;NA;N;Tropical;New;P;Passeriformes;427;-7,05;16,36000568;8,88461333;22,83929391;13,95468058;14,71226554;18,55727791;3,845012366;1,015403607;0,046346622;15,55087837;6,007049766;22,64380206;16,6367523;13,27533128;18,68043551;5,405104225;1,301585237;0,059408966
Diglossa cyanea;2;1;N;41;19,1;BMR;57,31;flow;N;NA;N;Tropical;New;P;Passeriformes;427;-7,05;16,36000568;8,88461333;22,83929391;13,95468058;14,71226554;18,55727791;3,845012366;1,015403607;0,046346622;15,55087837;6,007049766;22,64380206;16,6367523;13,27533128;18,68043551;5,405104225;1,301585237;0,059408966
Diglossa mystacalis;2;1;N;9;15,4;BMR;50,15;flow;N;NA;N;Tropical;New;P;Passeriformes;427;-7,05;16,36000568;8,88461333;22,83929391;13,95468058;14,71226554;18,55727791;3,845012366;1,015403607;0,046346622;15,55087837;6,007049766;22,64380206;16,6367523;13,27533128;18,68043551;5,405104225;1,301585237;0,059408966
Dinopium javanense;2;1;N;5;85,1;BMR;123,7;flow;N;Spring;NA;Tropical;Old;N;Piciformes;140;13,25273224;26,68645209;22,53133331;33,5877778;11,05644449;24,60459151;29,15683693;4,552245421;0,999243808;0,18883933;26,71139104;23,75872491;36,52075668;12,76203176;24,71128076;30,25268828;5,541407524;1,303774485;0,246390218
Thalassarche chrysostoma;2;1;N;3;3753;BMR;1524,92;flow;N;Summer;N;Temperate;Old;N;Procellariiformes;54;-46,15846995;6,188114685;0,27573333;11,57714666;11,30141333;5,167903247;7,189483469;2,021580222;1,84613734;0,09597611;6,094357783;1,401445276;10,23927846;8,837833182;5,458326258;6,694189194;1,235862936;1,446002828;0,075174107
Diomedea exulans;2;1;N;4;8130;BMR;3641,14;flow;N;NA;NA;Polar;Old;N;Procellariiformes;54;-46,15846995;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Phoebastria immutabilis;2;1;D;5;2522;RMR;1336,12;Scholander micro-gas analyzer;;Winter;;Sub;New;N;Procellariiformes;11;28,35399106;18,8870635;16,73516277;21,38537365;4,650210884;18,22716793;19,58946704;1,362299107;1,023523487;0,28387434;19,11196502;17,02277114;20,58250035;3,55972921;18,77072132;19,49607982;0,725358498;0,770678924;0,213747875
Ceratopipra chloromeros;2;1;N;20;16,2;BMR;51,94;flow;N;NA;N;Tropical;New;P;Passeriformes;427;-7,05;16,36000568;8,88461333;22,83929391;13,95468058;14,71226554;18,55727791;3,845012366;1,015403607;0,046346622;15,55087837;6,007049766;22,64380206;16,6367523;13,27533128;18,68043551;5,405104225;1,301585237;0,059408966
Doryfera ludovicae;2;1;N;5;5,9;BMR;28,66;flow;N;NA;N;Tropical;New;N;Apodiformes;427;-7,05;16,36000568;8,88461333;22,83929391;13,95468058;14,71226554;18,55727791;3,845012366;1,015403607;0,046346622;15,55087837;6,007049766;22,64380206;16,6367523;13,27533128;18,68043551;5,405104225;1,301585237;0,059408966
Drepanoptila holosericea;2;3;N;2;200;BMR;144,42;flow;N;;;;Old;N;Colymbiformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Drepanoptila holosericea;2;2;N;2;198;BMR;150,46;flow;NA;NA;NA;Tropical;Old;N;Colymbiformes;NA;NA;22;21;23;2;NA;NA;NA;NA;NA;22;21;23;2;NA;NA;NA;NA;NA
Drepanoptila holosericea;2;2;D;2;198;BMR;177,88;flow;NA;NA;NA;Tropical;Old;N;Colymbiformes;NA;NA;22;21;23;2;NA;NA;NA;NA;NA;22;21;23;2;NA;NA;NA;NA;NA
Dromaius novaehollandiae;2;2;N;10;38900;BMR;6276,7;flow;;NA;;Sub;Old;N;Casuariiformes;43;-33,35308313;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Dromaius novaehollandiae;1;2;NA;;38925;BMR;7780,7;flow;NA;Summer;;Temperate;Old;;;217;-30,74559836;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Dromaius novaehollandiae;2;NA;NA;2;38300;RMR;8994;flow;N;NA;N;NA;Old;N;Rheiformes;117;34,33856523;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Drymophila caudata;2;1;N;1;12,2;BMR;25,07;flow;N;NA;N;Tropical;New;P;Passeriformes;427;-7,05;16,36000568;8,88461333;22,83929391;13,95468058;14,71226554;18,55727791;3,845012366;1,015403607;0,046346622;15,55087837;6,007049766;22,64380206;16,6367523;13,27533128;18,68043551;5,405104225;1,301585237;0,059408966
Ducula pacifica;2;2;N;4;333,4;BMR;142,4;flow;;;;Tropical;Old;N;Colymbiformes;18;-4,989537426;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ducula pinon;2;2;N;2;583,8;BMR;319,3;flow;;;;Tropical;Old;N;Colymbiformes;18;-4,989537426;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ducula pinon;2;2;N;2;748;BMR;320,25;flow;NA;NA;NA;Tropical;Old;N;Colymbiformes;NA;NA;22;21;23;2;NA;NA;NA;NA;NA;22;21;23;2;NA;NA;NA;NA;NA
Ducula pinon;2;2;D;2;748;BMR;464,76;flow;NA;NA;NA;Tropical;Old;N;Colymbiformes;NA;NA;22;21;23;2;NA;NA;NA;NA;NA;22;21;23;2;NA;NA;NA;NA;NA
Ducula pistrinaria;2;2;N;3;394,2;BMR;192,4;flow;;;;Tropical;Old;N;Colymbiformes;18;-4,989537426;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ducula radiata;2;2;N;2;333,6;BMR;252,2;flow;;;;Tropical;Old;N;Colymbiformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ducula rubricera;2;2;N;1;418,8;BMR;244,6;flow;;;;Tropical;Old;N;Colymbiformes;18;-4,989537426;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ducula rufigaster;2;2;N;1;376,7;BMR;228,3;flow;;;;Tropical;Old;N;Colymbiformes;18;-4,989537426;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ducula spilorrhoa;2;2;N;4;453,6;BMR;246,3;flow;;;;Tropical;Old;N;Colymbiformes;18;-4,989537426;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ducula zoeae;2;2;N;2;456,6;BMR;305,9;flow;;;;Tropical;Old;N;Colymbiformes;18;-4,989537426;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Egretta caerulea;1;2;D;2;290,3;BMR;180;flow;N;NA;N;Sub;New;N;Pelecaniformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Egretta thula;1;2;D;2;314;BMR;246,2;flow;N;NA;N;Sub;New;N;Pelecaniformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Egretta tricolor;1;2;D;2;309,9;BMR;307,4;flow;N;NA;N;Sub;New;N;Pelecaniformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Elaenia albiceps;2;1;N;3;16,8;BMR;34,03;flow;N;NA;N;Tropical;New;P;Passeriformes;427;-7,05;16,36000568;8,88461333;22,83929391;13,95468058;14,71226554;18,55727791;3,845012366;1,015403607;0,046346622;15,55087837;6,007049766;22,64380206;16,6367523;13,27533128;18,68043551;5,405104225;1,301585237;0,059408966
Elaenia gigas;2;1;N;1;30,7;BMR;73,43;flow;N;NA;N;Tropical;New;P;Passeriformes;427;-7,05;16,36000568;8,88461333;22,83929391;13,95468058;14,71226554;18,55727791;3,845012366;1,015403607;0,046346622;15,55087837;6,007049766;22,64380206;16,6367523;13,27533128;18,68043551;5,405104225;1,301585237;0,059408966
Elaenia obscura;2;1;N;1;13,9;BMR;25,07;flow;N;NA;N;Tropical;New;P;Passeriformes;427;-7,05;16,36000568;8,88461333;22,83929391;13,95468058;14,71226554;18,55727791;3,845012366;1,015403607;0,046346622;15,55087837;6,007049766;22,64380206;16,6367523;13,27533128;18,68043551;5,405104225;1,301585237;0,059408966
Elaenia pallatangae;2;1;N;17;15,7;BMR;41,19;flow;N;NA;N;Tropical;New;P;Passeriformes;427;-7,05;16,36000568;8,88461333;22,83929391;13,95468058;14,71226554;18,55727791;3,845012366;1,015403607;0,046346622;15,55087837;6,007049766;22,64380206;16,6367523;13,27533128;18,68043551;5,405104225;1,301585237;0,059408966
Emberiza capensis;2;1;D;6;19,9;RMR;84,08;flow;NA;Summer;Y;Sub;Old;P;Passeriformes;0;-34;15,3202358;10,6179788;26,414;15,7960212;13,49586422;17,51238137;4,016517148;2,161531679;0,274514798;15,47127954;10,76776343;25,26923768;14,50147425;13,01354508;18,78847032;5,774925236;1,686587463;0,214196822
Emberiza citrinella;2;2;N;;28,9;RMR;90,44;open;;Summer;;;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emberiza citrinella;2;2;N;;28,4;RMR;92,54;open;;Winter;;;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emberiza citrinella;2;2;N;;26,4;RMR;81,84;open;;Winter;;;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emberiza citrinella;NA;NA;N;27;26,8;BMR;78,5;close;;Summer;;NA;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emberiza citrinella;NA;NA;D;27;26,8;BMR;90;close;;Summer;;NA;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emberiza citrinella;NA;NA;N;27;27,4;BMR;90;close;;Winter;;NA;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emberiza citrinella;NA;NA;D;27;27,4;BMR;103;close;;Winter;;NA;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emberiza hortulana;2;NA;N;8;24,3;BMR;74,7;close;;Summer;;NA;Old;P;Passeriformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emberiza hortulana;NA;NA;N;8;27;BMR;73,5;close;;Winter;;NA;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emberiza hortulana;2;2;N;;22;RMR;76;open;;;;;Old;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emberiza hortulana;NA;;;8;27;SMR;74,7;;;Summer;;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emberiza hortulana;NA;;;8;27;SMR;72,93;;;Winter;;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
