"","species_name","Mutation_AG_midori","Mutation_CT_midori"
"127","Celeus torquatus","0.110071","0.406513"
"128","Celeus undatus","0.1898815","0.437501"
"129","Cercococcyx montanus","0.0469053","0.408372"
"130","Cercomacra cinerascens","0.276028","0.349205"
"131","Certhia americana","0.1901928","0.29049392"
"132","Certhia familiaris","0.1447925","0.32075"
"133","Ceyx lepidus","0.297084","0.316187"
"134","Ceyx melanurus","0.195803","0.34393"
"135","Chalcophaps indica","0.219527","0.246537"
"136","Chamaea fasciata","0.129789","0.301213"
"137","Charadrius alexandrinus","0","0.624885"
"138","Chiroxiphia caudata","0.158844","0.557793"
"139","Chiroxiphia pareola","0.194825","0.376728"
"140","Chlorocharis emiliae","0.197302","0.1623035"
"141","Chlorophanes spiza","0.198658","0.336392"
"142","Chloropsis cochinchinensis","0.317578","0.279985"
"143","Chloropsis hardwickii","0.148225","0.414744"
"144","Chlorornis riefferii","0.2548","0.286856"
"145","Chlorospingus ophthalmicus","0.221962425","0.44933825"
"146","Chlorospingus semifuscus","0.376116","0.367082"
"147","Chondrohierax uncinatus","0.225786","0.3833785"
"148","Chordeiles pusillus","0.247214","0.268879"
"149","Chrysolophus pictus","0.194806","0"
"150","Cinclodes albiventris","0.105309","0.309455"
"151","Cinclosoma castanotum","0.137139","0.361059"
"152","Cinclosoma punctatum","0.233058","0.195574"
"153","Cinclus cinclus","0.2761685","0.4682435"
"154","Circus pygargus","0.11763535","0.395532"
"155","Cistothorus platensis","0.336175","0.42249"
"156","Clangula hyemalis","0.16501","0.536257"
"157","Climacteris picumnus","0.158103","0.562468"
"158","Climacteris rufus","0.196853","0.470846"
"159","Cnemotriccus fuscatus","0.14582","0.27378"
"160","Coccothraustes coccothraustes","0.137901","0.38999"
"161","Coccyzus americanus","0.371333","0.406618"
"162","Coeligena bonapartei","0.2605475","0.2193955"
"163","Coeligena coeligena","0.3570355","0.208721"
"164","Coeligena helianthea","0.166807","0.263883"
"165","Coeligena torquata","0.2849705","0.330022"
"166","Coereba flaveola","0.18723675","0.35101225"
"167","Colaptes campestris","0.101973","0.628976"
"168","Colibri thalassinus","0.204303","0"
"169","Collocalia esculenta","0.226708","0.3589555"
"170","Colluricincla harmonica","0.215334","0.337612"
"171","Colluricincla megarhyncha","0.223708","0.335827"
"172","Columba livia","0.398505","0"
"173","Columbina passerina","0.0353774","0.5555265"
"174","Conirostrum cinereum","0.216376","0.301251"
"175","Copsychus luzoniensis","0.202229","0.3116095"
"176","Copsychus malabaricus","0.224102","0.296132"
"177","Copsychus saularis","0.211585","0.4003225"
"178","Cormobates leucophaea","0.197946","0.300916"
"179","Corvus brachyrhynchos","0.251096","0.355505"
"180","Corvus corax","0.194735611111111","0.259135555555556"
"181","Corvus corone","0.287448","0.29399"
"182","Corvus macrorhynchos","0.220432","0.298577"
"183","Corvus splendens","0.21076575","0.264143833333333"
"184","Coryphospingus cucullatus","0.154333","0.534092"
"185","Cossypha caffra","0.153546","0.363806"
"186","Cracticus nigrogularis","0.174046","0.15427"
"187","Cracticus torquatus","0.224514","0.305791"
"188","Crax rubra","0","0"
