"","species_name","Mutation_AG_midori","Mutation_CT_midori"
"557","Pogoniulus subsulphureus","0.230173","0.201145"
"558","Pogonocichla stellata","0.335912","0.262711"
"559","Polioptila caerulea","0.262087","0.300529"
"560","Polioptila californica","0.594898","0.218132"
"561","Polioptila dumicola","0.112279","0.545054"
"562","Polioptila melanura","0.0832702","0.447354"
"563","Polioptila nigriceps","0.174556","0.21766"
"564","Polioptila plumbea","0.2841015","0.299057"
"565","Polytmus guainumbi","0.224936","0.0929371"
"566","Pomatorhinus ferruginosus","0.201275","0.305391"
"567","Pomatorhinus horsfieldii","0.259713","0.416146"
"568","Pomatorhinus musicus","0.285013333333333","0.241007666666667"
"569","Pomatorhinus ruficollis","0.23602275","0.30475925"
"570","Pomatorhinus schisticeps","0.331962","0.206093"
"571","Pomatostomus superciliosus","0.26178","0"
"572","Premnoplex brunnescens","0.229293","0.3400805"
"573","Prinia gracilis","0.166411","0.335879"
"574","Prinia subflava","0.2209645","0.3797685"
"575","Prionochilus maculatus","0.120316","0.276359"
"576","Prionochilus olivaceus","0.241018","0.221172"
"577","Prunella collaris","0.238117","0.369239"
"578","Prunella modularis","0.282578","0.280226"
"579","Psaltriparus minimus","0.129865","0.390316"
"580","Pterodroma arminjoniana","0.248201","0.275036"
"581","Pterodroma macroptera","0.161739","0.197498"
"582","Pterodroma magentae","0.176858","0.174574"
"583","Pterodroma phaeopygia","0.126189","0.153147"
"584","Pterodroma sandwichensis","0.140583","0.248299"
"585","Ptilinopus dupetithouarsii","0","0.0975071"
"586","Ptilocichla mindanensis","0.172582","0.359473"
"587","Ptilonorhynchus violaceus","0.149134","0.3741965"
"588","Ptiloris intercedens","0.713942","0"
"589","Ptiloris magnificus","0.34629","0.316334"
"590","Pycnonotus finlaysoni","0.14462","0.457723"
"591","Pycnonotus goiavier","0.2387045","0.3560055"
"592","Pycnonotus jocosus","0.297619","0.263744"
"593","Pycnonotus simplex","0.260533","0.324359"
"594","Pycnonotus sinensis","0.32089","0.349738"
"595","Pycnonotus taivanus","0","0.601342"
"596","Pycnonotus urostictus","0.208187","0.31543"
"597","Pygoscelis adeliae","0.299399333333333","0.291437833333333"
"598","Pygoscelis papua","0.2919945","0.3600905"
"599","Pyriglena leucoptera","0.0986823","0.401356"
"600","Pyrocephalus rubinus","0.189607","0.428533"
"601","Pyrrhomyias cinnamomeus","0.182858","0.287817"
"602","Pyrrhula nipalensis","0.604323","0"
"603","Quiscalus lugubris","0.171733","0.338555"
"604","Quiscalus mexicanus","0.197931","0.262389"
"605","Quiscalus quiscula","0.138530388888889","0.383184555555556"
"606","Ramphocaenus melanurus","0.291551","0.326338"
"607","Ramsayornis modestus","0.160028","0.23211"
"608","Regulus calendula","0.117145","0.356131666666667"
"609","Regulus regulus","0.167822","0.236258"
"610","Regulus satrapa","0.180382608333333","0.2936957"
"611","Remiz macronyx","0","0"
"612","Rhegmatorhina gymnops","0.185433","0.43064"
"613","Rhegmatorhina melanosticta","0.197546","0.502641"
"614","Rhipidura albicollis","0.245333","0.192917"
"615","Rhipidura cockerelli","0.295106","0"
"616","Rhipidura cyaniceps","0.151029","0.3745445"
"617","Rhipidura javanica","0.264886","0.2937915"
"618","Rhipidura nigrocinnamomea","0.279188","0.224333"
"619","Rhipidura superciliaris","0.193108","0.230451"
"620","Rhopocichla atriceps","0.180664","0.232592"
"621","Riparia riparia","0.231032","0.539805"
"622","Saltator atriceps","0.485305","0.489499"
"623","Saltator coerulescens","0.183931","0.394038"
"624","Saltator grossus","0.233047","0.222191"
"625","Saltator maximus","0.129639","0.415138"
"626","Saltator striatipectus","0.22585","0.375666"
"627","Sasia abnormis","0","0.399236"
"628","Saxicola torquatus","0.220673","0.359673"
"629","Schetba rufa","0.219307","0.618932"
"630","Schiffornis turdina","0.2009865","0.3513715"
"631","Schiffornis virescens","0.15754","0.615069"
"632","Schistochlamys melanopis","0.18193","0.353432"
"633","Sclerurus albigularis","0.14881","0.583506"
"634","Sclerurus caudacutus","0.239154666666667","0.368410666666667"
"635","Sclerurus mexicanus","0.256385","0.3365685"
"636","Sclerurus rufigularis","0.222509","0.349624"
"637","Sclerurus scansor","0.189372","0.50721"
"638","Scytalopus acutirostris","0.148676","0.309235"
"639","Scytalopus femoralis","0.137675","0.32457"
"640","Scytalopus latrans","0.213538","0.300869"
"641","Scytalopus pachecoi","0.460512","0"
"642","Scytalopus speluncae","0.201071666666667","0.231521"
"643","Scytalopus spillmanni","0.173924","0.287835"
"644","Seiurus aurocapilla","0.152654","0.448001"
"645","Selasphorus platycercus","0.261618","0.203509"
"646","Selasphorus sasin","0.151094","0.677398"
"647","Sephanoides sephaniodes","0.114983","0.510341"
"648","Sericornis magnirostra","0.253127","0.289346"
"649","Sitta carolinensis","0.221721","0.550011"
"650","Sitta europaea","0.2614085","0.379886"
"651","Sitta oenochlamys","0.276873","0.321219"
"652","Sitta pusilla","0.327056","0"
"653","Sitta tephronota","0.128465","0.53462"
"654","Sittasomus griseicapillus","0.180314","0.387306"
"655","Smicrornis brevirostris","0.135505","0.395387"
"656","Spheniscus demersus","0.666232","0"
"657","Sphyrapicus ruber","0.283134","0.524967"
"658","Sphyrapicus varius","0.18854852","0.3806888"
"659","Spindalis dominicensis","0.22804","0.176683"
"660","Spizixos semitorques","0.202099","0.212645"
"661","Sporophila plumbea","0.211508","0.147038"
"662","Stachyris nigriceps","0.147033","0.298617"
"663","Stiphrornis erythrothorax","0.261792","0.239244"
"664","Stipiturus malachurus","0.235048","0.487449"
"665","Strigops habroptila","0.0275011","0"
"666","Strix varia","0.101925","0.118352"
"667","Sturnella magna","0.182745","0.3342485"
"668","Sturnella neglecta","0.16024","0.432238"
"669","Sturnus vulgaris","0.320323","0.245224"
"670","Sylvia atricapilla","0.295785","0.193716"
"671","Sylvia minula","0.280446","0"
"672","Sylvietta rufescens","0.2001275","0.430625"
"673","Sylvietta virens","0.171622","0.592392"
"674","Sylviparus modestus","0.1702879","0.298645"
"675","Synallaxis ruficapilla","0.1919915","0.4230585"
"676","Synallaxis rutilans","0.322877","0.213909"
"677","Syndactyla rufosuperciliata","0.202129","0.520701"
"678","Tachycineta bicolor","0.270551","0.364114"
"679","Tachyphonus surinamus","0.212712","0.296377"
"680","Tangara cayana","0.185231","0.273501"
"681","Tangara cyanocephala","0.243761","0.36008"
"682","Tangara gyrola","0.228667","0.220153"
"683","Tarsiger cyanurus","0.1813185","0.3697235"
"684","Terenotriccus erythrurus","0.164002","0.349799"
"685","Terpsiphone paradisi","0.308879","0.3733235"
"686","Terpsiphone viridis","0.137463","0.3463275"
"687","Thalurania colombica","0.237593","0.282237"
"688","Thalurania furcata","0.299372","0.289719"
"689","Thalurania glaucopis","0.237217","0.256491"
"690","Thamnomanes caesius","0.2679385","0.4365755"
"691","Thamnophilus aethiops","0.203916","0.372436"
"692","Thamnophilus amazonicus","0.150823","0.391513"
"693","Thamnophilus ambiguus","0.264041","0.3310045"
"694","Thamnophilus atrinucha","0.31216","0.487391"
"695","Thamnophilus caerulescens","0.202624","0.299982"
"696","Thamnophilus murinus","0.160332","0.369488"
"697","Thamnophilus pelzelni","0.175073","0.391378"
"698","Thraupis episcopus","0.210591","0.2743125"
"699","Thraupis sayaca","0.1681885","0.21320465"
"700","Threskiornis aethiopicus","0.231586272727273","0.324619909090909"
"701","Thripadectes holostictus","0.116379","0.215912"
"702","Thryothorus nigricapillus","0.209004","0.27022"
"703","Tityra semifasciata","0.258081","0.268906"
"704","Todiramphus chloris","0.1511685","0.4308325"
"705","Todiramphus sanctus","0.425853","0.142749"
"706","Todus angustirostris","0.518637","0.282331"
"707","Tolmomyias assimilis","0.173975","0.301818"
"708","Tolmomyias poliocephalus","0.227657","0.265999"
"709","Toxostoma cinereum","0.373046","0"
"710","Toxostoma curvirostre","0.321199","0.178823"
"711","Toxostoma redivivum","0.2607705","0.4283845"
"712","Trichastoma celebense","0.303915","0.27178"
"713","Trichastoma rostratum","0.191749","0.436109"
"714","Tricholaema leucomelas","0.250698","0.359853"
"715","Tricholestes criniger","0.259586","0.322807"
"716","Troglodytes aedon","0.225604","0.505936"
"717","Troglodytes solstitialis","0.367508","0.405184"
"718","Troglodytes troglodytes","0.251145","0.392682"
"719","Trogon collaris","0.191986","0.352658"
"720","Trogon melanurus","0.195028","0.164336"
"721","Trogon mexicanus","0.0928757","0.39296"
"722","Trogon personatus","0.17881","0.320003"
"723","Trogon rufus","0.151014","0.393964"
"724","Trogon violaceus","0.17535","0.23899"
"725","Trogon viridis","0.196756","0.134694"
"726","Turdus assimilis","0.206668","0.3850955"
"727","Turdus grayi","0.353652","0.325347"
"728","Turdus ignobilis","0.279034","0.248941"
"729","Turdus merula","0.196763","0.264313"
"730","Turdus naumanni","0.03593","0.378505"
"731","Turdus philomelos","0.109779","0.293455"
"732","Turdus plumbeus","0.296329","0.204002"
"733","Turdus poliocephalus","0.261932","0.309319"
"734","Turdus ruficollis","0.181885","0.071947"
"735","Turdus rufopalliatus","0.3993005","0.3754745"
"736","Tyrannus albogularis","0.196557","0.174009"
"737","Tyrannus forficatus","0.0745654","0.294422"
"738","Tyrannus savana","0.115075","0.364995"
"739","Tyrannus verticalis","0.0525837","0.478881"
"740","Tyto alba","0.175206","0.184464"
"741","Tyto longimembris","1","0"
"742","Upupa epops","0.18753","0.430307"
"743","Uria aalge","0.195274","0.255185"
"744","Uria lomvia","0.1273","0.483143"
"745","Vanellus chilensis","0.240124","0.228823"
"746","Vidua chalybeata","0.257166","0.119716"
"747","Vidua codringtoni","0.17929","0"
"748","Vidua funerea","0.253049","0.180316"
"749","Vidua purpurascens","0.218167","0.113868"
"750","Vireo altiloquus","0.320201","0.449922"
"751","Vireo atricapilla","0.164561","0.353967"
"752","Vireo bellii","0.17123","0.254172"
"753","Vireo cassinii","0.114974","0.328455"
"754","Vireo flavoviridis","0.124925","0.294475"
"755","Vireo gilvus","0.282900333333333","0.426228666666667"
"756","Vireo hypochryseus","0.27174","0.336099"
"757","Vireo leucophrys","0.200823","0.398287"
"758","Vireo olivaceus","0.216360636363636","0.312933563636364"
"759","Vireo philadelphicus","0.316135","0"
"760","Vireo plumbeus","0.196714","0.226597"
"761","Vireo solitarius","0.202537845454545","0.324292090909091"
"762","Willisornis poecilinotus","0.177533","0.358461"
"763","Xenopipo atronitens","0.173211","0.391578"
"764","Xenops minutus","0.2661295","0.306892"
"765","Xiphorhynchus flavigaster","0.154535","0.536087"
"766","Xiphorhynchus fuscus","0.2206775","0.304812"
"767","Xiphorhynchus guttatus","0.227039","0.235194"
"768","Xiphorhynchus obsoletus","0.196068","0.697055"
"769","Xiphorhynchus ocellatus","0.174273","0.296112"
"770","Xiphorhynchus pardalotus","0.30994","0"
"771","Xiphorhynchus susurrans","0.522651","0"
"772","Zimmerius chrysops","0.144191","0.438827"
"773","Zimmerius gracilipes","0.186706","0.635451"
"774","Zonotrichia albicollis","0.318674363636364","0.232637727272727"
"775","Zonotrichia capensis","0.2129295","0.296177"
"776","Zosterops abyssinicus","0.263244","0.20058"
"777","Zosterops chloris","0.267809","0.292277"
"778","Zosterops citrinella","0.0704432","0.265082"
"779","Zosterops consobrinorum","0.332564","0.189724"
"780","Zosterops flavifrons","0.294068333333333","0.236384"
"781","Zosterops japonicus","0.2167455","0.17511105"
"782","Zosterops lateralis","0.189855","0.435227666666667"
"783","Zosterops luteus","0.301091","0.435741"
"784","Zosterops maderaspatanus","0.186217","0.320497"
"785","Zosterops montanus","0.17786","0.342704"
"786","Zosterops pallidus","0.157622","0"
"787","Zosterops palpebrosus","0.194986333333333","0.440785666666667"
"788","Zosterops poliogastrus","0.1858355","0.266477"
"789","Zosterops senegalensis","0.2036085","0.34909"
