"","Species3","GhAhSkew","ThChSkew","ability_to_fly","ability_to_dive","Mutation_AG_midori","Mutation_CT_midori","GhAhSkew_seq_beg","GhAhSkew_start_codon","Family3","Order3","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"6976","Anas erythrorhyncha",NA,NA,NA,NA,NA,NA,0.168141592920354,0.215686274509804,"Anatidae","Anseriformes",5,2,2,1,4,43.8,32.3,15.9,13.9,33,215,97.6,115,45.9,77.2,558.8,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Herbivore","Herbivore aquatic","Aquatic",-34.84,13.51,-11.83,29.39,10763443.79,"Extant"
"6977","Anas flavirostris",NA,NA,NA,NA,NA,NA,0.784436121514773,0.177570093457944,"Anatidae","Anseriformes",5,2,3,0,4,35.3,27.8,13.3,11.7,27.8,191,93.3,95.7,49.3,74.4,434,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Omnivore","Herbivore aquatic","Aquatic",-55.98,-6.56,-34.05,-66.68,3942276.35,"Extant"
"6978","Anas fulvigula",NA,NA,NA,NA,NA,NA,0.638297872340426,0.150442477876106,"Anatidae","Anseriformes",4,1,2,1,4,59.2,42.4,21.9,15.9,40.5,244.5,119.2,125.2,48.8,85.2,843.4,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Herbivore","Herbivore aquatic","Aquatic",18.57,34.98,28.28,-100.49,1467257.69,"Extant"
"6979","Anas georgica",NA,NA,NA,NA,NA,NA,0.680851063829787,0.150943396226415,"Anatidae","Anseriformes",5,3,2,0,4,34.3,25.7,13,13.1,31.3,205.6,97,109.7,47,89.4,623.8,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Herbivore","Herbivore aquatic","Aquatic",-55.98,3.76,-33.81,-66.27,4166039.59,"Extant"
"6980","Anas gracilis",NA,NA,NA,NA,NA,NA,-0.313451511991658,-0.0412504028359652,"Anatidae","Anseriformes",5,2,3,0,3,39.2,30.1,15.3,12,32.9,192.2,91.8,102,47.3,72,488.1,"Dunning",NA,"NO",NA,NA,"Wetland",3,1,"Omnivore","Aquatic predator","Aquatic",-46.68,-0.34,-24.47,136.77,8457229.37,"Extant"
"6981","Anas hottentota",NA,NA,NA,NA,NA,NA,0.157894736842105,0.153513326410523,"Anatidae","Anseriformes",5,2,3,0,4,36,27.1,12.7,11.1,23.4,147,62.4,84.7,42.4,61.8,276.4,"Dunning",NA,"NO",NA,NA,"Wetland",3,1,"Herbivore","Omnivore","Generalist",-34.84,14.76,-12.18,30.14,7754871.01,"Extant"
"6982","Anas laysanensis",NA,NA,NA,NA,NA,NA,0.186440677966102,0.160714285714286,"Anatidae","Anseriformes",6,2,4,0,6,43.2,28.9,13.6,11,34.4,198.5,84,114.5,42,86,843.4,"Dunning",NA,"NO",NA,NA,"Wetland",3,1,"Carnivore","Aquatic predator","Aquatic",25.75,25.77,25.76,-171.73,1.52,"Extant"
"6983","Anas luzonica",NA,NA,NA,NA,NA,NA,0.179487179487179,0.153153153153153,"Anatidae","Anseriformes",4,1,1,2,4,54.6,38.3,20.1,14.3,39.2,237,105.2,131.8,44.3,84.2,832,"Dunning",NA,"NO",NA,NA,"Wetland",3,1,"Omnivore","Herbivore aquatic","Aquatic",5.56,18.65,11.81,122.91,279937.11,"Extant"
"6984","Anas melleri",NA,NA,NA,NA,NA,NA,0.169491525423729,0.153153153153153,"Anatidae","Anseriformes",5,2,3,0,4,62.1,42.9,23.3,15.4,39,245.6,113.8,127.2,47.2,91,959.2,"Dunning",NA,"NO",NA,NA,"Wetland",3,1,"Herbivore","Herbivore aquatic","Aquatic",-25.2,-14.19,-19.37,48.04,210448.78,"Extant"
"6985","Anas nesiotis",NA,NA,NA,NA,NA,NA,0.155172413793103,0.155963302752294,"Anatidae","Anseriformes",1,1,0,0,1,34,24.4,11.9,11.2,32.2,122,42.6,79.4,34.9,72,499.1,"Dunning",NA,"NO",NA,NA,"Wetland",3,1,"Carnivore","Aquatic predator","Aquatic",-52.61,-52.46,-52.54,169.16,112.17,"Extant"
