"Original_Name","IOС-10.1","BirdTree","NameComments","Original-1_Cited-2","Reference","Bad1Good2","Wild-1_Aviary-2_Domestic-3","Day-Night","n","Sex","Mass","Trait","CommentTrait","TraitValue","Method","Place","Latitude","Longitude","StartDate","EndDate","Mountains","Summer-Winter","Breeding-NonBreeding","Climate","World","Comments","CapturePlace","CaptureLatitude","CaptureLongitude","Passerine","Order","Elevation","ElevationLatCor","MeanSurfaceTemperature","AbsoluteMinSurfaceTemperature","AbsoluteMaxSurfaceTemperature","AbsoluteSurfaceTemperatureRange","AverageDailyMinimumSurfaceTemperature","AverageDailyMaximumSurfaceTemperature","AverageDailySurfaceTemperatureDifference","SD_DailyMeanSurfaceTemperature","SE_DailyMeanSurfaceTemperature","MeanGaussianTemperature","AbsoluteMinGaussianTemperature","AbsoluteMaxGaussianTemperature","AbsoluteGaussianTemperatureRange","AverageDailyMinimumGaussianTemperature","AverageDailyMaximumGaussianTemperature","AverageDailyGaussianTemperatureDifference","SD_DailyMeanGaussianTemperature","SE_DailyMeanGaussianTemperature","","","","","","","","","","","","","","","","","","","",""
"Acanthis flammea","Acanthis flammea","Carduelis flammea","","1","{West, 1972 #3790}","2","","D","8","both","13.80","RMR","Вольеры уличные.","83.39","flow","Fairbanks","64.85791","-147.826475","12/13/1968","2/26/1969","N","Winter","N","Temperate","New","","Fairbanks","64.85791","-147.826475","P","Passeriformes","0","64.85791","-21.00508485","-40.54760888","-0.473821579","40.0737873","-23.43627642","-18.69549245","4.740783971","10.48275806","1.15762697","-22.30088926","-45.10715763","-0.982904067","44.12425356","-25.17958815","-19.45061019","5.728977961","10.46454806","1.155616012","","","","","","","","","","","","","","","","","","","",""
"Acanthis flammea","Acanthis flammea","Carduelis flammea","","1","{West, 1972 #3790}","2","","D","15","both","13.10","RMR","Вольеры уличные.","52.60","flow","Fairbanks","64.85791","-147.826475","5/27/1968","6/8/1968","N","Summer","N","Temperate","New","","Fairbanks","64.85791","-147.826475","P","Passeriformes","0","64.85791","5.960353825","-1.662719282","12.92590453","14.58862381","3.41076072","8.25156285","4.84080213","2.635780321","0.604689477","5.272171964","-2.125627375","12.22860138","14.35422876","1.344780615","8.443105512","7.098324897","2.458152872","0.563938945","","","","","","","","","","","","","","","","","","","",""
"Acanthis flammea","Acanthis flammea","Carduelis flammea","","1","{West, 1972 #3790}","2","","D","9","both","13.60","RMR","Вольеры уличные.","59.38","flow","Fairbanks","64.85791","-147.826475","8/7/1968","9/18/1968","N","Autumn","N","Temperate","New","","Fairbanks","64.85791","-147.826475","P","Passeriformes","0","64.85791","8.959361723","-2.286527771","20.34922846","22.63575623","6.613609392","11.90935295","5.29574356","4.096032571","0.58514751","8.280336327","-2.642950963","21.34841443","23.99136539","5.139360581","12.13867612","6.999315537","4.171195465","0.595885066","","","","","","","","","","","","","","","","","","","",""
"Acanthis flammea","Acanthis flammea","Carduelis flammea","","1","{West, 1972 #3790}","2","","D","15","both","13.60","RMR","Вольеры уличные.","61.53","flow","Fairbanks","64.85791","-147.826475","3/5/1968","4/16/1968","N","Spring","N","Temperate","New","","Fairbanks","64.85791","-147.826475","P","Passeriformes","0","64.85791","-8.736400932","-30.47681293","3.671614826","34.14842775","-12.43226195","-5.449051195","6.983210751","6.516856289","0.93097947","-9.981784172","-30.38074279","0.318157333","30.69890013","-13.70367825","-6.051566365","7.652111881","6.846351667","0.978050238","","","","","","","","","","","","","","","","","","","",""
"Acanthis flammea","Acanthis flammea","Carduelis flammea","","2","{Гаврилов, 1974 #3935}","NA","","","","","14.30","SMR","Не указаны условия измерений (продолжительность, время суток, температура, при которой измеряли SMR)","51.2","","","","","","","","Summer","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","",""
"Acanthis flammea","Acanthis flammea","Carduelis flammea","","2","{Гаврилов, 1974 #3935}","NA","","","","","14.30","SMR","Не указаны условия измерений (продолжительность, время суток, температура, при которой измеряли SMR)","60.8","","","","","","","","Winter","","","","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","",""
"Acanthiza chrysorrhoa","Acanthiza chrysorrhoa","Acanthiza chrysorrhoa","","1","{Bech, 2016 #2143}","2","1","N","8","NA","8.30","BMR","","40.20","flow","Fowlers Gap Research Station, NSW","-34.25","153.53","01.09.2007","01.11.2007","N","Winter","NA","Sub","Old","","Fowlers Gap Research Station, NSW","-34.25","153.53","P","Passeriformes","0","-34.25","17.04887436","11.56164","24.51773224","12.95609224","15.84357679","18.15292617","2.309349384","2.323684449","0.28178813","18.04217591","13.70450582","23.04656565","9.342059835","17.20561705","18.9271879","1.721570851","1.868076083","0.2265375","","","","","","","","","","","","","","","","","","","",""
"Acanthiza lineate","Acanthiza lineata","Acanthiza lineata","","1","{Bech, 2016 #2143}","2","1","N","1","NA","7.30","BMR","","28.80","flow","Wollongong, NSW","-31.09","141.7","01.10.1998","30.08.1999","N","NA","NA","Sub","Old","","Wollongong, NSW","-31.09","141.7","P","Passeriformes","183","-28.69","20.02134173","1.16325567","41.29384767","40.130592","15.5680908","25.48640237","9.918311567","7.554803262","0.409716733","19.61899372","-3.811825799","46.10407571","49.91590151","13.6256509","27.34295786","13.71730697","8.13874518","0.441385429","","","","","","","","","","","","","","","","","","","",""
"Acanthiza pusilla","Acanthiza pusilla","Acanthiza pusilla","","1","{Bech, 2016 #2143}","2","1","N","6","NA","6.40","BMR","","40.20","flow","Wollongong, NSW","-31.09","141.7","01.10.1998","30.08.1999","N","NA","NA","Sub","Old","","Wollongong, NSW","-31.09","141.7","P","Passeriformes","183","-28.69","20.02134173","1.16325567","41.29384767","40.130592","15.5680908","25.48640237","9.918311567","7.554803262","0.409716733","19.61899372","-3.811825799","46.10407571","49.91590151","13.6256509","27.34295786","13.71730697","8.13874518","0.441385429","","","","","","","","","","","","","","","","","","","",""
"Acanthiza uropygialis","Acanthiza uropygialis","Acanthiza uropygialis","","1","{Bech, 2016 #2143}","2","1","N","2","NA","6.60","BMR","","31.80","flow","Fowlers Gap Research Station, NSW","-34.25","153.53","01.09.2007","01.11.2007","N","Winter","NA","Sub","Old","","Fowlers Gap Research Station, NSW","-34.25","153.53","P","Passeriformes","0","-34.25","17.04887436","11.56164","24.51773224","12.95609224","15.84357679","18.15292617","2.309349384","2.323684449","0.28178813","18.04217591","13.70450582","23.04656565","9.342059835","17.20561705","18.9271879","1.721570851","1.868076083","0.2265375","","","","","","","","","","","","","","","","","","","",""
"Acanthorhynchus tenuirostris","Acanthorhynchus tenuirostris","Acanthorhynchus tenuirostris","","1","{Bech, 2016 #2143}","2","1","N","7","NA","11.30","BMR","","49.80","flow","Wollongong, NSW","-31.09","141.7","01.10.1998","30.08.1999","N","NA","NA","Sub","Old","","Wollongong, NSW","-31.09","141.7","P","Passeriformes","183","-28.69","20.02134173","1.16325567","41.29384767","40.130592","15.5680908","25.48640237","9.918311567","7.554803262","0.409716733","19.61899372","-3.811825799","46.10407571","49.91590151","13.6256509","27.34295786","13.71730697","8.13874518","0.441385429","","","","","","","","","","","","","","","","","","","",""
