species_name,higher_altitude,far_migration,wintering,diving,flying
Porzana_fusca,2000,M,N,N,Y
Porzana_paykullii,1000,Y,N,N,Y
Porzana_pusilla,2500,M,N,N,Y
Primolius_couloni,1500,M,N,N,Y
Primolius_maracana,1000,N,N,N,Y
Prioniturus_luconensis,700,M,N,N,Y
Probosciger_aterrimus,1300,N,N,N,Y
Procellaria_cinerea,,,,,
Prodotiscus_insignis,2200,N,N,N,Y
Progne_chalybea,2000,M,N,N,Y
Prosthemadera_novaeseelandiae,1500,N,N,N,Y
Prunella_fulvescens,5100,N,M,N,Y
Prunella_montanella,1000,Y,N,N,Y
Prunella_strophiata,4300,N,M,N,Y
Psephotellus_pulcherrimus,1000,N,N,N,Y
Pseudoleistes_guirahuro,1400,N,N,N,Y
Pseudoleistes_virescens,2100,M,N,N,Y
Pseudonestor_xanthophrys,2400,N,N,N,Y
Pseudopodoces_humilis,5500,N,N,N,Y
Psittacara_acuticaudatus,3600,M,N,N,Y
Psittacara_brevipes,2600,M,N,N,Y
Psittacara_rubritorquis,2000,M,N,N,Y
Psittacus_erithacus,2000,N,N,N,Y
Psittirostra_psittacea,2000,M,N,N,Y
Psittrichas_fulgidus,2000,M,N,N,Y
Pterocles_gutturalis,2000,M,N,N,Y
Pterocles_namaqua,2000,M,N,N,Y
Pterocnemia_pennata,2000,N,N,N,N
Pterodroma_brevirostris,,,,,
Pteroglossus_azara,1400,N,N,N,Y
Ptilopachus_petrosus,1500,N,N,N,Y
Pucrasia_macrolopha,4000,N,M,N,Y
Pycnonotus_melanicterus,1200,N,N,N,Y
Pycnonotus_sinensis,500,M,N,N,Y
Pycnonotus_taivanus,500,N,N,N,Y
Pycnonotus_xanthorrhous,2300,N,N,N,Y
Pygoscelis_adeliae,500,M,Y,Y,N
Pygoscelis_antarcticus,500,M,Y,Y,N
Pygoscelis_papua,500,M,M,Y,N
Pyrgilauda_blanfordi,5500,N,M,N,Y
Pyrgilauda_davidiana,3000,N,M,N,Y
Pyrrhocorax_graculus,8200,N,M,N,Y
Pyrrhocorax_pyrrhocorax,7900,N,M,N,Y
Pyrrhula_pyrrhula,3000,M,Y,N,Y
Pyrrhura_rupicola,1000,M,N,N,Y
Quiscalus_quiscula,1000,M,N,N,Y
Rallina_eurizonoides,1600,M,N,N,Y
Raphus_cucullatus,1000,N,N,N,N
Recurvirostra_avosetta,,,,,
Regulus_calendula,3000,Y,N,N,Y
Regulus_regulus,4000,M,Y,N,Y
Remiz_consobrinus,1000,Y,N,N,Y
Rhea_americana,1000,N,N,N,Y
Rhinopomastus_cyanomelas,1100,M,N,N,Y
Rhipidura_fuliginosa,1500,M,N,N,Y
Rhizothera_longirostris,1500,N,N,N,Y
Rhynchopsitta_terrisi,3500,M,N,N,Y
Rhynchortyx_cinctus,1400,N,N,N,Y
Rhynochetos_jubatus,1400,N,N,N,Y
Rhyticeros_undulatus,2500,N,N,N,Y
Rissa_tridactyla,,,,,
Rynchops_niger,,,,,
Sagittarius_serpentarius,3100,M,N,N,Y
Sarothrura_ayresi,1900,M,N,N,Y
Sasia_ochracea,2600,N,N,N,Y
Saundersilarus_saundersi,,,,,
Saxicola_rubicola,,,,,
Saxicola_torquata,3000,M,N,N,Y
Sceloglaux_albifacies,2000,N,N,N,Y
Schoeniclus_elegans,1000,M,N,N,Y
Schoeniclus_siemsseni,2100,M,N,N,Y
Scolopax_rusticola,2000,Y,N,N,Y
Scytalopus_magellanicus,3500,N,N,N,Y
Serinus_albogularis,1000,M,N,N,Y
Serinus_canaria,1700,N,N,N,Y
Serinus_dorsostriatus,,,,,
Sicalis_olivascens,3800,N,M,N,Y
Sitta_carolinensis,3500,M,M,N,Y
Smithornis_sharpei,1500,N,N,N,Y
Spheniscus_demersus,500,N,N,Y,N
Spheniscus_humboldti,500,N,N,Y,N
Spheniscus_magellanicus,500,N,N,Y,N
Spheniscus_mendiculus,500,N,N,Y,N
Spilornis_cheela,,,,,
Spizaetus_alboniger,,,,,
Spizaetus_nipalensis,,,,,
Spizella_atrogularis,2500,N,N,N,Y
Spizixos_semitorques,1500,N,N,N,Y
Sporophila_maximiliani,1000,N,N,N,Y
Stachyris_ruficeps,3200,N,N,N,Y
Stercorarius_maccormicki,,,,,
Sterna_eurygnatha,,,,,
Sterna_hirundo,,,,,
Sternula_albifrons,,,,,
Streptopelia_chinensis,1000,N,N,N,Y
Streptopelia_decaocto,3000,M,M,N,Y
Streptopelia_orientalis,4000,M,M,N,Y
Strigops_habroptilus,2000,N,N,N,N
Strix_leptogrammica,2700,N,N,N,Y
Strix_occidentalis,2700,M,M,N,Y
Strix_uralensis,5000,N,Y,N,Y
Strix_varia,2500,N,Y,N,Y
Struthio_camelus,500,N,N,N,N
Sturnella_neglecta,2200,M,M,N,Y
Sturnus_cineraceus,1300,M,N,N,Y
Sturnus_nigricollis,2000,N,N,N,Y
Sturnus_sericeus,1000,M,N,N,Y
Sturnus_tristis,3000,M,N,N,Y
Sturnus_vulgaris,2500,Y,N,N,Y
Sula_dactylatra,1000,Y,N,Y,Y
Sylvia_atricapilla,2200,Y,N,N,Y
Sylvia_crassirostris,2000,Y,N,N,Y
Sylviparus_modestus,3400,M,M,N,Y
Synthliboramphus_antiquus,1000,M,M,Y,Y
Synthliboramphus_wumizusume,1000,M,M,Y,Y
Syrmaticus_ellioti,1900,N,N,N,Y
Syrmaticus_humiae,3000,N,M,N,Y
Syrmaticus_reevesii,2600,N,N,N,Y
Syrmaticus_soemmerringi,1800,N,N,N,Y
Tachybaptus_novaehollandiae,3200,M,M,N,Y
Tachybaptus_ruficollis,4000,M,N,N,Y
Tachycineta_albilinea,1000,N,N,N,Y
Tachycineta_albiventer,500,M,N,N,Y
Tachycineta_bicolor,1000,Y,N,N,Y
Tachycineta_cyaneoviridis,1000,M,N,N,Y
Tachycineta_euchrysea,2000,N,N,N,Y
Tachycineta_leucorrhoa,1000,M,N,N,Y
Tachycineta_meyeni,1000,M,N,N,Y
Tachycineta_stolzmanni,1000,N,N,N,Y
Tachycineta_thalassina,4000,Y,N,N,Y
Tadorna_ferruginea,4650,Y,M,N,Y
Tadorna_tadorna,2400,Y,M,N,Y
Taeniopygia_guttata,2300,M,N,N,Y
Tanygnathus_lucionensis,1000,N,N,N,Y
Terpsiphone_atrocaudata,1000,Y,N,N,Y
Tetraogallus_himalayensis,6000,N,Y,N,Y
Tetraogallus_tibetanus,5800,N,Y,N,Y
Tetraophasis_obscurus,4500,N,M,N,Y
Tetraophasis_szechenyii,4800,N,M,N,Y
Tetrastes_bonasia,,,,,
Tetrastes_sewerzowi,4300,N,M,N,Y
Thalassarche_melanophris,,,,,
Thalassarche_melanophrys,,,,,
Thamnophilus_nigrocinereus,1000,N,N,N,Y
Thraupis_episcopus,2000,N,N,N,Y
Threskiornis_aethiopicus,,,,,
Tinamus_guttatus,500,N,N,N,N
Tinamus_major,1500,N,N,N,N
Tockus_camurus,800,N,N,N,Y
Todiramphus_sanctus,1000,M,N,Y,Y
Todus_angustirostris,3000,N,N,N,Y
Tragopan_caboti,2000,N,N,N,Y
Tragopan_temminckii,4200,N,M,N,Y
Traversia_lyalli,1000,N,N,N,Y
Tregellasia_capito,1500,N,N,N,Y
Tregellasia_leucops,2200,N,N,N,Y
Tringa_erythropus,4700,Y,N,N,Y
Tringa_glareola,1000,Y,N,N,Y
Tringa_ochropus,3200,Y,N,N,Y
Tringa_semipalmata,3400,M,N,N,Y
Trogon_personatus,3000,N,N,N,Y
Trogon_viridis,1300,N,N,N,Y
Trugon_terrestris,700,N,N,N,Y
Turdus_eunomus,3000,Y,N,N,Y
Turdus_hortulorum,1100,Y,N,N,Y
Turdus_merula,2000,M,N,N,Y
Turdus_migratorius,3500,M,N,N,Y
Turdus_naumanni,1000,Y,N,N,Y
Turdus_philomelos,2700,Y,N,N,Y
Turdus_rufiventris,2600,N,N,N,Y
Turnagra_capensis,2000,M,N,N,Y
Turnix_sylvatica,2200,M,N,N,Y
Turtur_tympanistria,3000,N,N,N,Y
Tyto_alba,4000,M,M,N,Y
Tyto_longimembris,2500,M,N,N,Y
Upupa_epops,4600,M,N,N,Y
Uragus_sibiricus,3400,M,M,N,Y
Urocissa_caerulea,1200,N,N,N,Y
Urocissa_erythrorhyncha,2200,N,N,N,Y
Vanellus_cinereus,1600,Y,N,N,Y
Vanellus_vanellus,5000,N,N,N,Y
Vermivora_celata,1000,Y,N,N,Y
Vestiaria_coccinea,2900,M,N,N,Y
Vidua_chalybeata,2000,N,N,N,Y
Vireo_olivaceus,1500,M,N,N,Y
Xanthopsar_flavus,1000,N,N,N,Y
Xenicus_gilviventris,2900,N,N,N,Y
Xenus_cinereus,3000,Y,N,N,Y
Yuhina_diademata,2700,N,N,N,Y
Zenaida_auriculata,3500,M,N,N,Y
Zenaida_macroura,2500,M,M,N,Y
Zonotrichia_leucophrys,2500,Y,N,N,Y
Zoothera_aurea,2800,Y,N,N,Y
Zosterops_abyssinicus,3100,N,N,N,Y
Zosterops_erythropleurus,2500,Y,N,N,Y
Zosterops_lateralis,1000,M,N,N,Y
Zosterops_poliogastrus,3400,N,N,N,Y
Zosterops_senegalensis,3400,N,N,N,Y
