species_name,higher_altitude,far_migration,wintering,diving,flying
Calonectris_diomedea,,,,,
Caloperdix_oculeus,1200,N,N,N,Y
Calyptorhynchus_baudinii,500,N,N,N,Y
Calyptorhynchus_lathami,500,N,N,N,Y
Calyptorhynchus_latirostris,500,N,N,N,Y
Campephilus_guatemalensis,2000,N,N,N,Y
Campephilus_imperialis,3000,N,N,N,Y
Campylorhynchus_brunneicapillus,2000,N,N,N,Y
Campylorhynchus_zonatus,3000,N,N,N,Y
Capito_niger,800,N,N,N,Y
Caprimulgus_indicus,2100,N,N,N,Y
Cardinalis_cardinalis,2000,N,N,N,Y
Carduelis_pinus,4000,M,M,N,Y
Carduelis_psaltria,3100,M,N,N,Y
Carduelis_sinica,2400,M,N,N,Y
Carduelis_spinus,2000,M,M,N,Y
Carduelis_tristis,1000,M,M,N,Y
Carpodacus_erythrinus,4500,Y,N,N,Y
Carpodacus_mexicanus,2000,M,M,N,Y
Carpodacus_roseus,2500,M,M,N,Y
Casuarius_bennetti,3300,N,N,N,N
Casuarius_casuarius,1100,N,N,N,N
Catharacta_skua,,,,,
Cathartes_aura,,,,,
Cecropis_daurica,3900,M,M,N,Y
Ceryle_rudis,2500,N,N,Y,Y
Chaetura_pelagica,3200,Y,N,N,Y
Chalcophaps_indica,2200,M,N,N,Y
Charadrius_placidus,2700,Y,N,M,Y
Charadrius_vociferus,2400,M,N,M,Y
Chionis_minor,,,,,
Chloroceryle_aenea,2600,N,N,Y,Y
Chlorophanes_spiza,2300,N,N,N,Y
Chroicocephalus_ridibundus,,,,,
Chrysolampis_mosquitus,1700,M,N,N,Y
Chrysolophus_amherstiae,4600,N,M,N,Y
Chrysolophus_pictus,2600,N,N,N,Y
Chrysomus_cyanopus,500,N,N,N,Y
Chrysomus_icterocephalus,2600,N,N,N,Y
Chrysomus_ruficapillus,500,N,N,N,Y
Chrysomus_thilius,4000,M,N,N,Y
Chrysomus_xanthophthalmus,650,N,N,N,Y
Ciconia_boyciana,,,,,
Ciconia_ciconia,3300,Y,N,M,Y
Ciconia_nigra,2000,Y,N,M,Y
Circus_cyaneus,2500,Y,N,N,Y
Circus_melanoleucos,2000,Y,N,N,Y
Cnemotriccus_fuscatus,2000,N,N,N,Y
Coccothraustes_coccothraustes,2200,M,M,N,Y
Colinus_virginianus,2000,N,M,N,Y
Columba_jouyi,2000,N,N,N,Y
Columba_livia,3000,M,M,N,Y
Columba_rupestris,6000,M,M,N,Y
Copsychus_saularis,1500,N,N,N,Y
Coracopsis_vasa,1000,N,N,N,Y
Corvus_brachyrhynchos,2000,M,M,N,Y
Corvus_corax,3000,M,M,N,Y
Corvus_coronoides,2000,M,M,N,Y
Corvus_cryptoleucus,2400,M,N,N,Y
Corvus_frugilegus,2000,M,M,N,Y
Corvus_hawaiiensis,2000,N,N,N,Y
Corvus_macrorhynchos,4500,M,M,N,Y
Corvus_moriorum,1000,N,N,N,Y
Corvus_ruficollis,2000,N,N,N,Y
Corvus_splendens,2000,N,N,N,Y
Corythornis_leucogaster,1800,N,N,Y,Y
Coturnicops_exquisitus,1000,Y,N,N,Y
Coturnix_chinensis,2300,M,M,N,Y
Coturnix_japonica,3000,Y,N,N,Y
Crax_daubentoni,1500,N,N,N,Y
Crax_rubra,1200,N,N,N,Y
Crossoptilon_auritum,4400,N,M,N,Y
Crossoptilon_crossoptilon,4300,N,M,N,Y
Crossoptilon_harmani,5000,N,M,N,Y
Crossoptilon_mantchuricum,2600,N,M,N,Y
Crotophaga_ani,2500,N,N,N,Y
Crypturellus_tataupa,1400,N,N,N,N
Cuculus_poliocephalus,3600,Y,N,N,Y
Curaeus_curaeus,1500,N,N,N,Y
Cursorius_temminckii,2500,M,N,N,Y
Cyanistes_cyanus,2500,M,Y,N,Y
Cyanopica_cyanus,1600,N,Y,N,Y
Cyanoptila_cyanomelana,1800,Y,N,N,Y
Cygnus_atratus,1000,N,N,M,Y
Cygnus_columbianus,1000,Y,N,M,Y
Cygnus_cygnus,1850,Y,N,M,Y
Cygnus_olor,1000,Y,N,M,Y
Cypseloides_fumigatus,2100,M,N,N,Y
Dacelo_novaeguineae,1000,N,N,N,Y
Dendrocopos_leucotos,1700,N,Y,N,Y
Dendrocopos_major,2500,N,Y,N,Y
Dendrocygna_javanica,1000,M,N,M,Y
Dendroica_coronata,1000,Y,N,N,Y
Deroptyus_accipitrinus,1000,N,N,N,Y
Didunculus_strigirostris,1600,N,N,N,Y
Dinornis_giganteus,1000,N,N,N,N
Diomedea_chrysostoma,,,,,
Dives_dives,2000,N,N,N,Y
Dromaius_novaehollandiae,1000,N,N,N,N
Dryocopus_pileatus,2300,N,M,N,Y
Dupetor_flavicollis,,,,,
Eclectus_roratus,2000,N,N,N,Y
