species_name,higher_altitude,far_migration,wintering,diving,flying,lower_altitude,only_forest,can_not_fly,divers,high_alt,far_migrtion,wintering_num,high_alt2,reference2
Apteryx_haastii,1500,N,N,N,N,0,Y,Apteryx_haastii,0,0,0,0,0,0
Apteryx_mantelli,500,N,N,N,N,0,Y,Apteryx_mantelli,0,0,0,0,0,0
Apteryx_owenii,1000,N,N,N,N,0,Y,Apteryx_owenii,0,0,0,0,0,0
Apus_apus,4000,Y,N,,,0,Y,0,0,0,Apus_apus,0,0,0
Aquila_chrysaetos,,,,,,,,0,0,0,0,0,0,0
Aquila_heliaca,,,,,,,,0,0,0,0,0,0,0
Ara_ararauna,1500,M,N,N,Y,0,M,0,0,0,0,0,0,0
Ara_glaucogularis,300,M,N,N,Y,0,M,0,0,0,0,0,0,0
Ara_macao,1000,M,N,N,Y,0,M,0,0,0,0,0,0,0
Ara_militaris,2600,M,N,N,Y,0,Y,0,0,0,0,0,0,0
Ara_severus,1500,N,N,N,Y,0,Y,0,0,0,0,0,0,Ara_severus
Ara_tricolor,500,N,N,N,Y,0,Y,0,0,0,0,0,0,Ara_tricolor
Aratinga_acuticaudata,2650,M,N,N,Y,0,N,0,0,0,0,0,0,0
Aratinga_brevipes,1000,N,N,N,Y,500,Y,0,0,0,0,0,0,Aratinga_brevipes
Aratinga_mitrata,4000,M,N,N,Y,1000,Y,0,0,0,0,0,0,0
Aratinga_pertinax,1200,M,N,N,Y,0,N,0,0,0,0,0,0,0
Aratinga_rubritorquis,1800,M,N,N,Y,600,Y,0,0,0,0,0,0,0
Arborophila_ardens,1400,N,N,N,Y,500,Y,0,0,0,0,0,0,Arborophila_ardens
Arborophila_brunneopectus,1800,N,N,N,Y,0,Y,0,0,0,0,0,0,Arborophila_brunneopectus
Arborophila_gingica,1700,N,N,N,Y,150,Y,0,0,0,0,0,0,Arborophila_gingica
Arborophila_rufipectus,2500,N,N,N,Y,1000,Y,0,0,0,0,0,0,0
Arborophila_rufogularis,4000,N,N,N,Y,600,Y,0,0,0,0,0,0,0
Archilochus_colubris,1900,Y,N,N,Y,0,Y,0,0,0,Archilochus_colubris,0,0,0
Ardea_cinerea,2000,M,N,M,Y,0,M,0,0,0,0,0,0,0
Ardea_intermedia,1500,M,N,M,Y,0,M,0,0,0,0,0,0,0
Ardea_modesta,4000,M,N,M,Y,0,M,0,0,0,0,0,0,0
Ardea_novaehollandiae,1500,M,N,M,Y,0,M,0,0,0,0,0,0,0
Ardea_purpurea,2000,M,N,M,Y,0,M,0,0,0,0,0,0,0
Ardeola_bacchus,4000,M,N,M,Y,0,M,0,0,0,0,0,0,0
Arenaria_interpres,4500,Y,N,N,Y,0,M,0,0,Arenaria_interpres,Arenaria_interpres,0,0,0
Argusianus_argus,1500,N,N,N,Y,0,Y,0,0,0,0,0,0,Argusianus_argus
Arremon_aurantiirostris,3500,N,N,N,Y,200,Y,0,0,0,0,0,0,0
Asio_flammeus,4000,Y,N,N,Y,0,Y,0,0,0,Asio_flammeus,0,0,0
Asio_otus,2700,M,Y,N,Y,0,Y,0,0,0,0,Asio_otus,0,0
Athene_brama,1600,N,N,N,Y,0,Y,0,0,0,0,0,0,Athene_brama
Atlantisia_rogersi,400,N,N,N,N,0,Y,Atlantisia_rogersi,0,0,0,0,0,0
Attagis_gayi,5500,N,M,N,Y,1000,M,0,0,Attagis_gayi,0,0,Attagis_gayi,0
Aythya_americana,500,Y,N,Y,Y,0,M,0,Aythya_americana,0,Aythya_americana,0,0,0
Aythya_ferina,2500,Y,N,Y,Y,0,M,0,Aythya_ferina,0,Aythya_ferina,0,0,0
Aythya_fuligula,3000,Y,N,Y,Y,0,M,0,Aythya_fuligula,0,Aythya_fuligula,0,0,0
Balaeniceps_rex,500,N,N,M,Y,0,M,0,0,0,0,0,0,0
Balearica_pavonina,1000,N,N,M,Y,0,M,0,0,0,0,0,0,0
Balearica_regulorum,500,N,N,M,Y,0,M,0,0,0,0,0,0,0
Bambusicola_fytchii,3000,N,N,N,Y,500,Y,0,0,0,0,0,0,0
Bambusicola_thoracica,2000,N,N,N,Y,0,Y,0,0,0,0,0,0,0
Bombycilla_cedrorum,500,M,Y,N,Y,0,Y,0,0,0,0,Bombycilla_cedrorum,0,0
Bonasa_bonasia,1800,N,Y,N,Y,0,Y,0,0,0,0,Bonasa_bonasia,0,0
Botaurus_stellaris,1300,Y,N,M,Y,0,Y,0,0,0,Botaurus_stellaris,0,0,0
Brachygalba_albogularis,600,N,N,N,Y,0,Y,0,0,0,0,0,0,Brachygalba_albogularis
Branta_canadensis,2000,M,N,M,Y,0,M,0,0,0,0,0,0,0
Brotogeris_cyanoptera,1000,N,N,N,Y,0,Y,0,0,0,0,0,0,Brotogeris_cyanoptera
Bubo_blakistoni,200,N,Y,N,Y,0,Y,0,0,0,0,Bubo_blakistoni,0,0
Bubo_bubo,4500,N,Y,N,Y,0,Y,0,0,Bubo_bubo,0,Bubo_bubo,0,0
Bubo_flavipes,2500,N,N,N,Y,0,Y,0,0,0,0,0,0,0
Bubo_scandiacus,1000,Y,Y,N,Y,0,M,0,0,0,Bubo_scandiacus,Bubo_scandiacus,0,0
Bubulcus_ibis,4500,M,N,M,Y,0,M,0,0,Bubulcus_ibis,0,0,0,0
Bucco_macrodactylus,1000,N,N,N,Y,0,Y,0,0,0,0,0,0,Bucco_macrodactylus
Buceros_bicornis,2000,N,N,N,Y,0,Y,0,0,0,0,0,0,0
Buceros_rhinoceros,1400,N,N,N,Y,0,Y,0,0,0,0,0,0,Buceros_rhinoceros
Bucorvus_leadbeateri,3000,N,N,N,Y,0,N,0,0,0,0,0,0,0
Burhinus_grallarius,500,N,N,N,Y,0,N,0,0,0,0,0,0,0
Butastur_indicus,,,,,,,,0,0,0,0,0,0,0
Butastur_liventer,,,,,,,,0,0,0,0,0,0,0
Buteo_buteo,,,,,,,,0,0,0,0,0,0,0
Buteo_hemilasius,,,,,,,,0,0,0,0,0,0,0
Buteo_lagopus,,,,,,,,0,0,0,0,0,0,0
Butorides_striata,4000,M,N,M,Y,0,M,0,0,0,0,0,0,0
Bycanistes_brevis,2600,N,N,N,Y,0,Y,0,0,0,0,0,0,0
Cacatua_moluccensis,1200,N,N,N,Y,0,Y,0,0,0,0,0,0,Cacatua_moluccensis
Cacatua_pastinator,500,M,N,N,Y,0,Y,0,0,0,0,0,0,0
Cairina_moschata,500,N,N,M,Y,0,Y,0,0,0,0,0,0,Cairina_moschata
Callaeas_cinereus,500,N,N,N,Y,0,Y,0,0,0,0,0,0,Callaeas_cinereus
Callipepla_squamata,2100,N,N,N,Y,0,N,0,0,0,0,0,0,0
Calliphlox_amethystina,1500,N,N,N,Y,0,Y,0,0,0,0,0,0,Calliphlox_amethystina
Caloenas_maculata,1000,N,N,N,Y,0,Y,0,0,0,0,0,0,Caloenas_maculata
Caloenas_nicobarica,700,M,N,N,Y,0,Y,0,0,0,0,0,0,0
Calonectris_diomedea,,,,,,,,0,0,0,0,0,0,0
Caloperdix_oculeus,1200,N,N,N,Y,0,Y,0,0,0,0,0,0,Caloperdix_oculeus
Calyptorhynchus_baudinii,500,N,N,N,Y,0,Y,0,0,0,0,0,0,Calyptorhynchus_baudinii
Calyptorhynchus_lathami,500,N,N,N,Y,0,Y,0,0,0,0,0,0,Calyptorhynchus_lathami
Calyptorhynchus_latirostris,500,N,N,N,Y,0,Y,0,0,0,0,0,0,Calyptorhynchus_latirostris
Campephilus_guatemalensis,2000,N,N,N,Y,0,Y,0,0,0,0,0,0,0
Campephilus_imperialis,3000,N,N,N,Y,1600,Y,0,0,0,0,0,0,0
Campylorhynchus_brunneicapillus,2000,N,N,N,Y,0,N,0,0,0,0,0,0,0
Campylorhynchus_zonatus,3000,N,N,N,Y,0,Y,0,0,0,0,0,0,0
Capito_niger,800,N,N,N,Y,0,Y,0,0,0,0,0,0,Capito_niger
Caprimulgus_indicus,2100,N,N,N,Y,0,Y,0,0,0,0,0,0,0
Cardinalis_cardinalis,2000,N,N,N,Y,0,Y,0,0,0,0,0,0,0
Carduelis_pinus,4000,M,M,N,Y,0,Y,0,0,0,0,0,0,0
Carduelis_psaltria,3100,M,N,N,Y,0,Y,0,0,0,0,0,0,0
Carduelis_sinica,2400,M,N,N,Y,0,Y,0,0,0,0,0,0,0
Carduelis_spinus,2000,M,M,N,Y,0,Y,0,0,0,0,0,0,0
Carduelis_tristis,1000,M,M,N,Y,0,M,0,0,0,0,0,0,0
