"","X.insessorial1.","X.med_c.","X.0.235714975198238.","X.0.00184470358502261.","X..0.454588226886974."
"1","insessorial1","med_c","0.235714975198238","0.00184470358502261","-0.454588226886974"
"2","insessorial1","med_a",NA,NA,NA
"3","insessorial1","Beak_length_Culmen","0.143832751370585","0.0028016711049878","-0.000909992160488899"
"4","insessorial1","Beak_length_Nares",NA,NA,NA
"5","insessorial1","Beak_width","0.804013061455426","8.08658068991694e-05","0.000817806661830513"
"6","insessorial1","Beak_depth","0.632449401485685","0.000300353780343207","0.00105106243305793"
"7","insessorial1","Tarsus_length","0.00767212918720794","0.00929136293032735","-0.0012485700576284"
"8","insessorial1","Wing_length","0.000859211395170423","0.0144820873192056","-0.000599516204405838"
"9","insessorial1","Kipps_distance","2.58885893900107e-05","0.0229730671843921","-0.00156950145369727"
"10","insessorial1","Hand_wing_index","0.00113433650120554","0.013816133310928","-0.00529057407351413"
"11","insessorial1","Tail_length","0.574474995903512","0.000413902602266167","-0.000117762297522932"
"12","insessorial1","Mass","0.476792458092536","0.000664507623990211","-2.48266080027834e-06"
"13","insessorial1","forest1","6.92246260314278e-12","0.0599148498038138","0.19386142728628"
"14","insessorial1","grassland1","0.0727126208817992","0.00422047967425853","-0.0647054017039396"
"15","insessorial1","human1","0.0349084439782055","0.00582622528390034","-0.119062956010789"
"16","insessorial1","wetland1","0.939425735653787","7.58333395754801e-06","-0.00295261474342408"
"17","insessorial1","shrubland1","0.5720010220964","0.000419276212956322","-0.0227838449318948"
"18","insessorial1","woodland1","0.0439471207866153","0.00531555327407959","-0.0788493794130406"
"19","insessorial1","marine1","0.262868648870633","0.00164485159104129","-0.110423667453875"
"20","insessorial1","riverline1","0.465571003543038","0.000698991451894343","-0.099188526119945"
"21","insessorial1","coastal1","0.839682697309544","5.37412002104548e-05","-0.0141401369776692"
"22","insessorial1","rock1","7.67658760336687e-06","0.0259434666585172","-0.402755200952047"
"23","insessorial1","desert1","0.207148422507536","0.00208743606842506","-0.223188674871976"
"24","insessorial1","carnivore1","0.0573237597482095","0.00473356508854474","-0.0651928818377459"
"25","insessorial1","herbivore1","0.2052483312135","0.0021049767993239","0.0494348660337278"
"26","insessorial1","omnivore1","0.397273807631942","0.000940545275428733","0.0276688290148276"
"27","insessorial1","scavenger1","0.303935628220196","0.00138688473498202","-0.361303004785901"
"28","insessorial1","australian1","0.130944273600616","0.0029912796503569","-0.0756395770517483"
"29","insessorial1","palearctic1","0.0100131290199634","0.00867203438788513","-0.074148498208208"
"30","insessorial1","indo_malay1","0.00701063173245764","0.00950182851403928","0.104794930913231"
"31","insessorial1","madagascar1","0.703179817278384","0.000190638464837516","0.0750510366308687"
"32","insessorial1","neotropic1","0.142563449674601","0.00281948271913704","0.0590858131827653"
"33","insessorial1","nearctic1","0.428755666470013","0.000821975266177797","-0.0324438877514936"
"34","insessorial1","afrotropic1","0.816193775420666","7.09493456090377e-05","0.0106037203702435"
"35","insessorial1","oceania1","0.00165938919162767","0.0129069926544522","0.343126362717952"
"36","insessorial1","antarctic1","0.75399653812138","0.000128951947025249","-0.0387196742588757"
"37","insessorial1","invertivore1","0.865449048778865","3.7701928438428e-05","0.00663626209891706"
"38","insessorial1","vertivore1","0.922726301729011","1.23558272988431e-05","0.0105732748609921"
"39","insessorial1","aquatic_predator1","0.0295291423548427","0.00620064911251512","-0.12802857443458"
"40","insessorial1","omnivoretn1","0.609859599212751","0.000341871124273017","0.0150123873608764"
"41","insessorial1","granivore1","3.15063345568412e-05","0.0224938877154679","-0.222681077709144"
"42","insessorial1","frugivore1","5.72884585658961e-06","0.0266594502521782","0.226420496264183"
"43","insessorial1","nectarivore1","0.321445282416346","0.00129011464899754","0.131529155264161"
"44","insessorial1","herbivore_aquatic1","0.912696547959905","1.57851250876929e-05","-0.0137773045278893"
"45","insessorial1","herbivore_terrestrial1",NA,NA,NA
"46","insessorial1","scavengertn1","0.303935628220196","0.00138688473498202","-0.361303004785901"
"47","insessorial1","terrestrial1","0","0.311101111436327","-0.582031579491532"
"48","insessorial1","generalist1","0","0.17179285454739","-0.441293690748739"
"49","insessorial1","aerial1","6.98510821184328e-07","0.0318128317649561","-0.325466861764653"
"50","insessorial1","aquatic1","0.429033633781616","0.000820986317872962","-0.0726151804541365"
"51","insessorial1","fTn","0.570317601144248","0.000422958863401571","-0.151698519596129"
"52","insessorial1","fCn","0.00128338618210466","0.0135207103434976","2.17403798576907"
"53","insessorial1","fAn","0.00873639332057774","0.008988814913815","-0.85412289521637"
"54","insessorial1","fGn","0.201923808596106","0.00213613203365651","0.308808442181725"
"55","insessorial1","ghahSkew","0.0287816501786304","0.00625823885007292","0.188525145466966"
"56","insessorial1","Stg_Sac",NA,NA,NA
"57","terrestrial1","med_c","0.488810827972729","0.000629011187582525","0.261684266142414"
"58","terrestrial1","med_a","0.433397052004457","0.000805588144359519","-0.442684300499071"
"59","terrestrial1","Beak_length_Culmen","0.0524242560365411","0.00492829650955758","0.00117338714688909"
"60","terrestrial1","Beak_length_Nares","0.0485606007536628","0.00509593542706133","0.00161938271607976"
"61","terrestrial1","Beak_width","0.937928163706332","7.96369993445043e-06","-0.000250237190549395"
"62","terrestrial1","Beak_depth","0.774654406545804","0.000107628022121425","-0.000607522215261157"
"63","terrestrial1","Tarsus_length","4.62175154460898e-05","0.0215596594005948","0.0018663877799381"
"64","terrestrial1","Wing_length","0.016153655740512","0.0075694558350401","0.000428042660989655"
"65","terrestrial1","Kipps_distance","0.0428034241835351","0.00537375211407105","0.000749984127252983"
