Kingdom;Phylum;Class;Order;Family;Genus;Species;GenerationLength_d;FrT;Hib;Daily;Mars;Mono;residuals
Animalia;Chordata;Mammalia;Carnivora;Otariidae;Arctocephalus;Arctocephalus_pusillus;3587.7675;0.159668806865076;0;0;0;0;-0.0308683391112952
Animalia;Chordata;Mammalia;Scandentia;Tupaiidae;Tupaia;Tupaia_belangeri;1458.084583343;0.17105435061613;0;0;0;0;-0.0307655851923853
NA;NA;NA;NA;NA;Leopardus;Leopardus_jacobita;1392.97;0.171490159314716;0;0;0;0;-0.0306747452932017
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Gazella;Gazella_leptoceros;1729.8227;0.170048868813612;0;0;0;0;-0.0303314329368739
NA;NA;NA;NA;NA;Mus;Mus_spretus;628.295;0.175920675247329;0;0;0;0;-0.0302953804720586
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Boselaphus;Boselaphus_tragocamelus;2944.82;0.163832240961495;0;0;0;0;-0.0301111592787687
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Capricornis;Capricornis_sumatraensis;2555;0.165934285277215;0;0;0;0;-0.030074331854242
NA;NA;NA;NA;NA;Ochotona;Ochotona_curzoniae;751.47417;0.175520333623374;0;0;0;0;-0.0300431344849958
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Nanger;Nanger_dama;2171.91595;0.168022374531188;0;0;0;0;-0.030015773283166
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Capra;Capra_caucasica;2555;0.165996514659643;0;0;0;0;-0.0300121024718149
Animalia;Chordata;Mammalia;Diprotodontia;Potoroidae;Potorous;Potorous_tridactylus;1685.9516;0.170711756665022;0;0;1;0;-0.0299009686059484
Animalia;Chordata;Mammalia;Carnivora;Phocidae;Pusa;Pusa_sibirica;7898.81575;0.137970487823221;0;0;0;0;-0.0297272716038445
Animalia;Chordata;Mammalia;Diprotodontia;Pseudocheiridae;Pseudocheirus;Pseudocheirus_peregrinus;1217.0925;0.173408404643467;0;0;1;0;-0.0296882766403037
NA;NA;NA;NA;NA;Papio;Papio_anubis;3833.595;0.159806380914306;0;0;0;0;-0.0294284021629841
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Nanger;Nanger_soemmerringii;2555;0.166694095060069;0;0;0;0;-0.029314522071388
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Antilope;Antilope_cervicapra;2747.350266657;0.16568137764703;0;0;0;0;-0.0293081921812476
