"Species" "Domain" "Kingdom" "Phylum" "Clade" "Subphylum" "Clade2" "Class" "Clade3" "Superorder" "Clade4" "Order" "Suborder" "Superfamily" "Family" "Subfamily" "Genus" "Subgenus"
"Gorilla_gorilla" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Haplorrhini" "Catarrhini" NA "Hominidae" NA "Gorilla" NA
"Pongo_pygmaeus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Haplorrhini" "Catarrhini" NA "Hominidae" NA "Pongo" NA
"Felis_catus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Carnivora" "Feliformia" "Felidae" NA "Felinae" NA "Felis" NA
"Artibeus_jamaicensis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Chiroptera" "Microchiroptera" "Phyllostomidae" NA "Stenodermatinae" NA "Artibeus" NA
"Hylobates_lar" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Haplorrhini" "Catarrhini" NA "Hylobatidae" NA "Hylobates" NA
"Pongo_abelii" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Haplorrhini" "Catarrhini" NA "Hominidae" NA "Pongo" NA
"Physeter_catodon" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Odontoceti" NA "Physeteridae" NA "Physeter" NA
"Pteropus_dasymallus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Chiroptera" "Megachiroptera" "Pteropodidae" NA "Pteropodinae" NA "Pteropus" NA
"Pteropus_scapulatus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Chiroptera" "Megachiroptera" "Pteropodidae" NA "Pteropodinae" NA "Pteropus" NA
"Thryonomys_swinderianus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Glires" "Rodentia" "Hystricomorpha" NA "Thryonomyidae" NA "Thryonomys" NA
"Nycticebus_coucang" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Strepsirrhini" "Lorisiformes" NA "Lorisidae" NA "Nycticebus" NA
"Cephalopachus_bancanus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Haplorrhini" "Tarsiiformes" NA "Tarsiidae" NA "Cephalopachus" NA
"Lemur_catta" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Strepsirrhini" "Lemuriformes" NA "Lemuridae" NA "Lemur" NA
"Acinonyx_jubatus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Carnivora" "Feliformia" "Felidae" NA "Acinonychinae" NA "Acinonyx" NA
"Balaena_mysticetus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Mysticeti" NA "Balaenidae" NA "Balaena" NA
"Caperea_marginata" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Mysticeti" NA "Neobalaenidae" NA "Caperea" NA
"Eschrichtius_robustus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Mysticeti" NA "Eschrichtiidae" NA "Eschrichtius" NA
"Balaenoptera_acutorostrata" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Mysticeti" NA "Balaenopteridae" NA "Balaenoptera" NA
"Kogia_breviceps" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Odontoceti" NA "Physeteridae" NA "Kogia" NA
"Hyperoodon_ampullatus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Odontoceti" NA "Ziphiidae" NA "Hyperoodon" NA
"Berardius_bairdii" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Odontoceti" NA "Ziphiidae" NA "Berardius" NA
"Platanista_minor" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Odontoceti" NA "Platanistidae" NA "Platanista" NA
"Inia_geoffrensis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Odontoceti" NA "Iniidae" NA "Inia" NA
"Pontoporia_blainvillei" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Odontoceti" NA "Pontoporiidae" NA "Pontoporia" NA
"Lagenorhynchus_albirostris" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Odontoceti" NA "Delphinidae" NA "Lagenorhynchus" NA
"Monodon_monoceros" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Odontoceti" NA "Monodontidae" NA "Monodon" NA
"Phocoena_phocoena" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Odontoceti" NA "Phocoenidae" NA "Phocoena" NA
"Rhinolophus_monoceros" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Chiroptera" "Microchiroptera" "Rhinolophidae" NA "Rhinolophinae" NA "Rhinolophus" NA
"Rhinolophus_pumilus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Chiroptera" "Microchiroptera" "Rhinolophidae" NA "Rhinolophinae" NA "Rhinolophus" NA
"Balaenoptera_bonaerensis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Mysticeti" NA "Balaenopteridae" NA "Balaenoptera" NA
"Megaptera_novaeangliae" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Mysticeti" NA "Balaenopteridae" NA "Megaptera" NA
"Balaenoptera_brydei" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Mysticeti" NA "Balaenopteridae" NA "Balaenoptera" NA
"Balaenoptera_borealis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Mysticeti" NA "Balaenopteridae" NA "Balaenoptera" NA
"Eubalaena_australis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Mysticeti" NA "Balaenidae" NA "Eubalaena" NA
"Eubalaena_japonica" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Mysticeti" NA "Balaenidae" NA "Eubalaena" NA
"Rousettus_aegyptiacus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Chiroptera" "Megachiroptera" "Pteropodidae" NA "Pteropodinae" NA "Rousettus" NA
"Lipotes_vexillifer" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Odontoceti" NA "Lipotidae" NA "Lipotes" NA
"Balaenoptera_omurai" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Mysticeti" NA "Balaenopteridae" NA "Balaenoptera" NA
"Balaenoptera_edeni" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Mysticeti" NA "Balaenopteridae" NA "Balaenoptera" NA
"Neofelis_nebulosa" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Carnivora" "Feliformia" "Felidae" NA "Pantherinae" NA "Neofelis" NA
"Anomalurus_sp._GP-2005" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Glires" "Rodentia" "Anomaluromorpha" NA "Anomaluridae" NA "Anomalurus" NA
"Meles_anakuma" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Carnivora" "Caniformia" "Mustelidae" NA "Melinae" NA "Meles" NA
"Martes_melampus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Carnivora" "Caniformia" "Mustelidae" NA "Martinae" NA "Martes" NA
"Gulo_gulo" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Carnivora" "Caniformia" "Mustelidae" NA "Martinae" NA "Gulo" NA
"Enhydra_lutris" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Carnivora" "Caniformia" "Mustelidae" NA "Lutrinae" NA "Enhydra" NA
"Daubentonia_madagascariensis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Strepsirrhini" "Chiromyiformes" NA "Daubentoniidae" NA "Daubentonia" NA
"Eulemur_mongoz" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Strepsirrhini" "Lemuriformes" NA "Lemuridae" NA "Eulemur" NA
"Panthera_uncia" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Carnivora" "Feliformia" "Felidae" NA "Pantherinae" NA "Panthera" NA
"Panthera_pardus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Carnivora" "Feliformia" "Felidae" NA "Pantherinae" NA "Panthera" NA
"Panthera_tigris" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Carnivora" "Feliformia" "Felidae" NA "Pantherinae" NA "Panthera" NA
"Propithecus_coquereli" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Strepsirrhini" "Lemuriformes" NA "Indriidae" NA "Propithecus" NA
"Gorilla_gorilla_gorilla" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Haplorrhini" "Catarrhini" NA "Hominidae" NA "Gorilla" NA
"Meles_meles" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Carnivora" "Caniformia" "Mustelidae" NA "Melinae" NA "Meles" NA
"Homo_sapiens_neanderthalensis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Haplorrhini" "Catarrhini" NA "Hominidae" NA "Homo" NA
"Rhinolophus_formosae" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Chiroptera" "Microchiroptera" "Rhinolophidae" NA "Rhinolophinae" NA "Rhinolophus" NA
"Lutra_lutra" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Carnivora" "Caniformia" "Mustelidae" NA "Lutrinae" NA "Lutra" NA
"Martes_zibellina" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Carnivora" "Caniformia" "Mustelidae" NA "Martinae" NA "Martes" NA
"Stenella_attenuata" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Odontoceti" NA "Delphinidae" NA "Stenella" NA
"Stenella_coeruleoalba" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Odontoceti" NA "Delphinidae" NA "Stenella" NA
"Sousa_chinensis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Odontoceti" NA "Delphinidae" NA "Sousa" NA
"Tursiops_aduncus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Odontoceti" NA "Delphinidae" NA "Tursiops" NA
"Tursiops_truncatus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Odontoceti" NA "Delphinidae" NA "Tursiops" NA
"Delphinus_capensis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Odontoceti" NA "Delphinidae" NA "Delphinus" NA
"Grampus_griseus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Odontoceti" NA "Delphinidae" NA "Grampus" NA
"Giraffa_giraffa_angolensis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Ruminantia" "Pecora" NA "Giraffidae" NA "Giraffa" NA
"Martes_flavigula" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Carnivora" "Caniformia" "Mustelidae" NA "Martinae" NA "Martes" NA
"Moschus_berezovskii" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Ruminantia" "Pecora" NA "Moschidae" NA "Moschus" NA
"Galago_senegalensis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Strepsirrhini" "Lorisiformes" NA "Galagidae" NA "Galago" NA
"Otolemur_crassicaudatus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Strepsirrhini" "Lorisiformes" NA "Galagidae" NA "Otolemur" NA
"Loris_tardigradus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Strepsirrhini" "Lorisiformes" NA "Lorisidae" NA "Loris" NA
"Perodicticus_potto" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Strepsirrhini" "Lorisiformes" NA "Lorisidae" NA "Perodicticus" NA
"Eulemur_fulvus_fulvus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Strepsirrhini" "Lemuriformes" NA "Lemuridae" NA "Eulemur" NA
"Eulemur_fulvus_mayottensis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Strepsirrhini" "Lemuriformes" NA "Lemuridae" NA "Eulemur" NA
"Eulemur_macaco_macaco" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Strepsirrhini" "Lemuriformes" NA "Lemuridae" NA "Eulemur" NA
"Varecia_variegata_variegata" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Strepsirrhini" "Lemuriformes" NA "Lemuridae" NA "Varecia" NA
"Carlito_syrichta" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Haplorrhini" "Tarsiiformes" NA "Tarsiidae" NA "Carlito" NA
"Homo_sapiens" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Haplorrhini" "Catarrhini" NA "Hominidae" NA "Homo" NA
"Moschus_moschiferus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Ruminantia" "Pecora" NA "Moschidae" NA "Moschus" NA
"Homo_sapiens_subsp._Denisova" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Haplorrhini" "Catarrhini" NA "Hominidae" NA "Homo" NA
"Hylobates_agilis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Haplorrhini" "Catarrhini" NA "Hylobatidae" NA "Hylobates" NA
"Hylobates_pileatus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Haplorrhini" "Catarrhini" NA "Hylobatidae" NA "Hylobates" NA
"Symphalangus_syndactylus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Haplorrhini" "Catarrhini" NA "Hylobatidae" NA "Symphalangus" NA
"Nomascus_siki" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Haplorrhini" "Catarrhini" NA "Hylobatidae" NA "Nomascus" NA
"Lepilemur_hubbardorum" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Strepsirrhini" "Lemuriformes" NA "Lepilemuridae" NA "Lepilemur" NA
"Lynx_rufus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Carnivora" "Feliformia" "Felidae" NA "Felinae" NA "Lynx" NA
"Panthera_tigris_amoyensis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Carnivora" "Feliformia" "Felidae" NA "Pantherinae" NA "Panthera" NA
"Heterocephalus_glaber" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Glires" "Rodentia" "Hystricomorpha" NA "Bathyergidae" NA "Heterocephalus" NA
"Prionailurus_bengalensis_euptilurus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Carnivora" "Feliformia" "Felidae" NA "Felinae" NA "Prionailurus" NA
"Rhinolophus_ferrumequinum_korai" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Chiroptera" "Microchiroptera" "Rhinolophidae" NA "Rhinolophinae" NA "Rhinolophus" NA
"Puma_concolor" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Carnivora" "Feliformia" "Felidae" NA "Felinae" NA "Puma" NA
"Artibeus_lituratus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Chiroptera" "Microchiroptera" "Phyllostomidae" NA "Stenodermatinae" NA "Artibeus" NA
"Panthera_leo_persica" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Carnivora" "Feliformia" "Felidae" NA "Pantherinae" NA "Panthera" NA
"Aotus_azarai_azarai" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Haplorrhini" "Platyrrhini" NA "Aotidae" NA "Aotus" NA
"Aotus_nancymaae" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Haplorrhini" "Platyrrhini" NA "Aotidae" NA "Aotus" NA
"Rhinolophus_luctus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Chiroptera" "Microchiroptera" "Rhinolophidae" NA "Rhinolophinae" NA "Rhinolophus" NA
"Nomascus_gabriellae" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Haplorrhini" "Catarrhini" NA "Hylobatidae" NA "Nomascus" NA
"Globicephala_melas" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Odontoceti" NA "Delphinidae" NA "Globicephala" NA
"Pseudorca_crassidens" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Odontoceti" NA "Delphinidae" NA "Pseudorca" NA
"Globicephala_macrorhynchus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Odontoceti" NA "Delphinidae" NA "Globicephala" NA
"Feresa_attenuata" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Odontoceti" NA "Delphinidae" NA "Feresa" NA
"Peponocephala_electra" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Odontoceti" NA "Delphinidae" NA "Peponocephala" NA
"Orcaella_brevirostris" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Odontoceti" NA "Delphinidae" NA "Orcaella" NA
"Orcaella_heinsohni" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Cetacea" "Odontoceti" NA "Delphinidae" NA "Orcaella" NA
"Aotus_lemurinus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Euarchontoglires" "Primates" "Haplorrhini" "Platyrrhini" NA "Aotidae" NA "Aotus" NA
"Moschus_anhuiensis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Ruminantia" "Pecora" NA "Moschidae" NA "Moschus" NA
"Moschus_chrysogaster" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Cetartiodactyla" "Ruminantia" "Pecora" NA "Moschidae" NA "Moschus" NA
"Rhinolophus_ferrumequinum_quelpartis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Chiroptera" "Microchiroptera" "Rhinolophidae" NA "Rhinolophinae" NA "Rhinolophus" NA
"Mustela_sibirica" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Carnivora" "Caniformia" "Mustelidae" NA "Mustelinae" NA "Mustela" NA
"Mustela_putorius" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" "Laurasiatheria" "Carnivora" "Caniformia" "Mustelidae" NA "Mustelinae" NA "Mustela" NA
