Kingdom	Phylum	Class	Subclass	Infraclass	Superorder	Order (or infraorder for Cetacea)	Family	Species	AdultBodyMass_g	Sources_AdultBodyMass	GenerationLength_d	Sources_GL	FrT	residuals	Hib	Hib+unconfirmedHib	Daily	Daily+unconfirmedDaily	Mars	Mono	Temperature(C)_White2003,2006	Temperature(C)_White2003,2006+other	Temperature(C)_White2003,2006+other+close species	BMR(mL O2 h−1)_White2003,2006+other	BodyMassBMR(g)_White2003,2006+other	BMR(mL O2 h−1 g-1)_White2003,2006+other	Sourses_BodyT&BMR
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Philantomba_monticola	4896,05	PanTHERIA	1818,1211	Rspan-AFB	0,18353932	-0,016373188	0	0	0	0	0	0		39,40	39,40				AnAge
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Carnivora	Phocidae	Phoca_largha	98879,18	PanTHERIA	6935	GMA	0,144543286	-0,028260647	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Carnivora	Phocidae	Phoca_vitulina	87316,66	PanTHERIA	5413,68	Rspan-AFB	0,143792666	-0,037071027	0	0	0	0	0	0		36,70	36,70				AnAge
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Carnivora	Otariidae	Phocarctos_hookeri	273500	PanTHERIA	3650	GMA	0,153072887	-0,037134559	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Cetacea	Phocoenidae	Phocoena_phocoena	52730,93	PanTHERIA	3028,845	Rspan-AFB	0,196750364	0,003252117	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Chiroptera	Vespertilionidae	Pipistrellus_abramus	5,87	PanTHERIA	1885,946275	Mean_congenerics_same_body_mass	0,24702764	0,047474461	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Chiroptera	Vespertilionidae	Pipistrellus_coromandra	4,59	PanTHERIA	1885,946275	Mean_congenerics_same_body_mass	0,267795899	0,06824272	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Chiroptera	Vespertilionidae	Plecotus_auritus	8,19	PanTHERIA	3693,8	Rspan-AFB	0,229211656	0,039236256	1	1	0	0	0	0	34,00	34,00	34,00	11,20	10,25	1,09	AnAge, White&Seymour2003
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Chiroptera	Vespertilionidae	Plecotus_macrobullaris	7,47	Mean_congenerics	2759,4	Mean_congenerics_same_body_mass	0,253880968	0,058955237	0	1	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Primates	Hominidae	Pongo_abelii	39696,12	PanTHERIA	9125	GMA	0,129516583	-0,031685008	0	0	0	0	0	0							
