"Species" "Temperature" "Longevity" "LongevityDummy" "AC_TGSkew" "Ectothermy"
"Leuciscus_waleckii" NA 1096 0 0.345924453280318 1
"Leucoraja_erinacea" 15 1552 1 0.442796610169492 1
"Limanda_aspera" 0 2557 1 0.306238185255199 1
"Lophius_litulon" NA 2118 1 0.473161033797217 1
"Lota_lota" 3.1 1826 1 0.417533432392273 1
"Lutjanus_argentimaculatus" 27 1644 1 0.531434184675835 1
"Macrhybopsis_storeriana" NA 730 0 0.442505133470226 1
"Mallotus_villosus" 4.3 730 0 0.215630885122411 1
"Megalobrama_terminalis" NA 2192 1 0.547817047817048 1
"Megalops_atlanticus" 25.75 3652 1 0.624020887728459 1
"Melanogrammus_aeglefinus" 9 1096 0 0.167420814479638 1
"Melanotaenia_splendida" NA 365 0 0.44921875 1
"Merluccius_merluccius" 14 1203 1 0.534883720930233 1
"Mesocottus_haitej" NA 1096 0 0.351506456241033 1
"Micromesistius_poutassou" 14 730 0 0.344760039177277 1
"Morone_americana" 15 730 0 0.408123791102514 1
"Mugil_cephalus" 19 1461 1 0.453117329405989 1
"Mugil_curema" 23.75 1004 0 0.424987940183309 1
"Mustelus_griseus" NA 2064 1 0.402485143165856 1
"Mustelus_manazo" 18 584 0 0.353929539295393 1
"Mylocheilus_caurinus" NA 1278 1 0.414904330312185 1
"Mylopharyngodon_piceus" NA 1096 0 0.588266107909901 1
"Myxine_glutinosa" NA 1096 0 0.300113250283126 1
"Nemipterus_japonicus" 27.6 365 0 0.371 1
"Neosalanx_taihuensis" NA 365 0 0.416549789621318 1
"Niwaella_delicata" NA 913 0 0.394845360824742 1
"Notemigonus_crysoleucas" NA 730 0 0.390379746835443 1
"Nothobranchius_furzeri" NA 18 0 0.293084522502744 1
"Notothenia_coriiceps" -0.95 2557 1 0.336877718704688 1
"Okamejei_kenojei" NA 1096 0 0.557275541795666 1
"Oncorhynchus_gorbuscha" NA 730 0 0.364891518737673 1
"Oncorhynchus_kisutch" 13 1096 0 0.383473527956457 1
"Oncorhynchus_nerka" NA 730 0 0.346718903036239 1
"Ophiodon_elongatus" 7.7 1096 0 0.440532825880114 1
"Oreochromis_aureus" 23 730 0 0.50897622513343 1
"Oreochromis_mossambicus" 27.6 548 0 0.44841075794621 1
"Oreochromis_niloticus" 27.6 365 0 0.484246243334949 1
"Osmerus_mordax" 1 730 0 0.271535580524345 1
"Pagellus_bogaraveo" 14 2192 1 0.390602752728999 1
"Parabramis_pekinensis" NA 2192 1 0.546209761163032 1
"Paracanthobrama_guichenoti" 15 913 0 0.417021276595745 1
"Parapristipoma_trilineatum" 18 730 0 0.390754257907543 1
"Pelecus_cultratus" NA 1278 1 0.433884297520661 1
"Pennahia_argentata" 22 365 0 0.459903381642512 1
"Peprilus_triacanthus" 15 329 0 0.315244203256043 1
"Perca_flavescens" NA 1096 0 0.301449275362319 1
"Perca_fluviatilis" 9 730 0 0.298688683827101 1
"Petromyzon_marinus" NA 2557 1 0.310499719258843 1
"Phoxinus_phoxinus" 9 365 0 0.321 1
"Pimephales_promelas" NA 730 0 0.372116349047141 1
"Plecoglossus_altivelis" NA 365 0 0.247816091954023 1
