allparameters.Kingdom allparameters.Phylum allparameters.Class allparameters.Order allparameters.Family allparameters.Genus allparameters.Species allparameters.GenerationLength_d allparameters.FrT allparameters.Hib allparameters.Mono allparameters.Mars
Animalia Chordata Mammalia Artiodactyla Bovidae Bubalus Bubalus_depressicornis 2920 0.148307979275315 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Budorcas Budorcas_taxicolor 2920 0.15764402806444 0 0 0
Animalia Chordata Mammalia Cingulata Dasypodidae Cabassous Cabassous_centralis 1859.11975 0.114642542495814 0 0 0
NA NA NA NA NA Cabassous Cabassous_chacoensis 1859.11975 0.125721324404679 0 0 0
NA NA NA NA NA Cabassous Cabassous_tatouay 1859.11975 0.118864956577697 0 0 0
Animalia Chordata Mammalia Cingulata Dasypodidae Cabassous Cabassous_unicinctus 1859.11975 0.116930906113858 0 0 0
Animalia Chordata Mammalia Primates Pitheciidae Cacajao Cacajao_calvus 3650 0.216928475478331 0 0 0
NA NA NA NA NA Caenolestes Caenolestes_fuliginosus 998.676563583815 0.221954580174117 0 0 0
Animalia Chordata Mammalia Primates Callitrichidae Callimico Callimico_goeldii 2190 0.237570428228462 0 0 0
Animalia Chordata Mammalia Primates Callitrichidae Callithrix Callithrix_geoffroyi 2110.588375 0.17014975162786 0 0 0
Animalia Chordata Mammalia Primates Callitrichidae Callithrix Callithrix_jacchus 2156.5235 0.174573680911727 0 0 0
Animalia Chordata Mammalia Primates Callitrichidae Callithrix Callithrix_kuhlii 2190 0.17618842054605 0 0 0
Animalia Chordata Mammalia Primates Callitrichidae Callithrix Callithrix_penicillata 2110.588375 0.169272266901689 0 0 0
Animalia Chordata Mammalia Carnivora Otariidae Callorhinus Callorhinus_ursinus 4745 0.145924639296995 0 0 0
Animalia Chordata Mammalia Rodentia Sciuridae Callosciurus Callosciurus_erythraeus 1585.1964 0.239291299505308 0 0 0
NA NA NA NA NA Camelus Camelus_ferus 5840 0.182671807627091 0 0 0
Animalia Chordata Mammalia Carnivora Canidae Canis Canis_latrans 2569.032222103 0.23078995843116 0 0 0
Animalia Chordata Mammalia Carnivora Canidae Canis Canis_lupus 2883.256666657 0.230252445809763 0 0 0
NA NA NA NA NA Caperea Caperea_marginata 10278.51578 0.206280737519949 0 0 0
NA NA NA NA NA Capra Capra_aegagrus 2097.005 0.169367889406165 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Capra Capra_caucasica 2555 0.165996514659643 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Capra Capra_ibex 2958.933333343 0.159411157059744 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Capra Capra_pyrenaica 2471.76 0.162357556603408 0 0 0
Animalia Chordata Mammalia Artiodactyla Cervidae Capreolus Capreolus_pygargus 3063.8029 0.230597565049436 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Capricornis Capricornis_crispus 3135.631966657 0.150807226337569 0 0 0
NA NA NA NA NA Capricornis Capricornis_milneedwardsii 2555 0.164180762398431 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Capricornis Capricornis_sumatraensis 2555 0.165934285277215 0 0 0
NA NA NA NA NA Capricornis Capricornis_swinhoei 2421.9825 0.153022865879303 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Caracal Caracal_caracal 2239.8225 0.194348747734944 0 0 0
Animalia Chordata Mammalia Chiroptera Phyllostomidae Carollia Carollia_perspicillata 1847.5352 0.201345161983506 1 0 0
Animalia Chordata Mammalia Primates Cebidae Cebus Cebus_albifrons 5508.653 0.195301237577326 0 0 0
NA NA NA NA NA Cephalophus Cephalophus_adersi 703.088 0.151897134585383 0 0 0
NA NA NA NA NA Cephalophus Cephalophus_callipygus 1936.42625 0.150309439263308 0 0 0
NA NA NA NA NA Cephalophus Cephalophus_leucogaster 836.8205 0.151921727148857 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Cephalophus Cephalophus_natalensis 1890.876666657 0.150930660214395 0 0 0
NA NA NA NA NA Cephalophus Cephalophus_spadix 962.787 0.158621971589262 0 0 0
NA NA NA NA NA Cephalorhynchus Cephalorhynchus_heavisidii 4469.46 0.210118506837772 0 0 0
Animalia Chordata Mammalia Perissodactyla Rhinocerotidae Ceratotherium Ceratotherium_simum 6865.34583343 0.161934116085526 0 0 0
NA NA NA NA NA Cercocebus Cercocebus_atys 3285 0.174004368018303 0 0 0
NA NA NA NA NA Cercocebus Cercocebus_chrysogaster 3492.44166666667 0.170999193928066 0 0 0
Animalia Chordata Mammalia Primates Cercopithecidae Cercocebus Cercocebus_torquatus 3285 0.179789330528516 0 0 0
Animalia Chordata Mammalia Primates Cercopithecidae Cercopithecus Cercopithecus_diana 3285 0.163154753425678 0 0 0
Animalia Chordata Mammalia Primates Cercopithecidae Cercopithecus Cercopithecus_lhoesti 3650 0.190163747970968 0 0 0
Animalia Chordata Mammalia Primates Cercopithecidae Cercopithecus Cercopithecus_mitis 4917.1705 0.180846666108578 0 0 0
Animalia Chordata Mammalia Artiodactyla Cervidae Cervus Cervus_elaphus 5209.4516 0.194740029099382 0 0 0
Animalia Chordata Mammalia Cingulata Dasypodidae Chaetophractus Chaetophractus_vellerosus 1460 0.151372686970676 0 0 0
Animalia Chordata Mammalia Cingulata Dasypodidae Chaetophractus Chaetophractus_villosus 1460 0.152691980261725 0 0 0
NA NA NA NA NA Chalinolobus Chalinolobus_tuberculatus 2051.66620769231 0.211167972603126 0 0 0
Animalia Chordata Mammalia Primates Cheirogaleidae Cheirogaleus Cheirogaleus_medius 2584.9082 0.218764870252684 1 0 0
Animalia Chordata Mammalia Rodentia Chinchillidae Chinchilla Chinchilla_lanigera 1825 0.160361625669064 0 0 0
Animalia Chordata Mammalia Primates Pitheciidae Chiropotes Chiropotes_albinasus 3650 0.227751177322612 0 0 0
Animalia Chordata Mammalia Cingulata Dasypodidae Chlamyphorus Chlamyphorus_truncatus 1831.21217 0.14414062064948 0 0 0
NA NA NA NA NA Chlorocebus Chlorocebus_cynosuros 4533.4825 0.170076549460225 0 0 0
NA NA NA NA NA Chlorocebus Chlorocebus_pygerythrus 4533.4825 0.172030059991955 0 0 0
NA NA NA NA NA Chlorocebus Chlorocebus_tantalus 4533.4825 0.173425536231699 0 0 0
Animalia Chordata Mammalia Pilosa Megalonychidae Choloepus Choloepus_didactylus 4669.36675 0.112519796286057 0 0 0
Animalia Chordata Mammalia Pilosa Megalonychidae Choloepus Choloepus_hoffmanni 5095.5978 0.12301644098407 0 0 0
NA NA NA NA NA Chrysochloris Chrysochloris_asiatica 1036.5575833285 0.25680309226227 0 0 0
Animalia Chordata Mammalia Carnivora Canidae Chrysocyon Chrysocyon_brachyurus 2032.3307 0.253182906044327 0 0 0
