allparameters.Kingdom allparameters.Phylum allparameters.Class allparameters.Order allparameters.Family allparameters.Genus allparameters.Species allparameters.GenerationLength_d allparameters.FrT allparameters.Hib allparameters.Mono allparameters.Mars
Animalia Chordata Mammalia Primates Cebidae Lagothrix Lagothrix_lagotricha 5475 0.181902365810432 0 0 0
Animalia Chordata Mammalia Artiodactyla Camelidae Lama Lama_guanicoe 4064.145 0.20620486615427 0 0 0
NA NA NA NA NA Laonastes Laonastes_aenigmamus 1032.92357373767 0.153184959244506 0 0 0
Animalia Chordata Mammalia Rodentia Sciuridae Lariscus Lariscus_insignis 1384.1212625 0.263664737895097 0 0 0
NA NA NA NA NA Lasiopodomys Lasiopodomys_mandarinus 589.388299099621 0.199553059612256 0 0 0
NA NA NA NA NA Lasiurus Lasiurus_borealis 2051.66620769231 0.2793481715702 1 0 0
NA NA NA NA NA Leggadina Leggadina_lakedownensis 624.399640909091 0.201220810096085 0 0 0
Animalia Chordata Mammalia Primates Lemuridae Lemur Lemur_catta 2920 0.258696400952015 0 0 0
Animalia Chordata Mammalia Primates Callitrichidae Leontopithecus Leontopithecus_rosalia 3601.747 0.218576211007286 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Leopardus Leopardus_colocolo 2592.96 0.168041892731844 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Leopardus Leopardus_geoffroyi 2827.89 0.175547110632045 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Leopardus Leopardus_guigna 2190 0.173398500730408 0 0 0
NA NA NA NA NA Leopardus Leopardus_jacobita 1392.97 0.171490159314716 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Leopardus Leopardus_pardalis 3011.876283343 0.175959805708454 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Leopardus Leopardus_tigrinus 2190 0.175274098741135 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Leopardus Leopardus_wiedii 2190 0.178894806146859 0 0 0
NA NA NA NA NA Leopoldamys Leopoldamys_edwardsi 639.631831820818 0.191567536085462 0 0 0
NA NA NA NA NA Lepilemur Lepilemur_hubbardorum 1637.7709666715 0.186047724693251 0 0 0
Animalia Chordata Mammalia Primates Megaladapidae Lepilemur Lepilemur_ruficaudatus 1637.7709666715 0.187262896377682 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Leptailurus Leptailurus_serval 3018.0586 0.194766532872807 0 0 0
Animalia Chordata Mammalia Carnivora Phocidae Leptonychotes Leptonychotes_weddellii 4015 0.155744144321061 0 0 0
Animalia Chordata Mammalia Lagomorpha Leporidae Lepus Lepus_americanus 1105.95 0.270948626715471 0 0 0
Animalia Chordata Mammalia Lagomorpha Leporidae Lepus Lepus_capensis 1047.27668 0.266261263164794 0 0 0
NA NA NA NA NA Lepus Lepus_coreanus 1047.27668 0.257933254258194 0 0 0
Animalia Chordata Mammalia Lagomorpha Leporidae Lepus Lepus_europaeus 730 0.263503609954034 0 0 0
NA NA NA NA NA Lepus Lepus_hainanus 1047.27668 0.234667984794236 0 0 0
NA NA NA NA NA Lepus Lepus_sinensis 1047.27668 0.250582131416598 0 0 0
Animalia Chordata Mammalia Lagomorpha Leporidae Lepus Lepus_timidus 1047.27668 0.259455178308307 0 0 0
NA NA NA NA NA Lepus Lepus_tolai 1047.27668 0.267696147685713 0 0 0
Animalia Chordata Mammalia Lagomorpha Leporidae Lepus Lepus_townsendii 1097.83525 0.265442587236625 0 0 0
Animalia Chordata Mammalia Cetacea Iniidae Lipotes Lipotes_vexillifer 4840.09 0.175950007554794 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Litocranius Litocranius_walleri 2555 0.176126280269308 0 0 0
Animalia Chordata Mammalia Carnivora Phocidae Lobodon Lobodon_carcinophaga 5475 0.162555685087956 0 0 0
NA NA NA NA NA Lophocebus Lophocebus_aterrimus 3285 0.160727107013704 0 0 0
NA NA NA NA NA Lophostoma Lophostoma_silvicolum 2064.27635 0.174149849306987 0 0 0
NA NA NA NA NA Loris Loris_lydekkerianus 2278.1475 0.200173642036119 0 0 0
Animalia Chordata Mammalia Primates Loridae Loris Loris_tardigradus 2278.1475 0.190164485356163 0 0 0
Animalia Chordata Mammalia Proboscidea Elephantidae Loxodonta Loxodonta_africana 9125 0.241444281201157 0 0 0
Animalia Chordata Mammalia Carnivora Mustelidae Lutra Lutra_lutra 2772.962083343 0.145645019503402 0 0 0
Animalia Chordata Mammalia Carnivora Canidae Lycaon Lycaon_pictus 2034.717 0.223569763429614 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Lynx Lynx_canadensis 3391.958166657 0.160422477485199 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Lynx Lynx_lynx 3338.239416657 0.155188134619287 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Lynx Lynx_pardinus 1578.34 0.167266224577226 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Lynx Lynx_rufus 3810.03222219 0.171530902273832 0 0 0
Animalia Chordata Mammalia Primates Cercopithecidae Macaca Macaca_arctoides 3650 0.172054942666318 0 0 0
Animalia Chordata Mammalia Primates Cercopithecidae Macaca Macaca_assamensis 4572.98958571429 0.178684637177115 0 0 0
NA NA NA NA NA Macaca Macaca_cyclopis 4572.98958571429 0.16766925762139 0 0 0
Animalia Chordata Mammalia Primates Cercopithecidae Macaca Macaca_fascicularis 5076.8362 0.173127332015553 0 0 0
Animalia Chordata Mammalia Primates Cercopithecidae Macaca Macaca_fuscata 5118.76 0.165267755865842 0 0 0
NA NA NA NA NA Macaca Macaca_leonina 4015 0.167730690090986 0 0 0
Animalia Chordata Mammalia Primates Cercopithecidae Macaca Macaca_mulatta 5058.9 0.167509718845045 0 0 0
Animalia Chordata Mammalia Primates Cercopithecidae Macaca Macaca_nemestrina 4015 0.169347951148174 0 0 0
Animalia Chordata Mammalia Primates Cercopithecidae Macaca Macaca_nigra 4745 0.166588517802493 0 0 0
Animalia Chordata Mammalia Primates Cercopithecidae Macaca Macaca_silenus 5509.018 0.175045334128841 0 0 0
Animalia Chordata Mammalia Primates Cercopithecidae Macaca Macaca_sylvanus 2920 0.168429968214722 0 0 0
Animalia Chordata Mammalia Primates Cercopithecidae Macaca Macaca_thibetana 3285 0.171258847599129 0 0 0
Animalia Chordata Mammalia Primates Cercopithecidae Macaca Macaca_tonkeana 4745 0.159862748584093 0 0 0
Animalia Chordata Mammalia Diprotodontia Macropodidae Macropus Macropus_robustus 2984.65355 0.196873282793641 0 0 1
Animalia Chordata Mammalia Macroscelidea Macroscelididae Macroscelides Macroscelides_proboscideus 995.97395 0.191760272155592 1 0 0
Animalia Chordata Mammalia Peramelemorphia Thylacomyidae Macrotis Macrotis_lagotis 1183.8648 0.222147660025739 0 0 1
Animalia Chordata Mammalia Artiodactyla Bovidae Madoqua Madoqua_kirkii 2131.079366657 0.154859411843166 0 0 0
NA NA NA NA NA Madoqua Madoqua_saltiana 2031.281016657 0.169819850420168 0 0 0
Animalia Chordata Mammalia Primates Cercopithecidae Mandrillus Mandrillus_leucophaeus 3650 0.162731339324452 0 0 0
Animalia Chordata Mammalia Primates Cercopithecidae Mandrillus Mandrillus_sphinx 3650 0.163793156456335 0 0 0
Animalia Chordata Mammalia Pholidota Manidae Manis Manis_pentadactyla 1825 0.0955860983246328 0 0 0
NA NA NA NA NA Marmota Marmota_himalayana 1976.82975 0.294608782169011 0 0 0
Animalia Chordata Mammalia Carnivora Mustelidae Martes Martes_americana 2227.96 0.165534859559362 0 0 0
Animalia Chordata Mammalia Carnivora Mustelidae Martes Martes_flavigula 2642.060566657 0.166663808221581 0 0 0
Animalia Chordata Mammalia Carnivora Mustelidae Martes Martes_foina 2178.563333343 0.161540848046484 0 0 0
Animalia Chordata Mammalia Carnivora Mustelidae Martes Martes_martes 2100.94 0.154638315841075 0 0 0
Animalia Chordata Mammalia Carnivora Mustelidae Martes Martes_melampus 1772.805 0.160381794522784 0 0 0
Animalia Chordata Mammalia Carnivora Mustelidae Martes Martes_pennanti 1738.86811124 0.155555487309472 0 0 0
Animalia Chordata Mammalia Carnivora Mustelidae Martes Martes_zibellina 2087.381433343 0.16120249682352 0 0 0
Animalia Chordata Mammalia Artiodactyla Cervidae Mazama Mazama_americana 2017.365 0.23195582427357 0 0 0
NA NA NA NA NA Mazama Mazama_nemorivaga 2181.36375 0.245486493682414 0 0 0
Animalia Chordata Mammalia Cetacea Balaenopteridae Megaptera Megaptera_novaeangliae 8030 0.168538209841922 0 0 0
NA NA NA NA NA Meles Meles_anakuma 3136.8 0.187763410668559 0 0 0
Animalia Chordata Mammalia Carnivora Mustelidae Meles Meles_meles 2161.2481 0.194284416990019 1 0 0
Animalia Chordata Mammalia Carnivora Mustelidae Melogale Melogale_moschata 1627.173333343 0.162910473502151 0 0 0
Animalia Chordata Mammalia Carnivora Ursidae Melursus Melursus_ursinus 3650 0.190747954022897 0 0 0
Animalia Chordata Mammalia Carnivora Mephitidae Mephitis Mephitis_mephitis 1735.559294554 0.224734523154814 1 0 0
Animalia Chordata Mammalia Rodentia Muridae Meriones Meriones_libycus 649.48035 0.206917096944233 0 0 0
Animalia Chordata Mammalia Rodentia Muridae Meriones Meriones_meridianus 608.148016666667 0.235070390579554 0 0 0
Animalia Chordata Mammalia Rodentia Muridae Meriones Meriones_unguiculatus 503.8875 0.258888962102143 0 0 0
Animalia Chordata Mammalia Rodentia Muridae Mesocricetus Mesocricetus_auratus 787.9135 0.307414487424774 1 0 0
Animalia Chordata Mammalia Cetacea Hyperoodontidae Mesoplodon Mesoplodon_europaeus 6460.5 0.234885105902077 0 0 0
NA NA NA NA NA Mesoplodon Mesoplodon_ginkgodens 6460.5 0.23044748490581 0 0 0
NA NA NA NA NA Mesoplodon Mesoplodon_grayi 6460.5 0.266169029339995 0 0 0
Animalia Chordata Mammalia Didelphimorphia Didelphidae Metachirus Metachirus_nudicaudatus 843.373422219 0.28308946682958 0 0 1
Animalia Chordata Mammalia Primates Cheirogaleidae Microcebus Microcebus_murinus 2053.5145 0.252474015913008 1 0 0
Animalia Chordata Mammalia Rodentia Muridae Micromys Micromys_minutus 502.66 0.240264805233195 0 0 0
NA NA NA NA NA Micronycteris Micronycteris_megalotis 2064.27635 0.135451894345112 0 0 0
NA NA NA NA NA Microtus Microtus_kikuchii 373.623802083937 0.160272181049965 0 0 0
NA NA NA NA NA Microtus Microtus_levis 373.623802083937 0.199851951498838 0 0 0
Animalia Chordata Mammalia Rodentia Muridae Microtus Microtus_ochrogaster 615.4024 0.177844161002637 0 0 0
Animalia Chordata Mammalia Carnivora Phocidae Mirounga Mirounga_leonina 3467.5 0.169158328717381 0 0 0
NA NA NA NA NA Mogera Mogera_robusta 759.185721428571 0.201182511660165 0 0 0
Animalia Chordata Mammalia Soricomorpha Talpidae Mogera Mogera_wogura 759.185721428571 0.174280055744723 0 0 0
Animalia Chordata Mammalia Carnivora Phocidae Monachus Monachus_schauinslandi 5475 0.181565763253757 0 0 0
Animalia Chordata Mammalia Didelphimorphia Didelphidae Monodelphis Monodelphis_domestica 717.0425 0.237743332598763 0 0 1
Animalia Chordata Mammalia Cetacea Monodontidae Monodon Monodon_monoceros 8760 0.186202802239241 0 0 0
Animalia Chordata Mammalia Artiodactyla Moschidae Moschus Moschus_berezovskii 2555 0.19306360869283 0 0 0
Animalia Chordata Mammalia Artiodactyla Moschidae Moschus Moschus_chrysogaster 2555 0.191226372863426 0 0 0
Animalia Chordata Mammalia Artiodactyla Moschidae Moschus Moschus_moschiferus 2190 0.200883523637952 0 0 0
Animalia Chordata Mammalia Carnivora Eupleridae Mungotictis Mungotictis_decemlineata 2146.94685 0.142429865070736 0 0 0
Animalia Chordata Mammalia Artiodactyla Cervidae Muntiacus Muntiacus_crinifrons 2190 0.196652694923266 0 0 0
Animalia Chordata Mammalia Artiodactyla Cervidae Muntiacus Muntiacus_muntjak 2416.4143 0.196859537912193 0 0 0
Animalia Chordata Mammalia Artiodactyla Cervidae Muntiacus Muntiacus_reevesi 2931.795 0.201930825140069 0 0 0
NA NA NA NA NA Muntiacus Muntiacus_vuquangensis 2555 0.197598292668566 0 0 0
NA NA NA NA NA Murina Murina_leucogaster 1825 0.200204967091156 0 0 0
NA NA NA NA NA Murina Murina_ussuriensis 1825 0.239050261404223 0 0 0
Animalia Chordata Mammalia Rodentia Muridae Mus Mus_caroli 628.295 0.239892753950638 0 0 0
Animalia Chordata Mammalia Rodentia Muridae Mus Mus_cervicolor 628.295 0.229017977632477 0 0 0
NA NA NA NA NA Mus Mus_cookii 628.295 0.216594746054151 0 0 0
NA NA NA NA NA Mus Mus_famulus 628.295 0.204519818932209 0 0 0
NA NA NA NA NA Mus Mus_fragilicauda 628.295 0.192797243641055 0 0 0
Animalia Chordata Mammalia Rodentia Muridae Mus Mus_musculus 628.295 0.197274696210531 1 0 0
NA NA NA NA NA Mus Mus_spretus 628.295 0.175920675247329 0 0 0
NA NA NA NA NA Mus Mus_terricolor 435.665 0.199048717965163 0 0 0
NA NA NA NA NA Mustela Mustela_altaica 1846.9 0.196398673277235 0 0 0
Animalia Chordata Mammalia Carnivora Mustelidae Mustela Mustela_erminea 1078.777858343 0.165790427714029 0 0 0
Animalia Chordata Mammalia Carnivora Mustelidae Mustela Mustela_frenata 986.110483343 0.18705204211202 0 0 0
NA NA NA NA NA Mustela Mustela_kathiah 1253.04 0.189186444830642 0 0 0
Animalia Chordata Mammalia Carnivora Mustelidae Mustela Mustela_nigripes 1497.506633343 0.192204424640376 0 0 0
Animalia Chordata Mammalia Carnivora Mustelidae Mustela Mustela_nivalis 1194.19395 0.195724286291047 0 0 0
Animalia Chordata Mammalia Carnivora Mustelidae Mustela Mustela_putorius 1652.464383343 0.192843094070037 0 0 0
Animalia Chordata Mammalia Carnivora Mustelidae Mustela Mustela_sibirica 1484.792222219 0.204224225067058 0 0 0
NA NA NA NA NA Myodes Myodes_glareolus 577.7512 0.169687216754616 0 0 0
NA NA NA NA NA Myodes Myodes_regulus 433.359922223833 0.171179930800393 0 0 0
NA NA NA NA NA Myodes Myodes_rufocanus 433.359922223833 0.172761108329032 0 0 0
NA NA NA NA NA Myospalax Myospalax_aspalax 1032.92357373767 0.22312538642618 0 0 0
NA NA NA NA NA Myospalax Myospalax_psilurus 1032.92357373767 0.208261600147962 0 0 0
NA NA NA NA NA Myotis Myotis_bombinus 2106.62850416667 0.252838480253473 0 0 0
NA NA NA NA NA Myotis Myotis_brandtii 2106.62850416667 0.214521438676839 0 0 0
NA NA NA NA NA Myotis Myotis_davidii 2106.62850416667 0.263945561809931 0 0 0
NA NA NA NA NA Myotis Myotis_formosus 2106.62850416667 0.229948984664979 0 0 0
NA NA NA NA NA Myotis Myotis_ikonnikovi 2106.62850416667 0.248794528028701 0 0 0
Animalia Chordata Mammalia Chiroptera Vespertilionidae Myotis Myotis_lucifugus 4117.2 0.241855850301369 1 0 0
NA NA NA NA NA Myotis Myotis_macrodactylus 2106.62850416667 0.252078484239004 0 0 0
NA NA NA NA NA Myotis Myotis_muricola 2106.62850416667 0.232921073768965 0 0 0
Animalia Chordata Mammalia Chiroptera Vespertilionidae Myotis Myotis_myotis 2847 0.274638576322856 1 0 0
Animalia Chordata Mammalia Dasyuromorphia Myrmecobiidae Myrmecobius Myrmecobius_fasciatus 886.2761 0.206707344156293 1 0 1
Animalia Chordata Mammalia Pilosa Myrmecophagidae Myrmecophaga Myrmecophaga_tridactyla 4124.5275 0.156195507043787 0 0 0
Animalia Chordata Mammalia Chiroptera Mystacinidae Mystacina Mystacina_tuberculata 1888.06537051282 0.220214132315903 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Naemorhedus Naemorhedus_goral 2555 0.160935344055533 0 0 0
NA NA NA NA NA Naemorhedus Naemorhedus_griseus 2555 0.162313325418845 0 0 0
Animalia Chordata Mammalia Carnivora Nandiniidae Nandinia Nandinia_binotata 2850.514083343 0.153442320558876 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Nanger Nanger_dama 2171.91595 0.168022374531188 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Nanger Nanger_soemmerringii 2555 0.166694095060069 0 0 0
Animalia Chordata Mammalia Primates Cercopithecidae Nasalis Nasalis_larvatus 4015 0.220829629889906 0 0 0
Animalia Chordata Mammalia Carnivora Procyonidae Nasua Nasua_nasua 2778.4359 0.150243415934993 0 0 0
NA NA NA NA NA Nectogale Nectogale_elegans 379.29295625 0.275127395223471 0 0 0
NA NA NA NA NA Neodon Neodon_irene 589.388299099621 0.174478018868565 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Neofelis Neofelis_nebulosa 2550.887933343 0.198527274090883 0 0 0
Animalia Chordata Mammalia Soricomorpha Soricidae Neomys Neomys_fodiens 576.8888 0.277087072054312 0 0 0
Animalia Chordata Mammalia Carnivora Otariidae Neophoca Neophoca_cinerea 4599 0.156375584479699 0 0 0
NA NA NA NA NA Neophocaena Neophocaena_asiaeorientalis 6095.5 0.19561578749393 0 0 0
Animalia Chordata Mammalia Cetacea Phocoenidae Neophocaena Neophocaena_phocaenoides 6095.5 0.199687815449717 0 0 0
Animalia Chordata Mammalia Cetacea Phocoenidae Neophocaena Neophocaena_phocaenoides 5840 0.199687815449717 0 0 0
NA NA NA NA NA Neotetracus Neotetracus_sinensis 1202.9252375 0.313956151362473 0 0 0
NA NA NA NA NA Neotragus Neotragus_batesi 1741.05 0.203498574818397 0 0 0
Animalia Chordata Mammalia Carnivora Mustelidae Neovison Neovison_vison 1473.65 0.202707519788333 0 0 0
NA NA NA NA NA Niviventer Niviventer_confucianus 624.399640909091 0.208684864149817 0 0 0
NA NA NA NA NA Niviventer Niviventer_excelsior 639.631831820818 0.206417837151267 0 0 0
NA NA NA NA NA Niviventer Niviventer_fulvescens 624.399640909091 0.205297815954491 0 0 0
NA NA NA NA NA Nomascus Nomascus_leucogenys 5475 0.131516422112178 0 0 0
NA NA NA NA NA Nomascus Nomascus_siki 5475 0.128291915522754 0 0 0
Animalia Chordata Mammalia Notoryctemorphia Notoryctidae Notoryctes Notoryctes_typhlops 998.676563583815 0.222836835295203 0 0 1
Animalia Chordata Mammalia Chiroptera Vespertilionidae Nyctalus Nyctalus_noctula 1529.35 0.226085618127506 1 0 0
Animalia Chordata Mammalia Carnivora Canidae Nyctereutes Nyctereutes_procyonoides 2091.936666657 0.180675336940991 0 0 0
NA NA NA NA NA Nycticebus Nycticebus_bengalensis 2555 0.204269808225217 0 0 0
Animalia Chordata Mammalia Primates Loridae Nycticebus Nycticebus_coucang 2555 0.203736062986416 0 0 0
Animalia Chordata Mammalia Lagomorpha Ochotonidae Ochotona Ochotona_collaris 894.25 0.151624851284886 0 0 0
NA NA NA NA NA Ochotona Ochotona_curzoniae 751.47417 0.175520333623374 0 0 0
Animalia Chordata Mammalia Lagomorpha Ochotonidae Ochotona Ochotona_princeps 1045.7507 0.158351442454556 0 0 0
Animalia Chordata Mammalia Artiodactyla Cervidae Odocoileus Odocoileus_hemionus 2717.425 0.221823090409882 0 0 0
Animalia Chordata Mammalia Artiodactyla Giraffidae Okapia Okapia_johnstoni 4764.23571657 0.112213295131393 0 0 0
Animalia Chordata Mammalia Rodentia Muridae Onychomys Onychomys_leucogaster 671.9993 0.159968594663694 0 0 0
NA NA NA NA NA Orcaella Orcaella_heinsohni 5475 0.22465330860462 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Oreamnos Oreamnos_americanus 2864.106333343 0.172257371796289 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Oreotragus Oreotragus_oreotragus 2700.0653 0.187787665336611 0 0 0
Animalia Chordata Mammalia Monotremata Ornithorhynchidae Ornithorhynchus Ornithorhynchus_anatinus 2878.755 0.274564532478958 0 1 0
Animalia Chordata Mammalia Tubulidentata Orycteropodidae Orycteropus Orycteropus_afer 3624.815 0.236286449770907 0 0 0
Animalia Chordata Mammalia Lagomorpha Leporidae Oryctolagus Oryctolagus_cuniculus 1515.3536 0.224279787540811 0 0 0
NA NA NA NA NA Oryx Oryx_beisa 2555 0.151927738118494 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Oryx Oryx_dammah 3247.0961 0.149164184974326 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Oryx Oryx_gazella 2866.554366657 0.158102798330575 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Oryx Oryx_leucoryx 2663.526666657 0.153878914042519 0 0 0
NA NA NA NA NA Otocolobus Otocolobus_manul 2036.1475 0.19627249492772 0 0 0
Animalia Chordata Mammalia Primates Galagonidae Otolemur Otolemur_crassicaudatus 2763.926 0.169600917504312 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Ourebia Ourebia_ourebi 2156.849633343 0.151614157393023 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Ovis Ovis_ammon 2920 0.156567710870215 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Ovis Ovis_canadensis 2634.501666657 0.155297712455914 0 0 0
NA NA NA NA NA Ovis Ovis_orientalis 2920 0.162896317201749 0 0 0
Animalia Chordata Mammalia Artiodactyla Cervidae Ozotoceros Ozotoceros_bezoarticus 2846.6847 0.244772284702324 0 0 0
Animalia Chordata Mammalia Carnivora Viverridae Paguma Paguma_larvata 3014.413333343 0.246734101184202 0 0 0
Animalia Chordata Mammalia Primates Hominidae Pan Pan_paniscus 9125 0.166151145105104 0 0 0
Animalia Chordata Mammalia Primates Hominidae Pan Pan_troglodytes 7300 0.154985678867691 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Panthera Panthera_leo 2190 0.179298252602655 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Panthera Panthera_onca 3581.681316657 0.180134847415174 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Panthera Panthera_pardus 3400.645433343 0.183492343780228 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Panthera Panthera_tigris 2920 0.173090202872811 0 0 0
NA NA NA NA NA Panthera Panthera_uncia 2920 0.183862938539013 0 0 0
NA NA NA NA NA Pantholops Pantholops_hodgsonii 2190 0.166540013922702 0 0 0
NA NA NA NA NA Papio Papio_anubis 3833.595 0.159806380914306 0 0 0
NA NA NA NA NA Papio Papio_cynocephalus 6188.575 0.163553617682576 0 0 0
Animalia Chordata Mammalia Primates Cercopithecidae Papio Papio_hamadryas 5332.504 0.161359168906228 0 0 0
NA NA NA NA NA Papio Papio_papio 3650 0.163474592467337 0 0 0
NA NA NA NA NA Papio Papio_ursinus 5714.3305 0.160616128614769 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Pardofelis Pardofelis_marmorata 1821.16 0.187887890301575 0 0 0
Animalia Chordata Mammalia Artiodactyla Tayassuidae Pecari Pecari_tajacu 3102.921666657 0.123764512991653 0 0 0
Animalia Chordata Mammalia Cetacea Delphinidae Peponocephala Peponocephala_electra 8245.925 0.199071642019395 0 0 0
Animalia Chordata Mammalia Peramelemorphia Peramelidae Perameles Perameles_gunnii 706.1569 0.240929693755262 0 0 1
Animalia Chordata Mammalia Primates Loridae Perodicticus Perodicticus_potto 3326.9897 0.16912996316638 0 0 0
Animalia Chordata Mammalia Rodentia Sciuridae Petaurista Petaurista_alborufus 2015.75510185078 0.217725228910379 0 0 0
Animalia Chordata Mammalia Diprotodontia Petauridae Petaurus Petaurus_breviceps 1969.1592 0.227650093063104 1 0 1
Animalia Chordata Mammalia Artiodactyla Suidae Phacochoerus Phacochoerus_africanus 2206.301666657 0.144250058433815 0 0 0
NA NA NA NA NA Phalanger Phalanger_vestitus 2000.3639125 0.124413539506658 0 0 1
Animalia Chordata Mammalia Dasyuromorphia Dasyuridae Phascogale Phascogale_tapoatafa 878.35415 0.252623460797035 0 0 1
Animalia Chordata Mammalia Diprotodontia Phascolarctidae Phascolarctos Phascolarctos_cinereus 2746.4425 0.180429046134195 0 0 1
Animalia Chordata Mammalia Artiodactyla Bovidae Philantomba Philantomba_maxwellii 2287.576666657 0.191180406261403 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Philantomba Philantomba_monticola 1818.1211 0.18353932033289 0 0 0
Animalia Chordata Mammalia Carnivora Phocidae Phoca Phoca_largha 6935 0.144543286070171 0 0 0
Animalia Chordata Mammalia Carnivora Phocidae Phoca Phoca_vitulina 5413.68 0.143792666029121 0 0 0
Animalia Chordata Mammalia Carnivora Otariidae Phocarctos Phocarctos_hookeri 3650 0.153072886853432 0 0 0
Animalia Chordata Mammalia Cetacea Phocoenidae Phocoena Phocoena_phocoena 3028.845 0.196750363532384 0 0 0
NA NA NA NA NA Pipistrellus Pipistrellus_abramus 1885.946275 0.247027639650399 0 0 0
NA NA NA NA NA Pipistrellus Pipistrellus_coromandra 1885.946275 0.267795898836399 0 0 0
Animalia Chordata Mammalia Chiroptera Vespertilionidae Plecotus Plecotus_auritus 3693.8 0.229211655560451 1 0 0
NA NA NA NA NA Plecotus Plecotus_macrobullaris 2759.4 0.2538809684996 0 0 0
NA NA NA NA NA Pongo Pongo_abelii 9125 0.129516583076104 0 0 0
Animalia Chordata Mammalia Primates Hominidae Pongo Pongo_pygmaeus 7300 0.125525829914065 0 0 0
Animalia Chordata Mammalia Cetacea Iniidae Pontoporia Pontoporia_blainvillei 4380 0.1796580360986 0 0 0
Animalia Chordata Mammalia Artiodactyla Suidae Potamochoerus Potamochoerus_porcus 3134.383666657 0.155584063154704 0 0 0
Animalia Chordata Mammalia Diprotodontia Potoroidae Potorous Potorous_tridactylus 1685.9516 0.170711756665022 0 0 1
Animalia Chordata Mammalia Primates Cercopithecidae Presbytis Presbytis_melalophos 3650 0.252033774984421 0 0 0
Animalia Chordata Mammalia Cingulata Dasypodidae Priodontes Priodontes_maximus 1979.1637 0.0983589946644283 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Prionailurus Prionailurus_bengalensis 2350.842866657 0.19405535710007 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Prionailurus Prionailurus_planiceps 2190 0.178888421515915 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Prionailurus Prionailurus_rubiginosus 2153.865 0.186284670014338 0 0 0
Animalia Chordata Mammalia Carnivora Felidae Prionailurus Prionailurus_viverrinus 2190 0.187278156131866 0 0 0
NA NA NA NA NA Prionodon Prionodon_pardicolor 1583.31 0.227250007711307 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Procapra Procapra_gutturosa 1793.275566657 0.19273416947725 0 0 0
NA NA NA NA NA Procapra Procapra_przewalskii 2667.1385 0.193990524923592 0 0 0
Animalia Chordata Mammalia Hyracoidea Procaviidae Procavia Procavia_capensis 3079.14 0.130081336156185 0 0 0
Animalia Chordata Mammalia Carnivora Procyonidae Procyon Procyon_lotor 2703.9188 0.195841465021535 0 0 0
NA NA NA NA NA Proechimys Proechimys_longicaudatus 631.7859833285 0.262949101670299 0 0 0
NA NA NA NA NA Proedromys Proedromys_liangshanensis 589.388299099621 0.167495938326572 0 0 0
NA NA NA NA NA Prolemur Prolemur_simus 3285 0.259283454468908 0 0 0
NA NA NA NA NA Propithecus Propithecus_coquereli 3650 0.192937694004582 0 0 0
Animalia Chordata Mammalia Primates Indridae Propithecus Propithecus_diadema 3650 0.201249253295979 0 0 0
NA NA NA NA NA Propithecus Propithecus_edwardsi 3650 0.202254641989296 0 0 0
Animalia Chordata Mammalia Primates Indridae Propithecus Propithecus_tattersalli 3283.175 0.1918087788245 0 0 0
Animalia Chordata Mammalia Primates Indridae Propithecus Propithecus_verreauxi 3650 0.199897446192938 0 0 0
NA NA NA NA NA Przewalskium Przewalskium_albirostris 2555 0.198716872981986 0 0 0
Animalia Chordata Mammalia Diprotodontia Pseudocheiridae Pseudocheirus Pseudocheirus_peregrinus 1217.0925 0.173408404643467 0 0 1
