"Species" "TemperatureC" "SAG_STC" "LongevityDAYS" "DummyCOLDER"
"Cheirogaleus_medius" 38 0.469178082191781 2584.9082 1
"Chinchilla_lanigera" 35.7 0.553142857142857 1825 1
"Chiropotes_albinasus" NA 0.428895184135977 3650 0
"Chlamyphorus_truncatus" NA 0.526372443487621 1831.21217 0
"Chlorocebus_cynosuros" 36.8 0.575055187637969 4533.4825 1
"Chlorocebus_pygerythrus" 36.8 0.571428571428572 4533.4825 1
"Chlorocebus_tantalus" 36.8 0.564116675839295 4533.4825 1
"Choloepus_didactylus" NA 0.679691799669785 4669.36675 0
"Choloepus_hoffmanni" 34.4 0.65410199556541 5095.5978 1
"Chrysochloris_asiatica" 34 0.45346062052506 1036.557583 1
"Chrysocyon_brachyurus" NA 0.374288964732651 2032.3307 0
"Colobus_guereza" 37 0.520856820744081 4509.575 0
"Condylura_cristata" 37.7 0.606734816596512 558.6411 0
"Connochaetes_gnou" NA 0.599320882852292 2860.14 0
"Connochaetes_taurinus" 38 0.605411499436302 2942.265 0
"Cricetulus_kamensis" NA 0.563758389261745 589.3882991 0
"Cricetulus_longicaudatus" NA 0.325301204819277 589.3882991 0
"Crocidura_attenuata" 35 0.362335432169433 427.67965 1
"Crocidura_beatus" 35 0.346064814814815 427.67965 1
"Crocidura_grayi" 35 0.359537572254335 427.67965 1
"Crocidura_lasiura" 35 0.356125356125356 427.67965 1
"Crocidura_mindorus" 35 0.385241138872748 427.67965 1
"Crocidura_negrina" 35 0.3329473074696 427.67965 1
"Crocidura_orientalis" 35 0.381395348837209 427.67965 1
"Crocidura_palawanensis" NA 0.37122969837587 409.171225 0
"Crocidura_shantungensis" NA 0.3279258400927 409.171225 0
"Crocuta_crocuta" NA 0.561111111111111 5054.41125 0
"Ctenomys_leucodon" 36.1 0.449451887941535 600.93415 1
"Cuon_alpinus" NA 0.347972972972973 2041.808633 0
"Cynomys_leucurus" 36.7 0.349303621169916 1567.7682 1
"Cynomys_ludovicianus" NA 0.334804191947049 1567.7682 1
"Cynopterus_brachyotis" 36.5 0.585406301824212 1287.664 1
"Cystophora_cristata" NA 0.582055650198751 3650 0
"Dactylomys_dactylinus" NA 0.427725118483412 739.0095889 0
"Dactylopsila_trivirgata" NA 0.558411214953271 1905.2339 1
"Dama_dama" NA 0.488129704690214 3286.095 0
"Dama_mesopotamica" NA 0.483159117305459 2605.92075 0
"Damaliscus_lunatus" NA 0.608988764044944 2190 0
"Damaliscus_pygargus" NA 0.57190635451505 3053.358833 0
"Dasypus_hybridus" NA 0.6487747957993 1460 0
"Dasypus_kappleri" NA 0.691588785046729 1642.5 0
"Dasypus_novemcinctus" 34.5 0.645067133683596 1825 1
"Dasypus_pilosus" NA 0.649677797305214 1642.5 0
"Dasypus_sabanicola" NA 0.644157369348209 1642.5 0
"Dasypus_septemcinctus" NA 0.6487747957993 1642.5 0
"Dasypus_yepesi" NA 0.640304628002343 1642.5 0
"Daubentonia_madagascariensis" NA 0.591184573002755 2920 0
"Delphinus_capensis" NA 0.487327188940092 3545.59095 0
"Dendrohyrax_dorsalis" NA 0.614763552479815 1675.3724 0
"Desmodus_rotundus" 35 0.610456176319836 2779.7975 1
"Dicerorhinus_sumatrensis" NA 0.632882882882883 7300 0
"Diceros_bicornis" 39 0.603665521191294 6205 0
"Didelphis_virginiana" 35 0.410564225690276 745.99 1
"Dipus_sagitta" 36.8 0.471264367816092 726.1971375 1
"Distoechurus_pennatus" NA 0.515563101301641 997.9661 1
"Dorcatragus_megalotis" NA 0.49825378346915 1825 0
"Dremomys_rufigenis" NA 0.519818799546999 1384.121263 0
"Dromiciops_gliroides" 35.15 0.430365296803653 998.6765636 1
"Dugong_dugon" 33 0.445111960677226 10246.2396 1
"Echinops_telfairi" 34.7 0.262736119061248 1967.0915 1
"Echinosorex_gymnura" 36.3 0.380454824830977 1202.925238 1
"Elaphodus_cephalophus" NA 0.508120649651972 2555 0
"Elaphurus_davidianus" NA 0.509543088490457 3530.65 0
"Elephas_maximus" 35.8 0.419838523644752 8030 1
"Enhydra_lutris" 37.5 0.534246575342466 5475 0
"Eospalax_rothschildi" NA 0.393974507531866 1032.923574 0
"Eothenomys_chinensis" NA 0.592656339644291 589.3882991 0
"Eothenomys_melanogaster" NA 0.579954954954955 589.3882991 0
"Eothenomys_miletus" NA 0.592 589.3882991 0
"Eozapus_setchuanus" NA 0.414333706606943 726.1971375 0
"Episoriculus_caudatus" NA 0.479343520090549 426.9101194 0
"Episoriculus_fumidus" NA 0.473684210526316 426.9101194 0
"Episoriculus_macrurus" NA 0.461404526987812 426.9101194 0
"Epomophorus_gambianus" NA 0.565752658086178 2349.856741 0
"Eptesicus_serotinus" 36 0.41852286049238 2400.9362 1
"Equus_grevyi" 38.3 0.573660714285714 2190 0
"Equus_hemionus" 38.3 0.604296212549463 1825 0
"Equus_kiang" 38.3 0.607687959299039 3704.385 0
"Equus_zebra" 38.3 0.559151785714286 4024.699367 0
"Eremitalpa_granti" 33.6 0.436720142602496 1036.557583 1
"Erignathus_barbatus" NA 0.568876080691643 6935 0
"Erinaceus_europaeus" 34 0.261770244821092 1608.5234 1
"Erythrocebus_patas" 39.3 0.458705357142857 3529.3359 0
"Eschrichtius_robustus" NA 0.627749576988156 10444.3345 0
"Eubalaena_australis" NA 0.611518915866742 9855 0
"Eubalaena_japonica" NA 0.602040816326531 9704.4375 0
"Euchoreutes_naso" NA 0.394780677401444 726.1971375 0
"Eudorcas_rufifrons" NA 0.57454128440367 1825 0
"Eulemur_mongoz" 36.5 0.481481481481481 4154.1015 1
"Eulemur_rufus" 36.5 0.473087818696884 3206.295944 1
"Eumetopias_jubatus" NA 0.583762149799886 3650 0
"Felis_chaus" NA 0.491681009753299 1903.782067 0
"Felis_margarita" NA 0.511694238448374 1730.465 0
"Felis_nigripes" NA 0.513112884834664 1685.3793 0
"Felis_silvestris" NA 0.540308747855918 2905.4 0
"Feresa_attenuata" NA 0.519818799546999 7142.099015 0
"Galago_moholi" NA 0.548672566371681 1930.5215 1
"Galago_senegalensis" 37.9 0.534216335540839 2167.5525 0
"Galemys_pyrenaicus" NA 0.495066744051074 730 0
"Galeopterus_variegatus" NA 0.589881593110872 2840.441639 0
"Gazella_cuvieri" NA 0.549199084668192 2022.515 0
"Gazella_gazella" 39.5 0.540401146131805 2190 0
"Gazella_leptoceros" NA 0.559885386819484 1729.8227 0
"Gazella_spekei" NA 0.547428571428571 2190 0
"Gazella_subgutturosa" 39.5 0.572002294893861 2496.146667 0
"Genetta_servalina" NA 0.460571428571429 2211.9 0
"Giraffa_camelopardalis" 37.1 0.556189389617798 5251.011667 0
"Glis_glis" 37.7 0.387802071346375 1152.9402 1
"Globicephala_macrorhynchus" NA 0.50967007963595 8650.5 0
"Globicephala_melas" NA 0.513667425968109 8760 0
"Gorilla_gorilla" 35.5 0.576713819368879 8030 1
"Grampus_griseus" NA 0.513112884834664 7300 0
"Gulo_gulo" 37 0.501416430594901 2622.30185 0
"Halichoerus_grypus" NA 0.578947368421053 5110 0
"Hapalemur_griseus" NA 0.405963302752294 3285 0
"Helarctos_malayanus" 38.1 0.426991150442478 3650 0
"Hemiechinus_auritus" 33.8 0.34353091140854 940.3939 1
"Hemitragus_jemlahicus" NA 0.637400228050171 2555 0
"Heterocephalus_glaber" 32.1 0.651612903225806 2023.309775 1
"Hippocamelus_antisensis" NA 0.444639718804921 1459.26 0
"Hippopotamus_amphibius" 35.4 0.624371157070989 3650 1
"Hipposideros_armiger" NA 0.548527808069793 1834.2256 0
"Hippotragus_equinus" NA 0.600229753015508 3070.224367 0
"Hyaena_hyaena" 37 0.558643690939411 3351.042633 0
"Hydropotes_inermis" 38.3 0.451048951048951 2190 0
"Hydrurga_leptonyx" NA 0.643356643356643 5110 0
"Hyemoschus_aquaticus" NA 0.498342541436464 1930.0898 0
"Hylobates_agilis" NA 0.613107822410148 5475 0
"Hylobates_lar" NA 0.612179487179487 5475 0
"Hylobates_pileatus" NA 0.628755364806867 5475 0
"Hylomys_suillus" 37.3 0.318103940605368 1202.925238 0
"Hylopetes_phayrei" NA 0.378055713473565 1384.121263 0
"Hyperoodon_ampullatus" NA 0.549631310266591 6460.5 0
"Indri_indri" NA 0.428251121076233 4015 0
"Inia_geoffrensis" NA 0.531868131868132 4840.09 0
"Isoodon_macrourus" 35.9 0.440758293838863 623.745 1
"Jaculus_jaculus" 37.5 0.404301075268817 919.8561 0
"Kobus_leche" 38.7 0.549653579676674 2660.837833 0
"Kogia_breviceps" NA 0.592452830188679 4380 0
"Lagenorhynchus_albirostris" NA 0.506003430531732 5667.52995 0
"Lagorchestes_hirsutus" 36 0.525773195876289 1100.21785 1
"Lagostrophus_fasciatus" 36 0.545045045045045 2311.607416 1
"Lagothrix_lagotricha" NA 0.529069767441861 5475 0
"Lama_guanicoe" 38 0.472081218274112 4064.145 0
"Laonastes_aenigmamus" NA 0.574043261231281 1032.923574 0
"Lariscus_insignis" NA 0.393736017897092 1384.121263 0
"Lasiopodomys_mandarinus" NA 0.514508928571429 589.3882991 0
"Lasiurus_borealis" 34.8 0.294736842105263 2051.666208 1
"Leggadina_lakedownensis" NA 0.55061439438268 624.3996409 0
"Lemur_catta" NA 0.435689455388181 2920 0
"Leontopithecus_rosalia" NA 0.449122807017544 3601.747 0
"Leopardus_colocolo" NA 0.553021664766248 2592.96 0
"Leopardus_geoffroyi" NA 0.527003979533826 2827.89 0
"Leopardus_guigna" NA 0.540571428571428 2190 0
"Leopardus_jacobita" NA 0.556189389617798 1392.97 0
"Leopardus_pardalis" 38 0.531018782014798 3011.876283 0
"Leopardus_tigrinus" NA 0.562642369020501 2190 0
"Leopardus_wiedii" 38 0.543019943019943 2190 0
"Leopoldamys_edwardsi" NA 0.526493799323563 639.6318318 0
"Lepilemur_hubbardorum" NA 0.490481522956327 1637.770967 0
"Lepilemur_ruficaudatus" NA 0.479236812570146 1637.770967 0
"Leptailurus_serval" 36.5 0.51441753171857 3018.0586 1
"Leptonychotes_weddellii" NA 0.622312608948286 4015 0
"Lepus_americanus" 39.8 0.354945054945055 1105.95 0
"Lepus_capensis" NA 0.386237513873474 1047.27668 0
"Lepus_coreanus" NA 0.399778516057586 1047.27668 0
"Lepus_europaeus" 38.3 0.369589345172031 730 0
"Lepus_hainanus" NA 0.416712783619258 1047.27668 0
"Lepus_sinensis" NA 0.403199117484832 1047.27668 0
"Lepus_timidus" 39.7 0.398671096345515 1047.27668 0
"Lepus_tolai" NA 0.384615384615385 1047.27668 0
"Lepus_townsendii" 38.2 0.389660922734853 1097.83525 0
"Lipotes_vexillifer" NA 0.60927536231884 4840.09 0
"Litocranius_walleri" NA 0.563298490127758 2555 0
"Lobodon_carcinophaga" NA 0.599299065420561 5475 0
"Lophocebus_aterrimus" NA 0.570175438596491 3285 0
"Lophostoma_silvicolum" NA 0.611907386990077 2064.27635 0
"Loris_lydekkerianus" NA 0.514072372199885 2278.1475 0
"Loris_tardigradus" 35.5 0.526558891454965 2278.1475 1
"Loxodonta_africana" 36.2 0.419760137064535 9125 1
"Lutra_lutra" 38.1 0.526050420168067 2772.962083 0
"Lycaon_pictus" NA 0.433106575963719 2034.717 0
"Lynx_canadensis" NA 0.544532130777903 3391.958167 0
"Lynx_lynx" NA 0.557054525014053 3338.239417 0
"Lynx_pardinus" NA 0.537422622397299 1578.34 0
"Lynx_rufus" NA 0.550282485875706 3810.032222 0
"Macaca_arctoides" NA 0.574725274725275 3650 0
"Macaca_assamensis" NA 0.514953779227841 4572.989586 0
"Macaca_cyclopis" NA 0.579295154185022 4572.989586 0
"Macaca_fascicularis" 37.6 0.560197910940077 5076.8362 0
"Macaca_fuscata" NA 0.567894447498626 5118.76 0
"Macaca_leonina" NA 0.56945213060321 4015 0
"Macaca_mulatta" 37.3 0.563835616438356 5058.9 0
"Macaca_nemestrina" NA 0.60797342192691 4015 0
"Macaca_nigra" NA 0.579356270810211 4745 0
"Macaca_silenus" NA 0.572375690607735 5509.018 0
"Macaca_sylvanus" NA 0.554083885209713 2920 0
"Macaca_thibetana" NA 0.533223503569467 3285 0
"Macaca_tonkeana" NA 0.580805295091009 4745 0
"Macropus_robustus" 36.1 0.524244152880776 2984.65355 1
"Macroscelides_proboscideus" 36.2 0.522558537978298 995.97395 1
"Macrotis_lagotis" 35 0.486714975845411 1183.8648 1
"Madoqua_kirkii" 39 0.558352402745995 2131.079367 0
"Madoqua_saltiana" NA 0.54337899543379 2031.281017 0
"Mandrillus_leucophaeus" NA 0.598438371444507 3650 0
"Mandrillus_sphinx" NA 0.595518207282913 3650 0
"Manis_pentadactyla" 33.4 0.628112894299945 1825 1
"Marmota_himalayana" NA 0.358554488989272 1976.82975 1
"Martes_americana" 38 0.484340044742729 2227.96 0
"Martes_flavigula" NA 0.527887323943662 2642.060567 0
"Martes_foina" NA 0.515563101301641 2178.563333 0
"Martes_martes" NA 0.497470489038786 2100.94 0
