"Species" "A_T" "A_G" "A_C" "T_A" "T_G" "T_C" "G_A" "G_T" "G_C" "C_A" "C_T" "C_G" "Temperature" "Tm" "AGdivTC"
"Carcharodon_carcharias" 0.0604476722545492 0.0469509232049427 0.0647161853488674 0.134626141194096 0.0167469215526881 0.14196009810819 0.275505195587215 0.0416920927803175 0.0416920927803175 0.0665071081923777 0.104724887388798 0.00443068160764032 18 9 3.02358480766243
"Etheostoma_tetrazonum" 0 0.0397685357343371 0.00994213393358428 0.0372638336122516 0.0124212778707505 0.124212778707505 0.468916342234621 0 0.122326002322075 0.108003639091177 0.0617163651949585 0.0154290912987396 NA 1.5 3.12339331619536
"Poecilia_reticulata" 0.00300799387961944 0.0241263881458752 0.00758167708034167 0.0088456857403551 0.00312173978673031 0.0755574750562475 0.687116479218012 0.0625452997978533 0.0312726498989266 0.04936519926466 0.0474594121313794 0 25 NA 3.13173586528596
"Pimephales_promelas" 0.00946911658345245 0.0271706483932088 0.00946911658345245 0 0 0.0868100377464336 0.649538231529199 0 0.104252373745269 0.0486678312727486 0.0646226441462369 0 NA 2 3.19499323277583
"Rastrelliger_kanagurta" 0.0124255548101537 0.037839724724806 0.00511681606830713 0.0189911443931919 0.00539864091611221 0.122752738347336 0.632348979809088 0.0246164864493278 0.0529781119288029 0.00652690128511726 0.073728276111334 0.00727662515642328 28 0.56 3.24401774167413
"Siganus_canaliculatus" 0.0176954387651117 0.0648832754720763 0.00589847958837058 0.0168527988239159 0 0.219086384710907 0.441007819691258 0.0441007819691258 0.0882015639382516 0 0.0909097395919848 0.0113637174489981 28.25 1.5 3.37662337662338
"Galeocerdo_cuvier" 0.0227340544275378 0.0230960169462362 0.0568351360688445 0.0483842571978749 0.016128085732625 0.0816397262838886 0.519172691672838 0 0 0.0183360974698296 0.213673934200326 0 22 9 3.53479677790039
"Lepisosteus_osseus" 0.00660201909283467 0.0528161527426774 0.0264080763713387 0.0468743355591262 0 0.187497342236505 0.497152043808914 0.0355108602720653 0 0.0105099407083242 0.115609347791567 0.0210198814166485 NA 6 3.55
"Megalobrama_terminalis" 0.00183865571670156 0.0439827932909957 0.00421601998454304 0.0155417881988908 0.00277738281076319 0.156814622178635 0.60505879985992 0.0135353103058268 0.0338014259102699 0.0115328519035099 0.10758202471145 0.0033183251284939 NA 6 3.5653629623096
"Salmo_salar" 0.0181688862877021 0.0424504122498897 0.0386974285474482 0.0333358136221993 0.00916828806639475 0.151382450513975 0.429378074450931 0.0436017788133351 0.0895520575885069 0.0414010629348149 0.0952541570780118 0.00760958984679197 10.5 4.8 3.56610083367019
"Parabramis_pekinensis" 0.00608882366880427 0.071684353439812 0.00621457697886953 0.019029339867722 0 0.25914543785982 0.456621816734285 0.0272964389228693 0.0176287749988472 0.0130572941954373 0.118061942197749 0.00517120113578404 NA 6 3.61509067773632
"Siganus_fuscescens" 0 0.0554988816607922 0 0 0 0.210422603163211 0.579831173160848 0.11596623463217 0 0.00765622147659571 0.0306248859063828 0 28 NA 3.79147465437788
"Carassius_auratus" 0.00501651434124632 0.0412121147115581 0.0109148085283882 0.0270012378813883 0.00581648588942933 0.158289283587648 0.595053467061247 0.0192010179722985 0.0409101295758169 0.0285093099815726 0.0635429123536872 0.00453271811572059 22.4 1 3.84084351641521
"Rastrelliger_faughni" 0 0.0214032498770781 0.00713441662569271 0.0140965043473832 0 0.0845790260842991 0.843752212021683 0 0 0 0.0290345910438639 0 28 NA 3.95169082125604
"Scomber_japonicus" 0.00524915856700653 0.0524915856700653 0.0213841312592762 0 0.00805629306619113 0.215211196894199 0.643470222162004 0 0 0.0108274824762514 0.0433099299050055 0 14 2 4.09991799917999
"Lepisosteus_oculatus" 0.0164029875210083 0.0820149376050415 0.0164029875210083 0 0 0.338266053766571 0.393671700504199 0 0 0.0255402221803619 0.12770111090181 0 NA 4 4.12444444444444
"Hypophthalmichthys_molitrix" 0.00522518771827876 0.042984969954196 0.00871196337160508 0.0117350759600032 0 0.178916308706312 0.660057270555031 0.00431225883441107 0 0.00784010582113533 0.0734610041441125 0.00675585493491518 20 NA 4.16229926174107
"Osmerus_mordax" 0.0128574568521376 0.0514298274085505 0.0128574568521376 0 0.0306994883524962 0.222571290555597 0.562570378060106 0.0137212287331733 0.0411636861995199 0.0130322967465705 0.0390968902397114 0 1 2 4.32766940451745
"Abudefduf_vaigiensis" 0 0.0634979637037494 0.0211659879012498 0.0104994000015678 0.0104994000015678 0.283483800042332 0.424866131570293 0.0303475808264495 0.060695161652899 0.0126592765733189 0.0822852977265731 0 27 NA 4.46445497630333
"Pagellus_acarne" 0.0497976392968591 0.0435729343847517 0.0684717540331813 0.0648641156263607 0.0162160289065902 0.194592346879082 0.304676328348988 0.0276978480317262 0.0276978480317262 0.0618484644741134 0.140564691986621 0 17.5 2 4.46589952287398
"Abbottina_rivularis" 0.011369349052242 0.0283495234180014 0.0138389384228147 0.0590716721189704 0.00798085296227168 0.12859117014869 0.47356757076442 0.0512209703810743 0.0795424227665674 0.07520459573014 0.0602179631607286 0.0110449710740803 NA 1 4.53591999599673
