Species-ID,Order,Species name,IUCN name,Tree name,HWI,Sample size,Body mass (log),Range Size,Island,Migration-1,Migration-2,Migration-3,Territoriality,Diet,Habitat,Latitude,AnnualTemp,TempRange,AnnualPrecip,PrecipRange,Synonym,Notes
10033,Tinamiformes,Nothoprocta perdicaria,Nothoprocta perdicaria,Nothoprocta_perdicaria,"26,86939481",8,"2,660865478",22,0,Not a Migrant,1,resident,strong,seeds,2,"-35,1","11,26939031","20,7183125","907,6759969","149,0848039",,
10034,Tinamiformes,Nothoprocta cinerascens,Nothoprocta cinerascens,Nothoprocta_cinerascens,"27,51142466",4,"2,719240109",131,0,Not a Migrant,1,resident,strong,invertebrates,2,"-29,1","19,4449881","27,26854643","649,6773452","90,35973625",,
10035,Tinamiformes,Nothoprocta pentlandii,Nothoprocta pentlandii,Nothoprocta_pentlandii,"22,63301117",9,"2,478176754",111,0,Not a Migrant,1,resident,weak,plants,2,"-20,65","14,10884136","23,44247214","540,5739001","99,73835483",,
10036,Tinamiformes,Nothoprocta curvirostris,Nothoprocta curvirostris,Nothoprocta_curvirostris,"30,53920588",4,"2,575187845",18,0,Not a Migrant,1,resident,weak,omnivore,2,"-3,96","16,24347864","13,82344545","1394,866136","165,1078786",,
10037,Tinamiformes,Nothura boraquira,Nothura boraquira,Nothura_boraquira,"27,18612401",4,"2,451786436",154,0,Not a Migrant,1,resident,weak,omnivore,2,"-12,75","24,14335026","16,71878944","1009,447764","177,1344732",,
10038,Tinamiformes,Nothura minor,Nothura minor,Nothura_minor,"25,59463616",4,"2,219584526",102,0,Not a Migrant,1,resident,strong,omnivore,2,"-19,46","22,41024872","18,40963547","1459,598556","214,4967637",,
10039,Tinamiformes,Nothura darwinii,Nothura darwinii,Nothura_darwinii,"34,43469846",4,"2,388420941",130,0,Not a Migrant,1,resident,weak,invertebrates,2,"-30,21","14,81733556","27,5493142","525,3648757","82,3442328",,
10040,Tinamiformes,Nothura maculosa,Nothura maculosa,Nothura_maculosa,"27,33551998",4,"2,4107435",370,0,Not a Migrant,1,resident,strong,omnivore,2,"-26,25","19,82451678","22,02182159","1115,459841","131,3157945",,
10041,Tinamiformes,Nothura chacoensis,Nothura chacoensis,Nothura_chacoensis,"22,06236231",4,"2,354262145",16,0,Not a Migrant,1,resident,weak,omnivore,2,"-21,68","24,477465","22,070625","756,6215","96,9525345",,
10042,Tinamiformes,Taoniscus nanus,Taoniscus nanus,Taoniscus_nanus,"21,3910473",4,"1,633468456",59,0,Not a Migrant,1,resident,weak,omnivore,2,"-21,54","22,09125","19,972635","1292,526083","192,7257912",,
10043,Tinamiformes,Eudromia elegans,Eudromia elegans,Eudromia_elegans,"34,34742757",5,"2,846893543",147,0,Not a Migrant,1,resident,weak,omnivore,2,"-37,96","13,65264246","27,55754564","420,7790564","48,93757673",,
10044,Tinamiformes,Eudromia formosa,Eudromia formosa,Eudromia_formosa,"21,72562199",2,"2,888140164",36,0,Not a Migrant,1,resident,weak,omnivore,2,"-24,53","22,45822667","25,43022","702,4718667","109,2280944",,
10045,Tinamiformes,Tinamotis pentlandii,Tinamotis pentlandii,Tinamotis_pentlandii,"33,07942717",4,"2,812913357",74,0,Not a Migrant,1,resident,strong,plants,3,"-18,37","9,482658526","22,72692737","463,5373349","94,04860211",,
10046,Tinamiformes,Tinamotis ingoufi,Tinamotis ingoufi,Tinamotis_ingoufi,"35,98062748",2,"2,86332286",49,0,Not a Migrant,1,resident,strong,plants,3,"-47,08","7,683023231","21,77684923","425,3573846","33,13571708",,
10047,Struthioniformes,Struthio camelus,Struthio camelus,Struthio_camelus,"0,017409675",4,"5,045322979",919,"0,002176279",Not a Migrant,1,resident,none,plants,3,"3,8","24,71902771","23,76219717","443,5453523","108,7350245",,
10048,Struthioniformes,Struthio molybdophanes,Struthio molybdophanes,NA,"0,019858404",2,NA,NA,NA,Not a Migrant,1,resident,none,NA,3,NA,NA,NA,NA,NA,,
