"","species_name","ability_to_dive","GhAhSkew","fAn","fGn"
"Falco_sparverius","Falco_sparverius","Non-diving","0.488845194157379","0.132774725389499","0.380408552302578"
"Falco_subbuteo","Falco_subbuteo","Non-diving","0.595401508640481","0.104824416998064","0.41186890523042"
"Falco_tinnunculus","Falco_tinnunculus","Non-diving","0.715598769595846","0.073996087328172","0.444551477184615"
"Falcunculus_frontatus","Falcunculus_frontatus","Non-diving","0.35368547725453","0.13790419884637","0.290675945305019"
"Ficedula_albicollis","Ficedula_albicollis","Non-diving","0.609887225994543","0.105325822544661","0.422108081705237"
"Ficedula_zanthopygia","Ficedula_zanthopygia","Non-diving","0.495153357320565","0.134882844102882","0.390208649620286"
"Florisuga_fusca","Florisuga_fusca","Non-diving","0.55727350563708","0.111353297556306","0.396302984139678"
"Florisuga_mellivora","Florisuga_mellivora","Non-diving","0.553556711797818","0.113397207152176","0.394911479764149"
"Formicarius_rufipectus","Formicarius_rufipectus","Non-diving","0.46687164368763","0.119896250862535","0.326686383633983"
"Forpus_passerinus","Forpus_passerinus","Non-diving","0.615971436092196","0.0886480020925782","0.37603679702391"
"Fringilla_coelebs","Fringilla_coelebs","Non-diving","0.520629263284368","0.122043230633572","0.381990141662094"
"Fringilla_montifringilla","Fringilla_montifringilla","Non-diving","0.568098379787669","0.11122581265437","0.397590273925419"
"Furnarius_figulus","Furnarius_figulus","Non-diving","0.337029074064478","0.176385946267855","0.354346366548429"
"Gallinula_chloropus","Gallinula_chloropus","Gruiformes","0.538368044394211","0.110808052162325","0.364450317534899"
"Gallirallus_striatus","Gallirallus_striatus","Non-diving","0.407970656098121","0.141913628061564","0.337772989715164"
"Garrulax_albogularis","Garrulax_albogularis","Non-diving","0.533401686369499","0.122537294155839","0.394706773523297"
"Garrulax_canorus","Garrulax_canorus","Non-diving","0.540728179910669","0.121390717938666","0.398210613311409"
"Garrulax_formosus","Garrulax_formosus","Non-diving","0.471373892934408","0.13671819694382","0.377549372525977"
"Garrulax_perspicillatus","Garrulax_perspicillatus","Non-diving","0.54780662375218","0.118634894718579","0.410336332024485"
"Garrulax_poecilorhynchus","Garrulax_poecilorhynchus","Non-diving","0.45904303862174","0.14036976168558","0.380033874341329"
"Garrulax_sannio","Garrulax_sannio","Non-diving","0.599149181797193","0.105521730315678","0.416813812839687"
"Garrulus_glandarius","Garrulus_glandarius","Non-diving","0.303143003357931","0.165473905807999","0.311002785508765"
"Gavia_pacifica","Gavia_pacifica","Gaviiformes","0.549280315428633","0.11590316563667","0.39916307962313"
"Gavia_stellata","Gavia_stellata","Gaviiformes","0.575625464937048","0.110300234806876","0.408743333938752"
"Geococcyx_californianus","Geococcyx_californianus","Non-diving","0.557271230226851","0.10953396072022","0.385923754659264"
"Geopelia_cuneata","Geopelia_cuneata","Non-diving","0.506160538641457","0.128511592015718","0.394072380207297"
"Geospiza_magnirostris","Geospiza_magnirostris","Non-diving","0.612001264056418","0.103064951795433","0.431130164051771"
"Geotrygon_violacea","Geotrygon_violacea","Non-diving","0.436984212635626","0.145367833444473","0.363455522062856"
"Gerygone_igata","Gerygone_igata","Non-diving","0.482235302001302","0.136333339010536","0.38818002279464"
"Glaucidium_cuculoides","Glaucidium_cuculoides","Non-diving","0.676242226101284","0.0836537906997493","0.442372517705178"
"Glaucis_hirsutus","Glaucis_hirsutus","Non-diving","0.411611317350036","0.146221877835473","0.351935441148757"
"Gnorimopsar_chopi","Gnorimopsar_chopi","Non-diving","0.521128503956516","0.125967575971505","0.394266723080727"
"Goura_cristata","Goura_cristata","Non-diving","0.515777724741454","0.127751114259596","0.399887587979402"
"Goura_scheepmakeri","Goura_scheepmakeri","Non-diving","0.472250310757829","0.140147528773708","0.391250809792485"
"Goura_victoria","Goura_victoria","Non-diving","0.479739046219302","0.137471222135507","0.39110869625767"
"Gracula_religiosa","Gracula_religiosa","Non-diving","0.603322016264218","0.104293667153524","0.421077707866826"
"Grallaria_varia","Grallaria_varia","Non-diving","0.513838741150096","0.131659250293977","0.413168421347289"
"Grantiella_picta","Grantiella_picta","Non-diving","0.381987091045818","0.163182694275145","0.361197956340756"
"Grus_americana","Grus_americana","Non-diving","0.441565338300129","0.137218448583562","0.348191438869359"
"Grus_carunculatus","Grus_carunculatus","Non-diving","0.470104932424429","0.128926235932837","0.35559321509436"
"Grus_grus","Grus_grus","Non-diving","0.449021919367582","0.136194726981904","0.353317560184123"
"Grus_japonensis","Grus_japonensis","Non-diving","0.437303708719384","0.134558241726604","0.347143628235893"
"Grus_leucogeranus","Grus_leucogeranus","Non-diving","0.498522599293295","0.12313444053111","0.369219535524892"
"Grus_monacha","Grus_monacha","Non-diving","0.455533534161835","0.133070351129018","0.354159164842438"
"Grus_nigricollis","Grus_nigricollis","Non-diving","0.447238712279252","0.136031545604816","0.353298625360027"
"Grus_paradisea","Grus_paradisea","Non-diving","0.452831123988693","0.133278779653621","0.350869858131875"
"Grus_virgo","Grus_virgo","Non-diving","0.491308655370863","0.12375925562047","0.361150210669517"
"Guaruba_guarouba","Guaruba_guarouba","Non-diving","0.451427640432821","0.133230918215436","0.362879210318929"
"Gymnomystax_mexicanus","Gymnomystax_mexicanus","Non-diving","0.519523074070173","0.12141495456778","0.375698234461446"
"Gymnorhina_tibicen","Gymnorhina_tibicen","Non-diving","0.432061997640363","0.132509369082058","0.331919300362749"
"Halcyon_coromanda","Halcyon_coromanda","Coraciiformes","0.580408349832874","0.109413908835628","0.407203468811995"
"Halcyon_senegalensis","Halcyon_senegalensis","Coraciiformes","0.551838552698905","0.120412057065019","0.40798809543054"
"Halcyon_smyrnensis","Halcyon_smyrnensis","Coraciiformes","0.597271987382842","0.102960532155521","0.408548143794916"
"Haliaeetus_albicilla","Haliaeetus_albicilla","Non-diving","0.601582481406526","0.104416120126919","0.425781678416706"
"Heliodoxa_aurescens","Heliodoxa_aurescens","Non-diving","0.539827302776264","0.117695469059108","0.404070738452969"
"Heliornis_fulica","Heliornis_fulica","Gruiformes","0.258438153488595","0.156406085715237","0.26689935914231"
"Hemignathus_flavus","Hemignathus_flavus","Non-diving","0.398896944829734","0.151227436103038","0.345875599975971"
"Hemiphaga_novaeseelandiae","Hemiphaga_novaeseelandiae","Non-diving","0.491699745954169","0.129780709167224","0.375178766052124"
"Henicorhina_leucosticta","Henicorhina_leucosticta","Non-diving","0.513404387175889","0.129094035257333","0.401859628748075"
"Herpetotheres_cachinnans","Herpetotheres_cachinnans","Non-diving","0.543479013934646","0.122157797539325","0.411204791145606"
"Himatione_sanguinea","Himatione_sanguinea","Non-diving","0.426775655364551","0.146223827128917","0.361322327969349"
"Hirundo_aethiopica","Hirundo_aethiopica","Non-diving","0.419094889455045","0.132863485224205","0.321206122150174"
"Hirundo_albigularis","Hirundo_albigularis","Non-diving","0.465267756577188","0.118647273470747","0.332361074780423"
"Hirundo_angolensis","Hirundo_angolensis","Non-diving","0.414839318026074","0.132339019622932","0.317564444965313"
"Hirundo_atrocaerulea","Hirundo_atrocaerulea","Non-diving","0.444938535766584","0.12009445778761","0.312291343870971"
"Hirundo_dimidiata","Hirundo_dimidiata","Non-diving","0.456114458523969","0.121360352661763","0.327709910639003"
"Hirundo_neoxena","Hirundo_neoxena","Non-diving","0.541206957706412","0.101602388241184","0.348635145255189"
"Hirundo_nigrita","Hirundo_nigrita","Non-diving","0.482025251203749","0.114186646125806","0.331530006715415"
