"","species_name","ability_to_fly","GhAhSkew","fAn","fGn"
"Haliaeetus_albicilla","Haliaeetus_albicilla","Flying","0.601582481406526","0.104416120126919","0.425781678416706"
"Heliodoxa_aurescens","Heliodoxa_aurescens","Flying","0.539827302776264","0.117695469059108","0.404070738452969"
"Heliornis_fulica","Heliornis_fulica","Flying","0.258438153488595","0.156406085715237","0.26689935914231"
"Hemignathus_flavus","Hemignathus_flavus","Flying","0.398896944829734","0.151227436103038","0.345875599975971"
"Hemiphaga_novaeseelandiae","Hemiphaga_novaeseelandiae","Flying","0.491699745954169","0.129780709167224","0.375178766052124"
"Henicorhina_leucosticta","Henicorhina_leucosticta","Flying","0.513404387175889","0.129094035257333","0.401859628748075"
"Herpetotheres_cachinnans","Herpetotheres_cachinnans","Flying","0.543479013934646","0.122157797539325","0.411204791145606"
"Himantopus_himantopus","Himantopus_himantopus","Flying","0.513753407563852","0.114704823788053","0.355469106777272"
"Himatione_sanguinea","Himatione_sanguinea","Flying","0.426775655364551","0.146223827128917","0.361322327969349"
"Hirundo_aethiopica","Hirundo_aethiopica","Flying","0.419094889455045","0.132863485224205","0.321206122150174"
"Hirundo_albigularis","Hirundo_albigularis","Flying","0.465267756577188","0.118647273470747","0.332361074780423"
"Hirundo_angolensis","Hirundo_angolensis","Flying","0.414839318026074","0.132339019622932","0.317564444965313"
"Hirundo_atrocaerulea","Hirundo_atrocaerulea","Flying","0.444938535766584","0.12009445778761","0.312291343870971"
"Hirundo_dimidiata","Hirundo_dimidiata","Flying","0.456114458523969","0.121360352661763","0.327709910639003"
"Hirundo_neoxena","Hirundo_neoxena","Flying","0.541206957706412","0.101602388241184","0.348635145255189"
"Hirundo_nigrita","Hirundo_nigrita","Flying","0.482025251203749","0.114186646125806","0.331530006715415"
"Hirundo_smithii","Hirundo_smithii","Flying","0.473964396378088","0.115562122089421","0.328798144859073"
"Hirundo_tahitica","Hirundo_tahitica","Flying","0.480885489680034","0.116515500045043","0.336959701606366"
"Hydrophasianus_chirurgus","Hydrophasianus_chirurgus","Flying","0.468685821735192","0.136593301952419","0.371489978140281"
"Hylia_prasina","Hylia_prasina","Flying","0.573670977126124","0.0983916183956231","0.360246647672425"
"Hyliota_flavigaster","Hyliota_flavigaster","Flying","0.35855936749536","0.165729517976377","0.347958936171341"
"Hylocharis_cyanus","Hylocharis_cyanus","Flying","0.490301161274145","0.127812200047667","0.372278016756513"
"Hypocryptadius_cinnamomeus","Hypocryptadius_cinnamomeus","Flying","0.582041645813116","0.0949033698863454","0.354274272687761"
"Ifrita_kowaldi","Ifrita_kowaldi","Flying","0.351430077058703","0.158788613902246","0.320857982628765"
"Indicator_maculatus","Indicator_maculatus","Flying","0.441633226960662","0.173534081328861","0.449212110071292"
"Indicator_xanthonotus","Indicator_xanthonotus","Flying","0.267725714391739","0.215343251864186","0.369844669015655"
"Irena_cyanogastra","Irena_cyanogastra","Flying","0.567499990857978","0.102793202535829","0.36469950150463"
"Ixobrychus_cinnamomeus","Ixobrychus_cinnamomeus","Flying","0.411040960015618","0.155496127612735","0.365731362300023"
"Ixobrychus_eurhythmus","Ixobrychus_eurhythmus","Flying","0.361758712323321","0.16695785546946","0.349861134859974"
"Ixobrychus_flavicollis","Ixobrychus_flavicollis","Flying","0.372647597411211","0.16038075126232","0.347833873143213"
"Ixobrychus_sinensis","Ixobrychus_sinensis","Flying","0.4088897657441","0.156109244355895","0.363535348278598"
"Jacana_jacana","Jacana_jacana","Flying","0.465768885006603","0.138647123272009","0.382403358623938"
"Jacana_spinosa","Jacana_spinosa","Flying","0.470269591229124","0.137153016770579","0.383983183117986"
"Jynx_ruficollis","Jynx_ruficollis","Flying","0.30818408996504","0.213440072405719","0.400457539872143"
"Jynx_torquilla","Jynx_torquilla","Flying","0.285311933047396","0.213944423193656","0.386445290798538"
"Lanius_cristatus","Lanius_cristatus","Flying","0.284207383698621","0.160377071523336","0.288391828427274"
"Lanius_ludovicianus","Lanius_ludovicianus","Flying","0.317393245951494","0.15606544385065","0.295763420045537"
"Lanius_schach","Lanius_schach","Flying","0.256103870279628","0.168656778399711","0.288355520136053"
"Lanius_tephronotus","Lanius_tephronotus","Flying","0.271508172096973","0.164799133809308","0.292213164726457"
"Lanius_tigrinus","Lanius_tigrinus","Flying","0.323212331196793","0.156143377621409","0.306919270827475"
