"MusYoungAhGhDownSampledSlopes" "MusYoungChThDownSampledSlopes" "MusOldAhGhDownSampledSlopes" "MusOldChThDownSampledSlopes" "HumanAhGhDownSampledSlopes" "HumanChThDownSampledSlopes"
"50" 6.34828188701222e-09 2.3733255678509e-08 7.97903319743739e-09 5.60279557367501e-08 2.01020408163265e-07 5.22704081632654e-07
"51" 2.30052417006406e-09 1.01630751310425e-08 8.29935934769946e-09 5.23587652882936e-08 1.29591836734694e-07 4.19387755102041e-07
"52" 6.14443797320908e-09 3.19161327897495e-08 3.4944670937682e-09 9.31275480489226e-08 1.98469387755102e-07 4.73214285714286e-07
"53" -1.01921956901572e-09 4.71170646476413e-08 7.51310425160162e-09 8.93127548048923e-08 1.63520408163265e-07 4.1045918367347e-07
"54" 2.64997087944088e-09 2.21316249271986e-08 1.36575422248107e-08 9.24286546301689e-08 2.49744897959184e-07 4.33163265306122e-07
"55" 1.57251019219569e-09 4.26616191030868e-08 1.21432731508445e-08 8.47990681421084e-08 1.15561224489796e-07 6.03826530612245e-07
"56" 2.64997087944088e-09 4.10599883517764e-08 1.20559114735003e-08 6.12987769365172e-08 9.28571428571429e-08 5.2780612244898e-07
"57" 2.62085032032614e-10 5.18054746651136e-08 2.07047175305766e-08 5.88817705299942e-08 2.12755102040817e-07 5.95408163265306e-07
"58" 1.60163075131042e-09 2.87419918462435e-08 1.3511939429237e-08 9.84274898078045e-08 7.19387755102043e-08 5.17346938775511e-07
"59" 5.29994175888176e-09 2.50436808386721e-08 -8.73616773441988e-11 7.42574257425742e-08 9.84693877551022e-08 4.35714285714286e-07
"60" -6.11531741409438e-10 1.61910308677927e-08 1.6598718695399e-08 5.07280139778683e-08 8.46938775510206e-08 6.05357142857143e-07
"61" 1.04834012813046e-09 3.08677926616191e-08 -5.53290623179969e-10 5.23005241700641e-08 1.88520408163265e-07 5.14540816326531e-07
"62" -4.25160163075131e-09 4.05940594059406e-08 2.14327315084449e-08 7.91496796738498e-08 1.60969387755102e-07 4.51020408163266e-07
"63" -9.02737332556781e-10 3.41292952824695e-08 1.79965055329062e-08 1.03669190448457e-07 6.76020408163267e-08 5.58163265306123e-07
"64" 5.70762958648805e-09 3.66919044845661e-08 1.43564356435643e-08 7.84507862550962e-08 2.09438775510204e-07 4.60204081632653e-07
"65" 2.30052417006406e-09 3.43331391962726e-08 1.31333721607455e-08 5.25626092020967e-08 7.49999999999999e-08 5.26020408163265e-07
"66" 1.86371578334304e-09 3.04601048340128e-08 1.01921956901573e-09 6.02504368083867e-08 1.59948979591837e-07 5.89795918367347e-07
"67" 2.24228305183459e-09 4.63308095515434e-08 1.58998252766453e-08 6.16773442050087e-08 1.61479591836735e-07 6.6530612244898e-07
"68" -5.53290623179964e-10 4.07105416423995e-08 1.1648223645894e-08 8.06930693069307e-08 2.07397959183674e-07 4.05357142857144e-07
"69" 1.16482236458937e-10 4.23121723937099e-08 3.23238206173558e-09 7.9237041351194e-08 1.73979591836735e-07 5.33673469387755e-07
"70" 8.15375655212579e-10 2.42574257425742e-08 1.68899242865463e-08 4.83401281304601e-08 1.57142857142857e-07 4.88265306122449e-07
"71" 4.65928945835759e-09 3.10425160163075e-08 2.01514269073966e-08 5.67268491555038e-08 1.78061224489796e-07 4.47704081632653e-07
"72" 4.42632498543971e-09 4.24577751892836e-08 1.41234711706465e-08 6.41234711706466e-08 1.42091836734694e-07 4.15816326530612e-07
"73" 2.50436808386721e-09 4.04775771694817e-08 9.78450786255095e-09 6.19685497961562e-08 1.81632653061225e-07 6.32397959183674e-07
"74" -1.16482236458945e-10 4.35643564356436e-08 8.64880605707628e-09 9.42341292952825e-08 1.15051020408163e-07 4.93112244897959e-07
"75" 3.72743156668607e-09 3.20034944670938e-08 1.76761793826441e-08 9.03028538147933e-08 1.44387755102041e-07 5.31122448979592e-07
"76" -1.16482236458939e-09 4.45544554455445e-08 9.5806639487478e-09 8.30518345952243e-08 2.21428571428571e-07 4.35204081632653e-07
"77" 1.01921956901572e-09 3.25859056493885e-08 1.0221316249272e-08 7.59464181712289e-08 1.9030612244898e-07 4.91836734693878e-07
"78" 1.45602795573675e-10 3.36633663366337e-08 -1.28130460104834e-09 8.97204426324986e-08 1.38775510204082e-07 4.01020408163266e-07
"79" -1.2521840419336e-09 5.75131042516017e-08 4.42632498543972e-09 5.08153756552126e-08 1.71428571428572e-07 5.06632653061224e-07
"80" -5.53290623179964e-10 5.5387303436226e-08 1.51718112987769e-08 7.33546884100176e-08 1.31122448979592e-07 4.73214285714286e-07
"81" -2.27140361094933e-09 3.97204426324985e-08 8.8235294117647e-09 6.9569015725102e-08 1.07142857142857e-07 5.83928571428572e-07
"82" -2.03843913803144e-10 5.20966802562609e-08 3.34886429819453e-09 7.53931275480489e-08 1.3469387755102e-07 5.83928571428572e-07
"83" 3.90215492137449e-09 2.1753057658707e-08 1.54047757716948e-08 8.17414094350612e-08 1.4719387755102e-07 3.82397959183673e-07
"84" 2.5043680838672e-09 5.43098427489808e-08 1.39487478159581e-08 5.6930693069307e-08 1.8265306122449e-07 4.74234693877551e-07
"85" 5.88235294117646e-09 4.12929528246943e-08 1.02504368083867e-08 4.4612696563774e-08 2.08163265306123e-07 3.69132653061225e-07
"86" -1.45602795573675e-10 2.25101921956902e-08 8.96913220733837e-09 5.40477577169481e-08 1.18877551020408e-07 5.34183673469388e-07
"87" 3.31974373907978e-09 4.0768782760629e-08 1.54630168899243e-08 7.82178217821784e-08 1.50255102040817e-07 4.91836734693878e-07
"88" 2.62085032032615e-10 2.40535818287711e-08 1.1211415259173e-08 8.73034362259755e-08 1.6045918367347e-07 4.49234693877551e-07
"89" 2.62085032032615e-09 4.42923704135119e-08 1.34245777518928e-08 4.72335468841002e-08 1.53061224489796e-07 5.39795918367347e-07
"90" 2.27140361094933e-09 5.84158415841584e-08 9.63890506697727e-09 7.16656959813629e-08 1.67091836734694e-07 4.17857142857143e-07
"91" 1.60163075131042e-09 4.95049504950495e-08 2.49271986022132e-08 7.04717530576588e-08 2.68622448979592e-07 1.61479591836735e-07
"92" 1.60163075131042e-09 2.98194525334887e-08 1.0221316249272e-08 8.96039603960397e-08 2.00765306122449e-07 6.04846938775511e-07
"93" -2.3296447291788e-09 2.21025043680839e-08 8.09551543389632e-09 6.03669190448457e-08 1.46683673469388e-07 5.19132653061225e-07
"94" -5.18345952242282e-09 3.83226557949913e-08 2.12580081537565e-08 5.75422248107164e-08 1.84183673469388e-07 4.02040816326531e-07
"95" 1.01921956901573e-09 3.1537565521258e-08 1.77344205008736e-08 6.40069889341875e-08 1.03571428571429e-07 4.3469387755102e-07
"96" 5.88235294117646e-09 3.99534071054164e-08 1.65695981362842e-08 7.60337798485732e-08 6.53061224489796e-08 4.43877551020408e-07
"97" 1.42690739662201e-09 3.61968549796156e-08 1.70646476412347e-08 3.94874781595807e-08 1.63265306122449e-07 3.36224489795918e-07
"98" 3.64006988934187e-09 3.16249271986022e-08 1.98602213162492e-08 5.76004659289458e-08 1.7015306122449e-07 5.98214285714286e-07
"99" 2.70821199767035e-09 2.37623762376238e-08 1.44437973209085e-08 8.8905066977286e-08 2.57908163265306e-07 4.99234693877551e-07
"100" 2.82469423412929e-09 4.49912638322656e-08 7.97903319743738e-09 8.43913803145022e-08 1.46428571428572e-07 6.74489795918368e-07
