"","species_name","med_c","med_a","realm"
"86","Aythya americana",0.846602209944751,0.855764473033152,"Nearctic"
"87","Aythya baeri",0.854071690354876,0.861605107159143,"Palearctic"
"88","Aythya ferina",0.857773109243698,0.853795560427514,"Palearctic"
"89","Aythya fuligula",0.861630434782609,0.859054857898215,"Palearctic"
"90","Balearica pavonina",0.762857142857143,0.92358803986711,"Afrotropic"
"91","Balearica regulorum",0.747277491197904,0.921855921855922,"Afrotropic"
"92","Bambusicola fytchii",0.776904412364407,0.882746126936532,"Indo_Malay"
"93","Bambusicola thoracicus",0.775412206491713,0.919099378881988,"Palearctic"
"94","Bombycilla garrulus",0.68868330464716,0.933602347762289,"Palearctic"
"95","Botaurus stellaris",0.77168284789644,0.939284662937886,"Palearctic"
"96","Brachypteracias leptosomus",0.808573650831638,0.944126819126819,"Madagascar"
"97","Branta canadensis",0.807639602603631,0.874179655455291,"Nearctic"
"98","Brotogeris cyanoptera",0.834142394822006,0.931217973985022,"Neotropic"
"99","Bubo bubo",0.852813852813853,0.905162738496072,"Palearctic"
"100","Bubulcus ibis",0.725243506493507,0.926393188854489,"Afrotropic"
"101","Bucco capensis",0.841156923473997,0.941176470588235,"Neotropic"
"102","Buceros bicornis",0.768418201516793,0.923219086021505,"Indo_Malay"
"103","Buphagus erythrorhynchus",0.788381072102002,0.860607008760951,"Afrotropic"
"104","Burhinus bistriatus",0.8,0.916594641313742,"Neotropic"
"105","Buteo buteo",0.796891124871001,0.944055944055944,"Palearctic"
"106","Butorides striata",0.733995956873315,0.957027670881437,"Afrotropic"
"107","Bycanistes brevis",0.823515325670498,0.902941176470588,"Afrotropic"
"108","Cacatua moluccensis",0.766246602421547,0.886229359188002,"Australian"
"109","Cacatua pastinator",0.742909539891782,0.871988795518207,"Australian"
"110","Cairina moschata",0.8472362038986,0.78604118993135,"Neotropic"
"111","Calandrella cinerea",0.857817355964619,0.939913078633515,"Afrotropic"
"112","Calcarius ornatus",0.828129616862011,0.922619047619048,"Nearctic"
"113","Calidris ruficollis",0.712684475994769,0.931372549019608,"Palearctic"
"114","Calidris tenuirostris",0.707840570551593,0.942692939244663,"Palearctic"
"115","Callaeas cinereus",0.790243611177454,0.905252659574468,"Australian"
"116","Callipepla squamata",0.790121951219512,0.936048761609907,"Nearctic"
"117","Calliphlox amethystina",0.779996336325334,0.910532137151284,"Neotropic"
"118","Caloenas nicobarica",0.706487061325771,0.903126628452319,"Australian"
"119","Caloperdix oculeus",0.738340008900757,0.91941094619666,"Indo_Malay"
"120","Calyptorhynchus lathami",0.695496842804919,0.924580627705628,"Australian"
"121","Campephilus guatemalensis",0.787443933458241,0.884478935698448,"Neotropic"
"122","Campephilus imperialis",0.812407407407407,0.876581919836803,"Nearctic"
