Species,Class,Taxonomy,NeutralA,NeutralT,NeutralG,NeutralC,FrA,FrT,FrG,FrC,Phenotype
Ciconia_nigra,Aves,Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Archelosauria_Archosauria_Dinosauria_Saurischia_Theropoda_Coelurosauria_Aves_Neognathae_Ciconiiformes_Ciconiidae_Ciconia,796,230,78,843,0.408834103749358,0.118130457113508,0.0400616332819723,0.432973805855162,,"FM"
Cnemotriccus_fuscatus,Aves,Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Archelosauria_Archosauria_Dinosauria_Saurischia_Theropoda_Coelurosauria_Aves_Neognathae_Passeriformes_Tyrannidae_Cnemotriccus,737,502,67,607,0.385258755880815,0.262415054887611,0.0350235232618923,0.317302665969681,,"TROPIC"
Copsychus_saularis,Aves,Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Archelosauria_Archosauria_Dinosauria_Saurischia_Theropoda_Coelurosauria_Aves_Neognathae_Passeriformes_Muscicapidae_Copsychus,751,253,111,835,0.385128205128205,0.12974358974359,0.0569230769230769,0.428205128205128,,"TROPIC"
Corvus_hawaiiensis,Aves,Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Archelosauria_Archosauria_Dinosauria_Saurischia_Theropoda_Coelurosauria_Aves_Neognathae_Passeriformes_Corvoidea_Corvidae_Corvus,836,317,114,594,0.449220849005911,0.170338527673294,0.061257388500806,0.319183234819989,,"TROPIC"
Corvus_splendens,Aves,Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Archelosauria_Archosauria_Dinosauria_Saurischia_Theropoda_Coelurosauria_Aves_Neognathae_Passeriformes_Corvoidea_Corvidae_Corvus,850,314,114,620,0.447839831401475,0.165437302423604,0.0600632244467861,0.326659641728135,,"TROPIC"
Coturnicops_exquisitus,Aves,Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Archelosauria_Archosauria_Dinosauria_Saurischia_Theropoda_Coelurosauria_Aves_Neognathae_Gruiformes_Rallidae_Coturnicops,941,209,69,593,0.519315673289183,0.115342163355408,0.0380794701986755,0.327262693156733,,"FM"
Coturnix_japonica,Aves,Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Archelosauria_Archosauria_Dinosauria_Saurischia_Theropoda_Coelurosauria_Aves_Neognathae_Galloanserae_Galliformes_Phasianidae_Perdicinae_Coturnix,840,273,44,763,0.4375,0.1421875,0.0229166666666667,0.397395833333333,,"FM"
Crax_daubentoni,Aves,Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Archelosauria_Archosauria_Dinosauria_Saurischia_Theropoda_Coelurosauria_Aves_Neognathae_Galloanserae_Galliformes_Cracidae_Crax,769,275,104,808,0.393149284253579,0.140593047034765,0.0531697341513292,0.413087934560327,,"TROPIC"
Crax_rubra,Aves,Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Archelosauria_Archosauria_Dinosauria_Saurischia_Theropoda_Coelurosauria_Aves_Neognathae_Galloanserae_Galliformes_Cracidae_Crax,766,270,102,822,0.390816326530612,0.137755102040816,0.0520408163265306,0.419387755102041,,"TROPIC"
Crossoptilon_auritum,Aves,Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Archelosauria_Archosauria_Dinosauria_Saurischia_Theropoda_Coelurosauria_Aves_Neognathae_Galloanserae_Galliformes_Phasianidae_Phasianinae_Crossoptilon,773,294,97,797,0.394186639469658,0.149923508414074,0.0494645588985212,0.406425293217746,,"HI"
