Binomial,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Beak_PC1,Beak_PC2,Beak_PC3,Beak_PC4,Realm,TrophicLevel,TrophicNiche,ForagingNiche
Acanthorhynchus_tenuirostris,"-1,742468581","-0,5627498354","0,4245987868","-0,9235411554","0,2456842596","0,02609720925","-0,04959051115","0,09998026626","-0,04973141312","-0,5966668069","1,127890327","-0,0591213037","0,09168617149",Australian,Omnivore,Nectarivore,Nectarivore glean
Acanthornis_magna,"-2,143077407","0,155987353","0,2722248595","-0,2728995537","0,3900543095","-0,04742172412","-0,06215138201","-0,03179406089","0,002075152945","-1,199925997","0,3519332624","-0,09868409067","-0,02600233685",Australian,Carnivore,Invertivore,Generalist
Accipiter_albogularis,"2,531797937","0,2905402061","-0,5580346304","-0,02768685893","0,3503926175","0,08132009623","-0,02624905317","-0,2188402768","-0,03634914329","1,116135077","-0,4932690864","-0,03538079208","-0,002416962842",Australian,Carnivore,Vertivore,Vertivore perch
Accipiter_badius,"1,540108088","0,4290298338","-0,6448788187","0,0400915228","0,1843074664","0,05464050617","-0,04245577245","-0,173171302","-0,006139639237","0,5243403818","-0,6144355614","-0,04381595457","-0,02019156596",Afrotropic,Carnivore,Vertivore,Vertivore perch
Accipiter_bicolor,"2,566734039","0,5817602312","-0,5940112722","-0,1404648774","0,2652349467","0,02784015061","-0,05515633041","-0,0424413516","-0,00170471181","0,8589805436","-0,5036290373","-0,07672765296","-0,06853707974",Neotropic,Carnivore,Vertivore,Vertivore perch
Accipiter_brachyurus,"1,770885702","0,4271161517","-0,54610553","-0,04018605255","0,4753943485","0,1242162084","-0,03043653484","-0,2470383425","-0,05570293232","0,6485078607","-0,5069607337","-0,0446945515","0,01250984707",Australian,Carnivore,Vertivore,Vertivore perch
Accipiter_brevipes,"1,867830507","0,6050500444","-0,551425595","-0,02616725138","0,08043821418","0,05710779811","-0,02219415758","-0,2324024754","-0,03260428148","0,4984183533","-0,5722740354","-0,01573623866","-0,03111489209",Palearctic,Carnivore,Vertivore,Vertivore air to surface
Accipiter_butleri,"2,112369443","0,850678836","-0,1119385646","0,2245344895","0,03117108076","-0,2189293663","-0,253798898","-0,03696356565","-0,1319683551","0,3758013132","-0,5193699909","-0,2762651237","0,0008956304158",Indo_Malay,Carnivore,Vertivore,Vertivore perch
Accipiter_castanilius,"1,613864557","0,5943872675","-0,4612387172","0,09256950322","0,3242172837","-0,08976102105","-0,01581582959","-0,1515261585","-0,04245886399","0,4241643426","-0,5802777697","-0,044707254","-0,04234024441",Afrotropic,Carnivore,Vertivore,Vertivore perch
Accipiter_chilensis,"2,493683141","0,8984205833","-0,3411793579","-0,09322325052","0,08497931199","-0,1085444033","-0,1077441647","-0,09707913623","-0,08006728546","0,5070177675","-0,4716516006","-0,1261081694","-0,05682222149",Neotropic,Carnivore,Vertivore,Vertivore perch
Accipiter_chionogaster,"2,096525242","1,030565918","-0,1622154058","0,1401232382","0,01949378785","-0,1705590302","-0,04122759916","-0,1229865154","-0,1239342547","0,2148130339","-0,5541640515","-0,060419059","-0,04427902706",Neotropic,Carnivore,Vertivore,Vertivore perch
Accipiter_cirrocephalus,"1,733494561","0,8161241564","-0,5329398327","-0,1073293919","0,3312049645","0,05616140302","0,01766505856","-0,2842402658","-0,0373226083","0,2794121786","-0,5698476612","0,002098289242","-0,06592798772",Australian,Carnivore,Vertivore,Generalist
Accipiter_collaris,"2,088517443","0,8106105369","-0,1745270273","0,3510749332","-0,07964952703","-0,2213095584","0,01130978064","-0,07699066856","-0,1079527869","0,4197873732","-0,6389201966","-0,003878943953","-0,03345295532",Neotropic,Carnivore,Vertivore,Vertivore perch
Accipiter_cooperii,"2,773160486","0,8128949348","-0,3687257798","-0,08166036923","0,1173928433","-0,1187192324","-0,1446774743","-0,1229298025","-0,05264744022","0,7274374647","-0,4812163608","-0,1656610973","-0,07461471115",Nearctic,Carnivore,Vertivore,Generalist
Accipiter_erythrauchen,"1,757871175","0,5905594023","-0,5657097432","-0,03924217889","0,401366271","-0,007679598821","-0,01006768463","-0,2381766672","-0,05005330915","0,5003224077","-0,5663868736","-0,03238622347","-0,02761697879",Australian,Carnivore,Vertivore,Vertivore perch
Accipiter_erythronemius,"1,239367536","0,8574840078","-0,4453017172","-0,06150278185","0,2595676832","0,1042077777","-0,03046318775","-0,1461271297","-0,05118415661","-0,01575886105","-0,5331511108","-0,04247551941","-0,03766223879",Neotropic,Carnivore,Vertivore,Vertivore perch
Accipiter_erythropus,"1,036716254","0,659860268","-0,3518402139","0,2069043541","0,2383707983","0,07189616332","-0,02083004871","-0,1302128899","-0,04525559819","0,08491621498","-0,5978435476","-0,03311764024","-0,01957519486",Afrotropic,Carnivore,Vertivore,Vertivore perch
Accipiter_fasciatus,"2,832043367","0,6219788685","-0,5292060145","-0,1235306059","0,2932429943","0,009244512726","-0,008123760498","-0,2689701433","-0,1276887234","0,9515053431","-0,5136802863","-0,01560650183","0,0254417501",Australian,Carnivore,Vertivore,Vertivore perch
Accipiter_francesiae,"1,532667002","0,4670271076","-0,5254537093","0,08206038316","0,328629389","-0,03703940861","0,04753243256","-0,1784535783","-0,08579676232","0,4937613353","-0,5763509841","0,03026627506","0,02084521369",Madagascar,Carnivore,Invertivore,Invertivore sally surface
Accipiter_gentilis,"3,841683234","0,6524764064","-0,4120227645","-0,1247421646","0,06199440773","-0,02727588241","-0,0996305155","-0,1228861447","-0,03235315871","1,368760025","-0,4508066717","-0,1094063043","-0,08142758239",Palearctic,Carnivore,Vertivore,Vertivore perch
Accipiter_griseiceps,"2,167776913","0,5053434183","-0,3287991153","0,0836513049","0,1895087267","-0,0685189717","-0,06027035811","-0,09688498192","-0,07457119751","0,7203939786","-0,4659525456","-0,07761067527","-0,007205018608",Australian,Carnivore,Vertivore,Vertivore perch
Accipiter_gularis,"1,169990442","0,5810549131","-0,2301040279","0,05042306315","0,1837023793","0,03523803782","-0,03133560949","-0,1541728617","0,2336843369","0,189747254","-0,400786356","-0,0649619128","-0,3009127152",Palearctic,Carnivore,Vertivore,Vertivore perch
Accipiter_gundlachi,"3,245393597","0,8858620938","-0,3254558847","-0,02123371673","0,148065975","-0,3460229803","-0,2687760864","-0,1039805696","-0,133374623","0,8965325775","-0,5213071631","-0,3058440609","-0,0307887716",Neotropic,Carnivore,Vertivore,Generalist
Accipiter_haplochrous,"2,140463026","0,4974734275","-0,5816944011","-0,0154842576","0,3354652583","0,115405788","-0,04133543881","-0,2060280321","-0,02077744303","0,7611461191","-0,5702646235","-0,05102006","-0,02775597818",Australian,Carnivore,Vertivore,Vertivore perch
Accipiter_henicogrammus,"2,690813719","0,5382784848","-0,4578966938","-0,08303030224","0,277468441","-0,07523844231","-0,02627618225","-0,1756820062","-0,03410475013","0,9526119636","-0,4608423524","-0,05047703255","-0,0630274129",Australian,Carnivore,Vertivore,Vertivore perch
Accipiter_henstii,"3,913729309","0,7968913697","-0,3543902614","-0,04278731748","0,06615766884","-0,217798059","-0,04192311648","-0,05738882264","-0,07215517182","1,286017984","-0,5052490455","-0,07122017464","-0,09102853317",Madagascar,Carnivore,Vertivore,Vertivore perch
Accipiter_imitator,"2,170504798","0,3339500553","-0,417280353","-0,08776399059","0,1775465298","-0,0527296987","-0,03025513518","-0,1167026566","-0,07488222819","0,8403368886","-0,353617988","-0,03965043487","0,01455295002",Australian,Carnivore,Vertivore,Vertivore perch
Accipiter_luteoschistaceus,"2,05509325","0,3554390118","-0,2776296838","-0,08766890156","0,2278401213","-0,06967625748","-0,1245653015","-0,1246116978","-0,08259546123","0,7542828206","-0,2705256108","-0,1400009397","0,01611838041",Australian,Carnivore,Vertivore,Vertivore perch
Accipiter_madagascariensis,"1,728400527","0,8434737052","-0,4292715245","-0,08621573769","0,3063175606","-0,01776858871","-0,01282040741","-0,1702857357","-0,05050856597","0,233421261","-0,5125084163","-0,0382449606","-0,06556052777",Madagascar,Carnivore,Vertivore,Vertivore perch
Accipiter_melanochlamys,"2,488617893","0,4520187925","-0,5568902434","0,04859462277","0,312274253","0,04287026308","0,03205487762","-0,2101609997","-0,0618027856","0,9688909895","-0,5904998129","0,02099339999","-0,003744811899",Australian,Carnivore,Vertivore,Vertivore perch
