Species Class
166 Boleophthalmus_pectinirostris Actinopterygii
167 Bolomys_lasiurus Mammalia
168 Bombina_bombina Amphibia
169 Bombina_maxima Amphibia
170 Bombina_orientalis Amphibia
171 Bombina_variegata Amphibia
172 Boops_boops Actinopterygii
173 Boreogadus_saida Actinopterygii
174 Bos_frontalis Mammalia
175 Bos_gaurus Mammalia
176 Bos_grunniens Mammalia
177 Bos_indicus Mammalia
178 Bos_javanicus Mammalia
179 Bos_primigenius Mammalia
180 Bos_taurus Mammalia
181 Botia_lohachata Actinopterygii
182 Brachyhypopomus_occidentalis Actinopterygii
183 Brachymystax_lenok Actinopterygii
184 Brachyphylla_cavernarum Mammalia
185 Brachyrhaphis_rhabdophora Actinopterygii
186 Brama_brama Actinopterygii
187 Branchiostoma_belcheri Branchiostomidae
188 Branchiostoma_floridae Branchiostomidae
189 Branchiostoma_lanceolatum Branchiostomidae
190 Brienomyrus_sp. Actinopterygii
191 Brotogeris_cyanoptera Aves
192 Bubalus_bubalis Mammalia
193 Bubalus_depressicornis Mammalia
194 Budorcas_taxicolor Mammalia
195 Bungarus_candidus Reptilia
196 Bungarus_fasciatus Reptilia
197 Bungarus_multicinctus Reptilia
198 Cacajao_calvus Mammalia
199 Caiman_crocodilus Reptilia
200 Calliope_calliope Aves
201 Callithrix_geoffroyi Mammalia
202 Callithrix_jacchus Mammalia
203 Callosciurus_erythraeus Mammalia
204 Calomys_callosus Mammalia
205 Calomys_expulsus Mammalia
206 Camelus_bactrianus Mammalia
207 Camelus_dromedarius Mammalia
208 Campostoma_anomalum Actinopterygii
209 Campostoma_oligolepis Actinopterygii
210 Campostoma_ornatum Actinopterygii
211 Campylomormyrus_compressirostris Actinopterygii
212 Campylomormyrus_numenius Actinopterygii
213 Candidia_barbatus Actinopterygii
214 Canis_aureus Mammalia
215 Canis_latrans Mammalia
216 Canis_lupus Mammalia
217 Capoeta_damascina Actinopterygii
218 Capra_aegagrus Mammalia
219 Capra_caucasica Mammalia
220 Capra_cylindricornis Mammalia
221 Capra_falconeri Mammalia
222 Capra_hircus Mammalia
223 Capra_sibirica Mammalia
224 Capreolus_capreolus Mammalia
225 Capreolus_pygargus Mammalia
226 Capricornis_milneedwardsii Mammalia
227 Carasobarbus_fritschii Actinopterygii
228 Carasobarbus_luteus Actinopterygii
229 Carassius_auratus Actinopterygii
230 Carassius_cuvieri Actinopterygii
231 Carassius_gibelio Actinopterygii
232 Carcharodon_carcharias Chondrichthyes
233 Cardinalis_cardinalis Aves
234 Caretta_caretta Reptilia
235 Carollia_brevicauda Mammalia
236 Carollia_castanea Mammalia
237 Carollia_perspicillata Mammalia
238 Carollia_sowelli Mammalia
239 Carpiodes_carpio Actinopterygii
240 Carpiodes_cyprinus Actinopterygii
241 Carpodacus_erythrinus Aves
242 Catharus_guttatus Aves
243 Catharus_minimus Aves
244 Catharus_ustulatus Aves
245 Cathorops_mapale Actinopterygii
246 Cathorops_wayuu Actinopterygii
247 Catla_catla Actinopterygii
248 Catopuma_temminckii Mammalia
249 Catostomus_commersonii Actinopterygii
250 Cavia_aperea Mammalia
251 Cavia_porcellus Mammalia
252 Cebus_albifrons Mammalia
253 Cephalophus_callipygus Mammalia
254 Cercopithecus_albogularis Mammalia
255 Cercopithecus_mitis Mammalia
256 Cervus_elaphus Mammalia
257 Cetorhinus_maximus Chondrichthyes
258 Chaenocephalus_aceratus Actinopterygii
259 Chamaeleo_chamaeleon Reptilia
260 Champsocephalus_gunnari Actinopterygii
261 Channa_argus Actinopterygii
262 Channa_asiatica Actinopterygii
263 Channa_maculata Actinopterygii
264 Chasmistes_brevirostris Actinopterygii
265 Chelon_labrosus Actinopterygii
266 Chelonia_mydas Reptilia
267 Chilabothrus_inornatus Reptilia
268 Chilabothrus_monensis Reptilia
269 Chilatherina_fasciata Actinopterygii
270 Chiloscyllium_plagiosum Chondrichthyes
271 Chimarrogale_himalayica Mammalia
272 Chionomys_nivalis Mammalia
273 Chionomys_roberti Mammalia
274 Chiropotes_israelita Mammalia
275 Chlamydotis_undulata Aves
276 Chlorocebus_aethiops Mammalia
277 Chlorocebus_cynosuros Mammalia
278 Chlorocebus_pygerythrus Mammalia
279 Chlorocebus_sabaeus Mammalia
280 Chlorocebus_tantalus Mammalia
281 Chlorocharis_emiliae Aves
282 Chlorophanes_spiza Aves
283 Chodsigoa_parca Mammalia
284 Chondrostoma_nasus Actinopterygii
285 Chrysemys_picta Reptilia
286 Chrysolophus_amherstiae Aves
287 Chrysolophus_pictus Aves
288 Chuanchia_labiosa Actinopterygii
289 Cirrhinus_mrigala Actinopterygii
290 Cirrhinus_reba Actinopterygii
291 Clarias_fuscus Actinopterygii
292 Clarias_gariepinus Actinopterygii
293 Cleisthenes_herzensteini Actinopterygii
294 Clupea_harengus Actinopterygii
295 Clupea_pallasii Actinopterygii
296 Cobitis_choii Actinopterygii
297 Cobitis_elongatoides Actinopterygii
298 Cobitis_lutheri Actinopterygii
299 Cobitis_paludica Actinopterygii
300 Cobitis_sinensis Actinopterygii
301 Cobitis_taenia Actinopterygii
302 Codoma_ornata Actinopterygii
303 Coelodonta_antiquitatis Mammalia
304 Coilia_grayii Actinopterygii
305 Coilia_mystus Actinopterygii
306 Collocalia_esculenta Aves
307 Colobus_angolensis Mammalia
308 Coluber_constrictor Reptilia
309 Columba_livia Aves
310 Comephorus_baicalensis Actinopterygii
311 Comephorus_dybowskii Actinopterygii
312 Condylura_cristata Mammalia
313 Conolophus_subcristatus Reptilia
314 Contia_tenuis Reptilia
315 Copsychus_saularis Aves
316 Corallus_hortulanus Reptilia
317 Coregonus_autumnalis Actinopterygii
318 Coregonus_clupeaformis Actinopterygii
319 Coregonus_lavaretus Actinopterygii
320 Coregonus_muksun Actinopterygii
321 Coregonus_nasus Actinopterygii
322 Coregonus_oxyrinchus Actinopterygii
323 Coreoleuciscus_splendidus Actinopterygii
324 Coreoperca_kawamebari Actinopterygii
325 Corvus_corax Aves
326 Corvus_corone Aves
327 Corvus_macrorhynchos Aves
328 Corvus_splendens Aves
329 Corydoras_nattereri Actinopterygii
330 Corydoras_sp. Actinopterygii
331 Cottus_pollux Actinopterygii
332 Cottus_reinii Actinopterygii
333 Coturnix_coturnix Aves
334 Cricetulus_kamensis Mammalia
335 Cricetus_cricetus Mammalia
336 Crocidura_attenuata Mammalia
337 Crocidura_beatus Mammalia
338 Crocidura_dsinezumi Mammalia
339 Crocidura_fuliginosa Mammalia
340 Crocidura_grayi Mammalia
341 Crocidura_lasiura Mammalia
342 Crocidura_mindorus Mammalia
343 Crocidura_monticola Mammalia
344 Crocidura_negrina Mammalia
345 Crocidura_olivieri Mammalia
346 Crocidura_orientalis Mammalia
347 Crocidura_palawanensis Mammalia
348 Crocidura_panayensis Mammalia
349 Crocidura_paradoxura Mammalia
350 Crocidura_shantungensis Mammalia
351 Crocidura_sibirica Mammalia
352 Crocidura_suaveolens Mammalia
353 Crocidura_tanakae Mammalia
354 Crocodylus_acutus Reptilia
355 Crocodylus_johnsoni Reptilia
356 Crocodylus_moreletii Reptilia
357 Crocodylus_niloticus Reptilia
358 Crocodylus_palustris Reptilia
359 Crocuta_crocuta Mammalia
360 Crossoptilon_crossoptilon Aves
361 Cryptomys_hottentotus Mammalia
362 Crystallaria_asprella Actinopterygii
363 Ctenomys_minutus Mammalia
364 Ctenomys_pearsoni Mammalia
365 Ctenomys_rionegrensis Mammalia
366 Ctenomys_sociabilis Mammalia
367 Ctenomys_sp. Mammalia
368 Ctenomys_torquatus Mammalia
369 Ctenopharyngodon_idella Actinopterygii
370 Ctenotus_atlas Reptilia
371 Ctenotus_dux Reptilia
372 Ctenotus_inornatus Reptilia
373 Ctenotus_leonhardii Reptilia
374 Ctenotus_pantherinus Reptilia
375 Ctenotus_piankai Reptilia
376 Ctenotus_quattuordecimlineatus Reptilia
377 Ctenotus_robustus Reptilia
378 Ctenotus_schomburgkii Reptilia
379 Culter_alburnus Actinopterygii
380 Cuora_amboinensis Reptilia
381 Cuora_flavomarginata Reptilia
382 Cuora_trifasciata Reptilia
383 Cyanistes_caeruleus Aves
384 Cyanistes_teneriffae Aves
385 Cyanopica_cyanus Aves
386 Cynomys_ludovicianus Mammalia
387 Cynomys_mexicanus Mammalia
388 Cynops_ensicauda Amphibia
389 Cynops_pyrrhogaster Amphibia
390 Cynopterus_brachyotis Mammalia
391 Cynopterus_sp. Mammalia
392 Cynopterus_sphinx Mammalia
393 Cyprinella_lepida Actinopterygii
394 Cyprinella_lutrensis Actinopterygii
395 Cyprinella_spiloptera Actinopterygii
396 Cyprinella_venusta Actinopterygii
397 Cyprinodon_variegatus Actinopterygii
398 Cyprinus_carpio Actinopterygii
399 Cyprinus_multitaeniata Actinopterygii
400 Danio_rerio Actinopterygii
401 Dasypus_novemcinctus Mammalia
402 Dasyurus_hallucatus Mammalia
403 Daubentonia_madagascariensis Mammalia
404 Delomys_dorsalis Mammalia
405 Delphinus_capensis Mammalia
406 Delphinus_delphis Mammalia
407 Deltamys_kempi Mammalia
408 Deltistes_luxatus Actinopterygii
409 Desmodus_rotundus Mammalia
410 Diadophis_punctatus Reptilia
411 Dicamptodon_copei Amphibia
412 Dicamptodon_tenebrosus Amphibia
413 Dicentrarchus_labrax Actinopterygii
414 Dicentrarchus_punctatus Actinopterygii
415 Diplodus_sargus Actinopterygii
416 Diplodus_vulgaris Actinopterygii
417 Diplomystes_nahuelbutaensis Actinopterygii
418 Dipodillus_campestris Mammalia
419 Diptychus_maculatus Actinopterygii
420 Discogobio_tetrabarbatus Actinopterygii
421 Distoechodon_tumirostris Actinopterygii
422 Dormitator_maculatus Actinopterygii
423 Dremomys_rufigenis Mammalia
424 Drymarchon_couperi Reptilia
425 Dryomys_nitedula Mammalia
426 Echinotriton_andersoni Amphibia
427 Ectopistes_migratorius Aves
428 Eidolon_dupreanum Mammalia
429 Eidolon_helvum Mammalia
430 Eigenmannia_virescens Actinopterygii
431 Elaphe_quadrivirgata Reptilia
432 Elassoma_evergladei Actinopterygii
433 Elassoma_zonatum Actinopterygii
434 Elephas_maximus Mammalia
435 Eleutheronema_tetradactylum Actinopterygii
436 Elgaria_multicarinata Reptilia
437 Elopichthys_bambusa Actinopterygii
438 Empidonax_traillii Aves
439 Emys_orbicularis Reptilia
440 Engraulis_encrasicolus Actinopterygii
441 Eopsaltria_australis Aves
442 Eopsaltria_griseogularis Aves
443 Eothenomys_chinensis Mammalia
444 Eothenomys_custos Mammalia
445 Eothenomys_eva Mammalia
446 Eothenomys_melanogaster Mammalia
447 Eothenomys_miletus Mammalia
448 Eozapus_setchuanus Mammalia
449 Epigonichthys_maldivensis Branchiostomidae
450 Epinephelus_akaara Actinopterygii
451 Epinephelus_awoara Actinopterygii
452 Epinephelus_coioides Actinopterygii
453 Epinephelus_fuscoguttatus Actinopterygii
454 Epinephelus_lanceolatus Actinopterygii
455 Epinephelus_marginatus Actinopterygii
456 Epinephelus_moara Actinopterygii
457 Episoriculus_fumidus Mammalia
458 Episoriculus_leucops Mammalia
459 Episoriculus_macrurus Mammalia
460 Epomophorus_gambianus Mammalia
461 Epomops_buettikoferi Mammalia
462 Epomops_franqueti Mammalia
463 Equus_asinus Mammalia
464 Equus_caballus Mammalia
465 Equus_hemionus Mammalia
466 Equus_kiang Mammalia
467 Equus_przewalskii Mammalia
468 Equus_zebra Mammalia
469 Eremias_argus Reptilia
470 Eremias_brenchleyi Reptilia
471 Eremias_persica Reptilia
472 Eremias_velox Reptilia
473 Eretmochelys_imbricata Reptilia
474 Erinaceus_europaeus Mammalia
475 Erpetoichthys_calabaricus Cladistia
476 Eschrichtius_robustus Mammalia
477 Esox_lucius Actinopterygii
478 Esox_reichertii Actinopterygii
479 Etheostoma_bison Actinopterygii
480 Etheostoma_caeruleum Actinopterygii
481 Etheostoma_crossopterum Actinopterygii
482 Etheostoma_fragi Actinopterygii
483 Etheostoma_kantuckeense Actinopterygii
484 Etheostoma_lawrencei Actinopterygii
485 Etheostoma_nigripinne Actinopterygii
486 Etheostoma_olmstedi Actinopterygii
487 Etheostoma_spectabile Actinopterygii
488 Etheostoma_tetrazonum Actinopterygii
489 Etheostoma_uniporum Actinopterygii
490 Etroplus_maculatus Actinopterygii
491 Euchiloglanis_kishinouyei Actinopterygii
492 Euchoreutes_naso Mammalia
493 Eudorcas_rufifrons Mammalia
494 Eudyptes_chrysocome Aves
495 Eulemur_rubriventer Mammalia
496 Eulemur_rufus Mammalia
497 Eumetopias_jubatus Mammalia
498 Eunectes_notaeus Reptilia
499 Eurycea_multiplicata Amphibia
500 Eurycea_tynerensis Amphibia
501 Euthynnus_affinis Actinopterygii
502 Exocoetus_monocirrhus Actinopterygii
503 Exocoetus_volitans Actinopterygii
504 Falco_cherrug Aves
505 Falco_naumanni Aves
506 Falco_peregrinus Aves
507 Falco_sparverius Aves
508 Falco_tinnunculus Aves
509 Felis_catus Mammalia
510 Felis_silvestris Mammalia
511 Ficedula_hyperythra Aves
512 Forpus_modestus Aves
513 Forpus_passerinus Aves
514 Forpus_xanthopterygius Aves
515 Fringilla_montifringilla Aves
516 Fundulus_heteroclitus Actinopterygii
517 Fundulus_notatus Actinopterygii
518 Fundulus_olivaceus Actinopterygii
519 Gadus_chalcogrammus Actinopterygii
520 Gadus_macrocephalus Actinopterygii
521 Gadus_morhua Actinopterygii
522 Galago_senegalensis Mammalia
523 Galaxias_gollumoides Actinopterygii
524 Galaxias_maculatus Actinopterygii
525 Galaxias_truttaceus Actinopterygii
526 Galaxiella_nigrostriata Actinopterygii
527 Galea_musteloides Mammalia
528 Galemys_pyrenaicus Mammalia
529 Galeocerdo_cuvier Chondrichthyes
530 Gallotia_galloti Reptilia
531 Gallus_gallus Aves
532 Garra_gotyla Actinopterygii
533 Garra_imberba Actinopterygii
534 Garra_orientalis Actinopterygii
535 Garrulax_canorus Aves
536 Garrulax_chinensis Aves
537 Garrulax_poecilorhynchus Aves
538 Garrulus_glandarius Aves
539 Gazella_arabica Mammalia
540 Gazella_dorcas Mammalia
541 Gazella_gazella Mammalia
542 Gazella_leptoceros Mammalia
543 Gazella_subgutturosa Mammalia
544 Gekko_gecko Reptilia
545 Gekko_swinhonis Reptilia
546 Genetta_genetta Mammalia
547 Genetta_maculata Mammalia
548 Genetta_pardina Mammalia
549 Genetta_servalina Mammalia
550 Gerbilliscus_leucogaster Mammalia
551 Gerbilliscus_sp. Mammalia
552 Gerbillus_gerbillus Mammalia
553 Gerbillus_henleyi Mammalia
554 Gerbillus_nancillus Mammalia
555 Gerbillus_nanus Mammalia
556 Gerbillus_pyramidum Mammalia
557 Gerbillus_tarabuli Mammalia
558 Gila_conspersa Actinopterygii
559 Gila_nigrescens Actinopterygii
560 Gila_robusta Actinopterygii
561 Giraffa_camelopardalis Mammalia
